"sample_id","(+/-)-Tryptophan","1,5-Diaminopentane","16.89_propanoic acid","20.13_butanoic acid","26.93_hexanoic acid","4-Aminobutyrate","Asp","choline","Glucose (and isomers)","Gly","hippurate","His","putrescine","Valeric/Isovaleric Acid"
"Moth_50_T",0.3810426,0.6754026,8.0574548,24.4434671,9.8425514,0.184,0.672676,0.1264976,0.2121582,0.3703439,0.1682179,0.258794,0.3928696,11.0090667
"Moth_66_T",0.77963468,0.88174742,6.29306566,17.40712496,1.91046194,0.31215566,1.91365139,0.03650241,0.13119141,1.39838658,0.04809621,0.65216951,0.3485853,12.06163235
"Gran_22_T",0.489485361,0.221219564,4.740896945,9.336822091,3.78503376,0.023,0.7085841,0.077461832,0.213018309,0.78556335,0.034153849,0.143497375,0.008952533,7.330867459
"Gran_49_T",3.31020431,0.49173094,10.18022451,10.08888129,1.21692823,0.366,2.48318392,0.15065484,0.26307802,9.79296838,0.53278981,0.34999708,0.03385239,11.06906054
"Gran_32_T",0.98635666,0.84374624,13.8712182,17.83062727,0.96233578,0.242,2.97189169,0.12959335,1.49499664,1.03456125,0.04329607,0.47795782,0.14590349,14.64766565
"Gran_28_T",0.32428319,14.20702743,6.04512696,7.31432238,1.39745623,0.154,1.09669103,0.04586639,0.15830563,0.39564439,0.3537132,0.34301838,0.37476357,11.25148125
"Moth_54_T",0.51056431,0.12156123,3.85248773,6.85001353,2.27731738,0.153,0.94625012,0.07493168,0.16554028,0.65389647,1.97125907,0.33669495,0.30778487,5.48656167
"Moth_55_T",0.48551262,0.18091228,20.15861786,34.21743932,7.62307362,0.087,1.63068383,0.08620076,0.8309941,0.51004357,0.02361844,0.34297331,0.08617205,10.00764001
"Moth_31_T",0.41632595,0.03859093,4.83563297,9.0206201,2.6362959,0.064,1.21789497,0.02242347,0.07464246,0.51180196,0.01896237,0.19133364,0.01756633,8.2220902
"Inf_26_T",2.219752,17.04941726,11.77015072,17.27136198,4.45637611,0.449,8.83161151,0.15762318,1.0234002,2.56662013,0.08055129,2.49231973,5.85265877,7.98049601
"Gran_54_T",0.50428734,0.06141027,3.91319919,6.08172454,1.25254325,0.152,1.14646674,0.13732113,0.38183732,0.62881974,0.01758735,0.41277539,0.20054749,2.95538199
"Inf_66a_T",0.2328154,0.3700113,6.8521091,0.6897495,0.1242707,0.151,1.601787,0.4306692,1.8969063,0.8922251,0.2617815,0.4401694,0.2561759,0.6086466
"Inf_49_T",2.15683889,9.28035557,6.83338608,1.26308629,0.05491207,29.075,4.1215535,1.58707785,4.03285086,6.12081844,0.02948114,2.80736938,1.46980369,1.03832562
"Moth_26_T",1.8635775,11.8930057,14.0986576,31.2484088,0.134747,0.393,3.577653,0.9923032,1.3064587,2.9673786,0.8084343,1.4005904,5.5219053,1.6207494
"Gran_08_T",0.15475249,0.00726314,2.75417794,2.33163154,0.10669856,0.092,0.98891361,0.09086872,0.05428836,0.3726838,0.13756778,0.06933974,0,3.95728884
"Moth_32_T",0.3908649,0.04742687,6.93024549,8.12314864,1.42335123,0.04,0.83576876,0.02975932,0.15168156,0.54366404,0.42300411,0.11584554,0.02164199,7.50939767
"Gran_67_T",1.0620066,2.2619302,2.860998,4.2205803,0.9672272,0.825,1.317313,0.1765457,0.1013823,7.9521297,1.1628986,0.280788,0.4706341,4.3812735
"Inf_13_T",1.1266799,2.6745728,4.2501093,9.4615212,0.6221584,0.387,9.3666769,0.1196334,1.2109326,2.1061865,0.1311402,5.4174125,2.5274018,1.2022803
"Moth_15_T",0.18049426,0.11189277,3.13267302,4.29120486,0.51070775,0.482,0.38403021,0.02750746,0.03170507,1.18273578,6.27586894,0.08724872,0.06770019,3.87577171
"Moth_58_T",0.5389116,0.41545286,14.58293966,13.16251103,0.76832269,0.152,1.1461888,0.09240216,0.84460124,0.54046931,12.62030048,0.24437799,0.89910904,12.62518299
"Moth_08_T",0.47182167,0.05188767,2.67930931,3.05417076,0.61483637,0.12,1.37319521,0.06214074,0.14768487,0.71335394,0.0449697,0.16300172,0.04576731,3.8108441
"Moth_67_T",0.27805328,0.22134424,3.20244313,5.00801773,1.38028749,0.103,0.95201458,0.0786179,0.08553632,0.58321487,1.08494203,0.17755936,0.17623271,6.05344811
"Inf_67b_T",0.18366582,0.42890367,0.73679136,0.25163854,0.1165293,3.443,0.38311108,0.42385262,6.56737565,0.35939097,0.03732598,0.2776085,0.14377461,0.08357653
"Moth_22_T",0.41180363,0.0481287,4.52869289,13.84057045,6.43088144,0.079,4.08301677,0.06125659,0.22328541,0.58734636,6.75935546,0.18839264,0.07848162,4.79878311
"Moth_07_T",1.1222219,1.05864604,12.85939483,16.97865687,0.15629958,0.2259163,1.67804832,0.31281347,1.0506718,2.67778868,0.05983733,0.23186968,0.14043386,8.27490346
"Gran_15_T",0.84011413,1.35664864,6.49689236,6.50655132,0.66009912,0.498,0.99796427,0.13344449,0.04688067,5.55425629,0.02758075,0.20295552,0.64396062,11.29082014
"Moth_19_T",2.66343588,0.22058667,5.94847928,8.78738332,1.07239266,1.062,2.63713767,0.0723857,0.26634545,3.84508517,0.02999349,1.11176887,0.01927674,7.70376973
"Moth_09_T",0.41035941,0.07978962,4.40799019,8.6031674,1.63151783,0.066,1.63972719,0.05970379,0.08901558,0.91073019,0.05871456,0.23747412,0.034114,9.82632932
"Gran_13_T",0.79927773,2.69323968,14.07117479,15.80879722,2.78758385,0.107,1.85738108,0.23267265,0.43103325,1.33696829,0.07614477,0.25772936,0.12130906,9.58238214
"Gran_10_T",2.3757235,0.6026319,16.769717,20.2447464,3.3944392,0.325,5.2195183,0.2637869,1.0385906,8.6740892,0.7316444,0.3749082,0.0574874,17.1500771
"Moth_18_T",0.78071793,0.0751787,7.09174931,7.7333237,1.58481161,0.9,2.44729734,0.20574706,0.53767049,1.9600541,0.02784576,0.31162649,0.18287146,7.88159091
"Moth_49_T",0.52360298,0.12613541,7.517775,23.59812055,0.30119779,1.461,2.36215217,0.13689429,1.14751682,0.49007257,0.04828101,0.45700189,0.1887564,3.95487329
"Inf_19_T",1.93885875,6.56494265,6.272079,4.1531918,0.44842151,1.034,3.13749686,0.21433971,0.34560961,1.42232582,0.02929661,1.30510543,2.90960836,7.30639253
"Inf_14_T",2.27886567,4.74086261,5.41728095,7.65630574,0.50443399,0.998,13.9942977,0.66875183,3.68658085,9.62963506,0.04011096,3.72987679,3.97281694,2.80191754
"Inf_16_T",1.44282947,26.98739302,9.17651317,4.66058997,0.05090271,0.974,8.2100874,0.4705549,0.81464421,2.8693721,0.03096046,3.5916726,9.23057055,2.4448459
"Moth_36_T",0.41735226,0.07314057,4.15598244,6.21036388,1.71793088,0.215,0.92959578,0.05172634,0.13331189,0.5332419,0.01495684,0.3394,0.09125452,8.11473756
"Moth_13_T",0.45176463,0.2743253,10.57979727,11.56019808,0.2536803,0.059,1.0373803,0.07133803,0.30405953,0.4147208,0.03358336,0.31206355,0.07810156,9.30797986
"Moth_14_T",1.23084134,0.14694904,7.58524533,9.78213509,0.0786628,0.43215636,2.70662803,0.07127452,1.88084156,1.26508731,0.03191829,0.80515177,0.02717251,4.90063459
"Moth_53_T",0.59586536,0.22612461,8.32916204,21.87121611,5.11087413,0.58,1.87523563,1.10536688,0.22196427,0.75523196,1.60757397,0.38715782,0.06737107,15.95049177
"Inf_18_T",1.13004389,0.8881661,4.44644974,18.84781516,0.20525534,0.657,9.138299,0.4573035,1.40319463,0.96178366,0.05778534,1.85667155,3.72493628,2.23544868
"Moth_33_T",0.617204876,0.060122369,1.083603636,2.167983613,0.06626779,0.094,2.81837811,0.036046304,0.094196378,0.969737626,0.028005808,0.314398901,0.009364329,3.303995762
"Moth_16_T",0.79057536,0.09380944,9.78604166,15.73786334,2.58747011,0.073,2.76051034,0.02543418,0.16145003,1.39802771,0.75221375,1.17238119,0.0608328,13.59046954
"Moth_34_T",0.50429463,0.03426352,11.01415599,20.42838775,4.80654016,0.103,3.86161188,0.2428482,0.31234924,0.90817933,0.01765858,0.26715425,0.26117223,14.86264614
"Inf_20_T",2.34427828,0.77792746,3.98390626,4.45358273,0.5759261,0.206,4.80281771,0.54479082,6.61004112,4.05668436,0.05028479,0.72836413,1.98979648,1.18399568
"Moth_44_T",0.36756978,0.17818341,4.99935945,7.13493095,0.23000546,0.21805156,0.54321961,0.03934348,0.10592416,0.56157638,10.21754401,0.21942223,0.03523223,4.96659052
"Inf_12_T",0.80897517,12.83008711,2.73280341,1.22385633,0.28397457,0.93,4.39638876,1.45389519,0.34479843,1.60829195,0.05043566,0.82748395,3.77025015,1.26106754
"Inf_06_T",2.69317546,6.96035039,7.59875605,9.13459591,2.85349444,0.14,7.58530382,1.09104899,0.26324248,3.50919648,0.03678951,1.46400331,6.46449011,4.02835147
"Gran_07_T",1.12394255,0.42293755,10.82772346,38.18886594,1.10331697,0.17,3.61862237,0.0961717,0.30422609,3.42270357,0.03674782,0.23839751,0.02796336,26.40770663
"Moth_12_T",0.4853776,1.8014384,4.4647992,7.1965334,0.354668,0.096,2.6094813,0.2215371,0.3094252,0.5370632,5.1203721,0.6008462,0.2404987,6.439809
"Gran_14_T",4.28660158,0.44974835,6.48899083,8.77298257,0.2629767,0.132,8.34653962,0.282662,0.51199703,8.39986154,0.01924322,0.93373249,0.05109492,9.30102255
