"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-Aminocyclopropane-1-carboxylate","1-Methyl-xanthine","1-methylnicotinamide","1-methylurate","1,5-Anhydro-D-glucitol","1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE","1,6-ANHYDRO-B-GLUCOSE","1,7-dimethylurate","1,7-Dimethylxanthine","12-Hydroxydodecanoic acid","1H-Indole-3-propanoic acid","2-(1H-indol-3-yl)acetic acid","2-AMINO-2-METHYLPROPANOIC ACID","2-Aminobenzoic acid","2-METHOXYCINNAMALDEHYDE","2-METHYLHIPPURIC ACID","2,6-DIMETHOXYBENZOIC ACID","3-aminosalicylic acid","3-Carboxypropyl trimethylammonium","3-HYDROXYINDOLE","3-HYDROXYPROPIONIC ACID","3-Methyl-L-histidine","3-METHYLCATECHOL","3-methylxanthine","4-acetamidobutanoate","4-acetamidophenol","4-aminophenol","4-HYDROXY-PHENYLGLYCINE","4-Hydroxybenzenesulfonic acid","4-methylcatechol","4-pyridoxate","4-QUINOLINECARBOXYLIC ACID","5-Aminopentanoate","5-HIAA","5-Hydroxy-L-tryptophan","5-Hydroxyindole","5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID","5-Oxo-L-Proline","5,6-DIHYDRO THYMINE","5'-Deoxy-5'-methylthioadenosine","7-methylxanthine","ACETYL-CARNITINE","adenosine","Ala","ALLO-ISOLEUCINE","allo-threonine","alpha-glycerophosphocholine","Alpha-Lactose","Alpha-n-phenylacetyl-l-glutamine","AMINO(4-HYDROXYCYCLOHEXYL)ACETIC ACID","Arg","Asp-Phe","azelaic acid","betaine","biotin","BUPROPION","butyrylglycine","C10 carnitine","C3 carnitine","C8 carnitine","carnitine","catechol","choline","choline phosphate","Cinnamaldehyde","citrulline","creatine","creatinine","cystine","diltiazem","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","doxylamine","elaidic acid","Galactitol","Gln","Glu","guanosine","hippurate","His","homocitrulline","homocystine","hypoxanthine","indole-3-lactate","INDOLEPYRUVIC ACID","inosine","isovalerylglycine","kynurenine","L-(-)-Phenylalanine.1","L-malic acid","L-serine","L-tyrosine","lisinopril","metformin","N-6-Trimethyllysine","N-Acetyl-DL-tryptophan","N-Acetyl-L-tyrosine","N-acetylneuraminate","nifedipine","Octanedioic acid","Octyl gallate","omeprazole","PANTOTHENIC ACID","PHENYLACETIC ACID","propionylglycine","propyl 4-hydroxybenzoate","putrescine","pyridoxamine","serotonin","taurine","theophylline","TMAO","trigonelline","TRYPTOPHAN ETHYL ESTER","uracil","uridine","VALPROIC ACID","xanthurenate"
"4033_4",20799886,23357,88018,36004,10590,5090,8589,40992,149597,27741,269621,44587,576383,284001,153484,109813,14662,9020,1115666,113192,469601,49685,81068,86572,53036,53789,81410,7820,5232,3406,48187,57165,30296,5715,5664459,7616,41545,120879,91971,1386710,67623,17759,145501,43158,284,632026,25553264,305233,2132283,11750,1801708,5445,598945,10081,1395113,29387,1497,1363,30850,12561,97915,683116,3442402,27806,5483610,53091,23736,166330,1163770,1427418,22775,384902,688140,1558395,231088,6840938,0,79715,2528,1035953,69367,73425,2097138,86076,10953,1452,1072724,126343,42650,377774,33816,283023,12815306,10505,43560,6354998,0,0,49472,15214,2111,2044,19786,406541,2364,2332,143292,76219,59859,4794952,11559,156983,218604,31389,134865,1909486,405988,48549,102014,49598,12413,11964
"4067_2",16527366,21202,69795,26733,2368,7521,15344,12765,84282,42723,562272,13777,42688,40226,212946,148695,3112,1241,91398,26773,554014,17618,35985,21026,94012,38254,55639,48568,5846,590,19105,14303,9151,7013,6914709,12008,34301,55519,83500,826883,28474,12299,85182,1800786,1859,588560,28295726,264404,410802,5903,174233,3820,220282,441,271775,29352,608,34,35905,7599339,353689,2653333,3279903,39601,5559582,9523,11985,75043,216252,1753426,31580,121443,285583,2548960,125757,8337650,363,236186,1075,791208,43746,51621,154602,48147,3139,820,379558,32707,32246,256170,14344,358264,9417842,3228,37939,5724538,0,0,51806,8338,350,2942,6268,25816,10997,0,155157,101816,52455,69009,9854,98819,19575,22930,111278,889272,325710,4920,602134,53545,12940,2764
"4033_2",20787144,20588,73799,72866,9414,7212,9923,33804,147356,51200,979479,57778,184105,306370,202337,144777,6147,1754,720931,75125,515488,52050,65042,32466,46429,93156,82472,6695,4252,4099,573187,46326,9747,6387,5776268,18051,46704,109413,61573,1054864,67318,17626,252633,222326,197,370243,28919008,201583,1640078,12258,2490445,6728,534194,4454,838913,28288,949,1204,17355,30403,121672,1566982,4673794,57690,5009412,40805,21745,143558,1189732,1428169,18185,206353,677870,2310665,210430,4649810,109,226087,1985,992329,48403,72637,616186,106025,6558,1391,859900,83927,53087,405790,23635,265240,14049066,9495,41230,5667250,3,337,46248,7942,156,2104,16345,241171,5826,2497,116776,77915,53910,997095,10225,152213,173670,26168,204668,2089162,287989,52755,715681,46508,14829,4692
"4033_1",19258734,22483,71876,37708,14286,3782,9022,23550,144809,52423,299305,36378,188011,297643,206371,97514,23164,3384,840042,78253,578550,51916,74537,27010,51500,43881,78554,6286,4010,5857,45021,49033,14710,5560,5468531,17047,46115,108048,73493,1178086,63768,17366,127616,198132,926,480143,26222920,225715,1795104,9255,2016068,5604,551108,8489,931942,21737,2243,679,19746,45233,101544,2372692,4827568,29435,5130700,37220,22107,146626,825730,1538286,17526,231465,676613,1379736,210265,4689625,384,220991,1326,950437,47903,167121,1005499,98204,6443,266,837165,84625,47823,685981,20585,268780,14123879,17511,45769,5453917,226,1114,46134,9044,1274,1497,23434,268663,5669,2868,121538,77256,47456,570544,12904,152792,216962,34375,105696,1577576,296124,39838,89462,46231,15589,5140
"4032_4",33313362,24654,89346,20704,6304,12309,17420,39396,141073,17322,1135656,54910,221135,34420,305063,57062,39000,965,245449,36240,457815,17199,63367,23868,12286,32842,34556,5651,3728,6613,74742,4935,19055,7814,6422820,8375,33221,19093,73269,660609,37025,10465,42041,73024,389,658165,33665844,330931,1151599,9632,445819,15664,305491,70967,80144,21567,967,1962,12883,1546164,147538,562445,3981935,25551,4535205,22377,16177,94942,493122,1115509,45145,111011,347310,2441708,128873,5756790,345,22728,990,892295,102103,153680,452626,47960,4548,489,419481,30319,42391,472180,14049,397283,14215963,11839,66148,9813299,14150,0,39614,10252,1960,25023,22960,43639,7479,548,87818,41758,35654,201433,7173,121866,59343,42887,317286,1010388,171265,10522,651090,46951,35723,4716
"4032_3",34354184,24280,90917,21818,5353,15703,18958,44489,153562,19880,1574302,103080,249308,30791,265654,59103,41555,1727,418381,43946,526517,22664,66631,41778,19370,42353,41625,5003,6280,4528,134164,11655,12599,11179,6832482,8139,37582,26681,89546,724053,34704,11380,45929,113824,446,652418,31870834,341400,1368466,11655,326431,17606,317595,78754,175526,17993,874,2464,12787,1412206,162917,524927,4210700,21781,4677352,25226,18587,98150,471151,1087369,48114,288834,363099,2606948,134075,5941419,460,29433,1045,891278,99354,50300,393840,48302,4909,495,745022,36082,45031,369657,13554,553080,14861789,3729,53017,10092877,16257,0,68491,12932,2390,32089,34786,69816,7448,1004,90446,64406,38657,217813,9177,119361,39954,35566,398404,1084386,185630,11421,549699,46141,29036,5324
"4032_2",35097520,25331,93930,49884,10559,16482,17562,41505,133854,29676,1738155,105767,235964,32504,368842,76994,40685,1577,378487,41858,491031,22300,60298,115485,26886,82861,45703,5363,6722,4777,133838,19928,23022,7653,7807274,7228,32570,41092,74441,677701,38796,11085,146969,169018,0,685834,37834200,353959,980165,8886,434102,15838,316172,76967,178442,18695,1163,1566,16609,1405540,227340,516876,3991171,24068,4817056,18887,12458,97667,846607,1033319,41272,271544,372821,2676496,139090,5642789,939,22625,3322,868260,115657,72283,583131,42678,5041,616,801641,37966,48871,432500,14709,481848,14433128,5354,69608,11488711,14034,0,66532,14877,2473,38780,55002,76794,15679,1009,99752,61313,35017,391117,9244,128381,48185,34657,346091,1656068,210522,11374,616532,49978,27058,6057
"4032_1",32053008,23581,82911,52303,6475,21400,18565,40001,151697,17913,1559638,27511,144958,29214,350995,21188,40190,1667,310363,53633,370440,23734,64250,36077,12822,76403,48336,5510,1473,4221,115580,17922,16839,8580,7607580,9023,39256,9849,61247,724535,50495,11516,124012,83238,4176,622036,38959140,305421,1042899,9921,310100,10921,283307,49921,94532,19625,1048,3391,11032,1798958,148076,702305,2968246,17974,4481988,19517,15250,91326,668222,882785,38909,128166,382126,2646394,135159,4972016,550,27877,1755,912860,111497,196898,783527,51854,5597,752,612867,35381,45004,707787,12788,432740,15523316,13821,64269,10152570,18822,0,45771,8716,1993,29429,25091,47489,15116,560,104565,40265,35255,303521,7909,132516,54589,42058,397475,3678550,176290,14101,898512,49210,21994,7636
"4029_4",27155826,25637,68150,340,4160,4259,19609,38317,154411,60470,127129,35513,4050187,331755,109082,124598,4627,1868,952788,85158,799980,34551,69654,34465,54963,5348,70890,983428,3110,264,24362,39719,10614,7056,8477632,15375,38639,62475,103772,1176932,77965,17816,12223,97928,362,511209,28480430,179033,1558748,12252,1056260,6447,540362,15300,1259026,38337,3932,213,21247,9436,218636,514553,4450053,29864,4638688,38232,21361,134828,176668,1205156,15923,375904,623844,1558528,171266,6408292,309,154063,235,1023003,45997,32466,1449580,89171,6483,2805,772603,166710,56233,225557,17451,346028,13269082,3925,30800,5250386,134,0,69622,23764,2896,2919,26650,361659,0,4745,78725,90206,43178,48059,18514,137345,149144,19512,51631,1325419,636129,25073,761818,39572,11797,8658
"4029_3",27680720,35035,78549,522,2523,1586,31955,23884,129328,13598,40032,13142,728849,31234,131578,57763,44759,1980,475950,43064,704605,26483,53503,16222,40295,0,54980,8978,6272,1935,56272,26860,13156,6213,6535247,10016,25062,30548,126288,901012,49856,10483,2231,151260,0,600317,34558128,221887,1243650,9848,924921,5737,318592,646186,413376,19103,1192,808,16440,826855,251632,384685,3768044,29259,5595668,23074,7279,133792,150783,865098,21471,417423,261830,2444384,131730,5654253,323,43235,1333,1023464,90144,13093,1100862,37745,7740,1351,691910,35825,42425,71321,12810,353701,12383564,1711,51655,5820277,0,0,50423,20720,2179,29488,56283,98660,8429,85,66160,82282,31599,15230,15312,88110,88799,53377,18677,1287300,470510,4699,552957,52436,46232,10157
