"sample_id","(+/-)-Tryptophan","(<U+00B1>)-Myristoylcarnitine","(2S)-2-hydroxypentanedioic acid","(N(1) + N(8))-acetylspermidine","(S)-(+)-2-Hydroxy-3-methylbutyric acid","(S)-3-Hydroxybutyric acid","1-Methyl-L-histidine","10-heptadecenoate (17:1n7)","10-nonadecenoate (19:1n9)","10-trans-heptadecenoic acid","12-dehydrocholate","12-keto Lithocholic Acid","13.36_acetic acid","16.89_propanoic acid","19.04_2-methylpropanoic acid","1H-Imidazole-4-propionic acid","1H-Indole-3-carboxaldehyde","1H-Indole-3-propanoic acid","2-(1H-indol-3-yl)acetic acid","2-Butenoic acid","2-Furancarboxylic acid","2-hydroxybutanoic acid","2-hydroxybutyrate/2-hydroxyisobutyrate","2-hydroxyphenylacetate","2-ketoisocaproic acid","2-Methylbutanoic Acid","2-Methylbutyroylcarnitine","2-Methylsuccinic Acid","2-Oxoglutarate","2-phenylglycine","2-phenylpropionate","2,2-dimethyladipic acid","2,2-Dimethylsuccinic acid","20.13_butanoic acid","25.95_4-methylpentanoic acid","26.93_hexanoic acid","3- 3-hydroxyphenyl -3-hydroxypropanoic acid","3-(3,4-dihydroxyphenyl)propanoic acid","3-(4-hydroxyphenyl)lactate","3-hydroxyisovaleric acid","3-hydroxyphenylacetate","3-Methyl-2-oxopentanoic acid","3-methyladipate/pimelate","3-methyladipic acid","3-methylglutarate/2-methylglutarate","3-Phenyllactate","3-Phenylpropionate","3,4-dihydroxybenzoate","30.08_Heptanoic acid","4-Aminobutyrate","4-aminohippuric acid","4-hydroxy-benzoate","4-hydroxycinnamate","4-Hydroxymandelate","4-hydroxyphenylacetic acid","4-hydroxyproline","4-Methylhexanoic acid","5-Aminolevulinate","5-dodecenoate","5-L-Glutamyl-L-alanine","5'-adenylic acid","7-dhca","7-KetoLCA","7Z, 10Z, 13Z, 16Z, 19Z-docosapentaenoic acid","8,11,14-eicosatrienoic acid","9-pentadecenoic acid","9-Tetradecenoic acid","9E-tetradecenoic acid","9Z,12Z-Linoleic acid","a-L-Rhamnose","AA","ACar 18:0","acetylalanine","Acetylglycine","aconitate [cis or trans]","adipate","Adipoyl-L-carnitine","Ala","alpha-Aminobutyric acid","alpha-linolenate","Alpha-n-phenylacetyl-l-glutamine","anhydroretinol","anserine","Asp","azelaic acid","b-D-Glucopyranosiduronic acid, (3a,5b)-24-[(carboxymethyl)amino]-24-oxocholan-3-yl","bDCA","Benzenebutanoic acid","Beta Hydroxypropionic acid","beta-Ala","beta-D-Fucose","beta-N-Acetylglucosamine","bHDCA","C12 carnitine","C3 carnitine","C5-DC carnitine","CA","caprate","carnitine","carnosine","CDCA","chenodeoxycholate/deoxycholate","Cinnamic acid","cis-5,8,11,14,17-Eicosapentaenoic acid","cis-9-Hexadecenoic acid.1","Citraconate","citraconate/glutaconate","Citramalate","citrate","citrate/isocitrate","citrulline","creatine","D-(-)-Fructose","D-(-)-Quinic acid","D-(+)-Maltose","D-Glucarate","D-gluconolactone","D-Glucose 6-phosphate","D-xylose","D-xylulose","DCA-3S","Decanedioic acid","Deoxycholic acid glycine conjugate","DHA","dimethylglycine","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","docosapentaenoate (n6 DPA; 22:5n6)","dodecanoate","erythronate","FA 18:1","FFA C11:0","FFA C14:0","FFA C9:0","fumarate","fumarate/maleate","galactonate","gamma-linolenate","GCA","GCDCA","GCDCA-3S","GDCA-3S","GLCA-3S","Gln","Glu","Glutarate","Gly","Gly-Leu","Gly-Pro","glyceraldehyde","glycerate","glycolate","glycoursodeoxycholate","Guanidineacetic Acid","HDCA","hippurate","His","homoserine","Homovanillic acid","hyodeoxycholate/ursodeoxycholate","I(-)","indole-3-lactate","isoLCA","Isovaleric acid","L-(-)-Phenylalanine.1","L-lactic acid","L-malic acid","L-serine","L-threonine","L-tyrosine","L-valine","LCA","LCA-3S","linoleylcarnitine","malonate","mandelate","Methylcysteine","methylmalonate (MMA)","N-Acetyaspartic acid","N-Acetyl-DL-tryptophan","N-Acetyl-L-glutamine","N-acetylhistidine","N-acetylneuraminate","N-acetylserine","N-Acetytyrosine","N-Phenylacetylphenylalanine","niacin","Norca","Nordca","Octanedioic acid","Octanoic acid","Oleylcarnitine","oxalate","Pentadecanoic acid","phenylpyruvate","Phthalate","Pipecolic acid","pyrrole-2-carboxylic acid","pyruvate","Ribulose","Ricinoleic acid","sarcosine","succinate","tartarate","taurochenodeoxycholate","taurocholate","taurodeoxycholate","Tridecanoic acid","UCA","Valeric acid"
"A11",195.1062,0.8443,165.087,32.3143,8.1718,242.1788,8.0594,50.0794,15.354,53.6337,3.9144,2116.4618,162378.7937,58116.167,11137.6826,17.2712,42.5241,62.8999,25.2276,74.2712,2.0465,15.5635,16.2679,1.2835,313.7895,4121.4313,0.0188,453.7312,81.1225,1.0691,353.2258,2.8793,31.1153,23857.309,27.4885,1242.8038,3.2172,0.5238,18.1785,5.2343,134.3591,338.4292,11.7172,5.1892,29.8623,12.0708,871.8305,106.6217,27.0332,512.6903,35.0578,6.5252,4.156,1.1976,19.1575,9.197,3.6818,412.4157,2.0492,17.064,5.7678,6.86,69.7135,39.0815,77.9176,4.3499,52.3786,19.6379,7831.7812,99.9143,150.2186,30.5875,195.2231,88.182,7.5457,93.5883,0.00163,3500.3538,54.9618,1175.9634,0.8877,30.3341,6.4974,1126.9934,27.6479,1.0459,298.9553,1.8557,580.9263,87.3503,114.9638,178.8292,5.4262,0.0217,0.1983,0.1153,15.1966,41.7642,103.8755,13.479,50.0288,902.2412,0.221,7.5887,686.4211,4.1785,85.6104,57.4754,88.4302,6.7374,1347.3056,17.1364,542.3779,3.0912,316.2892,12.6162,58.3772,6.9426,4480.9749,23.713,0.46978,11.5101,1.8893,43.2828,9.4493,2000.1764,1016.3639,843.847,541.5174,614.5749,5.9987,274.201,2.2619,25300.6373,7.1518,464.3321,16.7537,115.123,3.2592,10.7173,424.2174,5.9507,5.6285,0.00091,0.13405,0.4726,772.5227,1674.4677,763.3914,990.4371,130.7472,58.1173,325.3782,58.1454,109.9549,2.0025,4.5541,30.5258,0.6085,354.7361,29.2496,11.291,56.6364,1115.5754,4.0786,412.6165,5430.6007,806.1977,428.9699,874.5254,1124.8739,718.3996,502.0378,1396.7336,3699.277,0.2998,1.9112,11.772,0.705,4.2131,123.5441,99.922,9.9768,26.8189,9.993,50.9971,72.1495,25.9591,1.0407,501.7632,0.8891,0.1878,13.8721,33.9473,24.9398,100.9516,175.1758,28.1909,2.5047,341.5943,0.3229,3533.9643,31.2821,14.0344,17.1702,206.6566,0.2126,1.2391,0.679,0.1123,31.4203,4.8527,12699.5616
"A10",553.8689,19.6001,478.8189,131.3284,286.6101,1225.9421,65.6903,78.8712,7.7469,26.1586,3683.387,293.6775,224401.2647,113635.4817,5961.4799,3469.9595,7.2415,143.9119,6.0719,31.415,2.8861,197.0549,30.89,3.5146,478.0479,2454.1522,0.3089,349.9256,53.5603,7.1927,168.7684,32.3485,32.2349,30284.7937,641.2989,44.2916,60.7662,322.5735,472.8094,7.698,69.9769,380.1572,2.7595,15.6211,30.9099,137.1866,407.747,609.3334,8.5446,1307.1137,40.3903,57.2329,14.0765,3.9968,373.1554,11.4107,3.5325,1987.0654,3.6333,43.2695,6.1434,793.4227,246.6767,87.6249,322.8882,85.3309,29.4854,15.7967,5801.8294,1386.1831,815.5153,55.4998,283.9481,510.0915,56.6247,172.4188,0.5241,23990.7808,4008.0417,375.4444,0.1183,52.2128,10.0457,2505.7316,51.4665,0.0077,39.8076,0.2252,1461.747,12263.5383,100.2823,1643.6958,77.4612,9.0235,0.156,0.479,2598.7946,83.5887,382.0718,11.6157,2133.6939,500.9689,1.4302,53.6284,470.1004,1.1042,305.4347,24.6977,144.358,52.8707,3143.7705,151.03,226.1914,91.5215,121.8799,28.2998,87.8967,9.8786,8608.5854,296.3072,6.5683,5.0734,0.2716,505.2175,17.7123,4258.8477,4697.1173,3398.9294,10723.5488,834.911,52.772,1530.5031,32.3781,10853.0792,31.9535,274.7845,20.337,140.6646,5.1811,188.2207,51.6952,4.2798,4.9019,0.5953,0.13405,0.1472,1055.2302,2284.6403,711.4542,2692.5833,229.8907,48.2119,1612.1903,164.165,170.5175,1.0224,59.9949,14.6918,0.1282,4968.2342,169.1048,31.4127,674.9503,2264.5137,18.6173,5.2064,3208.6237,4890.9426,1103.7493,748.6495,2038.4784,2127.9769,7196.1116,11300.8476,71.6282,0.8695,23.3052,68.7783,2.6377,8.8164,58.7631,191.0591,6.0148,42.4124,108.4516,393.1523,134.0757,153.8498,1.2787,1126.964,13.2542,0.1485,24.214,67.1481,51.5751,92.7621,324.0388,81.174,11.7141,108.1266,1.0774,36172.6482,301.2137,108.2004,33.9944,83.6591,2.0425,5.2248,11.9882,0.0651,56.2507,462.1805,2600.2817
"A8",2743.1885,2.1468,109.2255,1404.6007,37.8605,21.1106,46.7205,36.8456,6.5056,27.1946,2609.8204,799.873,124689.6019,86274.4305,10987.6366,17.8627,50.0982,21.6423,26.7667,90.9403,3.4247,635.915,17.9352,3.5123,3392.472,4118.4383,0.151,190.7812,916.3529,1.0825,23.1319,2.3825,4.1053,21562.0942,113.5054,53.3691,7.2798,0.05238,258.4767,4.8814,50.0511,4356.9383,9.8611,7.2047,4.0365,39.1983,55.587,484.4443,3.8645,296.8722,75.1449,49.852,7.0023,4.1032,282.5161,69.4546,2.2445,2985.4037,1.5083,216.997,4.2114,2673.8518,1826.6646,165.466,373.6957,8.0334,31.4798,11.7755,6482.8991,1826.7828,338.9854,11.0986,387.0661,2855.0854,62.4899,96.9591,0.8878,29446.7344,5680.172,208.2641,7.4103,18.4058,33.3527,14849.0437,36.512,3.1389,64.3911,0.1752,319.0679,1905.9825,91.5679,1078.7169,356.9451,1.3495,0.1695,3.9215,1894.9283,25.1085,165.5137,31.6294,1568.301,900.1689,0.0974,16.3175,551.7803,0.0449,125.286,4.8376,227.1399,2.4493,12434.5351,50.4293,340.4188,12.7815,15108.9113,55.7549,13.8366,6.6862,8868.2953,174.4547,0.46978,3.9709,7.229,114.9708,16.9972,20870.6265,34364.4744,7520.781,877.6275,9749.2964,29.8384,139.5227,1.6268,12779.6978,2.1501,197.1014,9.9989,530.7194,29.7594,6.0567,39.9238,35.4989,27.9662,0.0091,0.13405,0.2152,17983.3991,6234.4928,343.7878,15925.1993,224.9976,550.5732,1235.7223,113.0958,62.3813,9.2937,5.4839,0.55508,0.6024,3430.7245,60.9871,3.7585,1420.1246,13343.2808,14.3205,127.1095,5708.8822,3777.1375,324.7848,156.3,12921.7036,5899.0945,8287.5397,11641.0841,624.6015,0.5775,3.3852,16.8625,2.2074,4.4845,406.2684,490.2563,5.9915,491.6565,112.2012,434.8439,1214.117,28.3776,8.7866,1596.8366,18.9861,0.1694,10.5633,169.2651,11.057,73.313,203.7925,288.9624,4.9613,349.0347,0.8864,32697.8026,165.1204,15.8726,37.8386,1765.2639,0.3411,1.3222,1.0149,0.0775,13.642,1667.2844,1152.2372
"A5",3102.9069,36.5129,3647.724,1185.5224,4249.8667,91.4878,80.7534,524.4081,9.6563,349.6889,1485.3543,28.9036,110622.6828,141521.3771,3840.1001,4857.0623,14.1463,13.2557,25.2938,45.0298,1.2168,4080.5692,0.06769,2.4684,702.6595,2411.1229,0.4196,328.4122,103.3681,1.703,35.3474,0.23825,4.6473,14736.1298,3.8004,20.8381,19.7872,117.7771,4122.7833,2.9398,0.20981,571.831,7.4659,8.2117,4.3154,1188.5003,84.6033,657.0478,7.1074,13665.7882,26.8804,25.559,11.7283,2.3193,3880.795,39.7412,0.5894,1791.7465,4.1639,323.3911,3.8419,9816.8501,656.1071,213.6973,581.9615,149.5782,32.4411,26.7551,13132.6374,1719.1321,917.929,171.5203,231.0626,1348.4131,22.1475,20.8621,1.2431,28631.436,8311.0221,2719.3549,41.2006,218.8863,45.2488,9097.5831,16.9614,0.6429,119.2531,0.0936,2772.0764,1163.9906,92.5617,2998.4776,121.3809,14.2032,0.2766,1.6069,3408.2428,29.8516,266.5413,30.4502,1873.7585,1172.1943,0.00282,51.6181,804.6875,2.3397,1270.3112,32.9973,67.5887,24.694,18386.3837,245.8802,99.2502,14.7453,324.6031,48.4324,12.8786,9.6364,14327.898,194.1849,0.46978,2.6149,6.1039,548.4596,12.474,30247.5354,23317.4113,7305.1511,4771.0964,4236.1244,41.6797,75.9151,11.0065,11781.1152,13.1156,208.7771,18.7989,1222.7716,47.9828,13.4835,224.0465,54.9221,29.6481,5.9009,8.4831,5.9831,19125.8776,13521.1985,372.9231,10222.5108,1194.0142,295.2751,1018.8414,31.9172,77.709,6.9464,18.9322,51.9086,0.2435,4882.1178,141.2272,148.6321,2228.788,15786.6351,197.5046,17.2739,2914.5749,8642.807,10597.6005,2091.5405,10662.6836,6809.7158,14460.0646,25253.3577,167.8168,104.584,102.8244,16.7146,0.01708,15.8236,608.5615,36.9651,2.0992,181.803,88.8565,1716.032,413.5093,14.1181,3.8868,1346.3711,9.794,0.1536,23.7148,40.4233,142.4636,54.3754,481.8045,71.1067,3.3152,175.2072,0.3241,23915.561,210.5924,20.1072,130.4634,1288.3981,0.1841,4.049,4.4905,0.2909,34.5925,4901.9402,567.6047
"C14",392.0435,0.0361,101.0025,76.4357,22.1573,46.2802,5.2128,13.0723,0.03379,41.1218,1.7315,1416.1308,95619.4267,25478.9639,7866.3249,49.6998,43.4966,13.8466,8.4203,98.4407,1.3525,17.1521,19.4928,2.9636,1227.2215,4782.0478,0.0517,665.6145,353.3428,0.4865,40.7851,51.3795,124.0799,2490.9812,80.4225,121.4265,3.3584,0.05238,31.9753,1.8801,38.4294,1344.2883,51.2284,354.8633,122.3563,65.1858,96.9423,33.8094,11.2114,125.2519,76.751,12.1311,3.9655,1.2968,27.8333,10.4177,3.602,816.5519,0.2772,96.5522,13.1921,3.6233,0.75877,1.6396,3.6724,12.9501,16.0572,0.23209,339.0049,57.5078,20.6194,1.0541,208.3237,243.5192,120.7383,403.7568,0.1143,7997.1814,271.9937,28.1868,0.5625,0.0951,32.3133,2526.4906,145.507,2.1503,128.7111,1.9232,170.4067,212.0235,57.0601,115.5788,0.3052,0.0061,0.1298,0.00203,1.8899,10.83,113.7686,11.0205,3.2335,484.4961,0.2204,4.2187,109.2566,14.8828,99.9443,28.2322,120.4678,3.858,2194.6864,191.3765,43.6917,19.628,20.3999,0.46884,65.755,41.1184,3536.5569,17.8493,0.46978,45.0244,1.032,5.2167,21.3004,5502.9031,7464.8467,2029.5519,825.4873,2263.0203,0.5369,71.8265,0.01156,1647.2909,2.5002,126.864,13.4587,406.4631,16.0534,1.7724,3.0334,0.2163,0.5544,0.00091,0.13405,0.0357,1987.49,3887.7481,1044.8966,3168.8857,75.2078,119.1548,235.9758,9.1224,134.9305,0.4249,0.24992,11.2191,0.7203,425.0467,23.4467,6.0012,13.9917,3684.2821,4.7624,362.4571,5634.4412,1619.4334,390.2601,1575.3261,3094.7914,1922.2424,2005.6577,4491.9916,3378.8405,0.0869,0.055,10.0934,1.4167,2.9712,62.4112,29.2076,6.0088,47.5064,13.9074,20.5906,126.5647,54.5177,1.94,398.4906,2.6391,0.4676,88.5827,56.5339,0.1866,174.3409,550.7969,89.9269,13.8107,927.7254,0.5847,9913.8254,1.0909,3.5172,36.1877,107.8535,0.4871,0.831,0.76,0.0379,37.5232,1.6787,4345.1578
"C10",333.6872,0.052,233.3961,47.2405,0.23362,511.1303,8.169,15.0572,2.2321,18.3437,0.2253,961.4078,114203.4628,42713.4671,8392.3143,38.0238,25.3653,21.75,38.8269,68.4402,1.4075,41.9324,9.5385,0.8041,825.3837,3785.1506,0.0271,269.3676,321.4768,0.5896,184.3978,44.1056,126.9006,28918.5549,121.2125,182.8287,15.5957,3.1028,34.0427,1.6045,49.8323,817.9123,35.2675,23.8208,121.75,17.5197,449.8309,258.0751,7.1752,80.3384,18.5616,10.7565,5.3549,1.4699,50.4203,10.7383,2.2229,452.9702,0.3253,51.1349,13.9005,2.6132,0.75877,2.3376,6.0437,3.3228,3.2907,4.5219,700.7057,450.8745,11.5507,1.268,256.0573,111.348,57.3805,307.5867,0.00163,6834.2095,227.36,30.042,0.1888,0.258,29.1387,2267.6231,108.0973,0.6632,176.9481,2.3009,938.3327,596.3828,232.8092,449.598,0.8081,0.0296,0.00724,0.00203,2.6406,16.8985,104.4998,7.7244,2.4789,873.5406,0.9432,2.5834,69.0158,0.7974,249.5931,5.5513,120.0747,3.2927,2952.5113,16.3687,144.236,38.4045,128.3911,7.5573,60.1838,158.1779,7398.8038,93.0147,0.46978,33.2934,0.8435,11.385,10.5222,3458.7644,5095.8068,1340.0215,1016.723,1425.4693,1.2873,75.333,0.3098,2309.1863,1.7421,126.4992,14.835,313.5404,11.3401,10.0335,3.0768,0.28,0.2872,0.00091,0.13405,0.0214,1022.0529,3891.9248,795.8488,1798.7612,87.0694,78.2418,1546.4386,16.1213,157.3568,0.1664,0.24992,53.4639,0.6477,428.084,66.052,7.3887,12.1956,2265.831,7.1131,358.6558,4630.6988,1316.5644,1315.2216,1642.2887,2555.4187,1439.574,1314.7943,2602.8354,1967.5548,0.1757,0.1012,6.0906,0.5341,8.1836,340.558,210.2562,9.1443,21.6553,15.3904,216.3129,69.981,61.912,0.5422,670.8349,5.9271,0.5583,74.71,54.3484,0.339,177.6208,197.1949,80.619,10.5245,668.5569,0.8167,7055.1763,86.6208,4.8945,26.5104,537.3479,0.533,1.562,0.6872,0.0404,16.2574,0.09759,6666.7968
"A4",1645.936,3.0186,142.7175,1151.2597,233.6209,27.6295,185.1407,24.5751,0.3379,20.0144,666.7805,3.8086,133918.0049,82814.5952,5018.9447,916.6173,6.2466,14.02,7.966,167.0978,3.5603,606.6317,29.1443,2.9231,2587.3513,1501.3025,1.7367,140.4874,463.0615,4.4426,94.8369,12.3695,9.6597,37617.8807,336.8273,85.3457,94.9926,601.7788,36.4229,5.8377,3.7889,2464.9118,24.755,7.9965,8.7114,64.0684,229.5902,105.0695,4.7241,783.2551,29.708,38.559,8.3395,5.8367,158.2068,53.1694,1.0368,2118.0063,0.9116,211.1783,8.4462,846.2715,41.5699,7.7582,56.2844,2.8942,2.6765,13.7917,12911.8383,6488.2417,261.1388,13.4199,615.7197,1531.3621,164.1567,148.9276,2.7717,30232.6827,3685.3883,747.3701,62.1849,9.6175,9.3775,15680.4189,88.4048,0.0634,2.0667,0.4172,744.1799,3126.0015,396.9817,6895.7796,23.1692,5.0607,1.9536,8.1009,2964.7851,16.4599,461.2383,5.1141,2848.2679,12.07667,0.3987,15.1119,542.9166,0.8433,163.5852,44.8304,366.9762,16.1575,16327.4243,967.5247,425.5072,42.8006,171.1069,37.129,107.7095,12.8196,31831.9597,1292.2691,26.4847,10.9169,0.3148,62.9753,66.2774,24487.5474,16947.3359,7205.4568,4688.2339,6673.6945,6.7817,36.5461,26.6184,27684.9179,1.0697,68.7385,18.9436,583.725,25.8889,42.9612,43.7404,100.303,27.9155,4.75,0.13405,0.1504,13971.1788,7353.8603,226.5123,13805.5144,99.2093,296.6449,2270.2095,265.625,292.3526,1.7908,149.3469,8.8394,22.9849,1806.6158,280.1094,37.0924,306.3064,14299.3188,8.709,2.8641,2211.5308,8405.4347,2720.3441,1260.0438,10261.4794,7757.4889,7627.5708,18738.0034,8.3333,11.6529,9.0072,142.6523,2.2709,22.3757,1653.7235,673.7922,15.547,216.9703,22.82,1548.6224,513.8192,161.7537,1.3339,1776.7679,17.2347,0.3432,41.9834,97.2287,9.8135,385.1113,215.0503,209.0528,8.2932,46.3935,0.5387,27540.8805,1342.0627,45.0748,346.3798,5033.6157,1.5858,15.2255,136.7898,0.0683,6.7466,169.4786,2267.4342
"C4",328.7238,0.0111,121.692,39.3399,0.23362,71.9055,5.8193,44.8613,11.244,200.1509,4.9764,434.4986,77520.7236,68990.3104,6805.2644,145.6666,18.9109,18.7854,15.0181,135.9547,0.9117,38.9457,50.3119,0.7695,149.4448,3248.0538,0.00108,143.1419,24.1811,0.0867,15.3102,25.4064,87.3674,31248.3263,30.5452,252.6008,7.3382,22.4337,75.8537,3.9207,81.2897,154.9123,18.1497,12.0226,82.3026,9.1283,35.4923,689.4831,6.789,416.9505,9.767,5.4868,6.6457,1.1742,68.2674,14.7038,1.9767,321.6248,1.6856,39.3326,5.2051,12.4964,16.8635,112.5953,220.4739,8.0685,312.1024,10.6813,1377.1339,404.2553,231.3973,0.5271,38.3605,109.064,9.3415,235.7512,0.00163,6944.1323,243.9228,48.2221,0.3595,0.3388,9.6227,1973.7547,80.467,2.0275,451.0849,0.2192,116.3495,935.9683,37.6221,2593.4706,41.9378,0.0048,0.0724,0.00203,45.7623,63.2629,48.5897,3.3704,84.3196,1305.3708,0.00282,27.6562,740.4142,0.1451,37.4849,1.1107,70.0868,8.0685,2274.0057,31.496,119.1854,17.1012,65.023,10.3461,14.6783,9.6143,3882.9689,35.9829,0.46978,23.0361,2.4316,84.3422,14.694,3788.7865,4810.9633,1459.2605,871.4897,533.8108,20.4809,241.8188,0.1156,4442.5843,4.1629,430.9589,14.5484,213.1013,6.9724,1.4692,23.9521,0.8924,0.6963,0.00091,0.13405,0.0108,1399.6273,2320.7767,316.786,1709.065,243.1244,55.0569,632.0467,49.8196,76.5703,0.5759,2.4992,52.6001,0.2586,567.578,91.4336,3.3844,162.4187,2158.2063,2.5805,1397.2542,3449.2882,2000.8793,178.1423,1519.0866,2042.8389,1311.7551,1682.4385,2979.8953,4822.9867,0.2514,0.0191,7.6275,0.5878,1.1931,2253.1992,45.2806,0.02531,19.6326,10.2161,60.2663,62.7933,3.5382,0.8615,516.6095,5.992,0.4171,27.4958,25.5579,0.0786,79.7333,414.6004,14.2974,3.5936,363.0164,0.4247,2323.1154,42.9476,111.2562,14.0245,2189.7221,0.2039,0.8292,0.6837,0.0397,34.7328,56.5267,6950.738
"C2",565.5848,0.1079,131.2349,53.5464,9.5952,222.5501,5.6069,80.129,1.0388,29.7,0.02253,548.051,75450.8168,28250.4248,2376.0441,4.9397,9.801,8.3509,5.0912,45.8071,1.0859,23.364,4.5105,0.3698,1080.8922,1448.5903,0.00108,53.7221,254.4237,0.328,19.0959,20.1036,82.4784,510.786,73.8391,67.879,6.0015,5.5788,79.0575,2.0414,17.8836,1291.5266,10.2422,9.6882,78.9221,27.745,45.3137,265.959,4.4569,59.5491,54.3551,8.4451,7.6426,0.9599,68.9306,4.26,3.4283,636.3735,0.1944,145.8102,9.5087,3.5278,7.5877,64.0332,51.5026,20.0433,1.5175,4.3588,583.7158,841.357,34.2557,0.9577,37.8463,378.5667,133.3434,521.1288,0.0428,8661.8371,248.1104,42.5721,0.221,0.7544,3.2948,2838.5601,47.9343,2.1474,46.7164,1.2842,338.5438,214.0613,156.5849,1413.8881,1.3214,0.0142,0.1052,0.00203,1.7272,6.7109,42.216,2.5907,5.3106,253.3813,0.00282,8.5383,93.8406,0.194,112.8481,10.7223,279.0791,6.7793,4489.2799,17.596,200.9037,12.3958,110.9836,10.0792,43.3932,9.8611,5976.233,104.4256,0.46978,7.5127,0.4492,35.4775,12.0223,5946.9138,11418.9105,2230.0496,2108.816,976.4657,2.3415,20.2643,0.35,3416.3709,1.9567,47.8128,9.3254,320.6388,11.8952,9.9671,10.4107,0.2786,0.7016,0.00091,0.13405,0.0226,3208.0228,4457.6212,132.6058,3935.5527,135.1116,54.5412,705.1433,72.0167,132.9325,0.4366,0.24992,9.3539,0.1448,669.5255,82.7552,5.2103,8.8206,4205.2693,6.6794,323.1389,1511.771,2267.9047,226.9429,1345.6105,3818.7237,2386.3193,1283.5935,3621.4771,1616.6417,0.189,0.2739,6.9181,0.3152,1.6453,138.9556,260.2794,0.2531,53.2403,14.3227,1259.414,216.1485,6.7044,0.599,565.2595,1.6199,0.0131,26.8598,44.1908,0.7934,230.6439,185.2783,91.3736,5.5167,233.3111,0.4543,9725.9998,95.9841,8.9654,28.7769,332.4355,0.5837,0.61,0.5038,0.00379,11.89,0.9759,1615.5103
"A20",489.247,0.0458,179.9912,47.9159,16.4909,308.9835,6.497,27.5906,3.6077,34.2938,0.02253,970.8705,154683.693,59955.9584,11235.0261,31.5497,64.7555,56.6848,17.8967,78.2945,0.8791,24.0773,44.563,1.4232,804.3197,4464.5188,0.0108,286.01,265.5009,0.5481,756.8626,56.7595,99.7379,28420.6339,276.4155,242.4857,5.0207,18.5541,66.0728,1.4479,104.0255,772.9455,25.4497,25.0842,96.746,21.3904,2312.3326,107.9157,12.7195,446.8555,20.9216,9.5218,6.3246,1.294,32.7299,14.5281,4.3182,1362.9292,0.8816,93.0233,12.1676,8.076,0.75877,7.1822,13.6727,7.4729,13.1594,8.4336,1628.8329,647.8681,78.6416,0.6516,1134.2272,339.543,62.0437,115.4131,0.00163,11509.0785,294.4197,170.7087,0.2572,0.1289,6.3309,2892.918,54.425,1.2923,119.942,1.8144,187.3304,642.206,949.316,1348.4111,3.3271,0.0102,0.1408,0.0203,2.6405,41.2057,64.6784,4.3209,5.2828,663.2428,3.9122,4.5671,157.2713,0.8717,197.2864,17.0276,191.0554,4.4727,4114.5659,197.8775,149.0537,41.3466,141.2984,12.2929,54.3837,85.7222,17932.305,242.5467,4.6978,23.28,1.2709,16.6626,16.8521,6084.6774,7864.0651,2258.3362,1131.7708,2251.4642,2.3855,136.558,0.01156,7959.2117,5.1376,221.3665,14.4427,276.7695,9.9034,35.7923,21.3372,0.7181,0.927,0.00091,0.13405,0.1677,1308.2062,4802.4968,733.4377,3952.8206,107.5772,123.9619,1818.6861,33.3277,203.9707,1.7983,3.3221,42.8714,0.7242,566.5283,122.8015,11.5361,15.0571,4002.9208,7.563,361.647,5439.3738,2182.5507,469.2819,2387.0929,4097.222,2586.4889,2294.1955,4901.9525,1911.131,3.2696,0.0148,9.6287,1.4196,9.193,439.1059,482.6788,30.6669,27.9976,25.6939,846.7882,196.7247,223.7845,1.3156,982.763,3.8118,0.7917,35.3534,46.8342,0.043,129.0658,639.8782,70.0229,9.8543,430.4759,0.369,7316.2247,225.1829,8.7125,13.7473,667.0051,0.4319,1.109,0.7665,0.0758,44.792,0.09759,8512.3976
