"sample_id","(+/-)-Tryptophan","(2-aminoethoxy)[2-hydroxy-3-(octadecanoyloxy)propoxy]phosphinic acid","(R)-Butyrylcarnitine","(Z)-6-Octadecenoic acid","[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate","1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1)","1-(1Z-Octadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine","1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphocholine","1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine","1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine","1-linolenoyl-GPC (18:3)","1-methyladenosine","1-myristoyl-GPC (14:0)","1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine","1-Oleoyl-2-myristoyl-sn-glycero-3-phosphocholine","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","1-pentadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-myo-inositol)","1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)","1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine","1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine","1,2-Dioleoyl-rac-glycerol","1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","1,3-Diphenylguanidine","1,7-Dimethylxanthine","1.alpha.-Methyl-5.alpha.-androstan-3.alpha.,17.beta.-diol glucuronide","13Z-Docosenamide","1H-Indole-3-carboxaldehyde","2-Furanpropanoic acid, 3-carboxy-4-methyl-5-propyl-","2-Hydroxybenzyl alcohol","2-hydroxybutanoic acid","2-Hydroxycinnamic acid","2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine","2,3-Dibromophenol","2,3-Dihydroxybenzoate","20-HETE","3-Hydroxy-2-naphthoic acid","3-Hydroxyoctadecanoic acid","3-indoxyl sulfate","3,4-Dihydro-2H-1-benzopyran-2-one","3,4-Dihydroxybenzeneacetic acid","4-Acetylbutyrate","4-aminovaleric acid betaine","4-Hydroxy-L-proline","4-hydroxycinnamate","4'-Fluoro-4-aminodiphenyl","5-Oxo-L-Proline","AA","ACETYL-CARNITINE","acetylcholine","ADMA","Ala","alpha-D-Glucose","alpha-glycerophosphocholine","Alpha-n-phenylacetyl-l-glutamine","Androstan 3 beta ol 17 one sulfate","anhydroretinol","Arg","atenolol","Azoxystrobin","behenoyl sphingomyelin (d18:1/22:0)","Benzenesulfonic acid","Benzyl alcohol","Beta Homolysine","Beta Hydroxypropionic acid","beta-Pseudouridine","betaine","bilirubin","biliverdin","biocytin","Brefeldin A","C10 carnitine","C12 carnitine","C16:0 SM","C3 carnitine","C34:2 PE","C8 carnitine","CA","caffeine","carnitine","catechol","cetirizine","choline","Coumarin","creatine","creatinine","cystine","D-Galactose","D-xylose","Decylbenzenesulfonic acid","Dehydroisoandrosterone","Diethyl phthalate","Dimethylaniline","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","dodecanedioate","GCA","Gln","Glu","Glu-Gln","glycerate","Glycochenodeoxycholate","Glycochenodeoxycholic acid","glycoursodeoxycholate","HDCA","hippurate","His","homoarginine","Hydroxychloroquine","Hydroxycoumarin","Hydroxyhippuric acid","Hydroxyoctadecanoic acid","Hydroxypalmitic acid","hypoxanthine","Karanjin","L-(-)-Phenylalanine.1","L-Homoarginine","L-lactic acid","L-serine","L-threonine","L-Thyroxine","L-tyrosine","Lenticin","LPC 18:0 sn-2","Mevalonic acid 5-pyrophosphate","myristyl sulfate","N-Acetyl-D-galactosamine 4-sulfate","N-Acetyl-L-glutamine","N-Oleoyl Glycine","N-Oleoyl-D-erythro-sphingosylphosphorylcholine","N8-Acetylspermidine","o-Hydroxybenzoate","Oleoyl carnitine","Oleyloxyethylphosphorylcholine","oxypurinol","Palmitic acid","Palmitoyl glycero 3 phosphocholine","Palmitoylglycerol","Pantothenic acid","PE 36:4","PE 40:6","Pheniramine","Phlorobenzophenone","phytanate","PI 34:2","Pipecolic acid","Piperin","Pro-Gly","Pro-leu","Pro-Trp","proline-betaine","spermidine","spermine","taurine","trigonelline","urate"
"SA001",0.018287197,3.543641713,0.062197232,6.263484799,0.123896698,0.326557093,0.208910035,0.364965398,0.760597145,0.100605536,0.923875433,0.010527682,0.257179931,0.028416955,0.359688581,45.787197232,0.109429066,0.341396971,0.100865052,0.069515571,1.71366782,0.095847751,0.09550173,0.018771626,0.267041522,0.01384083,0.153287197,0.120518688,0.031029412,0.026721453,2.079110821,1.327231121,0.378881988,0.013814879,0.050873702,2.194616977,0.177944862,1.708619375,6.31034107,0.369292797,2.618502779,0.304456794,10.384657295,0.12040972,0.114532872,0.258799172,0.147324834,0.133477509,1.165958374,1.14416476,1.657439446,0.009681813,0.081306228,0.067342269,11.779448622,0.1816609,0.733790999,10.49471505,0.021695502,0.185813149,0.001761246,0.070467128,0.032275087,5.449493298,2.365696851,0.016877163,6.161054811,3.263593767,0.054368512,0.142474048,0.096366782,9.758090879,0.072794118,0.128806228,0.02533737,3.544117647,0.252249135,0.191456903,0.052698962,0.005679066,0.170415225,6.775951557,1.468889615,0.001068339,0.466262976,0.004257785,0.028745675,1.4754277,0.015095156,0.030631488,0.466056445,0.048109404,4.417565653,0.044212803,0.009922145,0.067145329,0.007070934,0.012223183,0.53644982,0.094736842,0.104108096,0.060882353,0.274926447,0.378010243,0.038454833,0.011124567,0.017560554,0.909883404,0.02433391,3.173150267,0.117906574,0.009290657,0,0.132723112,0.367222404,0.369292797,0.556064073,0.096539792,0.002641869,1.40132941,0.080942907,17.489375613,0.968726163,2.457230032,0.047531873,0.011773356,0.038546713,0.223615917,0.416367004,1.888416694,1.049471505,0.031591696,0.027754168,0.327422145,0.00950692,0.292034434,0.021574394,0.055363322,0.344012204,2.992263267,8.823529412,0.144636678,0.280483818,0.320148197,0.24419745,0.029775087,0.007101211,0.186764706,2.1085322,0.065250865,0.082846021,0.025605536,0.131141869,0.102249135,3.507785467,0.0416609,0.072474048,0.006514706,0.17283737,0.05716263
"SA002",0.02043796,5.489867,0.05927007,6.727107,0.1146275,0.1805353,0.03475264,0.4140308,0.7906445,0.05943228,0.8337388,0.009545823,0.6553933,0.02505272,3.19708,50.81103,0.08329278,0.6256285,0.100811,0.07656934,1.282238,0.3342255,0.09213301,0.01287916,0.5662612,0.00659854,0.04152474,5.275027,0.04583131,0.02910787,0.03530398,0.2476002,0.9079689,0.0181914,0.143309,2.687795,0.7031845,6.995277,10.19656,0.5779369,0.9360049,0.4382142,4.703642,0.2082889,0.02328467,1.146732,0.2899589,0.1695864,1.555691,2.363249,1.774534,0.02184976,0.04910787,0.1406217,38.86942,0.1413625,1.468536,1.724821,0.03283861,0.1336577,0.002077859,0.1746148,0.03325223,28.85875,4.066738,0.00631468,24.01341,4.002743,0.04540957,0.3593674,0.06640714,12.76855,0.03016221,0.1958637,0.08450933,2.980535,0.1851582,0.3716288,0.06635036,0.3962693,0.1780211,4.966748,0.8707908,0,0.5018654,0.005672344,0.0363017,0.9420996,0.01695053,0.05641525,0.8771903,0.02687795,3.463355,0.03593674,0.00919708,0.04567721,0.006119221,0.008126521,0.8240134,0.559805,4.13378,0.05325223,1.303977,0.5639189,0.05599573,0.1415247,0.1849959,19.83849,0.01525547,0.7613896,0.09294404,0.0102352,0.0006381995,0.193052,4.967241,0.5779369,0.7028798,0.03181671,0.001933496,2.183453,0.04987024,40.78927,1.308091,5.765656,0.04696023,0.01676399,0.02429035,0.163017,1.090964,2.002133,1.701966,0.02129765,0.05997257,0.2420925,0.01356042,0.1458936,0.02460665,0.05208435,0.5448728,3.210422,8.483374,0.1242498,0.2559805,1.171263,0.4465945,0.03304136,0.01452555,0.1799676,1.602925,0.04793998,0.01159773,0.01934307,0.1406326,0.132279,0.1311436,0.03919708,0.1569343,0.003635036,0.04821573,0.02734793
"SA003",0.01108108,5.813984,0.0526332,10.53391,0.1453496,0.2013127,0.02394595,0.5333591,1.205956,0.09196911,0.9513514,0.01049421,0.6993822,0.01937452,3.399228,39.10425,0.1128958,0.5472911,0.1218533,0.0187722,2.097297,0.1688031,0.06435521,0.01172973,0.4762934,0.005974517,0,0.6330841,0.08471042,0.02209266,0.04090253,0.04216188,0.3123442,0.01345946,0.07268726,2.5305,0.4492982,3.372688,8.63702,0.6454152,2.131707,0.3469763,3.422537,0.1606979,0.02857143,0.614981,0.1908697,0.144556,0.9338843,3.282172,1.935907,0.03044733,0.05415444,0.1008264,14.92851,0.1704247,0.1250558,4.111242,0.02769884,0.2021622,0.001565251,0.1378378,0.03206178,9.017447,0.1144563,0.006728958,9.165683,4.377542,0.03569884,0.2039382,0.07257143,12.56723,0.0209112,0.4264865,0.1057915,2.544402,0.1199228,0.325856,0.1430116,0.004943629,0.0008316602,4.517375,0.2931917,0.02383784,0.4712741,0.004002317,0.02259459,0.8999082,0.01510425,0.03032432,0.6022563,0.04134855,11.55057,0.01477992,0.008223938,0.03293436,0.005097297,0.009567568,0.6253444,1.1931,0.3283484,0.06017761,0.1645022,0.5328611,0.04416896,0.02987645,0.03712741,2.454414,0.01648649,0.1554506,0.105251,0.009220077,0.0004779923,0.2300931,0.209104,0.6454152,0.858717,0.06898069,0.00187722,1.631903,0.03725097,23.11426,1.101141,3.17985,0.06427916,0.0113668,0.07969112,0.2910425,0.9923914,2.113341,1.645022,0.01603861,0.06948708,0.3287259,0.006379151,0.08821986,0.02132818,0.06312741,0.3974813,3.586514,10.15444,0.09567568,0.2317985,0.7138922,0.2872885,0.03008494,0.004803089,0.1143629,3.335957,0.03254826,0.002433977,0.0191583,0.106332,0.07196911,0.3359073,0.03840154,0.08486486,0.004650193,0.09003861,0.0214749
"SA004",0.01304731,2.78664,0.09005613,7.067766,0.07899582,0.0129591,0.0204571,0.4146752,1.026978,0.02617482,0.8748998,0.01228549,0.1924619,0.012085,0.4877306,33.72093,0.04738573,0.415159,0.04226945,0.02458701,0.9013633,0.125822,0.06748196,0.01400962,0.18749,0.007163593,0.04200481,0.7613746,0.02843625,0.03744186,0.2157157,0.1455947,0.3163473,0.01753809,0.09085806,2.134675,0.1803875,2.606787,5.252114,0.4982336,4.684723,0.3594904,6.247725,0.2147522,0.03113873,0.3349748,0.2092924,0.2622294,0.7943475,1.55979,1.797113,0.01749277,0.0427506,0.09071834,14.99839,0.09414595,4.198694,2.404453,0.02054531,0.3285485,0.002818765,0.07295108,0.0244186,7.682261,3.078899,0.009310345,6.444706,3.932127,0.05526063,0.2291901,0.03943865,9.231346,0.1013633,0.4871692,0.0840417,1.50842,0.2904571,0.3487849,0.1687249,0.010834,0.09029671,5.396953,0.8760304,0.0005801925,0.4991981,0.005279872,0.03384122,1.24826,0.01603047,0.03377706,0.3238411,0.02758805,8.993684,0.03043304,0.008444266,0.04346431,0.006102646,0.006291901,0.4465261,0.1440959,0.2314527,0.06673617,0.2206402,0.3806873,0.02836955,0.01858861,0.02264635,1.202227,0.01627105,1.758912,0.1449078,0.01401764,0.00071251,0.1691468,0.1201156,0.4982336,0.5822717,0.07583801,0.002219727,1.67648,0.05657578,16.68986,0.6851515,4.003854,0.02781287,0.0140016,0.2050521,0.1613472,1.100525,1.914142,1.727866,0.03173216,0.0481426,0.1315156,0.009550922,0.1466652,0.01862871,0.03720128,0.399636,2.966492,6.432237,0.1514034,0.1918424,0.4778932,0.3815437,0.03971933,0.005813953,0.1977546,1.157264,0.04740176,0.2457097,0.0163352,0.1713713,0.1273456,0.7182037,0.03983962,0.08203689,0.004506014,0.1038492,0.03068966
"SA005",0.01826923,5.112782,0.07018429,14.17293,0.2434586,0.0785016,0.04633013,0.5249199,1.023609,0.05450321,1.040064,0.01165064,0.3396635,0.0159375,0.6542468,25.67308,0.06411859,1.664662,0.07262019,0.1176282,1.143429,0.2943109,0.1092147,0.008461538,0.1674679,0.006748397,0.2955929,0.1974436,0.01522436,0.03540865,0.853985,0.1135338,0.9317293,0.01463141,0.1313301,2.615038,0.2303759,3.330827,22.67669,0.7251128,1.885714,0.3990977,12.63609,0.2252632,0.02542468,0.8556391,0.2491729,0.2308494,1.684211,3.929323,2.782051,0.01935338,0.04539263,0.1619549,24,0.09735577,0.7798496,5.389474,0.02199519,0.1520032,0.00160016,0.1134615,0.01621795,8.300752,1.06797,0.01846154,13.53835,4.693233,0.04241987,0.2602564,0.09527244,12.2406,0.1104167,0.1478365,0.06270833,1.982372,0.130609,0.8724812,0.06338141,0.005288462,0.2112179,5.318109,1.211429,0.0002044071,0.6435096,0.004509615,0.04346955,1.616541,0.01272436,0.04143429,0.8965414,0.05273684,10.79699,0.02423077,0.009326923,0.08389423,0.006387821,0.01010417,0.6778947,0.2506767,0.1669173,0.07005609,0.8003008,0.4201504,0.03947368,0.006403045,0.009238782,0.8592481,0.02207532,2.766917,0.1232372,0.01142628,0.0003014423,0.09905263,0.3690226,0.7251128,0.8699248,0.1512821,0.003953526,1.890226,0.1206731,46.21053,0.9231579,5.972932,0.05473684,0.01240385,0.105609,0.1974359,0.7240602,2.496241,1.956391,0.0246875,0.04639098,0.2262821,0.006501603,0.618797,0.01698718,0.05333333,0.5723308,4.583459,8.822115,0.1383814,1.185564,2.054135,0.6466165,0.03427885,0.008149038,0.1666667,2.902256,0.09310897,0.1976763,0.02508814,0.1543269,0.0766266,0.2422276,0.03315705,0.09615385,0.004469551,0.1336538,0.04677885
"SA006",0.01041146,4.4072,0.04166789,5.885785,0.06374922,0.2320353,0.06813373,0.4440852,0.605959,0.06561352,0.8464364,0.01086701,0.3204996,0.02076414,1.002204,42.11609,0.0862601,0.252514,0.06773696,0.05642175,1.215283,0.1660544,0.08104335,0.01504776,0.2875827,0.01294636,0.1975018,0.5014277,0.1019838,0.01842028,0.06949721,0.1422719,0.5555556,0.01396767,0.1007348,2.44941,0.4183737,3.257604,9.910615,0.4883923,1.952824,0.2636872,5.924271,0.1103786,0.1561352,0.6297952,0.1806331,0.1092579,0.7418994,1.25388,1.625276,0.01005462,0.0513299,0.07721912,15.81626,0.1065393,5.565487,0.7648665,0.01540779,0.2084497,0.001412197,0.05045555,0.02375459,5.528243,2.00869,0.003814107,8.295469,3.858473,0.03742101,0.2094783,0.05918442,11.73929,0.05848641,0.06305658,0.02527553,1.803821,0.09169728,0.233023,0.02484203,0.0173255,0.2849375,4.412932,1.312228,0,0.5828068,0.004124908,0.02077884,0.9389199,0.01499633,0.03082292,0.5342024,0.04311608,1.617629,0.0292579,0.007935342,0.04963262,0.005735489,0.008368846,0.4117939,0.09770329,0.7345748,0.04920647,0.5416511,0.2477964,0.02741155,0.0468773,0.05496694,3.196772,0.02157237,1.156176,0.1019104,0.01167524,0.0006747979,0.1157914,1.853507,0.4883923,0.5299814,0.1045555,0.003705364,1.495965,0.0806025,25.38796,0.6762259,3.55928,0.05776536,0.0116532,0.03341661,0.1484938,0.6913718,2.05959,1.644941,0.01872888,0.02780881,0.1317414,0.007428361,0.1440099,0.01870683,0.04931668,0.5688392,2.250776,8.06025,0.1540779,2.252017,0.4081937,0.2553693,0.02429096,0.005097722,0.221014,0.8198634,0.05825129,0.2311536,0.01859662,0.07310066,0.1102131,0.8839089,0.03324026,0.0770022,0.006130786,0.2575312,0.03277002
"SA007",0.011453782,5.409726849,0.04012605,9.677548301,0.227848101,0.188907563,0.039487395,0.78210084,1.014523651,0.08907563,1.195798319,0.015773109,0.373277311,0.037134454,1.134453782,41.226890756,0.104117647,2.111925383,0.075865546,0.074647059,2.011764706,0.301260504,0.128403361,0.018092437,0.262436975,0.021134454,0.210252101,1.001199201,0.036512605,0.034554622,0.053524317,0.090886076,0.604530313,0.017218487,0.163361345,2.215856096,0.542704863,3.08461026,20.493004664,0.413191206,1.542971352,0.409993338,11.838774151,0.151365756,0.163193277,0.886875416,0.218254497,0.237394958,1.126182545,2.487674883,2.131932773,0.029207195,0.111344538,0.133097935,18.294470353,0.131260504,2.551632245,0.488740839,0.016369748,0.238487395,0.002160504,0.054226891,0.025605042,11.790806129,0.27248501,0.006415966,9.289806795,6.720852765,0.059890756,0.193697479,0.105042017,10.806129247,0.047915966,0.121344538,0.018268908,2.652941176,0.165546218,1.095403065,0.049773109,0.010487395,0.294537815,5.164705882,0.919120586,0,0.505882353,0.004616807,0.027722689,1.832111925,0.031798319,0.037008403,0.694870087,0.074470353,2.00266489,0.032521008,0.009596639,0.058235294,0.006481513,0.013210084,0.645169887,0.092031979,0.269953364,0.068403361,0.687141905,0.345769487,0.029673551,0.021966387,0.026117647,1.849433711,0.02510084,2.595602931,0.080588235,0.01389916,0.001215966,0.1491006,0.835576282,0.413191206,0.426249167,0.218571429,0.004997479,2.00532978,0.092184874,38.90739507,0.798667555,4.358427715,0.091605596,0.014764706,0.174453782,0.264117647,0.568021319,2.266489007,2.73017988,0.033319328,0.067235177,0.162521008,0.008,0.182811459,0.024957983,0.077663866,0.44290473,3.047301799,11.773109244,0.134285714,5.46035976,2.114590273,0.52751499,0.053747899,0.007290756,0.171176471,3.424383744,0.066109244,0.047294118,0.022008403,0.201596639,0.085462185,2.126890756,0.033058824,0.091848739,0.006342017,0.450504202,0.048336134
"SA008",0.01220577,4.202017,0.0493297,3.989222,0.1085809,0.1489478,0.05253313,0.6894778,0.6292663,0.07036633,1.082619,0.01173032,0.2416212,0.02646142,0.3778644,38.23071,0.07210444,0.5043526,0.08963367,0.04922058,1.907249,0.1406859,0.09602494,0.01929072,0.1740452,0.03875292,0.09984412,0.4418958,0.2699143,0.01904131,0.2082355,0.4021003,0.7327622,0.01572097,0.07934528,2.343513,0.2670996,2.626779,18.32251,0.4582009,2.250933,0.3696283,8.492469,0.1665055,0.02493375,1.224679,0.2162498,0.1043648,1.191101,2.42642,1.201091,0.01011745,0.08924396,0.1349592,27.44231,0.1593141,4.354014,5.697112,0.01379579,0.1993765,0.001744349,0.04893998,0.0244661,2.939063,4.276634,0.00826968,13.19746,4.535028,0.03734217,0.1830865,0.09781761,12.0561,0.06264224,0.0817615,0.02066251,2.941543,0.1255651,0.2506563,0.03470772,0.00425643,0.0445908,4.182385,0.5376537,0,0.4381917,0.004282931,0.03890881,1.459168,0.02173811,0.04900234,0.7362167,0.03851043,5.235595,0.05231489,0.008682775,0.04623539,0.006242401,0.008090413,0.5523007,0.102128,0.1804615,0.0668901,0.5395882,0.4594445,0.02445765,0.006017147,0.008215121,0.8506287,0.02143414,3.28451,0.1236165,0.009306313,0.0009820733,0.07909355,0.436645,0.4582009,0.4138455,0.1069369,0.008261886,1.818433,0.1276695,39.09078,0.6379715,6.125466,0.05028327,0.01220577,0.00898675,0.281138,0.8256184,1.977339,1.999447,0.02710055,0.03334255,0.1965705,0.004812938,0.1412187,0.01534684,0.06159782,0.5212104,2.250933,9.282931,0.09212782,0.3891115,0.5413846,0.3226475,0.04010912,0.008534684,0.1241621,1.564184,0.04699143,0.04880748,0.02628995,0.1678878,0.1399065,0.250039,0.02151208,0.1193297,0.003395947,0.03533125,0.03867498
"SA009",0.008795853,3.718837,0.05616427,3.861958,0.1406971,0.1670654,0.07054226,0.8213716,0.6428901,0.0861244,1.158692,0.01025518,0.4307018,0.02531898,1.339713,35.65391,0.1066188,0.343144,0.06600478,0.1011164,2.147528,0.2184211,0.07831738,0.01507177,0.2596491,0.01660287,0.1207337,0.6782087,0.05944179,0.02064593,0.5896814,0.01267313,0.3321791,0.01960925,0.1203349,2.160665,0.3249077,1.359649,11.50046,0.523084,4.409049,0.2820868,2.856648,0.1030586,0.03158692,0.5259695,0.1956371,0.134689,0.7300323,1.493536,1.165869,0.006660896,0.09210526,0.09560249,11.54201,0.1243222,5.695983,2.256464,0.01614833,0.2516746,0.001882775,0.05178628,0.02454545,6.600877,0.07396122,0.0223764,5.409741,3.109418,0.04070973,0.08708134,0.04889155,11.59972,0.04872408,0.04378788,0.02905901,2.438596,0.1023923,0.2117959,0.02299841,0.01637959,0.05885167,3.337321,0.5277008,0.1134769,0.650638,0.006009569,0.03000797,1.151893,0.023126,0.02835726,0.4270545,1.114843,3.020545,0.02832536,0.00854067,0.07557416,0.006023923,0.008668262,0.7705448,0.1455448,0.1932133,0.05845295,0.2872807,0.3028624,0.0145891,0.03617225,0.03507974,2.377655,0.02849282,0.9055863,0.09593301,0.01192185,0.0004114833,0.144506,0.6282318,0.523084,0.6036473,0.09027113,0.004422648,1.313481,0.09202552,21.62973,0.4179363,5.165051,0.05530933,0.01653907,0.07655502,0.3184211,0.9638735,1.904432,1.216528,0.01742424,0.02536934,0.1908293,0.006640351,0.1335411,0.0100319,0.06670654,0.2641967,1.889428,9.712919,0.06345295,0.2496537,0.4257849,0.1734765,0.02444179,0.004368421,0.1104466,0.718144,0.0838118,0.02799043,0.02047049,0.09370016,0.1058214,0.4911483,0.02501595,0.07125997,0.005401116,0.1433812,0.02410686
"SA010",0.011075795,2.919127086,0.023374083,5.824133504,0.092695764,0.009258354,0.028337408,1.251018745,0.945827985,0.083700081,1.04400978,0.011866341,0.261369193,0.013031785,0.143439283,9.030154849,0.08190709,0.214377407,0.044604727,0.0199348,0.913610432,0.055020375,0.07792176,0.006269764,0.065615322,0.008174409,0.087856561,1.133761232,0.025802771,0.021092095,0.047894737,0.047008986,0.491655969,0.015436023,0.018573757,2.254172015,0.322849807,25.738125802,17.368421053,0.505905006,1.197175866,0.366495507,7.019255456,0.117792041,0.045207824,0.720795892,0.212323492,0.12991035,1.319640565,1.811296534,2.557457213,0.015545571,0.071597392,0.089345315,16.598202824,0.217522412,2.691912709,2.255455712,0.01209454,0.243846781,0.00192991,0.025199674,0.029486553,9.648267009,0.027483954,0.059722901,6.754813864,4.44801027,0.076968215,6.61206194,0.200244499,12.023106547,0.02405868,0.142624287,0.031255094,1.334963325,0.066462918,0.068741977,0.070114099,0.016740016,0.04600652,3.69600652,1.916559692,0,0.518989405,0.004486553,0.040749796,1.636713736,0.019176854,0.038598207,0.564569961,0.780359435,4.875481386,0.029046455,0.009250204,0.046666667,0.007143439,0.008370008,0.735815148,0.236585366,0.088112965,0.093643032,0.619383825,0.723620026,0.032682927,0.025721271,0.028410758,2.287548139,0.02002445,0.622464698,0.126405868,0.012453138,0,0.057445443,0.464313222,0.505905006,0.578947368,0.035590872,0.012339038,1.831835687,0.182151589,30.218228498,0.768164313,4.648267009,0.035712452,0.013585982,0.052518337,0.159739201,0.324390244,2.255455712,2.184852375,0.026471068,0.065353017,0.128524857,0.005935615,0.1063543,0.028622657,0.039731051,0.39127086,1.907573813,5.959250204,0.101222494,0.309756098,0.219640565,0.141463415,0.045444173,0.006785656,0.13194784,0.84801027,0.050766096,0.003629177,0.023822331,0.179380603,0.095517522,1.896495518,0.015468623,0.085085575,0.0049674,0.183781581,0.035696822
