"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1,5-Diaminopentane","1H-Indole-3-propanoic acid","2-(1H-indol-3-yl)acetic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","2,6-Diaminopimelic acid","20.13_butanoic acid","3-Hydroxyanthranilate","3-Phenyllactate","3-Phenylpropionate","39.01_1H-indole","4-(beta-Acetylaminoethyl)imidazole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","acetyltyrosine","agmatine","Ala","Arg","Asp","citrulline","D-alany-D-alanine","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","formylmethionine","Gln","Gly","His","histamine","homovanillate","hydrocinnamate (phenylpropionate)","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","leu-gly","N-Acetyl-L-glutamine","N-epsilon-acetyl-L-lysine","pipecolic acid","pyridoxamine","taurine","tryptamine","xanthurenate"
"9016-B",52904742.46,38216.41321,39454979.24,226820.999999998,NA,501,547876,920857691,1029829,NA,NA,2138237,NA,382251490,NA,87821.31912,1375,1055.109209,4176187.562,2443744.892,NA,575316.000000001,188052.0288,1170073.349,324102836,49283.78571,26717.0000000003,492355878.3,1267611.469,804505.61,1279158.578,2272512.409,6859.99999999997,205020.8596,8790.762503,31142160.22,5838.478298,14166575,211,418852080.1,NA,12334373,327632881.7,23602.72303,53047.81201,53815415.23,333891310.5,28659,949,20707.9761,222323.251,NA,10244.74498,31,3077973
"9016-C",17202785.61,8436.305321,59497384,4925,NA,NA,179704,2511377,1474732,NA,NA,NA,3165.302739,NA,NA,116471.5993,6757,11516.88894,11353559.07,505721.5727,NA,20990,84555.8199,241148.6751,4821483173,249224.0033,1555.00000000001,168653515.6,473119.4456,349846.9883,2262864.86,569405.794,307.000000000003,126953.4417,5151.904691,5236963.914,91378.77852,2679060,36,139120364.4,NA,NA,133266528.7,18925.51451,36257.32734,21622741.66,353396191.4,3944,1375,78848.94359,133069.1798,NA,284392.2602,162,3424820
"9016-D",26713644.6,200.4558151,1265607.416,27645.9999999998,5770793,7181,5026050,10940282,1919463,NA,NA,428903027,588.7601612,NA,6183958,105507.8381,2023,8526.306147,1946394.446,1607698.502,2062898,360206.999999997,48675.46267,913248.9574,631664984,149666.1109,18596,99355894.48,150746.5551,142564.4278,1252684.949,909331.8743,8355.99999999998,511550.6328,4826.068302,1322330.108,57071.91379,682480,5662,74835884.52,NA,NA,95424727.76,13104.01095,31286.23589,11860241.88,1374189419,240877,6757,102008.056,79516.66143,579,1370213.833,34565,122776
"9016-E",48508425.64,8313.478423,2900087.967,76133.0000000003,6639445,4416,887598,23118648,1529595,30932289,NA,741248788,104.697082,6514592,9456009,115650.5172,7675,14497.23266,2791555.526,3055233.139,NA,38520.0000000003,123448.4619,495559.12,207761096,62147.65776,30388.9999999999,97325536.72,280781.6706,180446.0835,3124078.76,622451.9834,9240.99999999998,158877.1593,63018.36641,8379180.48,270913.6393,7571484,14149,69382426.25,NA,272085,88668977.89,15798.65715,48541.01294,17005036.56,1233677895,70174,2023,83715.25666,88849.38951,127,1141283.012,12314,2044212
"9015-A",337615875.2,756467.8383,6733241.348,638964.000000001,NA,17161,1462543,55592996,1165488,42878499,1257732,176063524,43.59737155,8350195,NA,68333.95762,1628,5031.980497,379758.4208,248772.2275,NA,846776.000000003,291636.882,6402330.266,435388835,66358.01223,29880.9999999997,710570677.3,2473637.511,674555.409,605062.6051,10886976.7,13562,1997759.544,81894.14654,354642837.1,38391.00156,3818848,193,640343294.2,NA,4550148,915449158.3,228717.4366,406961.7743,170785685.3,566845721.6,7743,2217,21458.345,19679.29097,270,37880.49041,329,7643820
"9015-B",30895097.06,57629.66061,532054629.1,701172.999999993,1222084,44371,668842,163999570,1240879,25632393,5550263,306360080,1968.354307,11224643,2499249,92052.4016,2159,7828.732682,4163501.683,666094.6723,NA,953258.999999992,139526.3817,845500.8954,334416489,416718.0338,26153.0000000003,331299081.2,837028.7052,684980.5962,5596449.096,1798599.946,9442.99999999997,159370.7892,7443.328461,22971672.24,12653.54667,5596756,1790,217242006.6,NA,7935441,250470196.7,24391.06013,43648.98289,48904472.13,188488184.1,12017,1628,130186.1942,181869.4587,570,4516021.428,2006,6048998
"9015-C",54667047.35,116451.2815,24420729.65,3615.00000000001,NA,10,1178942,3093163,980673,NA,NA,NA,836.4170794,NA,NA,90693.09986,2224,9414.641357,1611486.183,542459.7816,NA,79319.9999999992,274098.5787,222284.0254,2178596623,664478.9283,14825.9999999999,520450550.1,1755765.655,878928.3487,8567632.961,2836927.528,1957,302257.1288,21379.36496,17604486,42100.48453,3574297,54,492608514.5,NA,NA,423126378.9,59702.3623,122658.8325,82271191.54,1067783578,7886,2159,107828.5143,219528.5508,13,2476700.261,18,1243014
"9015-D",18645155.51,NA,715264.7024,12066.0000000001,6711481,1994,2705678,27029690,3784987,82979920,NA,386898765,NA,7037364,13782382,59608.45378,3350,8953.909395,154733.3525,1650310.044,NA,50084.9999999998,566487.2088,632760.1356,583173101,29120.54539,38909.0000000002,1002277106,6660066.53,1081214.96,53217431.45,14111172.24,8960.00000000011,19226.19119,82885.11888,119415521.6,101835.7379,16402869,16627,998307184.6,NA,1477516,860179003.7,15032.24476,31773.91199,11484125.85,1088891589,207550,2224,7258.484246,14539.71413,3545,90386.80653,4709,386794
"9002-B",9485605.555,181.8114,70633056.29,329453.000000002,8451287,11626,1523030,1626504842,2209051,43780346,1531017,200738072,518.3559064,774981869,549506691,66095.21347,1806,614.0970159,2657465.67,1043929.145,NA,250114.000000001,72802.41009,36381.62164,274620192,202519.0415,38295.9999999998,162909073.2,288841.2568,328264.8346,1828222.907,939223.6697,9819.00000000009,41108.71804,4904.555931,3010846.105,59224.58001,109616689,593615,163617176.8,18221.75744,102148967,107419671.5,9853.597631,26172.6214,19521588.55,148434029.4,16209,1064,119039.08,16090.79244,535,6512.813156,9282,3516818
"9009-A",468041406.5,925262.3676,1374112.694,3125019.00000003,NA,709,4791605,113395982,2378021,NA,10320648,59878850,NA,123568945,NA,63795.59418,3404,9570.955213,1617134.649,180302.9227,10916164,587090.000000006,361176.4479,7993817.435,1008278303,29717.32489,308652.000000004,979697440.8,4023715.846,885430.8342,2301734.546,10820128.34,30657.0000000001,2103719.327,79323.68894,645757810.6,6228.144644,81544344,NA,952086453.3,NA,4534148,1070329070,343926.6006,517439.4782,208972290.8,880146758.1,25814,12883,11111.20895,8501.852539,484,43390.65083,23421,10801693
