"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1H-Indole-3-propanoic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","3-Hydroxyanthranilate","3-Phenyllactate","39.01_1H-indole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","Ala","Arg","Asp","citrulline","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","Gln","Gly","His","histamine","homovanillate","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","N-epsilon-acetyl-L-lysine","pipecolic acid","taurine","xanthurenate"
"9016-B_S",55928496,49197,5000,NA,325298,3319429,1873978,NA,149,983810,45975,11919,100292,31475,165496,1905789,14894566,99761,125236130,1378847,116976,24895768,4374181,1367741,25763,102668797,749,2019993,70687543,352,1198828,88175483,21646,96094,24730030,143544013,4757,24688,236100,NA
"9016-C_S",36967535,60295,4370,NA,319638,3584568,3103118,32581,85,669172,49270,10118,97554,52465,143480,2000181,14816966,68177,157417040,1641306,150737,34066128,4514897,1516872,25719,125657841,269,2262397,94266185,232,885098,104416739,27440,114622,30969335,181564587,5824,19641,242953,92070
"9016-D_S",46320006,49519,19608,193134,352809,4168225,2729279,58854,210,1187560,43585,10202,77115,45655,130799,1872200,14781224,85393,123462127,1293005,133258,21934180,3485077,1140559,21972,88869923,3043,2617291,67847846,472,1475242,89071822,19572,87377,25833291,132391784,4566,19553,237963,335941
"9016-E_S",40775848,44476,4496157,1083387,318441,4302404,2504199,823101,124,1311008,45654,9343,81818,66169,103540,1586842,10990656,91283,112460151,947689,120652,23449509,2497529,992330,20652,90029869,528,2079919,62548079,2428,1933968,91147610,21228,86544,17960773,148570869,6522,38308,252745,314875
"9015-A_S",65286537,50215,641326,NA,386507,5688749,2314115,683832,256,849426,47966,5735,42553,55176,130351,1601964,17349616,51909,125026884,903258,116394,13886010,2175715,943913,10563,91083954,386,1881589,70352208,277,1692804,86208558,17977,61068,21275572,134663080,5021,19465,242661,111586
"9015-B_S",61262885,58166,550062,697670,405908,4858085,2645624,1043393,228,701734,47912,6185,38133,87598,131320,1413300,16912572,49416,135957751,974253,115630,17847747,2315305,1085568,11382,93769702,674,1791358,76957949,552,1659699,86910198,21153,80626,20499160,146175391,5701,28825,201417,NA
"9015-C_S",106341147,164123,291980,NA,299388,5388952,2401253,1351163,974,631449,98258,18399,95765,67819,283379,3451750,14705580,93349,301035972,1992356,294756,62688041,5915775,3406983,29367,274527692,380,1786647,188150961,490,1567002,154764130,43645,129930,49321343,273017813,11030,300779,524506,167893
"9015-D_S",56589528,62998,566820,1382152,296137,5086695,2353254,5138032,341,690958,51218,6486,75883,47162,100285,1469668,14390843,45406,131208270,793093,109650,10492018,1972620,911616,8669,104750412,601,1142209,73867851,319,2006346,78629597,17630,65191,14443084,126890872,5405,31726,248031,210661
"9002-B_S",64135559,61462,5789,310921,390086,6397891,2494922,4658311,156,1938439,61841,14132,145618,54980,152087,1958808,15002047,116931,166198100,1017146,163284,46461895,3053119,1443155,22171,160296165,54,3091921,96729054,347,4689333,104181760,27069,65101,20339023,153516265,5506,256501,298414,222444
"9009-A_S",89854180,50630,4675,NA,753231,5733397,2530719,NA,157,1604204,41776,11782,214962,62640,157472,1573576,9657617,83245,184351661,1118678,161420,22508223,3240833,1299911,12518,118671088,1452,3354912,103271182,438,2246419,104760016,17828,63799,22381893,167619802,6656,18250,248005,92901
"9009-B_S",101067420,53508,128336,NA,629602,6440522,2267148,NA,101,1659910,36775,9899,78957,86349,191763,1340999,9913514,77761,161747184,1059577,170305,21754869,4289076,1304577,12604,109982219,8451,3838692,101911948,354,2393168,103078838,18845,80843,25695821,172633049,5837,22011,262928,39211
"9009-C_S",62328517,61075,162864,NA,870506,6733070,2903771,NA,246,963668,41658,10072,69239,82672,147894,1211589,9336258,36072,199699618,1048135,183396,22731971,4374520,1344717,13889,119322168,1588,4392529,127982313,634,2057113,104276778,20801,89358,28357806,213367394,5771,19990,251483,200178
"9009-D_S",95088109,52718,158196,87145,847987,6051241,2282316,NA,386,1732623,47601,12900,70449,114232,186663,1374804,9733373,72523,154783389,1016059,165061,21725396,3456123,1213991,12838,110036412,647,4567432,84850898,1113,2633461,94434671,17649,81427,28882166,169645599,6315,23736,254052,220809
"9009-E_S",55201325,42857,732622,1636391,527846,6439418,1906348,989998,171,845048,48829,12459,85615,97752,118297,1258943,8828486,71257,119079653,688905,113205,20457838,2364043,1067036,11319,90688694,216,3277086,64957727,1543,2484500,68693632,17404,59764,18932731,134229304,5245,21120,228588,140019
"9008-A_S",53705811,47691,131046,NA,224048,6800073,3582897,5450840,267,573764,64117,10957,38653,28905,110500,1297589,8290630,60698,131715902,545090,118956,23543487,2432949,1114817,12607,79905382,NA,2333222,81358455,223,1995306,81627507,16820,48971,17605327,122119112,4992,60121,234169,121965
"9015-E_S",53486814,52490,408897,1152125,198645,3313082,1949156,830211,251,436637,52232,7380,55551,46291,97854,1148309,11461128,39403,106486513,646672,90349,9137697,1781235,866636,8455,91882719,63,1000160,64965850,202,1543663,65228937,14830,55911,12562442,108906532,4782,23321,270720,171172
"9014-A_S",69020336,63654,10580,NA,NA,3971979,3138200,6786342,102,1233175,45441,21150,107953,51105,163242,2217463,16804148,133215,125166408,914090,139978,33117811,2578330,1491255,21203,111896791,209,1487938,62527629,1183,2360339,92717067,24081,82850,20642392,116999727,9624,44559,450255,NA
"9003-E_S",75055597,43609,1730437,2931017,387021,3131097,2314511,1757323,79,1113597,63413,8809,90714,60882,154363,1738193,10497245,79950,120660554,805238,112539,22691270,4665084,1147100,15694,89698591,NA,1436374,77200007,514,1872516,81203900,15842,84744,17781968,128315774,4568,22444,269308,104157
"9014-B_S",72424684,60574,4515,NA,181395,4424068,3511591,10353803,353,1091471,60836,20562,117056,48341,160542,1932020,19759676,135662,117803607,819015,135172,32883979,2824102,1442136,23347,102850692,127,1676810,73886395,5031,2830235,100598095,26266,82123,20708373,118995125,12522,57006,586725,NA
