"sample_id",".epsilon.-Caprolactam","(+)-.alpha.-Tocopherol","(+/-)-Tryptophan","(2S)-2-hydroxypentanedioic acid","(N(1) + N(8))-acetylspermidine","(S)-3-Hydroxybutyric acid","1-monoheptadecanoyl glyceride NIST","1-monoolein","1-monopalmitin","1-monostearin","1,2-anhydro-myo-inositol NIST","1,3-Dihydroxyacetone","1,3-propanediol","1,6-ANHYDRO-B-GLUCOSE","2-(1H-indol-3-yl)acetic acid","2-deoxypentitol NIST","2-deoxytetronic acid","2-deoxytetronic acid NIST","2-hydroxybutanoic acid","2-Hydroxycaproic acid","2-Hydroxypentanoate","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","2-ketoisocaproic acid","2-monoolein","2-monopalmitin","2-Oxoglutarate","2-Phenylethylamine","2-picolinic acid","2-pyrrolidinone","2,3-butanediol","2,3-dihydroxybutanoic acid NIST","28.55_Phenol","29.90_1-phenylethanone","3-Aminoisobutanoic acid","3-hydroxy-3-methyl-Glutaric acid","3-hydroxypropionic acid","3-Phenyllactate","3,4-Dihydroxybenzeneacetic acid","4-aminobutyric acid","4-hydroxy-benzoate","4-Hydroxymandelate","4-hydroxyphenylacetic acid","4-Imidazoleacrylic acid","4-pyridoxate","5-alpha-cholestanol","5-Aminopentanoate","5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID","5,6-dihydrouracil","5'-adenylic acid","6-hydroxynicotinate","7-methylguanine","9Z,12Z-Linoleic acid","AA","acetyl-galactosamine","aconitate [cis or trans]","adenine","adenosine","adipate","Ala","ala-ala","allantoate","alloxanoic acid NIST","alpha-D-Glucose","alpha-glycerophosphate","aminomalonate","arabitol/xylitol","arabonate/xylonate","arachidate","Asp","azelaic acid","behenate (22:0)*","benzoate","beta-Ala","beta-gentiobiose","beta-mannosylglycerate","beta-Pseudouridine","CA","caffeine","caprate","CDCA","cellobiose","cerotinic aci","cholesterol","Citramalate","citrate","citrate/isocitrate","conduritol-beta-epoxide","creatinine","Cys","cystine","cytosin","D-(-)-Fructose","D-(-)-Mannitol","D-(-)-Ribose","D-(+)-Maltose","D-(+)-Mannose","D-(+)-Raffinose.1","D-Glucarate","D-Gluconic acid","D-gluconolactone","D-Glucose 6-phosphate","D-lyxose","D-sorbitol","D-threitol","D-trehalose","D-xylose","D-xylulose","D-<U+03B4>-Tocopherol","DHA","digalactosylglycerol*","Digalacturonate","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-methionine-sulfoxide","DL-Ornithine","Dl-Proline","dodecanoate","dodecanol","elaidic acid","erythritol","erythronate/threonate","erythronic acid lactone","erythrose","ethanolamine","Ethanolamine phosphate","FA 18:1","FFA C14:0","FFA C18:0","FFA C19:0","FFA C24:0","fucose","fumarate","fumarate/maleate","galactinol","galacturonate","gamma-tocopherol/beta-tocopherol","Gln","Glutarate","Gly","glycerate","glycolate","guanosine","heptadecanoic acid","hexadecylglycerol NIST","hexaric acid","hexuronic acid1","His","homocystine","homoserine","hydroxycarbamate NIST","hydroxylamine","hydroxyproline","I(-)","indole-3-lactate","inosine","inositol-4-monophosphate","isoheptadecanoic acid NIST","isohexonic acid","L-(-)-Phenylalanine.1","L-lactic acid","L-malic acid","L-serine","L-threonine","L-tyrosine","L-valine","lactitol","lactobionic acid","lyxitol","maleimide","malonate","maltotriose","methyl O-D-galactopyranoside","methyltetrahydrophenanthrenone1 NIST","monomyristin","N-.alpha.-Acetyl-L-ornithine","N-Acetyaspartic acid","n-acetyl-d-hexosamine","N-acetyl-D-mannosamine","N-Acetyl-DL-glutamic acid","N-acetylputrescine","N-methylalanine","niacin","niacinamide","O-acetylserine","orotate","oxalate","palatinitol","palmitic acid","Parabanic acid","pentadecanoic acid","phenylacetic acid","phytol","pipecolinic acid","putrescine","pyrophosphate","pyrrole-2-carboxylic acid","pyruvate","ribonate","sebacic acid, di(2-octyl) ester NIST","shikimate","squalene","stigmasterol","succinate","sulfate","Syringate","tagatose","tartarate","taurine","threonic acid","thymidine","thymine","tyramine","tyrosol","UDP-glucuronate","uracil","urate","urea","uridine","xanthine","xanthosine","xylonolactone NIST","zymosterol"
"WANDRO_0",1571,76312,67818,3397,840,927,12602,3953814,853253,170473,2008,1320,1640,1756,2448,867,945,533,16541,27048,799,784,1579,205828,803985,2543,62425,572,1167,9377,101,914,15149,49,174,1476,19291,644,3417,349,66,3169,1318,79,1327,21231,115,272,251,95,100,576874,232435,1670,1010,1747,264,634,247907,14685,134,6358,98489,1074,788,8907,12401,162763,33965,832,53257,2894,450,27095,12611,5826,890,18191,105469,268,20125,336,377076,139,1099,81,580,13395,6667,11934,283,1210,12871,30151,753,1619,12520,343,311,436,167,6124,4670,5808,6025,64263,18021,3398,84018,18613,546,466303,45751,23689,12616,15383,202071,4797950,1101,3574142,5662,1551,198,215,66258,280,1196783,4634004,6515444,16616,7039,7445,8536,519,3478,164,9184,10636,247,35412,20552,1224,3804,139335,13245,242,11346,50328,1476,1386,9691,82828,22006,214799,25561,2376,250,61980,343,92753,19811,16952,10377,10678,52497,353754,724,21628,64197,3037,114,188,9897,3831,1026959,1554,21172,383,350,528,389,17806,7074,2681,774,755,910,1445,1391786,3086,189464,535,2522,1176,1680982,2739,653,5522,26313,2766,1091,10022,967,1011648,130,30916,19158,153,777,8540,212,4842,2601652,2247,2832,8752,17527,9092,340,6175,365,503,11853
"WANDRO_1",9700,16486,105031,399,3317,3081,3160,589473,760001,65086,6418,10945,316,18239,600,1411,1331,1442,54456,785,3427,1384,1634,59803,115655,775,394,1130,771,95100,308,1221,1991,192,158,935,331,369,24544,369,406,1147,1049,614,3941,767,1871,159,452,118,1522,756095,378553,52179,523,1965,338,1252,232341,3581,553,2535,413980,12161,493,4973,5622,59369,355559,588,101186,3022,324,72945,61692,31816,3865,43430,2845,1331,38136,1131,2744150,225,7864,423,1071,44309,9196,28291,355,6044,369526,87236,1236,138871,37241,31130,1919629,190052,441,16068,10844,9145,66566,42084,4578,867,47991,112584,2750,21945,98723,2987,15923,20790,27153,238236,1236,6841974,16459,5221,196,378,122046,173,6768992,1285292,5168580,14004,6704,881901,13495,323,10777,16458,1986,10819,261,193618,4323,3713,1571,94326,48245,1366,1695197,35239,986,279,1233,187827,100514,78508,138,5240,315,23145,25790,62476,22636,6951,235477,163844,182860,70300,761,52516,23915,1552,240,4835,7805,3019,65402,992,4257,7602,16856,5484,6820,4802,729,2454,236,1872,426,7452,2038316,2068,79120,335,1053,454,27225,528,312,1793,6684,5935,6650,9867,3096,4842,760280,18298,7232,284,2162,8449,21714,5544,91019,413,9306,10331,343815,662792,624,32436,1737,4283,32508
"WANDRO_2",1965,27994,43571,10189,492,3258,7546,2010574,1398501,154679,1601,1959,611,727,7017,4159,1983,1063,3815,3141,3739,805,608,112291,211577,336,7393,1134,1420,19681,276,672,10191,83,1061,2781,7386,455,3891,329,705,1721,230,331,4217,318905,2826,130,633,904,1034,741015,277444,738,2348,1661,355,1052,64237,1432,157,40393,12442,818,218,489,2893,246835,13766,411,90730,2847,523,6655,4001,1433,3839,23747,7232,1812,49171,2104,1925583,595,1596,120,114,24659,1938,2391,213,298,745,7906,12699,14292,19118,150,179,1463,74,4221,12252,5818,18524,9646,911,758,82947,470,624,38865,8648,1452,2338,6556,5958,5403092,909,5228786,72,7571,66,249,4308,136,3486187,3550004,6508561,23097,24483,4977,2872,135,2489,1059,7186,2988,895,21308,3526,4454,1992,237537,46449,333,11318,4608,1208,211,3414,128102,2819,23908,8901,1145,4621,89285,150,15098,9300,4255,4876,1931,103459,43512,1071,2510,1754,110,131,220,8269,3646,477730,1017,18487,421,125,685,409,3451,3481,928,131,686,1310,1732,1593104,1324,217451,714,278,1020,3696380,502,1273,1643,6107,5170,468,19905,3781,76739,10093,84088,15278,94,5830,1475,146,6581,152354,10833,2565,4882,52546,7677,330,1963,140,932,40917
"WANDRO_3",5196,204828,48468,1296,338,4168,9290,1395285,2006168,57757,1971,1533,7964,964,1638,946,771,625,4840,2327,1348,686,1043,138727,1852299,3037,2429,178,730,52700,92,2394,13388,87,134,9196,6423,109,1198,164,130,1932,336,61,6311,993,133,115,797,163,377,535594,528147,14080,193,1473,1686,507,193600,13534,194,4014,90266,558,422,5307,4594,624977,7376,246,199805,2831,306,5919,1139,993,1801,14456,4739,465,87154,5737,2344534,597,4151,212,262,5312,3881,7504,98,528,4220,11803,12309,29272,3553,188,535,523,118,426,1979,5011,15445,3878,1388,5958,235740,3888,516,148733,14180,7063,2658,30137,97312,373191,655,4440112,1755,1856,117,348,22007,258,2191159,5332775,9666387,74060,57928,35042,4638,153,3737,790,20558,4449,167,30678,6404,1379,1329,579403,90978,310,4273,26542,932,553,9029,121654,4164,85627,13236,3552,553,192559,188,36537,145242,3827,5001,11472,111122,155063,1325,14262,5323,60,174,921,3008,3064,146395,255,1649,971,3396,481,307,4032,7160,1509,115,1698,191,1628,3406709,1200,288243,1493,4443,132,259636,668,425,7340,5328,4758,461,31787,3436,280623,1299,50233,3008,68,317,2585,375,3209,84072,2267,432,7583,4025,304,1071,2668,221,13991,53342
"WANDRO_4",5044,30338,66843,5754,952,1016,2124,264069,233667,47892,2462,4114,935,5893,2026,2820,1588,2465,130113,32861,3867,2210,4655,35056,85822,1874,1038,683,2618,14351,605,2326,2859,208,325,2024,19720,766,763,439,588,3289,2198,527,14157,1418,1480,269,2171,419,1704,567397,92870,1227,341,2712,1202,1732,510094,1732,372,3797,22587,2310,783,663,4364,143177,25755,608,55037,10954,738,6038,6135,880,9754,65841,4505,1607,110788,2826,5079845,261,11378,422,219,93014,913,3181,303,511,910,16253,13965,28941,20689,1321,619,1613,328,7739,19834,4625,7945,17538,1513,1951,9122,1793,774,380866,24875,5999,6024,109292,38623,361233,1802,10969005,303,3861,192,1058,16242,405,1894660,1424475,10522253,15975,22501,7648,28006,416,10906,1113,5177,1907,669,468251,22940,6276,422,133095,27387,197,41644,7842,988,502,6565,440439,14779,315658,9854,3498,500,38149,1321,139046,25599,8583,23964,20533,97777,707028,1893,2509,8836,2434,439,969,2729,5363,34110,572,2712,755,666,8175,236,17419,12283,908,350,2432,1216,7284,2085424,2496,65924,2446,863,439,61300,2665,539,5618,3109,11739,1271,6590,18154,197276,73325,60558,1277,275,5035,2754,672,9963,460464,11173,2162,14426,47825,691,1832,5285,555,2082,50529
"WANDRO_5",840,931,151518,373,512,314,13244,276682,437212,27961,28811,3718,1387,4940,313,454,482,1086,2929,1098,1713,1151,2547,95446,742666,143,131,238,5589,3646,286,3641,5143,91,173,1324,329,143,35421,245,133,371,378,131,501,1490,429,381,526,143,427,515160,35774,556,251,9787,343,674,320995,5453,294,1826,2257937,4696,675,1407,477,32682,6166,278,10145,5902,276,181370,2485,441,386,12510,3518,1163,8933169,645,61663,258,303,70,141,5581,1715,5952,138,156,2299,1519,100702,2957685,2597,3097,266,29889,166,2254,1607,1331,763104,7603,1640,908,16471,18613,5717,362724,72713,185,13823,28282,46257,380783,817,7115020,2813,1241,413,175,158040,158,5228899,572462,4634692,4137,3124,70234,2786,145,57188,1033,931,589,188,25333,6457,2422,366,47697,1181,186,7445,54218,294,178,4963,37409,1728,94143,166,539,163,7868,3694,83323,229587,338,8190,45703,157601,214603,341659,149667,7209,3551,170,1083,39026,2640,72829,264,1384,364,329,564,547,2691,191,486,216,554,351,3744,641726,2094,21231,253,539,499,69650,4992,193,422,582,5807,1806,1738,301,82736,240,3052,10308,215,1921,13161,228,1464,66292,148,998,424,6983,230560,256,165,9435,527,3495
"WANDRO_6",9436,9548,71307,1003,1119,11973,997,66130,30180,8480,34415,94520,1237,2968,1085,4176,2663,3535,9778,1930,21357,1829,7142,8195,17508,1582,3255,923,2039,2178,1056,2743,1053,377,1028,4313,3586,994,3560,1045,2922,42109,5735,2452,3032,626,14644,259,272,874,3674,161347,347233,2429,615,1494,548,1317,639878,1435,817,1803,2758331,3811,2079,16583,3971,81278,30136,839,86379,11366,426,24376,537,78436,782,65513,1721,1513,594512,956,2606613,352,11056,394,419,19804,4393,11501,301,34775,2032086,85066,17617,46208,3468,133363,2801859,308255,390,8712,3413,19589,11682,28711,10890,849,33728,2499,1011,386145,121190,6360,13385,57490,305215,57756,1034,3576975,49287,22810,240,1279,158518,497,498752,359831,10893407,21917,8444,15072,11307,461,3742,22319,2874,7159,287,527876,5526,4011,358,127194,54294,4037,78011,81068,737,327,12091,263348,42467,116041,4500,466,554,13140,112817,62319,71288,29708,356163,51800,239074,229924,4098,15717,55099,704,232,308,3864,1214,3523,2606,3626,4763,1437,2271,2431,8252,2206,1477,268,1447,7498,550,1717090,3371,52563,396,666,2909,54004,9297,605,34284,3375,8530,1530,10387,914,5431,40419,130316,1713,299,13705,13218,9436,13121,109899,35900,10155,22223,156375,4407110,129,12523,263,457,20760
"WANDRO_7",12419,5665,155890,3297,1894,18021,365,21396,7812,5893,66358,90715,1818,4797,2116,10089,7653,14103,19996,2928,41891,1492,4444,5135,6204,9022,628,2970,4111,1946,3055,2860,3196,1592,2641,6987,8883,1371,23966,2554,4549,90588,7926,2324,2120,8724,34520,1293,1275,2444,7177,59210,145434,3428,423,4216,801,2312,1829457,6466,1941,2134,5699421,2686,9722,43937,5092,44163,123497,593,59215,17415,2458,15434,1460,139991,729,79003,1771,1740,3704,830,1399345,566,29731,866,709,188260,22745,44537,300,2979,3250844,99574,2154,151140,655,346561,4508803,972645,1494,16574,8346,49461,2872,96387,22058,1047,12730,3194,3191,1650425,694573,49151,29132,246090,2450310,35586,1333,882876,121929,57801,722,1782,469561,5356,125139,163975,3764153,13155,3858,30197,46494,2641,2420,51047,1639,35662,1004,777188,25639,7709,394,71410,27933,6931,144770,571011,1715,977,13032,196034,169816,518683,10107,682,1223,6924,412114,330519,144267,119380,457243,180974,658128,820108,320,6497,116032,2990,418,490,17887,5267,494,5542,4459,8528,3352,2655,2972,29463,12540,12804,309,2860,10406,2055,726606,7353,33236,1154,980,106252,127243,2529,836,56529,5010,7803,1993,4835,604,105113,4005,240513,3263,365,8123,30794,9431,18455,600893,107368,21334,38760,288008,60556,781,14859,275,673,12752
"WANDRO_8",464,30031,65869,5249,988,5653,244,16714,8045,4603,1977,25921,508,634,1112,3749,2531,1807,15421,17687,11898,876,7331,1421,2596,27029,9873,1412,1754,977,561,953,3398,99,1560,2867,10166,360,8791,2972,1215,43818,10335,874,2117,21658,5638,2120,298,2994,2406,466522,245393,1578,559,952,387,883,2011715,25602,1120,2709,13479,1628,3903,17058,1705,106685,58953,729,81940,11937,1610,3004,328,2146,491,20502,4948,915,3567,1075,2186449,167,627,307,227,124576,5666,1571,198,1833,20052,18887,1007,2194,1384,1471,7457,1786,159,5490,15904,6148,695,10117,4325,838,18590,888,369,3902358,603769,81901,54455,86170,565378,174051,838,5590906,29086,14577,113,354,186133,626,1518243,745243,8264483,17497,9911,2197,2034,531,7345,2828,2612,813,634,363477,18628,4084,164,118578,30495,350,5506,762143,590,644,4402,61672,37962,625558,1220,213,246,22692,1090,457148,46339,2060,108039,16545,46977,2675996,508,2235,36165,1264,196,180,6404,2866,662,667,1095,668,634062,1487,962,74972,9303,626,266,505,2059,6056,1981768,1231,56113,1235,647,26287,776935,496,203,21065,2205,4469,913,7475,802,10761,1901,31516,18764,176,2176,6170,53732,5461,611848,131414,5039,19276,45950,1967690,276,1115,245,346,20382
"WANDRO_9",2164,907,20256,4072,348,1213,21696,920591,443437,440121,554,5085,260,236,146,1820,1770,345,3993,6281,27429,297,1291,553408,1007951,4291,2659902,206,854,1921,83,237,6689,103,291,751,2193,84,37568,692,606,5857,479,123,1126,792,545,782,344,3008,205,287605,269530,876,5542,1185,3873,491,416316,19523,1747,462,5650,773,1142,5236,1208,213077,11992,1006,74949,2180,649,2210,14965,882,467,10947,14880,266,6541,2245,854827,94,179,85,245,7932,1068,2963,127,234,66082,8092,18612,1829,3536,67,64,464,82,486,7811,2783,10043,7421,1662,526,129537,712,229,2538158,1518090,36323,14731,6770,165648,3248333,593,1012661,5356,2913,51,401,22073,383,1240411,4317094,2175344,23631,24060,2311,1479,172,3510,164,818,4153,283,37847,4368,796,2913,191281,32340,149,10056,1427965,544,191,3177,22250,7022,243880,325,1376,320,68156,67,368077,2493,1128,12976,5457,12463,1147629,1584,2176,8867,395,38,73,6799,6808,990229,2290,11246,252,209010,642,3703,21113,3423,1592,240,466,149,1057,1593343,2314,212234,355,518,747,4757294,1281,228,3648,875,2442,1344,9385,312,6961,118,9088,14672,58,2842,510,29478,1505,2631066,127681,11288,5307,888,410462,323,414,510,305,25563
