"study","study_slug","sample_column_used","n_metadata_samples","n_matched_samples","n_columns_retained","export_file","package_file"
"BarkerTejedaTC_2024_Targeted","barkertejedatc__384f3edf","sample_id",122,122,14,"BarkerTejedaTC_2024_Targeted_afterHuMMANet.csv","studies/barkertejedatc__384f3edf/after_hummanet.csv.gz"
"BarkerTejedaTC_2024_Untargeted","barkertejedatc__21059c5e","sample_id",128,128,72,"BarkerTejedaTC_2024_Untargeted_afterHuMMANet.csv","studies/barkertejedatc__21059c5e/after_hummanet.csv.gz"
"CarterM_2025","carterm_2025","sample_id",315,315,122,"CarterM_2025_afterHuMMANet.csv","studies/carterm_2025/after_hummanet.csv.gz"
"ChengT_2024_F","chengt_2024_f","sample_id",54,54,967,"ChengT_2024_F_afterHuMMANet.csv","studies/chengt_2024_f/after_hummanet.csv.gz"
"ChengT_2024_S","chengt_2024_s","sample_id",54,54,486,"ChengT_2024_S_afterHuMMANet.csv","studies/chengt_2024_s/after_hummanet.csv.gz"
"ConleyT_2024","conleyt_2024","sample_id",232,232,177,"ConleyT_2024_afterHuMMANet.csv","studies/conleyt_2024/after_hummanet.csv.gz"
"DawkinsJ_2022","dawkinsj_2022","sample_id",231,231,1367,"DawkinsJ_2022_afterHuMMANet.csv","studies/dawkinsj_2022/after_hummanet.csv.gz"
"DuL_2025","dul_2025","sample_id",15,15,213,"DuL_2025_afterHuMMANet.csv","studies/dul_2025/after_hummanet.csv.gz"
"ERAWIJANTARI_2020","erawijantari_2020","sample_id",43,43,368,"ERAWIJANTARI_2020_afterHuMMANet.csv","studies/erawijantari_2020/after_hummanet.csv.gz"
"FangX_2020","fangx_2020","sample_id",310,310,176,"FangX_2020_afterHuMMANet.csv","studies/fangx_2020/after_hummanet.csv.gz"
"FengZ_2021","fengz_2021","sample_id",29,29,856,"FengZ_2021_afterHuMMANet.csv","studies/fengz_2021/after_hummanet.csv.gz"
"FranzosaE_2019","franzosae_2019","sample_id",155,155,339,"FranzosaE_2019_afterHuMMANet.csv","studies/franzosae_2019/after_hummanet.csv.gz"
"FranzosaE_2019_Validation","franzosae_2019__22d0f995","sample_id",65,65,339,"FranzosaE_2019_Validation_afterHuMMANet.csv","studies/franzosae_2019__22d0f995/after_hummanet.csv.gz"
"GotoY_2022","gotoy_2022","sample_id",114,114,82,"GotoY_2022_afterHuMMANet.csv","studies/gotoy_2022/after_hummanet.csv.gz"
"HE_INFANTS_2019","he_infants_2019","sample_id",273,273,119,"HE_INFANTS_2019_afterHuMMANet.csv","studies/he_infants_2019/after_hummanet.csv.gz"
"HanL_2021_Fecal","hanl_2021_fecal","sample_id",216,216,273,"HanL_2021_Fecal_afterHuMMANet.csv","studies/hanl_2021_fecal/after_hummanet.csv.gz"
"HanL_2021_Serum","hanl_2021_serum","sample_id",213,213,112,"HanL_2021_Serum_afterHuMMANet.csv","studies/hanl_2021_serum/after_hummanet.csv.gz"
"HashmiM_2025_Serum","hashmim_2025_serum","sample_id",39,39,160,"HashmiM_2025_Serum_afterHuMMANet.csv","studies/hashmim_2025_serum/after_hummanet.csv.gz"
"HeJ_2020_Fecal","hej_2020_fecal","sample_id",31,31,487,"HeJ_2020_Fecal_afterHuMMANet.csv","studies/hej_2020_fecal/after_hummanet.csv.gz"
"HeJ_2020_Serum","hej_2020_serum","sample_id",31,31,267,"HeJ_2020_Serum_afterHuMMANet.csv","studies/hej_2020_serum/after_hummanet.csv.gz"
"HuangW_2025","huangw_2025","sample_id",60,60,519,"HuangW_2025_afterHuMMANet.csv","studies/huangw_2025/after_hummanet.csv.gz"
"JiangC_2022","jiangc_2022","sample_id",47,47,2949,"JiangC_2022_afterHuMMANet.csv","studies/jiangc_2022/after_hummanet.csv.gz"
"KangDW_2020_Fecal","kangdw_2020_fecal","sample_id",56,56,813,"KangDW_2020_Fecal_afterHuMMANet.csv","studies/kangdw_2020_fecal/after_hummanet.csv.gz"
"KangDW_2020_Serum","kangdw_2020_serum","sample_id",56,56,834,"KangDW_2020_Serum_afterHuMMANet.csv","studies/kangdw_2020_serum/after_hummanet.csv.gz"
"KuiD_2023_Fecal","kuid_2023_fecal","sample_id",1092,1092,204,"KuiD_2023_Fecal_afterHuMMANet.csv","studies/kuid_2023_fecal/after_hummanet.csv.gz"
"KuiD_2023_Serum","kuid_2023_serum","sample_id",1014,1014,199,"KuiD_2023_Serum_afterHuMMANet.csv","studies/kuid_2023_serum/after_hummanet.csv.gz"
"LloydPrice_2019","lloydprice_2019","sample_id",384,384,494,"LloydPrice_2019_afterHuMMANet.csv","studies/lloydprice_2019/after_hummanet.csv.gz"
"LouZ_2023","louz_2023","sample_id",30,30,50,"LouZ_2023_afterHuMMANet.csv","studies/louz_2023/after_hummanet.csv.gz"
"MetaCardis_2020","metacardis_2020","sample_id",954,954,1160,"MetaCardis_2020_afterHuMMANet.csv","studies/metacardis_2020/after_hummanet.csv.gz"
"Metwaly_2020","metwaly_2020","sample_id",46,46,324,"Metwaly_2020_afterHuMMANet.csv","studies/metwaly_2020/after_hummanet.csv.gz"
"NishimotoY_2021","nishimotoy_2021","sample_id",120,120,334,"NishimotoY_2021_afterHuMMANet.csv","studies/nishimotoy_2021/after_hummanet.csv.gz"
"OdenwaldA_2023","odenwalda_2023","sample_id",877,877,34,"OdenwaldA_2023_afterHuMMANet.csv","studies/odenwalda_2023/after_hummanet.csv.gz"
"POYET_BIO_ML_2019","poyet_bio_ml_2019","sample_id",144,144,412,"POYET_BIO_ML_2019_afterHuMMANet.csv","studies/poyet_bio_ml_2019/after_hummanet.csv.gz"
"QuinnR_2016","quinnr_2016","sample_id",7,7,185,"QuinnR_2016_afterHuMMANet.csv","studies/quinnr_2016/after_hummanet.csv.gz"
"RashidiA_2022","rashidia_2022","sample_id",137,137,928,"RashidiA_2022_afterHuMMANet.csv","studies/rashidia_2022/after_hummanet.csv.gz"
