"sample_id","Putrescine","5-Aminovaleric Acid","Pyroglutamic Acid","Alanine","Aspartic Acid","Cysteine","Glutamic Acid","Proline","Tyrosine","2-Aminobutyric Acid","N-Acetyl-L-Aspartic Acid","beta-Alanine","Sarcosine","Anthranilic Acid","Cinnamic Acid","p-Cresol","Succinic Acid","Glutaric Acid","Malonic Acid","Acetic Acid","Propionic Acid","Valeric Acid","Isovaleric Acid","Caproic Acid","2-Methylbutanoic Acid","Glutarate semialdehyde","Enanthic Acid","Caprylic Acid","Pelargonic Acid","Capric Acid","Undecylic Acid","Lauric Acid","Tridecylic Acid","Sebacic Acid","Myristic Acid","Pentadecylic Acid","Palmitic Acid","Margaric Acid","Stearic Acid","Arachidonic Acid","Eicosatrienoic Acid","Eicosenoic Acid","Docosahexaenoic Acid","Clupanodonic Acid","Behenic Acid","Isotridecanoic Acid","Isomyristic Acid","Isopentadecanoic Acid","Anteisopentadecanoic Acid","Isopalmitic Acid/Anteisopalmitic Acid","Isomargaric Acid","Anteisomargaric Acid","Pimelic Acid","Methylsuccinic Acid","Suberic Acid","3-Methyladipic Acid","Undecanedioic Acid","Ethylmalonic Acid","Azelaic Acid","Dodecanedioic Acid","Indole","3-methylindole","Indoleacetic Acid","Linoleic Acid/Oleic Acid","Stearidonic Acid","Phenylacetic Acid","Hydrocinnamic Acid","Nicotinic Acid","Acetoacetate","2-Oxobutanoic Acid","Citric Acid","Tryptophan"
"Moth_50_UT",99298.409,143425.046,48545.439,21772.384,368764.926,3602.995,501891.381,197040.525,166035.757,85399.68,70216.896,590345.196,12095.633,13520.751,6303.951,170272.339,411136.946,194903.571,152971.67,1540016.568,23171.932,938449.666,986500.574,1467303.288,457072.231,2647.218,1691.248,258210.091,0,13227.545,1936.319,6511.862,7051.569,2726.71,58361.266,30315.351,2076448.287,8311.191,683638.78,4560.195,2558.753,7844.319,767.377,0,10271.588,3877.31,10007.508,30458.526,103387.249,9534.972,5423.108,4151.294,10360.11,117547.661,12417.479,8534.815,3129.164,4142.576,62029.353,6729.389,490159.277,4631.073,48263.048,229594.652,1798.201,220803.616,1213269.105,243884.374,4115.601,25807.241,210575.183,36748.262
"Moth_66_UT",42194.394,126144.006,47858.253,29035.572,346666.466,17089.12,362482.627,299889.756,197018.728,281266.237,27125.072,161424.626,18589.74,14543.975,8484.371,795588.417,453734.149,175095.094,53430.482,610793.012,14478.748,540135.683,1563512.672,225159.251,846482.934,5008.038,1114.779,25734.623,7582.262,7062.534,1721.729,6838.335,14712.452,5053.035,78894.639,118705.813,2249388.341,17471.447,1000873.943,6046.342,1403.875,12956.924,1300.146,0,6514.925,10318.631,33164.778,87521.447,256482.348,49027.501,25712.092,12153.126,33203.477,86984.566,25665.111,34167.079,2562.507,1146.402,143593.111,10478.718,362516.327,204790.577,9865.625,171109.017,2208.921,331498.118,535263.309,96014.19,2053.54,11208.581,6032.164,55132.55
"Gran_22_UT",15295.498,183525.389,37154.206,43715.784,605477.818,7270.201,627680.107,598747.299,91224.712,406137.481,52263.061,229210.968,8379.007,14179.456,49618.549,774416.444,492325.216,14301.409,71276.421,1151431.493,27916.871,799442.138,1721648.04,890689.595,919389.06,3777.425,1075.316,361027.765,28810.242,135214.93,14114.685,33643.318,37634.027,5595.978,217536.083,131517.307,2257861.134,9454.234,332691.522,3492.839,29026.669,50942.553,1441.586,3228.208,13250.848,15044.88,58474.712,84245.205,365911.771,67837.639,14932.82,24443.775,18929.813,104038.757,35381.896,95780.01,5551.704,5859.185,149968.484,8170.727,178652.622,177262.485,32490.51,159501.442,9989.186,350531.007,675264.462,118940.015,1672.725,27140.676,43602.425,65336.77
"Gran_49_UT",16013.325,303254.778,22022.209,86324.902,345341.855,4814.586,723592.436,1047127.786,180170.447,2611737.823,134160.219,402118.64,7176.288,11263.213,150928.306,375424.778,851838.595,60105.342,55001.905,659836.358,16130.62,487055.277,1103156.857,114850.693,608907.75,4209.491,5064.881,12106.436,7617.546,10811.835,5204.504,6627.325,27201.852,6842.137,100708.624,188531.391,1945462.981,12691.319,613112.85,2319.007,3016.363,142010.182,1098.152,1157.542,8627.187,14099.037,59548.48,107352.845,412599.261,102226.477,24943.223,40378.336,30973.224,11111.473,26574.971,38326.552,4700.119,1529.947,188854.24,10596.104,19527.415,68918.521,5940.778,222312.613,3164.25,263469.262,246090.474,83073.482,1340.987,17115.658,8567.465,128458.429
"Gran_32_UT",31000.442,122731.991,15537.469,29021.168,598527.213,2627.082,568215.074,309136.434,135347.839,66007.553,89008.9,151033.513,32112.171,5474.701,20081.703,269866.62,270045.08,87241.238,58994.463,800945.191,19533.054,604210.252,561158.855,53158.486,363011.523,2023.995,854.964,9907.532,2782.787,4949.841,1303.991,10697,6483.588,1413.422,156872.088,53523.546,2151144.006,8648.436,395540.528,4269.732,8367.111,18907.902,925.914,1305.673,1868.388,2723.033,10321.722,26731.769,150518.501,4150.626,7997.149,3655.416,5038.365,27993.643,8241.542,2954.239,1115.2,1638.09,19434.559,3626.722,244359.951,8797.506,50927.714,149470.466,5769.479,187082.745,1714917.741,153908.957,1447.223,22465.134,51897.227,51626.654
"Gran_28_UT",116283.62,122952.017,13168.46,16659.278,421525.937,11538.171,384905.135,168607.905,16533.32,138790.384,58287.524,67601.155,13410.515,32110.65,3101.098,2601901.925,377405.107,135478.945,52410.743,754048.843,25976.648,1981701.674,2002648.498,335934.657,739092.051,3543.565,1336.532,23237.507,12999.497,26533.808,218692.295,25748.753,507216.148,2337.771,492225.684,252634.921,3739346.719,42818.441,631826.989,25985.615,149623.691,485975.866,10012.812,27452.992,405545.023,29591.947,136307.355,263971.636,1347864.912,94853.899,104981.754,46644.477,8600.713,22809.102,17600.012,3304.364,1785.778,2140.685,42411.928,6699.129,1372150.238,1882.617,17612.452,172721.295,30321.853,538656.613,157843.609,83565.041,2437.429,30822.729,16842.205,19994.917
"Moth_54_UT",159879.938,85999.156,30779.55,29077.007,268599.972,5139.074,445257.65,350481.151,172471.563,70130.137,26844.539,207782.253,13681.096,6530.493,12087.81,701578.545,343359.928,211223.227,104177.901,653033.44,9883.159,316811.812,676354.531,282706.058,351927.769,2687.431,827.226,189190.372,2675.766,13591.189,47585.382,5074.739,29650.663,2563.049,47997.667,53827.972,1856101.647,12861.411,848917.616,2492.677,746.99,28138.652,713.627,0,43031.683,6286.518,13060.71,39322.895,174973.431,13717.258,18062.983,5808.988,18192.547,4967.044,18067.524,53134.88,1394.205,2921.269,72487.685,8067.016,123126.211,54889.79,6183.957,363604.359,1207.004,164574.045,101891.156,97440.959,1300.048,10392.673,10767.052,40866.485
"Moth_55_UT",25151.154,365662.891,36710.5,33868.266,787598.831,25429.475,659112.88,415239.726,291668.777,154529.221,240964.975,471062.813,184192.782,6865.214,16361.829,101901.07,1551302.976,227941.847,188896.23,4444496.329,73745.128,1421923.084,540727.768,1497416.544,425622.087,5000.192,3051.332,87121.262,2060.966,15256.999,5447.015,5573.251,16881.593,4319.483,43132.547,55082.275,1808091.328,7168.86,388517.937,5364.654,2573.637,4111.87,1193.321,317.727,8588.725,11832,22053.664,61274.31,277152.837,16994.501,5158.53,6771.975,19795.765,255187.96,23370.494,29278.384,2764.07,4200.124,85541.085,11253.335,142548.579,34571.131,102156.081,113468.525,1676.242,81682.572,700147.693,430390.932,3022.49,124067.841,23913.592,66865.888
"Moth_31_UT",20437.668,136233.275,90609.626,25928.985,790146.423,2989.903,511061.832,320067.373,294934.709,118045.533,117456.669,561190.141,60330.321,8442.749,11832.311,714258.824,703118.12,29191.44,283313.478,1094414.684,17809.084,668052.858,1243772.5,503551.04,772200.17,3984.068,2844.185,214421.765,6506.561,67812.449,3251.757,10219.094,10705.128,6223.991,100796.326,92234.944,2090520.524,14118.391,937835.271,4315.131,812.156,19828.196,1159.516,160.86,10130.782,6365.875,22070.203,68307.9,254124.666,24752.017,19023.002,8253.168,41042.119,18927.953,35344.064,100925.764,3722.443,3646.563,197150.891,8050.974,329391.631,168518.688,3363.444,294844.786,728.468,299235.625,783080.237,197431.474,3453.405,36213.758,51543.519,78088.786
"Inf_26_UT",902717.094,578269,25706.521,42624.448,1192359.1,12012.679,507052.666,406565.421,303918,730637.669,310148.288,2210750.631,17500.266,5492.376,23813.049,1004973.925,515118.642,214206.962,262510.985,1537709.366,26722.036,310759.724,643343.986,24293.833,1082741.772,2544.433,626,7771.96,7389.813,24703.824,1374.032,62764.592,15573.015,1361.58,133143.987,10351.944,1896032.692,3474.373,296687.794,1087.323,14686.648,2796.178,399.861,1093.882,6654.121,7510.422,23634.006,19596.935,199461.945,3114.651,1374.93,2150.379,8001.421,80160.913,5753.432,5151.123,1697.908,2917.448,15399.046,6134.764,332489.403,433.695,185201.184,90481.906,2531.811,440163.396,129869.264,172265.682,1401.993,28236.089,616324.109,99967.763
