"sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"3A",76959744,NA,20812800,NA,12966912,NA,1705664,NA,NA,NA,31851520,30115840,18646016,2518272,NA,NA,6898944,NA,NA,7340544,13872128,18354176,10281984,12989440,NA,6770176,NA,NA,123097088,NA,10363904,18487296,NA,NA,3625216,41623552,NA,NA,26368000,NA,5955328,NA,14419968,12944384,3516416,NA,663224320,NA,NA,NA,1556032,NA,NA,NA,NA,734656,NA,NA,57008128,7458304,42586112,33763328,16512000,NA,9811968,NA,NA,4394240,NA,NA,4291328,NA,NA,145932288,9989120,NA,3138304,NA,325536,NA,2928128,6004736,2918144,1522688,2042944,9054208,4871168,11983872,NA,16699392,NA,NA,1170112,NA,NA,9027584,59809792,NA,7937024,3898880,NA,2016192,1270464,NA,NA,2551296,NA,NA,NA,NA,NA,549504,NA,21575680,1584576,NA,NA,30789632,NA,5643008,1271552,NA,4795904,NA,NA,NA,NA,NA,NA,412256,2218240,1632832,NA,NA,NA,515968,NA,677568,NA,NA,443936,NA,NA,NA,2754560,NA,NA,1505728,167504,NA,NA,NA,NA,NA,NA,NA,2251264,NA,NA,703424,NA,NA,NA,NA,NA,NA,39538688,NA,45060096,1658560,14013440,NA,3091200,NA,2141440,NA,3386880
"9A",5574656,NA,6317568,NA,12675072,NA,767552,NA,NA,NA,37302272,88403968,31852544,5914112,NA,NA,10040320,NA,NA,NA,NA,10257408,NA,2413056,NA,NA,28581888,NA,135397376,NA,6057984,566912,1931328,1368704,6949120,1554048,NA,NA,NA,3970304,NA,NA,11713536,120356864,1940544,NA,683343872,NA,NA,NA,NA,NA,NA,823040,NA,NA,NA,NA,2791424,694912,352894976,17981440,NA,229244928,17863680,NA,NA,3402496,NA,5656064,8890368,NA,NA,655425536,4413696,NA,9435136,NA,NA,NA,4210432,5347072,1715328,1798272,1803904,2163968,3052544,2356224,NA,NA,3580672,NA,489600,NA,15414272,NA,26029056,NA,15840256,5915904,1483968,11961344,1626432,429703168,NA,NA,NA,NA,NA,1118464,1031424,NA,1176832,21585920,NA,1564608,NA,58093568,NA,3539456,2074368,NA,3691008,1328000,35880960,NA,NA,NA,NA,851840,3165696,870580224,NA,NA,NA,NA,72052736,NA,1037184,NA,1206016,NA,NA,NA,NA,NA,NA,3896832,NA,NA,NA,NA,NA,556544,NA,NA,1175168,NA,NA,NA,NA,NA,NA,NA,NA,NA,549519360,NA,8709120,772480,11243520,1598272,2281472,NA,NA,NA,5747968
"11A",5699584,445040,12268544,NA,34390016,NA,NA,NA,NA,725504,47251456,12924928,22833152,2413056,NA,NA,7021312,NA,NA,NA,NA,27953152,NA,NA,NA,NA,86130688,NA,29498368,NA,NA,10158080,NA,NA,3639552,NA,4100096,NA,NA,4786176,NA,NA,8897536,22782976,NA,NA,198000640,3269120,NA,NA,NA,NA,1812160,NA,64561152,NA,NA,NA,567872,NA,110014464,42459136,NA,77099008,9240576,NA,NA,2255616,2803456,NA,NA,NA,NA,165576704,NA,NA,9630720,NA,NA,NA,2973440,NA,NA,27652096,NA,3137024,NA,2019200,NA,1262848,1112320,NA,44027904,NA,40865792,NA,32275456,2443008,16612352,2061760,NA,130965504,54657024,NA,NA,NA,770176,NA,NA,50098176,704320,NA,NA,4422400,662720,NA,NA,72216576,NA,991232,800704,NA,1684864,1029312,NA,NA,NA,NA,NA,NA,5254144,1863057408,974127104,NA,NA,NA,NA,2335744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6337024,NA,NA,32818176,NA,NA,NA,NA,2290944,NA,NA,2194944,324784,1387456,NA,NA,803340288,2844672,11176960,829696,44331008,1832512,2475264,1092352,NA,NA,7491584
"19A",5998336,NA,11747328,NA,7887360,NA,NA,NA,NA,NA,91987968,NA,50434048,3361536,NA,NA,2127616,NA,NA,NA,NA,21121024,NA,NA,NA,NA,11611136,NA,12625920,260208,822720,6530304,NA,NA,4643840,NA,2721024,NA,NA,1147520,NA,NA,4812544,NA,NA,NA,10814464,NA,NA,NA,NA,NA,2034432,NA,NA,NA,10881024,NA,NA,NA,2568192,38277120,NA,NA,7458816,NA,NA,2573824,NA,NA,20768768,NA,NA,4429824,5281280,NA,9085952,NA,NA,NA,5555968,NA,NA,24624128,7916800,NA,1913344,5614336,NA,NA,NA,NA,23681024,NA,NA,NA,16847872,2568704,35770368,5010176,NA,419528704,40828928,NA,NA,4461312,NA,NA,NA,15190016,1335424,NA,NA,376438784,NA,NA,NA,113352704,NA,6202112,12825600,NA,2546688,1053056,NA,NA,NA,NA,NA,NA,15507456,2501115904,NA,NA,NA,NA,NA,1184640,NA,NA,NA,NA,NA,NA,NA,NA,NA,2384384,NA,NA,NA,NA,NA,823488,NA,NA,1837696,NA,NA,1556672,NA,NA,NA,9388032,NA,NA,1097924608,NA,9241600,NA,6722304,NA,12856320,NA,NA,NA,14070784
"22A",NA,NA,23081984,NA,33763328,NA,NA,NA,NA,NA,31134720,3023872,15360000,5177600,NA,NA,7330560,NA,NA,NA,NA,127950848,NA,NA,NA,NA,476545024,NA,16703488,NA,NA,12834816,3783168,NA,8168192,NA,NA,NA,NA,5622272,3820800,NA,12450816,9590784,NA,NA,116461568,NA,NA,NA,2383616,NA,NA,NA,14722048,NA,NA,NA,NA,NA,46768128,120279040,NA,36667392,7025664,NA,NA,3268352,1284672,NA,2835712,2041536,NA,60116992,4322048,NA,4119040,1504448,NA,NA,863808,NA,2088832,25268224,1608448,2551040,NA,2204672,NA,NA,1194816,NA,720320,NA,448790528,NA,26651648,5853184,37163008,2202624,NA,40534016,43208704,2818560,NA,1124480,690880,NA,NA,67452928,NA,NA,NA,208519168,NA,NA,NA,40800256,NA,4848640,1288512,NA,1710720,920576,NA,NA,NA,NA,NA,NA,NA,2518155264,NA,NA,NA,NA,NA,1114112,NA,NA,2165248,NA,NA,NA,NA,NA,NA,NA,NA,119212,NA,NA,NA,NA,886656,NA,2275328,NA,412512,464096,NA,367952,NA,NA,NA,NA,452165632,NA,8650752,1683904,53497856,NA,NA,1733120,NA,NA,4488704
"23A",NA,NA,7802112,NA,12633088,1912000,NA,NA,NA,NA,163381248,NA,107802624,1048896,NA,NA,4008960,NA,NA,NA,NA,32064512,NA,NA,NA,NA,24053760,NA,NA,428368,2552832,7294208,NA,NA,2247936,NA,2487552,NA,NA,2941696,NA,NA,3900928,NA,NA,NA,NA,5056768,NA,NA,1526272,534848,NA,508720,27342848,NA,NA,NA,NA,NA,NA,208158720,NA,NA,7330304,NA,2649856,3621632,891072,NA,NA,1009664,NA,NA,8386560,NA,15383552,NA,NA,NA,22851584,NA,NA,38797312,NA,NA,9012224,1020352,NA,NA,869760,NA,58646528,NA,NA,NA,51175424,NA,41680896,3469568,NA,284377088,40648704,NA,NA,NA,1794432,NA,NA,4246528,789632,NA,NA,49377280,NA,NA,NA,101810176,1140608,1551872,2641408,NA,2019520,1449152,NA,NA,NA,NA,679360,NA,16416768,1513947136,NA,NA,NA,NA,NA,NA,NA,NA,393376,NA,NA,NA,NA,NA,NA,895296,NA,1927168,NA,NA,NA,3516160,NA,NA,NA,NA,NA,662720,NA,3395584,NA,1255680,NA,NA,904724480,NA,12132352,NA,14166016,229552,2722304,NA,NA,NA,29495296
"27A",NA,NA,10552320,NA,16612352,1162752,NA,NA,NA,NA,110845952,NA,62476288,998464,NA,NA,3707392,NA,NA,NA,NA,21025792,NA,NA,NA,NA,102359040,NA,13407232,NA,NA,14218240,NA,NA,NA,1868096,NA,NA,NA,1534336,NA,NA,4683776,4508928,NA,NA,41332736,5362176,NA,NA,431360,NA,NA,NA,NA,NA,NA,NA,NA,NA,19342336,12408832,NA,15025152,7794432,NA,NA,1658048,1176512,NA,61476864,NA,NA,20956160,NA,NA,7885312,NA,NA,NA,1201216,982912,NA,33771520,NA,NA,2022784,NA,1739520,NA,NA,NA,9423872,NA,16661504,NA,15491072,1605888,14082048,1170688,NA,215040000,18849792,NA,NA,NA,NA,NA,NA,17782784,NA,NA,NA,2543616,NA,NA,NA,56066048,NA,NA,NA,NA,1125440,1075648,NA,NA,NA,NA,NA,NA,808640,1506476032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586752,NA,NA,236732416,NA,8352768,628992,13942784,14030848,NA,NA,NA,NA,18105344
"29A",6071552,NA,6361856,NA,10012672,NA,NA,NA,NA,NA,157253632,NA,80216064,2780416,NA,NA,2142208,NA,NA,NA,NA,17149952,NA,NA,NA,NA,75608064,NA,14544896,NA,NA,7143936,NA,NA,5732096,NA,2607872,1080576,NA,NA,NA,NA,8663040,12013568,NA,NA,39108608,3826688,NA,NA,712832,NA,NA,NA,33677312,NA,NA,NA,NA,NA,46546944,16419840,NA,34086912,7299840,NA,NA,2777344,1256000,NA,51240960,NA,NA,28986368,NA,NA,11339776,1372544,NA,2263808,3461888,NA,NA,66080768,NA,NA,NA,NA,3041792,NA,NA,NA,35319808,NA,NA,NA,27245568,1322624,20200448,1381568,NA,115949568,24741888,NA,NA,NA,1366400,NA,NA,4901888,NA,NA,NA,NA,NA,NA,NA,113651712,NA,NA,367808,NA,1274688,517616,NA,NA,NA,NA,NA,NA,3062016,1576337408,507609088,NA,NA,NA,NA,1457408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871744,NA,NA,1521536,NA,5174784,493216,1089920,NA,NA,99246080,NA,9137152,NA,12502016,17721344,NA,NA,NA,NA,25652224
"31A",166166528,NA,46645248,15687680,NA,NA,5310976,NA,NA,NA,17031168,17916928,9373696,3360512,NA,NA,5065984,NA,NA,16483328,NA,36093952,16892928,6380800,NA,NA,NA,NA,68349952,NA,NA,2706944,NA,1511488,3789312,17150976,17927168,NA,10327040,NA,NA,NA,11387904,8019712,2847744,NA,388972544,NA,NA,NA,367728,NA,NA,NA,2042624,994752,NA,NA,4066560,1344384,18646016,40218624,NA,7597056,5301504,NA,NA,2078208,NA,NA,521648,NA,NA,175996928,3526400,NA,1695872,NA,NA,NA,2508800,NA,NA,NA,NA,1859264,NA,3269120,NA,796096,2083264,NA,NA,NA,NA,NA,9381888,NA,8231424,1238912,NA,897152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618624,64552960,1616448,NA,NA,34586624,NA,1534272,524352,NA,1240960,766080,NA,NA,NA,NA,NA,1345600,1644608,145309696,NA,NA,NA,NA,2750720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816448,904768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380336,NA,NA,NA,NA,NA,NA,384237568,NA,63918080,NA,4465408,NA,3763456,NA,7301376,NA,2450688
"33A",32174080,1586688,14143488,23712768,NA,2974464,1859776,NA,NA,NA,13143040,325140480,NA,6431744,NA,NA,43286528,NA,NA,7097856,NA,13236224,17238016,18938880,NA,2769408,NA,NA,142065664,NA,NA,5109504,NA,NA,2944000,19013632,NA,NA,5451520,7995904,NA,27461632,7201536,26142720,9544704,NA,1166671872,NA,NA,NA,1256192,NA,NA,NA,238387200,NA,NA,NA,36380672,5902080,94912512,123932672,NA,53125120,52187136,18933760,NA,2666496,NA,46776320,5217024,NA,NA,892338176,NA,4865536,3497216,NA,NA,NA,7152384,NA,615040,2115584,1452800,NA,1227584,4249600,NA,89313280,NA,36323328,NA,NA,NA,NA,16284672,NA,14251008,4258304,NA,19267584,6580736,NA,NA,NA,NA,NA,NA,7328256,2411776,NA,NA,28521472,NA,35045376,NA,44015616,NA,6185472,937408,12186624,4885504,1361280,237076480,NA,NA,NA,NA,NA,16357376,485457920,NA,40497152,53878784,7710208,6173696,2879744,NA,NA,2484992,NA,NA,NA,153763840,NA,NA,NA,NA,NA,NA,5616384,NA,NA,NA,NA,2969856,NA,582976,NA,NA,NA,NA,2039936,NA,NA,98033664,418144,53735424,2006336,11716608,NA,NA,NA,9841664,NA,2703616
