"sample_id","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","alanine","arginine","asparagine","aspartate","citrulline","gentisate","glutamine","glycine","histamine","histidine","homovanillate","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indolelactate","isoleucine","leucine","lysine","methionine","methylimidazole acetic acid","N6-acetyl-L-lysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","quinolinate","serine","taurine","threonine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9016-B_S",325298,3319429,149,11919,165496,1905789,49197,14894566,99761,NA,1367741,25763,749,102668797,2019993,352,100292,45975,NA,1198828,70687543,125236130,1378847,116976,5000,4757,24895768,88175483,983810,24688,4374181,1873978,21646,236100,96094,55928496,24730030,31475,143544013,NA
"9016-C_S",319638,3584568,85,10118,143480,2000181,60295,14816966,68177,32581,1516872,25719,269,125657841,2262397,232,97554,49270,NA,885098,94266185,157417040,1641306,150737,4370,5824,34066128,104416739,669172,19641,4514897,3103118,27440,242953,114622,36967535,30969335,52465,181564587,92070
"9016-D_S",352809,4168225,210,10202,130799,1872200,49519,14781224,85393,58854,1140559,21972,3043,88869923,2617291,472,77115,43585,193134,1475242,67847846,123462127,1293005,133258,19608,4566,21934180,89071822,1187560,19553,3485077,2729279,19572,237963,87377,46320006,25833291,45655,132391784,335941
"9016-E_S",318441,4302404,124,9343,103540,1586842,44476,10990656,91283,823101,992330,20652,528,90029869,2079919,2428,81818,45654,1083387,1933968,62548079,112460151,947689,120652,4496157,6522,23449509,91147610,1311008,38308,2497529,2504199,21228,252745,86544,40775848,17960773,66169,148570869,314875
"9015-A_S",386507,5688749,256,5735,130351,1601964,50215,17349616,51909,683832,943913,10563,386,91083954,1881589,277,42553,47966,NA,1692804,70352208,125026884,903258,116394,641326,5021,13886010,86208558,849426,19465,2175715,2314115,17977,242661,61068,65286537,21275572,55176,134663080,111586
"9015-B_S",405908,4858085,228,6185,131320,1413300,58166,16912572,49416,1043393,1085568,11382,674,93769702,1791358,552,38133,47912,697670,1659699,76957949,135957751,974253,115630,550062,5701,17847747,86910198,701734,28825,2315305,2645624,21153,201417,80626,61262885,20499160,87598,146175391,NA
"9015-C_S",299388,5388952,974,18399,283379,3451750,164123,14705580,93349,1351163,3406983,29367,380,274527692,1786647,490,95765,98258,NA,1567002,188150961,301035972,1992356,294756,291980,11030,62688041,154764130,631449,300779,5915775,2401253,43645,524506,129930,106341147,49321343,67819,273017813,167893
"9015-D_S",296137,5086695,341,6486,100285,1469668,62998,14390843,45406,5138032,911616,8669,601,104750412,1142209,319,75883,51218,1382152,2006346,73867851,131208270,793093,109650,566820,5405,10492018,78629597,690958,31726,1972620,2353254,17630,248031,65191,56589528,14443084,47162,126890872,210661
"9002-B_S",390086,6397891,156,14132,152087,1958808,61462,15002047,116931,4658311,1443155,22171,54,160296165,3091921,347,145618,61841,310921,4689333,96729054,166198100,1017146,163284,5789,5506,46461895,104181760,1938439,256501,3053119,2494922,27069,298414,65101,64135559,20339023,54980,153516265,222444
"9009-A_S",753231,5733397,157,11782,157472,1573576,50630,9657617,83245,NA,1299911,12518,1452,118671088,3354912,438,214962,41776,NA,2246419,103271182,184351661,1118678,161420,4675,6656,22508223,104760016,1604204,18250,3240833,2530719,17828,248005,63799,89854180,22381893,62640,167619802,92901
"9009-B_S",629602,6440522,101,9899,191763,1340999,53508,9913514,77761,NA,1304577,12604,8451,109982219,3838692,354,78957,36775,NA,2393168,101911948,161747184,1059577,170305,128336,5837,21754869,103078838,1659910,22011,4289076,2267148,18845,262928,80843,101067420,25695821,86349,172633049,39211
"9009-C_S",870506,6733070,246,10072,147894,1211589,61075,9336258,36072,NA,1344717,13889,1588,119322168,4392529,634,69239,41658,NA,2057113,127982313,199699618,1048135,183396,162864,5771,22731971,104276778,963668,19990,4374520,2903771,20801,251483,89358,62328517,28357806,82672,213367394,200178
"9009-D_S",847987,6051241,386,12900,186663,1374804,52718,9733373,72523,NA,1213991,12838,647,110036412,4567432,1113,70449,47601,87145,2633461,84850898,154783389,1016059,165061,158196,6315,21725396,94434671,1732623,23736,3456123,2282316,17649,254052,81427,95088109,28882166,114232,169645599,220809
"9009-E_S",527846,6439418,171,12459,118297,1258943,42857,8828486,71257,989998,1067036,11319,216,90688694,3277086,1543,85615,48829,1636391,2484500,64957727,119079653,688905,113205,732622,5245,20457838,68693632,845048,21120,2364043,1906348,17404,228588,59764,55201325,18932731,97752,134229304,140019
"9008-A_S",224048,6800073,267,10957,110500,1297589,47691,8290630,60698,5450840,1114817,12607,NA,79905382,2333222,223,38653,64117,NA,1995306,81358455,131715902,545090,118956,131046,4992,23543487,81627507,573764,60121,2432949,3582897,16820,234169,48971,53705811,17605327,28905,122119112,121965
"9015-E_S",198645,3313082,251,7380,97854,1148309,52490,11461128,39403,830211,866636,8455,63,91882719,1000160,202,55551,52232,1152125,1543663,64965850,106486513,646672,90349,408897,4782,9137697,65228937,436637,23321,1781235,1949156,14830,270720,55911,53486814,12562442,46291,108906532,171172
