"study","study_slug","source_entry","sample_column_used","n_metadata_samples","n_matched_samples","n_profile_columns","export_file","package_file"
"BarkerTejedaTC_2024_Targeted","barkertejedatc__384f3edf","BarkerTejedaTC_2024_Targeted_CuratedMetabolome","sample_id",122,122,15,"BarkerTejedaTC_2024_Targeted_OriginalMetaboliteProfile.csv","studies/barkertejedatc__384f3edf/metabolome.csv.gz"
"BarkerTejedaTC_2024_Untargeted","barkertejedatc__21059c5e","BarkerTejedaTC_2024_Untargeted_CuratedMetabolome","sample_id",128,128,73,"BarkerTejedaTC_2024_Untargeted_OriginalMetaboliteProfile.csv","studies/barkertejedatc__21059c5e/metabolome.csv.gz"
"CarterM_2025","carterm_2025","CarterM_2025_CuratedMetabolome","sample_id",315,315,123,"CarterM_2025_OriginalMetaboliteProfile.csv","studies/carterm_2025/metabolome.csv.gz"
"ChengT_2024_F","chengt_2024_f","ChengT_2024_F_CuratedMetabolome","sample_id",54,54,968,"ChengT_2024_F_OriginalMetaboliteProfile.csv","studies/chengt_2024_f/metabolome.csv.gz"
"ChengT_2024_S","chengt_2024_s","ChengT_2024_S_CuratedMetabolome","sample_id",54,54,487,"ChengT_2024_S_OriginalMetaboliteProfile.csv","studies/chengt_2024_s/metabolome.csv.gz"
"ConleyT_2024","conleyt_2024","ConleyT_2024_CuratedMetabolome","sample_id",232,232,178,"ConleyT_2024_OriginalMetaboliteProfile.csv","studies/conleyt_2024/metabolome.csv.gz"
"DawkinsJ_2022","dawkinsj_2022","DawkinsJ_2022_CuratedMetabolome","sample_id",231,231,1368,"DawkinsJ_2022_OriginalMetaboliteProfile.csv","studies/dawkinsj_2022/metabolome.csv.gz"
"DuL_2025","dul_2025","DuL_2025_CuratedMetabolome","sample_id",15,15,214,"DuL_2025_OriginalMetaboliteProfile.csv","studies/dul_2025/metabolome.csv.gz"
"ERAWIJANTARI_2020","erawijantari_2020","ERAWIJANTARI_2020_CuratedMetabolome","sample_id",43,43,369,"ERAWIJANTARI_2020_OriginalMetaboliteProfile.csv","studies/erawijantari_2020/metabolome.csv.gz"
"FangX_2020","fangx_2020","FangX_2020_CuratedMetabolome","sample_id",310,310,178,"FangX_2020_OriginalMetaboliteProfile.csv","studies/fangx_2020/metabolome.csv.gz"
"FengZ_2021","fengz_2021","FengZ_2021_CuratedMetabolome","sample_id",29,29,857,"FengZ_2021_OriginalMetaboliteProfile.csv","studies/fengz_2021/metabolome.csv.gz"
