"","GABA","Choline","Cadaverine","Putrescine","Tryptophan","Aspartic Acid","Glycine","Histidine","Propionic Acid","Butyric/Isobutyric Acid","Valeric/Isovaleric Acid","Caproic Acid","Hippuric Acid","Glucose (and isomers)"
"Moth_50_T",0.184,0.1264976,0.6754026,0.3928696,0.3810426,0.672676,0.3703439,0.258794,8.0574548,24.4434671,11.0090667,9.8425514,0.1682179,0.2121582
"Moth_66_T",0.31215566,0.03650241,0.88174742,0.3485853,0.77963468,1.91365139,1.39838658,0.65216951,6.29306566,17.40712496,12.06163235,1.91046194,0.04809621,0.13119141
"Gran_22_T",0.023,0.077461832,0.221219564,0.008952533,0.489485361,0.7085841,0.78556335,0.143497375,4.740896945,9.336822091,7.330867459,3.78503376,0.034153849,0.213018309
"Gran_49_T",0.366,0.15065484,0.49173094,0.03385239,3.31020431,2.48318392,9.79296838,0.34999708,10.18022451,10.08888129,11.06906054,1.21692823,0.53278981,0.26307802
"Gran_32_T",0.242,0.12959335,0.84374624,0.14590349,0.98635666,2.97189169,1.03456125,0.47795782,13.8712182,17.83062727,14.64766565,0.96233578,0.04329607,1.49499664
"Gran_28_T",0.154,0.04586639,14.20702743,0.37476357,0.32428319,1.09669103,0.39564439,0.34301838,6.04512696,7.31432238,11.25148125,1.39745623,0.3537132,0.15830563
"Moth_54_T",0.153,0.07493168,0.12156123,0.30778487,0.51056431,0.94625012,0.65389647,0.33669495,3.85248773,6.85001353,5.48656167,2.27731738,1.97125907,0.16554028
"Moth_55_T",0.087,0.08620076,0.18091228,0.08617205,0.48551262,1.63068383,0.51004357,0.34297331,20.15861786,34.21743932,10.00764001,7.62307362,0.02361844,0.8309941
"Moth_31_T",0.064,0.02242347,0.03859093,0.01756633,0.41632595,1.21789497,0.51180196,0.19133364,4.83563297,9.0206201,8.2220902,2.6362959,0.01896237,0.07464246
"Inf_26_T",0.449,0.15762318,17.04941726,5.85265877,2.219752,8.83161151,2.56662013,2.49231973,11.77015072,17.27136198,7.98049601,4.45637611,0.08055129,1.0234002
"Gran_54_T",0.152,0.13732113,0.06141027,0.20054749,0.50428734,1.14646674,0.62881974,0.41277539,3.91319919,6.08172454,2.95538199,1.25254325,0.01758735,0.38183732
"Inf_66a_T",0.151,0.4306692,0.3700113,0.2561759,0.2328154,1.601787,0.8922251,0.4401694,6.8521091,0.6897495,0.6086466,0.1242707,0.2617815,1.8969063
