Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,HOST,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25176418,WGS,292,2154291598,PRJNA991269,SAMN36291160,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",983947903,SAN PABLO CEU,2018,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20924539,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 19,Illumina MiSeq,40.41 N 3.70 W,Moth 19,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 019,SRP447710
SRR25176419,WGS,263,1410410582,PRJNA991269,SAMN36291159,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",647733759,SAN PABLO CEU,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20924538,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 18,Illumina MiSeq,40.41 N 3.70 W,Moth 18,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:27:00Z,1,MA 018,SRP447710
SRR25176420,WGS,286,2089877802,PRJNA991269,SAMN36291158,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",961638834,SAN PABLO CEU,2018,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20924537,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 17,Illumina MiSeq,40.41 N 3.70 W,Moth 17,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 017,SRP447710
SRR25176421,WGS,281,1865402739,PRJNA991269,SAMN36291157,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",852579629,SAN PABLO CEU,2018,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20924536,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 16,Illumina MiSeq,40.41 N 3.70 W,Moth 16,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 016,SRP447710
SRR25176422,WGS,290,2095174137,PRJNA991269,SAMN36291156,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",958287074,SAN PABLO CEU,2018,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20924535,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 15,Illumina MiSeq,40.41 N 3.70 W,Moth 15,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 015,SRP447710
SRR25176423,WGS,290,2111820923,PRJNA991269,SAMN36291155,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",968089474,SAN PABLO CEU,2018,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20924534,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 14,Illumina MiSeq,40.41 N 3.70 W,Moth 14,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 014,SRP447710
SRR25176424,WGS,290,1790076844,PRJNA991269,SAMN36291154,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",812937323,SAN PABLO CEU,2018,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20924533,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 13,Illumina MiSeq,40.41 N 3.70 W,Moth 13,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:28:00Z,1,MA 013,SRP447710
SRR25176425,WGS,273,2264217327,PRJNA991269,SAMN36291153,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",1038376561,SAN PABLO CEU,2018,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20924532,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 12,Illumina MiSeq,40.41 N 3.70 W,Moth 12,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 012,SRP447710
SRR25176426,WGS,288,2238258238,PRJNA991269,SAMN36291152,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",1022327046,SAN PABLO CEU,2018,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20924531,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 11,Illumina MiSeq,40.41 N 3.70 W,Moth 11,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:29:00Z,1,MA 011,SRP447710
SRR25176427,WGS,268,1481890828,PRJNA991269,SAMN36291151,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",681117985,SAN PABLO CEU,2018,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20924530,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 09,Illumina MiSeq,40.41 N 3.70 W,Moth 09,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-06T19:28:00Z,1,MA 009,SRP447710
