"","sample_id","GALACTITOL","MALIC ACID","HOMOCYSTINE","N-ACETYLTRYPTOPHAN","GLUTAMIC ACID","2-AMINO-2-METHYLPROPANOIC ACID","ELAIDIC ACID","ALLO-ISOLEUCINE","5-AMINOPENTANOIC ACID","BETA-LACTOSE","PANTOTHENIC ACID","ALLOTHREONINE","ALANINE","PYROGLUTAMIC ACID","ORNITHINE","PROLINE","TRIMETHYLAMINE N-OXIDE","PUTRESCINE","3-HYDROXYPROPIONIC ACID","1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID","CHOLINE","SERINE","4-AMINOPHENOL","CATECHOL","URACIL","CREATININE","BETAINE.1","4-METHYLCATECHOL","3-METHYLCATECHOL","TAURINE","5,6-DIHYDRO THYMINE","METFORMIN","PROPIONYLGLYCINE","CREATINE","ASPARAGINE","CINNAMALDEHYDE","5-HYDROXYINDOLE","1,5,6,7-TETRAHYDRO-4H-INDOL-4-ONE","HYPOXANTHINE","PHENYLACETIC ACID","TRIGONELLINE","2-AMINOBENZOIC ACID","1-METHYLNICOTINAMIDE","5-HYDROXYMETHYL-2-FURANCARBOXYLIC ACID","VALPROIC ACID","N-BUTYRYLGLYCINE","4-ACETAMIDOBUTANOIC ACID","DEOXYCARNITINE","GLUTAMINE","LYSINE","METHIONINE","4-ACETAMIDOPHENOL","3-AMINOSALICYLIC ACID","HISTIDINE","ISOVALERYLGLYCINE","CARNITINE","1,6-ANHYDRO-B-GLUCOSE","2-METHOXYCINNAMALDEHYDE","1,5-ANHYDRO-GLUCITOL","PHENYLALANINE","1-METHYLXANTHINE.1","3-METHYLXANTHINE","7-METHYLXANTHINE","4-HYDROXY-PHENYLGLYCINE","PYRIDOXAMINE","3-METHYLHISTIDINE","4-QUINOLINECARBOXYLIC ACID","AMINO(4-HYDROXYCYCLOHEXYL)ACETIC ACID","PHENOLSULFONIC ACID","SUBERIC ACID","ARGININE","INDOLEACETIC ACID","CITRULLINE","SEROTONIN","HIPPURIC ACID","THEOPHYLLINE","PARAXANTHINE","PROPYLPARABEN","TYROSINE","1-METHYLURIC ACID","2,6-DIMETHOXYBENZOIC ACID","4-PYRIDOXIC ACID","PHOSPHOCHOLINE","AZELAIC ACID","NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE","INDOLEPROPIONIC ACID","HOMOCITRULLINE","5-HYDROXYINDOLE-3-ACETIC ACID","2-METHYLHIPPURIC ACID","1,7-DIMETHYLURIC ACID","INDOLEPYRUVIC ACID","ACETYL-CARNITINE","TRYPTOPHAN","XANTHURENIC ACID","INDOLELACTIC ACID","KYNURENINE","OMEGA-HYDROXYDODECANOIC ACID","PROPIONYLCARNITINE","5-HYDROXY-TRYPTOPHAN","N-ACETYL-TYROSINE","TRYPTOPHAN ETHYL ESTER","BUPROPION","CYSTINE","URIDINE","BIOTIN","SN-GLYCERO-3-PHOSPHOCHOLINE","PHENYLACETYL-GLUTAMINE","ADENOSINE","INOSINE","DOXYLAMINE","ASP-PHE","OCTYL GALLATE","GUANOSINE","OCTANOYLCARNITINE","5'-METHYLTHIOADENOSINE","N-ACETYLNEURAMINATE","DECANOYLCARNITINE","OMEPRAZOLE","NIFEDIPINE","LISINOPRIL","DILTIAZEM","3-HYDROXYINDOLE"
"1","4033_4",2528,10505,1452,15214,69367,153484,79715,25553264,5664459,11750,143292,305233,632026,1386710,231088,6840938,1909486,11559,81068,88018,5483610,43560,5232,27806,102014,1427418,29387,57165,53036,31389,67623,0,59859,1163770,23357,23736,120879,40992,1072724,76219,405988,109813,10590,91971,12413,30850,81410,469601,1035953,688140,1558395,7820,113192,86076,33816,3442402,149597,14662,8589,12815306,36004,53789,145501,3406,156983,86572,5715,5445,48187,406541,598945,284001,166330,218604,2097138,134865,269621,4794952,6354998,5090,1115666,30296,53091,1395113,49472,576383,10953,7616,9020,27741,42650,43158,20799886,11964,126343,283023,44587,97915,41545,2111,48549,1363,22775,49598,1497,2132283,1801708,284,377774,0,10081,2364,73425,683116,17759,2044,12561,2332,19786,0,384902,49685
"2","4067_2",1075,3228,820,8338,43746,212946,236186,28295726,6914709,5903,155157,264404,588560,826883,125757,8337650,889272,9854,35985,69795,5559582,37939,5846,39601,602134,1753426,29352,14303,94012,22930,28474,0,52455,216252,21202,11985,55519,12765,379558,101816,325710,148695,2368,83500,12940,35905,55639,554014,791208,285583,2548960,48568,26773,48147,14344,3279903,84282,3112,15344,9417842,26733,38254,85182,590,98819,21026,7013,3820,19105,25816,220282,40226,75043,19575,154602,111278,562272,69009,5724538,7521,91398,9151,9523,271775,51806,42688,3139,12008,1241,42723,32246,1800786,16527366,2764,32707,358264,13777,353689,34301,350,4920,34,31580,53545,608,410802,174233,1859,256170,363,441,10997,51621,2653333,12299,2942,7599339,0,6268,0,121443,17618
"3","4033_2",1985,9495,1391,7942,48403,202337,226087,28919008,5776268,12258,116776,201583,370243,1054864,210430,4649810,2089162,10225,65042,73799,5009412,41230,4252,57690,715681,1428169,28288,46326,46429,26168,67318,337,53910,1189732,20588,21745,109413,33804,859900,77915,287989,144777,9414,61573,14829,17355,82472,515488,992329,677870,2310665,6695,75125,106025,23635,4673794,147356,6147,9923,14049066,72866,93156,252633,4099,152213,32466,6387,6728,573187,241171,534194,306370,143558,173670,616186,204668,979479,997095,5667250,7212,720931,9747,40805,838913,46248,184105,6558,18051,1754,51200,53087,222326,20787144,4692,83927,265240,57778,121672,46704,156,52755,1204,18185,46508,949,1640078,2490445,197,405790,109,4454,5826,72637,1566982,17626,2104,30403,2497,16345,3,206353,52050
"4","4033_1",1326,17511,266,9044,47903,206371,220991,26222920,5468531,9255,121538,225715,480143,1178086,210265,4689625,1577576,12904,74537,71876,5130700,45769,4010,29435,89462,1538286,21737,49033,51500,34375,63768,1114,47456,825730,22483,22107,108048,23550,837165,77256,296124,97514,14286,73493,15589,19746,78554,578550,950437,676613,1379736,6286,78253,98204,20585,4827568,144809,23164,9022,14123879,37708,43881,127616,5857,152792,27010,5560,5604,45021,268663,551108,297643,146626,216962,1005499,105696,299305,570544,5453917,3782,840042,14710,37220,931942,46134,188011,6443,17047,3384,52423,47823,198132,19258734,5140,84625,268780,36378,101544,46115,1274,39838,679,17526,46231,2243,1795104,2016068,926,685981,384,8489,5669,167121,2372692,17366,1497,45233,2868,23434,226,231465,51916
"5","4032_4",990,11839,489,10252,102103,305063,22728,33665844,6422820,9632,87818,330931,658165,660609,128873,5756790,1010388,7173,63367,89346,4535205,66148,3728,25551,651090,1115509,21567,4935,12286,42887,37025,0,35654,493122,24654,16177,19093,39396,419481,41758,171265,57062,6304,73269,35723,12883,34556,457815,892295,347310,2441708,5651,36240,47960,14049,3981935,141073,39000,17420,14215963,20704,32842,42041,6613,121866,23868,7814,15664,74742,43639,305491,34420,94942,59343,452626,317286,1135656,201433,9813299,12309,245449,19055,22377,80144,39614,221135,4548,8375,965,17322,42391,73024,33313362,4716,30319,397283,54910,147538,33221,1960,10522,1962,45145,46951,967,1151599,445819,389,472180,345,70967,7479,153680,562445,10465,25023,1546164,548,22960,14150,111011,17199
"6","4032_3",1045,3729,495,12932,99354,265654,29433,31870834,6832482,11655,90446,341400,652418,724053,134075,5941419,1084386,9177,66631,90917,4677352,53017,6280,21781,549699,1087369,17993,11655,19370,35566,34704,0,38657,471151,24280,18587,26681,44489,745022,64406,185630,59103,5353,89546,29036,12787,41625,526517,891278,363099,2606948,5003,43946,48302,13554,4210700,153562,41555,18958,14861789,21818,42353,45929,4528,119361,41778,11179,17606,134164,69816,317595,30791,98150,39954,393840,398404,1574302,217813,10092877,15703,418381,12599,25226,175526,68491,249308,4909,8139,1727,19880,45031,113824,34354184,5324,36082,553080,103080,162917,37582,2390,11421,2464,48114,46141,874,1368466,326431,446,369657,460,78754,7448,50300,524927,11380,32089,1412206,1004,34786,16257,288834,22664
"7","4032_2",3322,5354,616,14877,115657,368842,22625,37834200,7807274,8886,99752,353959,685834,677701,139090,5642789,1656068,9244,60298,93930,4817056,69608,6722,24068,616532,1033319,18695,19928,26886,34657,38796,0,35017,846607,25331,12458,41092,41505,801641,61313,210522,76994,10559,74441,27058,16609,45703,491031,868260,372821,2676496,5363,41858,42678,14709,3991171,133854,40685,17562,14433128,49884,82861,146969,4777,128381,115485,7653,15838,133838,76794,316172,32504,97667,48185,583131,346091,1738155,391117,11488711,16482,378487,23022,18887,178442,66532,235964,5041,7228,1577,29676,48871,169018,35097520,6057,37966,481848,105767,227340,32570,2473,11374,1566,41272,49978,1163,980165,434102,0,432500,939,76967,15679,72283,516876,11085,38780,1405540,1009,55002,14034,271544,22300
"8","4032_1",1755,13821,752,8716,111497,350995,27877,38959140,7607580,9921,104565,305421,622036,724535,135159,4972016,3678550,7909,64250,82911,4481988,64269,1473,17974,898512,882785,19625,17922,12822,42058,50495,0,35255,668222,23581,15250,9849,40001,612867,40265,176290,21188,6475,61247,21994,11032,48336,370440,912860,382126,2646394,5510,53633,51854,12788,2968246,151697,40190,18565,15523316,52303,76403,124012,4221,132516,36077,8580,10921,115580,47489,283307,29214,91326,54589,783527,397475,1559638,303521,10152570,21400,310363,16839,19517,94532,45771,144958,5597,9023,1667,17913,45004,83238,32053008,7636,35381,432740,27511,148076,39256,1993,14101,3391,38909,49210,1048,1042899,310100,4176,707787,550,49921,15116,196898,702305,11516,29429,1798958,560,25091,18822,128166,23734
"9","4029_4",235,3925,2805,23764,45997,109082,154063,28480430,8477632,12252,78725,179033,511209,1176932,171266,6408292,1325419,18514,69654,68150,4638688,30800,3110,29864,761818,1205156,38337,39719,54963,19512,77965,0,43178,176668,25637,21361,62475,38317,772603,90206,636129,124598,4160,103772,11797,21247,70890,799980,1023003,623844,1558528,983428,85158,89171,17451,4450053,154411,4627,19609,13269082,340,5348,12223,264,137345,34465,7056,6447,24362,361659,540362,331755,134828,149144,1449580,51631,127129,48059,5250386,4259,952788,10614,38232,1259026,69622,4050187,6483,15375,1868,60470,56233,97928,27155826,8658,166710,346028,35513,218636,38639,2896,25073,213,15923,39572,3932,1558748,1056260,362,225557,309,15300,0,32466,514553,17816,2919,9436,4745,26650,134,375904,34551
"10","4029_3",1333,1711,1351,20720,90144,131578,43235,34558128,6535247,9848,66160,221887,600317,901012,131730,5654253,1287300,15312,53503,78549,5595668,51655,6272,29259,552957,865098,19103,26860,40295,53377,49856,0,31599,150783,35035,7279,30548,23884,691910,82282,470510,57763,2523,126288,46232,16440,54980,704605,1023464,261830,2444384,8978,43064,37745,12810,3768044,129328,44759,31955,12383564,522,0,2231,1935,88110,16222,6213,5737,56272,98660,318592,31234,133792,88799,1100862,18677,40032,15230,5820277,1586,475950,13156,23074,413376,50423,728849,7740,10016,1980,13598,42425,151260,27680720,10157,35825,353701,13142,251632,25062,2179,4699,808,21471,52436,1192,1243650,924921,0,71321,323,646186,8429,13093,384685,10483,29488,826855,85,56283,0,417423,26483
