"","sample_id","10.10_propan-1-ol","10.73_butanal","10.81_butane-2,3-dione","11.08_ethyl acetate","11.09_butan-2-one","11.35_butan-2-ol","11.68_methyl propanoate","11.71_chloroform","12.51_2-methylpropan-1-ol","12.53_2-methylpropane","13.10_3-methylbutanal","13.36_acetic acid","13.39_2-methylbutanal","13.83_3-methylbut-3-en-2-one","14.00_butan-1-ol","14.19_1-ethenylaziridine","14.51_pentan-2-one","14.55_S-methyl ethanethioate","14.58_1-sulfanylpropan-2-one","14.63_ethyl propanoate","14.72_Pentanal","14.72_pentane-2,3-dione","14.83_propyl acetate","15.14_methyl butanoate","16.41_ethyl 2-methylpropanoate","16.54_4-methylpentan-2-one","16.55_(methyldisulfanyl)methane","16.67_3-methylbutan-1-ol","16.89_propanoic acid","16.95_3-methyl-2,3-dihydrofuran","17.00_octane","17.02_toluene*","17.10_3-methylpentan-2-one","17.23_methyl 2-methylbutanoate","17.50_2-methylpent-1-en-3-one","18.12_ethyl butanoate","18.17_hexane-2,3-dione","18.23_hexan-3-one","18.49_propyl propanoate","18.56_hexan-2-one","18.73_hexane-3,4-dione","18.74_butyl acetate","18.84_hexanal","19.04_2-methylpropanoic acid","19.14_methyl pentanoate","20.01_ethyl 2-methylbutanoate","20.13_butanoic acid","20.15_heptan-3-one","20.53_1-cyclopropylpropan-1-one","20.73_2-methylpropyl propanoate","20.78_Ethylbenzene**","20.84_Nonane","21.25_5-methylhexan-2-one","21.38_furan-2-carbaldehyde","21.49_3-methyl-1H-indole**","21.56_(E)-hex-2-enal","21.60_2-methylhexan-3-one","21.78_hexan-1-ol","21.86_propyl butanoate","21.94_ethyl pentanoate","22.16_3-methylbutanoic acid","22.23_Styrene","22.24_butyl propanoate","22.39_2-methylbutanoic acid","22.46_heptan-2-one","22.52_pentyl acetate","22.66_3-isothiocyanatoprop-1-ene","22.77_heptanal","22.88_(3S)-3,7-dimethylocta-1,6-diene","22.91_methyl hexanoate","23.02_2,6,6-trimethylbicyclo[3.1.1]hept-2-ene","23.42_3-(methyldisulfanyl)prop-1-ene","23.65_propyl 2-methylbutanoate","23.66_pentanoic acid","23.84_S-methyl 3-methylbutanethioate","23.98_2-methylpropyl butanoate","24.11_3-methylsulfanylpropanal","24.22_2-methyl-6-methylideneoct-2-ene","24.35_methyl 2-methylpentanoate","24.45_(6E)-2,6-dimethylocta-2,6-diene","24.51_decane","24.61_2,2,4,6,6-pentamethylheptane","24.69_4-methyl-1-propan-2-ylbicyclo[3.1.0]hex-2-ene","24.76_6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane","24.76_7-methyl-3-methylideneocta-1,6-diene","24.84_6-methylheptan-2-one","25.14_2-pentylfuran","25.26_5-methylheptan-2-one","25.27_(2E,4E)-3,7-dimethylocta-2,4-diene??","25.44_butyl butanoate","25.47_(Z)-hept-2-enal","25.53_ethyl hexanoate","25.70_2-methyl-5-propan-2-ylcyclohexa-1,3-diene","25.79_octan-3-one","25.85_(methyltrisulfanyl)methane","25.95_4-methylpentanoic acid","26.00_6-methylhept-5-en-2-one","26.11_octan-2-one","26.14_benzaldehyde","26.45_Octanal","26.49_methyl heptanoate","26.56_(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene","26.69_1-methyl-4-propan-2-ylbenzene","26.93_hexanoic acid","27.02_butyl 2-methylbutanoate","27.12_1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","27.16_1-methoxy-4-methylbenzene","27.16_butyl 3-methylbutanoate","27.19_2-methyl-4,5-dihydro-1,3-oxazole","27.48_1-methyl-4-propan-2-ylcyclohexa-1,4-diene","27.93_undecane","28.11_2,2,6-trimethylcyclohexan-1-one","28.46_methyl cyclohexanecarboxylate","28.55_Phenol","28.71_thiolan-2-one","28.81_propyl hexanoate","28.90_ethyl heptanoate","29.14_2-phenylacetaldehyde","29.22_3-(4-methylpent-3-enyl)furan","29.55_nonan-2-one","29.72_3,7-dimethylocta-1,6-dien-3-ol","29.81_methyl octanoate","29.89_nonanal*","29.90_1-phenylethanone","30.08_Heptanoic acid","30.22_pentyl 2-methylbutanoate","30.39_pentyl 3-methylbutanoate","30.61_2-methylpropyl hexanoate","30.62_2-methoxyphenol","30.76_ethyl cyclohexanecarboxylate","31.14_dodecane*","31.35_4-methylphenol","31.39_cyclohexa-1,4-diene","31.90_hexyl butanoate","31.91_butyl hexanoate","32.03_ethyl octanoate","32.04_cyclohexanecarboxylic acid","32.13_1-phenylpropan-2-one","32.66_6-methyloxan-2-one","32.67_1,3,4-oxadiazole","32.69_decan-2-one","32.72_4-methyl-1-propan-2-ylcyclohex-3-en-1-ol","32.81_1-Methyl-4-isopropyl-cyclohexyl 2-hydroperfluorobutanoate","32.84_methyl 2-phenylacetate","32.98_octanoic acid","33.05_Decanal","33.34_2-(4-methylcyclohex-3-en-1-yl)propan-2-ol","33.73_methyl 2-hydroxybenzoate","33.87_propyl cyclohexanecarboxylate","33.91_1,3-ditert-butylbenzene","34.19_4-ethylphenol","34.80_hexyl pentanoate","34.93_undecan-4-one","35.41_2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one","35.47_3-propan-2-ylbenzaldehyde","35.56_piperidin-2-one","35.71_undecan-2-one","35.76_methyl 3-phenylpropanoate","35.98_1-methoxy-4-[(E)-prop-1-enyl]benzene","36.09_3-ethyl-4-methylpyrrole-2,5-dione","36.51_2,3,5-trimethyl-4-methylidenecyclopent-2-en-1-one","36.51_4-ethenyl-4-methyl-1-propan-2-yl-3-prop-1-en-2-ylcyclohexene","36.83_(1R,5S,6R,7S,10R)-4,10-dimethyl-7-propan-2-yltricyclo[4.4.0.01,5]dec-3-ene","36.93_tetradecane","37.30_2,4-Decadienal","37.59_2-methyl-5-(6-methylhept-5-en-2-yl)cyclohexa-1,3-diene","39.01_1H-indole","40.94_1-methyl-4-(6-methylhept-5-en-2-yl)benzene","7.10_ethanol*","7.70_propanal","7.86_propan-2-one","7.97_methylsulfanylmethane","8.07_propan-2-ol","8.25_carbon disulfide","8.40_methyl acetate","8.46_acetonitrile","9.55_2-methylpropanal"
"1","3A",76959744,,20812800,,12966912,,1705664,,,,31851520,30115840,18646016,2518272,,,6898944,,,7340544,13872128,18354176,10281984,12989440,,6770176,,,123097088,,10363904,18487296,,,3625216,41623552,,,26368000,,5955328,,14419968,12944384,3516416,,663224320,,,,1556032,,,,,734656,,,57008128,7458304,42586112,33763328,16512000,,9811968,,,4394240,,,4291328,,,145932288,9989120,,3138304,,325536,,2928128,6004736,2918144,1522688,2042944,9054208,4871168,11983872,,16699392,,,1170112,,,9027584,59809792,,7937024,3898880,,2016192,1270464,,,2551296,,,,,,549504,,21575680,1584576,,,30789632,,5643008,1271552,,4795904,,,,,,,412256,2218240,1632832,,,,515968,,677568,,,443936,,,,2754560,,,1505728,167504,,,,,,,,2251264,,,703424,,,,,,,39538688,,45060096,1658560,14013440,,3091200,,2141440,,3386880
"2","9A",5574656,,6317568,,12675072,,767552,,,,37302272,88403968,31852544,5914112,,,10040320,,,,,10257408,,2413056,,,28581888,,135397376,,6057984,566912,1931328,1368704,6949120,1554048,,,,3970304,,,11713536,120356864,1940544,,683343872,,,,,,,823040,,,,,2791424,694912,352894976,17981440,,229244928,17863680,,,3402496,,5656064,8890368,,,655425536,4413696,,9435136,,,,4210432,5347072,1715328,1798272,1803904,2163968,3052544,2356224,,,3580672,,489600,,15414272,,26029056,,15840256,5915904,1483968,11961344,1626432,429703168,,,,,,1118464,1031424,,1176832,21585920,,1564608,,58093568,,3539456,2074368,,3691008,1328000,35880960,,,,,851840,3165696,870580224,,,,,72052736,,1037184,,1206016,,,,,,,3896832,,,,,,556544,,,1175168,,,,,,,,,,549519360,,8709120,772480,11243520,1598272,2281472,,,,5747968
"3","11A",5699584,445040,12268544,,34390016,,,,,725504,47251456,12924928,22833152,2413056,,,7021312,,,,,27953152,,,,,86130688,,29498368,,,10158080,,,3639552,,4100096,,,4786176,,,8897536,22782976,,,198000640,3269120,,,,,1812160,,64561152,,,,567872,,110014464,42459136,,77099008,9240576,,,2255616,2803456,,,,,165576704,,,9630720,,,,2973440,,,27652096,,3137024,,2019200,,1262848,1112320,,44027904,,40865792,,32275456,2443008,16612352,2061760,,130965504,54657024,,,,770176,,,50098176,704320,,,4422400,662720,,,72216576,,991232,800704,,1684864,1029312,,,,,,,5254144,1863057408,974127104,,,,,2335744,,,,,,,,,,,,,6337024,,,32818176,,,,,2290944,,,2194944,324784,1387456,,,803340288,2844672,11176960,829696,44331008,1832512,2475264,1092352,,,7491584
"4","19A",5998336,,11747328,,7887360,,,,,,91987968,,50434048,3361536,,,2127616,,,,,21121024,,,,,11611136,,12625920,260208,822720,6530304,,,4643840,,2721024,,,1147520,,,4812544,,,,10814464,,,,,,2034432,,,,10881024,,,,2568192,38277120,,,7458816,,,2573824,,,20768768,,,4429824,5281280,,9085952,,,,5555968,,,24624128,7916800,,1913344,5614336,,,,,23681024,,,,16847872,2568704,35770368,5010176,,419528704,40828928,,,4461312,,,,15190016,1335424,,,376438784,,,,113352704,,6202112,12825600,,2546688,1053056,,,,,,,15507456,2501115904,,,,,,1184640,,,,,,,,,,2384384,,,,,,823488,,,1837696,,,1556672,,,,9388032,,,1097924608,,9241600,,6722304,,12856320,,,,14070784
"5","22A",,,23081984,,33763328,,,,,,31134720,3023872,15360000,5177600,,,7330560,,,,,127950848,,,,,476545024,,16703488,,,12834816,3783168,,8168192,,,,,5622272,3820800,,12450816,9590784,,,116461568,,,,2383616,,,,14722048,,,,,,46768128,120279040,,36667392,7025664,,,3268352,1284672,,2835712,2041536,,60116992,4322048,,4119040,1504448,,,863808,,2088832,25268224,1608448,2551040,,2204672,,,1194816,,720320,,448790528,,26651648,5853184,37163008,2202624,,40534016,43208704,2818560,,1124480,690880,,,67452928,,,,208519168,,,,40800256,,4848640,1288512,,1710720,920576,,,,,,,,2518155264,,,,,,1114112,,,2165248,,,,,,,,,119212,,,,,886656,,2275328,,412512,464096,,367952,,,,,452165632,,8650752,1683904,53497856,,,1733120,,,4488704
"6","23A",,,7802112,,12633088,1912000,,,,,163381248,,107802624,1048896,,,4008960,,,,,32064512,,,,,24053760,,,428368,2552832,7294208,,,2247936,,2487552,,,2941696,,,3900928,,,,,5056768,,,1526272,534848,,508720,27342848,,,,,,,208158720,,,7330304,,2649856,3621632,891072,,,1009664,,,8386560,,15383552,,,,22851584,,,38797312,,,9012224,1020352,,,869760,,58646528,,,,51175424,,41680896,3469568,,284377088,40648704,,,,1794432,,,4246528,789632,,,49377280,,,,101810176,1140608,1551872,2641408,,2019520,1449152,,,,,679360,,16416768,1513947136,,,,,,,,,393376,,,,,,,895296,,1927168,,,,3516160,,,,,,662720,,3395584,,1255680,,,904724480,,12132352,,14166016,229552,2722304,,,,29495296
"7","27A",,,10552320,,16612352,1162752,,,,,110845952,,62476288,998464,,,3707392,,,,,21025792,,,,,102359040,,13407232,,,14218240,,,,1868096,,,,1534336,,,4683776,4508928,,,41332736,5362176,,,431360,,,,,,,,,,19342336,12408832,,15025152,7794432,,,1658048,1176512,,61476864,,,20956160,,,7885312,,,,1201216,982912,,33771520,,,2022784,,1739520,,,,9423872,,16661504,,15491072,1605888,14082048,1170688,,215040000,18849792,,,,,,,17782784,,,,2543616,,,,56066048,,,,,1125440,1075648,,,,,,,808640,1506476032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586752,,,236732416,,8352768,628992,13942784,14030848,,,,,18105344
"8","29A",6071552,,6361856,,10012672,,,,,,157253632,,80216064,2780416,,,2142208,,,,,17149952,,,,,75608064,,14544896,,,7143936,,,5732096,,2607872,1080576,,,,,8663040,12013568,,,39108608,3826688,,,712832,,,,33677312,,,,,,46546944,16419840,,34086912,7299840,,,2777344,1256000,,51240960,,,28986368,,,11339776,1372544,,2263808,3461888,,,66080768,,,,,3041792,,,,35319808,,,,27245568,1322624,20200448,1381568,,115949568,24741888,,,,1366400,,,4901888,,,,,,,,113651712,,,367808,,1274688,517616,,,,,,,3062016,1576337408,507609088,,,,,1457408,,,,,,,,,,,,,,,,,,,871744,,,1521536,,5174784,493216,1089920,,,99246080,,9137152,,12502016,17721344,,,,,25652224
"9","31A",166166528,,46645248,15687680,,,5310976,,,,17031168,17916928,9373696,3360512,,,5065984,,,16483328,,36093952,16892928,6380800,,,,,68349952,,,2706944,,1511488,3789312,17150976,17927168,,10327040,,,,11387904,8019712,2847744,,388972544,,,,367728,,,,2042624,994752,,,4066560,1344384,18646016,40218624,,7597056,5301504,,,2078208,,,521648,,,175996928,3526400,,1695872,,,,2508800,,,,,1859264,,3269120,,796096,2083264,,,,,,9381888,,8231424,1238912,,897152,,,,,,,,,,,2618624,64552960,1616448,,,34586624,,1534272,524352,,1240960,766080,,,,,,1345600,1644608,145309696,,,,,2750720,,,,,,,,,,,816448,904768,,,,,,,,,,,380336,,,,,,,384237568,,63918080,,4465408,,3763456,,7301376,,2450688
"10","33A",32174080,1586688,14143488,23712768,,2974464,1859776,,,,13143040,325140480,,6431744,,,43286528,,,7097856,,13236224,17238016,18938880,,2769408,,,142065664,,,5109504,,,2944000,19013632,,,5451520,7995904,,27461632,7201536,26142720,9544704,,1166671872,,,,1256192,,,,238387200,,,,36380672,5902080,94912512,123932672,,53125120,52187136,18933760,,2666496,,46776320,5217024,,,892338176,,4865536,3497216,,,,7152384,,615040,2115584,1452800,,1227584,4249600,,89313280,,36323328,,,,,16284672,,14251008,4258304,,19267584,6580736,,,,,,,7328256,2411776,,,28521472,,35045376,,44015616,,6185472,937408,12186624,4885504,1361280,237076480,,,,,,16357376,485457920,,40497152,53878784,7710208,6173696,2879744,,,2484992,,,,153763840,,,,,,,5616384,,,,,2969856,,582976,,,,,2039936,,,98033664,418144,53735424,2006336,11716608,,,,9841664,,2703616
