"","Abiotrophia_defectiva","Acetatifactor_muris","Acidaminococcus_fermentans","Acidaminococcus_intestini","Actinomyces_graevenitzii","Actinomyces_lingnae","Actinomyces_odontolyticus","Actinomyces_radingae","Actinomyces_turicensis","Aggregatibacter_segnis","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Alloprevotella_tannerae","Alloscardovia_omnicolens","Anaerococcus_murdochii","Anaerococcus_vaginalis","Anaerofustis_stercorihominis","Anaeroglobus_geminatus","Anaerorhabdus_furcosa","Anaerosinus_glycerini","Anaerosporobacter_mobilis","Anaerostipes_butyraticus","Anaerostipes_hadrus","Anaerotruncus_colihominis","Atopobium_parvulum","Bacillus_thermoamylovorans","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanolyticus","Barnesiella_intestinihominis","Bifidobacterium_bifidum","Bifidobacterium_dentium","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_hydrogenotrophica","Blautia_luti","Blautia_producta","Blautia_schinkii","Blautia_stercoris","Brenneria_goodwinii","Burkholderia_andropogonis","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Campylobacter_concisus","Campylobacter_curvus","Campylobacter_gracilis","Campylobacter_ureolyticus","Catabacter_hongkongensis","Cellulosilyticum_lentocellum","Christensenella_minuta","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_aminovalericum","Clostridium_bartlettii","Clostridium_butyricum","Clostridium_cadaveris","Clostridium_chartatabidum","Clostridium_citroniae","Clostridium_clostridioforme","Clostridium_cocleatum","Clostridium_disporicum","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_neonatale","Clostridium_nexile","Clostridium_oroticum","Clostridium_paraputrificum","Clostridium_perfringens","Clostridium_phytofermentans","Clostridium_populeti","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_scindens","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_xylanovorans","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Cronobacter_sakazakii","Cryptobacterium_curtum","Daucus_carota","Dialister_invisus","Dialister_pneumosintes","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Dysgonomonas_capnocytophagoides","Dysgonomonas_gadei","Eggerthella_lenta","Eikenella_corrodens","Elusimicrobium_minutum","Enterobacter_cloacae","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_contortum","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Finegoldia_magna","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_necrogenes","Fusobacterium_necrophorum","Fusobacterium_nucleatum","Fusobacterium_periodonticum","Fusobacterium_varium","Garciella_nitratireducens","Gemmiger_formicilis","Gordonibacter_pamelaeae","Granulicatella_elegans","Helicobacter_ganmani","Hespellia_porcina","Holdemania_filiformis","Howardella_ureilytica","Intestinimonas_butyriciproducens","Klebsiella_oxytoca","Lactobacillus_acidipiscis","Lactobacillus_algidus","Lactobacillus_casei","Lactobacillus_delbrueckii","Lactobacillus_dextrinicus","Lactobacillus_fermentum","Lactobacillus_helveticus","Lactobacillus_iners","Lactobacillus_johnsonii","Lactobacillus_kalixensis","Lactobacillus_perolens","Lactobacillus_plantarum","Lactobacillus_reuteri","Lactobacillus_rhamnosus","Lactobacillus_salivarius","Lactobacillus_vaginalis","Lactococcus_lactis","Lactonifactor_longoviformis","Lactuca_sativa","Leptotrichia_hongkongensis","Leptotrichia_shahii","Leptotrichia_wadei","Marvinbryantia_formatexigens","Megamonas_funiformis","Megasphaera_cerevisiae","Megasphaera_micronuciformis","Methanobrevibacter_smithii","Microvirgula_aerodenitrificans","Mitsuokella_jalaludinii","Morganella_morganii","Negativicoccus_succinicivorans","Odoribacter_laneus","Odoribacter_splanchnicus","Oribacterium_sinus","Oscillibacter_valericigenes","Oscillospira_guilliermondii","Oxalobacter_formigenes","Paenibacillus_taiwanensis","Papillibacter_cinnamivorans","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_merdae","Paraprevotella_clara","Parasutterella_excrementihominis","Parasutterella_secunda","Parvimonas_micra","Pediococcus_acidilactici","Pediococcus_pentosaceus","Peptoclostridium_difficile","Peptoniphilus_asaccharolyticus","Peptoniphilus_coxii","Peptoniphilus_lacrimalis","Peptoniphilus_timonensis","Peptostreptococcus_anaerobius","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Photorhabdus_luminescens","Polynucleobacter_cosmopolitanus","Porphyromonas_asaccharolytica","Porphyromonas_bennonis","Porphyromonas_somerae","Prevotella_bivia","Prevotella_buccae","Prevotella_buccalis","Prevotella_copri","Prevotella_corporis","Prevotella_denticola","Prevotella_disiens","Prevotella_histicola","Prevotella_maculosa","Prevotella_melaninogenica","Prevotella_nanceiensis","Prevotella_nigrescens","Prevotella_oralis","Prevotella_pallens","Prevotella_salivae","Prevotella_stercorea","Prevotella_timonensis","Proteus_mirabilis","Pseudoflavonifractor_capillosus","Pyramidobacter_piscolens","Rikenella_microfusus","Robinsoniella_peoriensis","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_dentocariosa","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Scardovia_wiggsiae","Sedimentibacter_saalensis","Selenomonas_flueggei","Selenomonas_sputigena","Shuttleworthia_satelles","Slackia_isoflavoniconvertens","Solobacterium_moorei","Sphingomonas_humi","Stomatobaculum_longum","Streptococcus_agalactiae","Streptococcus_anginosus","Streptococcus_equinus","Streptococcus_mutans","Streptococcus_sanguinis","Streptococcus_thermophilus","Subdoligranulum_variabile","Succinivibrio_dextrinosolvens","Sutterella_stercoricanis","Sutterella_wadsworthensis","Telmatospirillum_siberiense","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_dispar","Veillonella_parvula","Veillonella_ratti","Weissella_paramesenteroides"
"1020",0,0,0,0,0,0,0,0,0,0,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14159,39,0,0,0,71,0,0,0
"1021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,276,0,0,0,0,1201,0,0,0,0,0,0,505,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,4853,0,0,0
"1022",0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,296,0,571,0,0,0,2638,1285,0,127,0,87,0,0,0,0,0,0,0,540,0,0,329,189,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,7780,0,0,0
"1023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,419,0,0,0,0,0,5242,0,0,0,0,254,0,0,0,0,0,0,0,240,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,9,0,5837,0,0,0
"1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,84,0,0,0,0,0,800,137,0,0,0,0,0,0,0,0,0,0,0,68,0,0,194,660,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,116,0,0,0,1349,0,0,0
"1161",0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,0,0,0,0,0,0,0,0,0,0,0,0,67,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42026,0,0,0
"1162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,842,0,63,0,0,0,0,0,0,0,0,43,238,0,0,0,210,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,473,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0
"1163",0,0,7,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,94,0,0,0,3411,0,47,0,0,0,380,0,0,0,0,69,0,0,0,0,361,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,86,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,13526,0,0,0
"1164",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,839,2158,0,402,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,202,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,38,1179,0,0,0,20,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,14817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,9330,0,0,0
"1191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,218,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24230,0,0,0
