"","sample_id","Lysine","Histidine","Ornithine","Glutamine","Glutamic acid","Anserine","Carnosine","Sarcosine","beta-Alanine","Alanine","Dimethylglycine","GABA","Serine","Threonine","Homoserine","Creatine","Hydroxypropionic acid","Glycylproline","AMP","Lactic acid","Nicotinic acid","Methylcysteine","2-Phenylglycine","Tyrosine","3,4-Dihydroxyhydrocinnamic acid","Asparagine","Protocatechuic acid","Phenylalanine","Hydroxyphenyllactic acid","Glycyleucine","Aspartic acid","Glucaric acid","2-Butenoic acid","Pyrrole-2-carboxylic acid","2-Hydroxy-3-methylbutyric acid","4-Hydroxybenzoic acid","ortho-Hydroxyphenylacetic acid","Hippuric acid","N-Acetylalanine","Malic acid","N-Acetylaspartic acid","N-Acetytyrosine","Ethylmethylacetic acid","Coumaric acid|4-Hydroxycinnamic acid","Indoleacetic acid","Fumaric acid","Glutaric acid","Aconitic acid","N-Acetyltryptophan","Cinnamic acid","2-Phenylpropionate","Hydrocinnamic acid","Benzenebutanoic acid","Indole-3-propionic acid","N-Phenylacetylphenylalanine","Azelaic acid","Sebacic acid","Ketoleucine","3-Methyl-2-oxopentanoic acid","Phenylpyruvic acid","Methylmalonic acid","2-Hydroxyglutaric acid","Glycine","Guanidoacetic acid","Citrulline","Galactonic acid","Gluconolactone","Glycolic acid","alpha-Aminobutyric acid","Glyceric acid","Proline","Acetylglycine","Pipecolic acid","Erythronic acid","N-Acetylserine","N-Acetylglutamine","Quinic acid","N-Acetylneuraminic acid","Acetic acid","Valine","5-Aminolevulinic acid","Maltose|Lactose","3-Hydroxybutyric acid","Methionine","4-Aminohippuric acid","alpha-Hydroxyisobutyric acid","2-Hydroxybutyric acid","3-Hydroxyisovaleric acid","Glutaconic acid","Isoleucine","Leucine","Xylose","Ribulose","Xylulose","Rhamnose","beta-D-Fucose","p-Hydroxymandelic acid","Fructose","N-Acetylglucosamine","Propionic acid","Glyceraldehyde","Homovanillic acid","3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid","2-Furoic acid","p-Hydroxyphenylacetic acid","Tryptophan","Butyric acid","Isobutyric acid","Mandelic acid","Malonic acid","Phenylacetylglutamine","Tartaric acid","Isovaleric acid","Valeric acid","Phenyllactic acid","Oxalic acid","Maleic acid","Citraconic acid","Methylsuccinic acid","Adipic acid","Methylglutaric acid","Phthalic acid","Pimelic acid","3-Methyladipic acid","Isocaproic acid","Caproic acid","Suberic acid","TCA","Citric acid","Isocitric acid","4-Methylhexanoic acid","Heptanoic acid","Pyruvic acid","TDCA","TCDCA","7-DHCA","Oxoglutaric acid","GUDCA","Octanoic acid","bHDCA","UDCA","HDCA","CA","GCA","Nonanoic acid","Decanoic acid","isoLCA","CDCA","GCDCA","GDCA","Undecanoic acid","5Z-Dodecenoic acid","Dodecanoic acid","Tridecanoic acid","Myristoleic acid","9E-tetradecenoic acid","Ricinoleic acid","LCA","bDCA","DCA","GLCA","Myristic acid","9-Pentadecenoic acid","Pentadecanoic acid","Palmitoleic acid","10Z-Heptadecenoic acid","10-Trans-Heptadecenoic acid","alpha-Linolenic acid","gamma-Linolenic acid","Linoleic acid","EPA","Arachidonic acid","Dihomo-gamma-linolenic acid","DHA","DPA","DPAn-6","Succinic acid","Citramalic acid","Oleic acid","10Z-Nonadecenoic acid","3-Hydroxyphenylacetic acid","Carnitine","Propionylcarnitine","2-Methylbutyroylcarnitine","Glutarylcarnitine","Adipoylcarnitine","Dodecanoylcarnitine","Tetradecanoylcarnitine","Palmitoylcarnitine","Oleylcarnitine","Linoleylcarnitine","Stearylcarnitine","Glucose 6-phosphate","GLCA-3S","LCA-3S","NorCA","NorDCA","UCA","2,2-Dimethyladipic acid","7-KetoLCA","12-DHCA","12-KetoLCA","Indole-3-carboxaldehyde","N-Acetylhistidine","2,2-Dimethylsuccinic acid","Indolelactic acid","1-Methylhistidine","4-Hydroxyproline","gamma-Glutamylalanine","DCA-3S","GDCA-3S","GCDCA-3S","Imidazolepropionic acid"
"1","A11",1016.3639,354.7361,541.5174,772.5227,1674.4677,6.4974,13.479,17.1702,87.3503,3500.3538,9.4493,512.6903,1124.8739,718.3996,29.2496,17.1364,580.9263,58.1173,5.7678,428.9699,501.7632,4.2131,1.0691,502.0378,0.5238,32.3143,106.6217,806.1977,18.1785,130.7472,1126.9934,12.6162,74.2712,0.3229,8.1718,6.5252,1.2835,0.6085,195.2231,874.5254,99.922,25.9591,4121.4313,4.156,25.2276,115.123,763.3914,7.5457,9.9768,0.221,353.2258,871.8305,1.8557,62.8999,1.0407,27.6479,11.5101,313.7895,338.4292,28.1909,123.5441,165.087,990.4371,4.5541,1347.3056,10.7173,58.3772,109.9549,54.9618,58.1454,614.5749,88.182,341.5943,2.2619,72.1495,26.8189,3.0912,50.9971,162378.7937,1396.7336,412.4157,316.2892,242.1788,843.847,35.0578,16.2679,15.5635,5.2343,85.6104,1115.5754,2000.1764,4480.9749,31.2821,23.713,99.9143,114.9638,1.1976,542.3779,178.8292,58116.167,325.3782,11.291,3.2172,2.0465,19.1575,195.1062,23857.309,11137.6826,0.705,11.772,0.8877,0.2126,5430.6007,12699.5616,12.0708,100.9516,3.2592,4.1785,453.7312,93.5883,29.8623,2.5047,11.7172,5.1892,27.4885,1242.8038,13.8721,0.679,88.4302,6.7374,3.6818,27.0332,3533.9643,0.1123,1.2391,6.86,81.1225,2.0025,33.9473,5.4262,56.6364,30.5258,15.1966,5.9507,16.7537,41.7642,412.6165,50.0288,5.6285,1.8893,7.1518,2.0492,274.201,31.4203,52.3786,19.6379,14.0344,3699.277,298.9553,902.2412,1.0459,464.3321,4.3499,175.1758,686.4211,50.0794,53.6337,1175.9634,424.2174,7831.7812,7.5887,150.2186,77.9176,43.2828,39.0815,5.9987,206.6566,57.4754,25300.6373,15.354,134.3591,103.8755,0.1983,0.0188,0.1153,0.00163,0.0217,0.8443,30.3341,24.9398,1.9112,30.5875,6.9426,0.4726,0.2998,0.8891,0.1878,4.8527,2.8793,69.7135,3.9144,2116.4618,42.5241,9.993,31.1153,4.0786,8.0594,9.197,17.064,0.46978,0.13405,0.00091,17.2712
"2","A10",4697.1173,4968.2342,10723.5488,1055.2302,2284.6403,10.0457,11.6157,33.9944,12263.5383,23990.7808,17.7123,1307.1137,2038.4784,2127.9769,169.1048,151.03,1461.747,48.2119,6.1434,1103.7493,1126.964,8.8164,7.1927,7196.1116,322.5735,131.3284,609.3334,4890.9426,472.8094,229.8907,2505.7316,28.2998,31.415,1.0774,286.6101,57.2329,3.5146,0.1282,283.9481,748.6495,191.0591,153.8498,2454.1522,14.0765,6.0719,140.6646,711.4542,56.6247,6.0148,1.4302,168.7684,407.747,0.2252,143.9119,1.2787,51.4665,5.0734,478.0479,380.1572,81.174,58.7631,478.8189,2692.5833,59.9949,3143.7705,188.2207,87.8967,170.5175,4008.0417,164.165,834.911,510.0915,108.1266,32.3781,134.0757,42.4124,91.5215,393.1523,224401.2647,11300.8476,1987.0654,121.8799,1225.9421,3398.9294,40.3903,30.89,197.0549,7.698,305.4347,2264.5137,4258.8477,8608.5854,301.2137,296.3072,1386.1831,100.2823,3.9968,226.1914,1643.6958,113635.4817,1612.1903,31.4127,60.7662,2.8861,373.1554,553.8689,30284.7937,5961.4799,2.6377,68.7783,0.1183,2.0425,3208.6237,2600.2817,137.1866,92.7621,5.1811,1.1042,349.9256,172.4188,30.9099,11.7141,2.7595,15.6211,641.2989,44.2916,24.214,11.9882,144.358,52.8707,3.5325,8.5446,36172.6482,0.0651,5.2248,793.4227,53.5603,1.0224,67.1481,77.4612,674.9503,14.6918,2598.7946,4.2798,20.337,83.5887,5.2064,2133.6939,4.9019,0.2716,31.9535,3.6333,1530.5031,56.2507,29.4854,15.7967,108.2004,71.6282,39.8076,500.9689,0.0077,274.7845,85.3309,324.0388,470.1004,78.8712,26.1586,375.4444,51.6952,5801.8294,53.6284,815.5153,322.8882,505.2175,87.6249,52.772,83.6591,24.6977,10853.0792,7.7469,69.9769,382.0718,0.156,0.3089,0.479,0.5241,9.0235,19.6001,52.2128,51.5751,23.3052,55.4998,9.8786,0.1472,0.8695,13.2542,0.1485,462.1805,32.3485,246.6767,3683.387,293.6775,7.2415,108.4516,32.2349,18.6173,65.6903,11.4107,43.2695,6.5683,0.13405,0.5953,3469.9595
"3","A8",34364.4744,3430.7245,877.6275,17983.3991,6234.4928,33.3527,31.6294,37.8386,1905.9825,29446.7344,16.9972,296.8722,12921.7036,5899.0945,60.9871,50.4293,319.0679,550.5732,4.2114,324.7848,1596.8366,4.4845,1.0825,8287.5397,0.05238,1404.6007,484.4443,3777.1375,258.4767,224.9976,14849.0437,55.7549,90.9403,0.8864,37.8605,49.852,3.5123,0.6024,387.0661,156.3,490.2563,28.3776,4118.4383,7.0023,26.7667,530.7194,343.7878,62.4899,5.9915,0.0974,23.1319,55.587,0.1752,21.6423,8.7866,36.512,3.9709,3392.472,4356.9383,288.9624,406.2684,109.2255,15925.1993,5.4839,12434.5351,6.0567,13.8366,62.3813,5680.172,113.0958,9749.2964,2855.0854,349.0347,1.6268,1214.117,491.6565,12.7815,434.8439,124689.6019,11641.0841,2985.4037,15108.9113,21.1106,7520.781,75.1449,17.9352,635.915,4.8814,125.286,13343.2808,20870.6265,8868.2953,165.1204,174.4547,1826.7828,91.5679,4.1032,340.4188,1078.7169,86274.4305,1235.7223,3.7585,7.2798,3.4247,282.5161,2743.1885,21562.0942,10987.6366,2.2074,16.8625,7.4103,0.3411,5708.8822,1152.2372,39.1983,73.313,29.7594,0.0449,190.7812,96.9591,4.0365,4.9613,9.8611,7.2047,113.5054,53.3691,10.5633,1.0149,227.1399,2.4493,2.2445,3.8645,32697.8026,0.0775,1.3222,2673.8518,916.3529,9.2937,169.2651,356.9451,1420.1246,0.55508,1894.9283,35.4989,9.9989,25.1085,127.1095,1568.301,27.9662,7.229,2.1501,1.5083,139.5227,13.642,31.4798,11.7755,15.8726,624.6015,64.3911,900.1689,3.1389,197.1014,8.0334,203.7925,551.7803,36.8456,27.1946,208.2641,39.9238,6482.8991,16.3175,338.9854,373.6957,114.9708,165.466,29.8384,1765.2639,4.8376,12779.6978,6.5056,50.0511,165.5137,0.1695,0.151,3.9215,0.8878,1.3495,2.1468,18.4058,11.057,3.3852,11.0986,6.6862,0.2152,0.5775,18.9861,0.1694,1667.2844,2.3825,1826.6646,2609.8204,799.873,50.0982,112.2012,4.1053,14.3205,46.7205,69.4546,216.997,0.46978,0.13405,0.0091,17.8627
"4","A5",23317.4113,4882.1178,4771.0964,19125.8776,13521.1985,45.2488,30.4502,130.4634,1163.9906,28631.436,12.474,13665.7882,10662.6836,6809.7158,141.2272,245.8802,2772.0764,295.2751,3.8419,10597.6005,1346.3711,15.8236,1.703,14460.0646,117.7771,1185.5224,657.0478,8642.807,4122.7833,1194.0142,9097.5831,48.4324,45.0298,0.3241,4249.8667,25.559,2.4684,0.2435,231.0626,2091.5405,36.9651,14.1181,2411.1229,11.7283,25.2938,1222.7716,372.9231,22.1475,2.0992,0.00282,35.3474,84.6033,0.0936,13.2557,3.8868,16.9614,2.6149,702.6595,571.831,71.1067,608.5615,3647.724,10222.5108,18.9322,18386.3837,13.4835,12.8786,77.709,8311.0221,31.9172,4236.1244,1348.4131,175.2072,11.0065,413.5093,181.803,14.7453,1716.032,110622.6828,25253.3577,1791.7465,324.6031,91.4878,7305.1511,26.8804,0.06769,4080.5692,2.9398,1270.3112,15786.6351,30247.5354,14327.898,210.5924,194.1849,1719.1321,92.5617,2.3193,99.2502,2998.4776,141521.3771,1018.8414,148.6321,19.7872,1.2168,3880.795,3102.9069,14736.1298,3840.1001,0.01708,16.7146,41.2006,0.1841,2914.5749,567.6047,1188.5003,54.3754,47.9828,2.3397,328.4122,20.8621,4.3154,3.3152,7.4659,8.2117,3.8004,20.8381,23.7148,4.4905,67.5887,24.694,0.5894,7.1074,23915.561,0.2909,4.049,9816.8501,103.3681,6.9464,40.4233,121.3809,2228.788,51.9086,3408.2428,54.9221,18.7989,29.8516,17.2739,1873.7585,29.6481,6.1039,13.1156,4.1639,75.9151,34.5925,32.4411,26.7551,20.1072,167.8168,119.2531,1172.1943,0.6429,208.7771,149.5782,481.8045,804.6875,524.4081,349.6889,2719.3549,224.0465,13132.6374,51.6181,917.929,581.9615,548.4596,213.6973,41.6797,1288.3981,32.9973,11781.1152,9.6563,0.20981,266.5413,0.2766,0.4196,1.6069,1.2431,14.2032,36.5129,218.8863,142.4636,102.8244,171.5203,9.6364,5.9831,104.584,9.794,0.1536,4901.9402,0.23825,656.1071,1485.3543,28.9036,14.1463,88.8565,4.6473,197.5046,80.7534,39.7412,323.3911,0.46978,8.4831,5.9009,4857.0623
"5","C14",7464.8467,425.0467,825.4873,1987.49,3887.7481,32.3133,11.0205,36.1877,212.0235,7997.1814,21.3004,125.2519,3094.7914,1922.2424,23.4467,191.3765,170.4067,119.1548,13.1921,390.2601,398.4906,2.9712,0.4865,2005.6577,0.05238,76.4357,33.8094,1619.4334,31.9753,75.2078,2526.4906,0.46884,98.4407,0.5847,22.1573,12.1311,2.9636,0.7203,208.3237,1575.3261,29.2076,54.5177,4782.0478,3.9655,8.4203,406.4631,1044.8966,120.7383,6.0088,0.2204,40.7851,96.9423,1.9232,13.8466,1.94,145.507,45.0244,1227.2215,1344.2883,89.9269,62.4112,101.0025,3168.8857,0.24992,2194.6864,1.7724,65.755,134.9305,271.9937,9.1224,2263.0203,243.5192,927.7254,0.01156,126.5647,47.5064,19.628,20.5906,95619.4267,4491.9916,816.5519,20.3999,46.2802,2029.5519,76.751,19.4928,17.1521,1.8801,99.9443,3684.2821,5502.9031,3536.5569,1.0909,17.8493,57.5078,57.0601,1.2968,43.6917,115.5788,25478.9639,235.9758,6.0012,3.3584,1.3525,27.8333,392.0435,2490.9812,7866.3249,1.4167,10.0934,0.5625,0.4871,5634.4412,4345.1578,65.1858,174.3409,16.0534,14.8828,665.6145,403.7568,122.3563,13.8107,51.2284,354.8633,80.4225,121.4265,88.5827,0.76,120.4678,3.858,3.602,11.2114,9913.8254,0.0379,0.831,3.6233,353.3428,0.4249,56.5339,0.3052,13.9917,11.2191,1.8899,0.2163,13.4587,10.83,362.4571,3.2335,0.5544,1.032,2.5002,0.2772,71.8265,37.5232,16.0572,0.23209,3.5172,3378.8405,128.7111,484.4961,2.1503,126.864,12.9501,550.7969,109.2566,13.0723,41.1218,28.1868,3.0334,339.0049,4.2187,20.6194,3.6724,5.2167,1.6396,0.5369,107.8535,28.2322,1647.2909,0.03379,38.4294,113.7686,0.1298,0.0517,0.00203,0.1143,0.0061,0.0361,0.0951,0.1866,0.055,1.0541,41.1184,0.0357,0.0869,2.6391,0.4676,1.6787,51.3795,0.75877,1.7315,1416.1308,43.4966,13.9074,124.0799,4.7624,5.2128,10.4177,96.5522,0.46978,0.13405,0.00091,49.6998
"6","C10",5095.8068,428.084,1016.723,1022.0529,3891.9248,29.1387,7.7244,26.5104,596.3828,6834.2095,10.5222,80.3384,2555.4187,1439.574,66.052,16.3687,938.3327,78.2418,13.9005,1315.2216,670.8349,8.1836,0.5896,1314.7943,3.1028,47.2405,258.0751,1316.5644,34.0427,87.0694,2267.6231,7.5573,68.4402,0.8167,0.23362,10.7565,0.8041,0.6477,256.0573,1642.2887,210.2562,61.912,3785.1506,5.3549,38.8269,313.5404,795.8488,57.3805,9.1443,0.9432,184.3978,449.8309,2.3009,21.75,0.5422,108.0973,33.2934,825.3837,817.9123,80.619,340.558,233.3961,1798.7612,0.24992,2952.5113,10.0335,60.1838,157.3568,227.36,16.1213,1425.4693,111.348,668.5569,0.3098,69.981,21.6553,38.4045,216.3129,114203.4628,2602.8354,452.9702,128.3911,511.1303,1340.0215,18.5616,9.5385,41.9324,1.6045,249.5931,2265.831,3458.7644,7398.8038,86.6208,93.0147,450.8745,232.8092,1.4699,144.236,449.598,42713.4671,1546.4386,7.3887,15.5957,1.4075,50.4203,333.6872,28918.5549,8392.3143,0.5341,6.0906,0.1888,0.533,4630.6988,6666.7968,17.5197,177.6208,11.3401,0.7974,269.3676,307.5867,121.75,10.5245,35.2675,23.8208,121.2125,182.8287,74.71,0.6872,120.0747,3.2927,2.2229,7.1752,7055.1763,0.0404,1.562,2.6132,321.4768,0.1664,54.3484,0.8081,12.1956,53.4639,2.6406,0.28,14.835,16.8985,358.6558,2.4789,0.2872,0.8435,1.7421,0.3253,75.333,16.2574,3.2907,4.5219,4.8945,1967.5548,176.9481,873.5406,0.6632,126.4992,3.3228,197.1949,69.0158,15.0572,18.3437,30.042,3.0768,700.7057,2.5834,11.5507,6.0437,11.385,2.3376,1.2873,537.3479,5.5513,2309.1863,2.2321,49.8323,104.4998,0.00724,0.0271,0.00203,0.00163,0.0296,0.052,0.258,0.339,0.1012,1.268,158.1779,0.0214,0.1757,5.9271,0.5583,0.09759,44.1056,0.75877,0.2253,961.4078,25.3653,15.3904,126.9006,7.1131,8.169,10.7383,51.1349,0.46978,0.13405,0.00091,38.0238
"7","A4",16947.3359,1806.6158,4688.2339,13971.1788,7353.8603,9.3775,5.1141,346.3798,3126.0015,30232.6827,66.2774,783.2551,10261.4794,7757.4889,280.1094,967.5247,744.1799,296.6449,8.4462,2720.3441,1776.7679,22.3757,4.4426,7627.5708,601.7788,1151.2597,105.0695,8405.4347,36.4229,99.2093,15680.4189,37.129,167.0978,0.5387,233.6209,38.559,2.9231,22.9849,615.7197,1260.0438,673.7922,161.7537,1501.3025,8.3395,7.966,583.725,226.5123,164.1567,15.547,0.3987,94.8369,229.5902,0.4172,14.02,1.3339,88.4048,10.9169,2587.3513,2464.9118,209.0528,1653.7235,142.7175,13805.5144,149.3469,16327.4243,42.9612,107.7095,292.3526,3685.3883,265.625,6673.6945,1531.3621,46.3935,26.6184,513.8192,216.9703,42.8006,1548.6224,133918.0049,18738.0034,2118.0063,171.1069,27.6295,7205.4568,29.708,29.1443,606.6317,5.8377,163.5852,14299.3188,24487.5474,31831.9597,1342.0627,1292.2691,6488.2417,396.9817,5.8367,425.5072,6895.7796,82814.5952,2270.2095,37.0924,94.9926,3.5603,158.2068,1645.936,37617.8807,5018.9447,2.2709,142.6523,62.1849,1.5858,2211.5308,2267.4342,64.0684,385.1113,25.8889,0.8433,140.4874,148.9276,8.7114,8.2932,24.755,7.9965,336.8273,85.3457,41.9834,136.7898,366.9762,16.1575,1.0368,4.7241,27540.8805,0.0683,15.2255,846.2715,463.0615,1.7908,97.2287,23.1692,306.3064,8.8394,2964.7851,100.303,18.9436,16.4599,2.8641,2848.2679,27.9155,0.3148,1.0697,0.9116,36.5461,6.7466,2.6765,13.7917,45.0748,8.3333,2.0667,12.07667,0.0634,68.7385,2.8942,215.0503,542.9166,24.5751,20.0144,747.3701,43.7404,12911.8383,15.1119,261.1388,56.2844,62.9753,7.7582,6.7817,5033.6157,44.8304,27684.9179,0.3379,3.7889,461.2383,1.9536,1.7367,8.1009,2.7717,5.0607,3.0186,9.6175,9.8135,9.0072,13.4199,12.8196,0.1504,11.6529,17.2347,0.3432,169.4786,12.3695,41.5699,666.7805,3.8086,6.2466,22.82,9.6597,8.709,185.1407,53.1694,211.1783,26.4847,0.13405,4.75,916.6173
"8","C4",4810.9633,567.578,871.4897,1399.6273,2320.7767,9.6227,3.3704,14.0245,935.9683,6944.1323,14.694,416.9505,2042.8389,1311.7551,91.4336,31.496,116.3495,55.0569,5.2051,178.1423,516.6095,1.1931,0.0867,1682.4385,22.4337,39.3399,689.4831,2000.8793,75.8537,243.1244,1973.7547,10.3461,135.9547,0.4247,0.23362,5.4868,0.7695,0.2586,38.3605,1519.0866,45.2806,3.5382,3248.0538,6.6457,15.0181,213.1013,316.786,9.3415,0.02531,0.00282,15.3102,35.4923,0.2192,18.7854,0.8615,80.467,23.0361,149.4448,154.9123,14.2974,2253.1992,121.692,1709.065,2.4992,2274.0057,1.4692,14.6783,76.5703,243.9228,49.8196,533.8108,109.064,363.0164,0.1156,62.7933,19.6326,17.1012,60.2663,77520.7236,2979.8953,321.6248,65.023,71.9055,1459.2605,9.767,50.3119,38.9457,3.9207,37.4849,2158.2063,3788.7865,3882.9689,42.9476,35.9829,404.2553,37.6221,1.1742,119.1854,2593.4706,68990.3104,632.0467,3.3844,7.3382,0.9117,68.2674,328.7238,31248.3263,6805.2644,0.5878,7.6275,0.3595,0.2039,3449.2882,6950.738,9.1283,79.7333,6.9724,0.1451,143.1419,235.7512,82.3026,3.5936,18.1497,12.0226,30.5452,252.6008,27.4958,0.6837,70.0868,8.0685,1.9767,6.789,2323.1154,0.0397,0.8292,12.4964,24.1811,0.5759,25.5579,41.9378,162.4187,52.6001,45.7623,0.8924,14.5484,63.2629,1397.2542,84.3196,0.6963,2.4316,4.1629,1.6856,241.8188,34.7328,312.1024,10.6813,111.2562,4822.9867,451.0849,1305.3708,2.0275,430.9589,8.0685,414.6004,740.4142,44.8613,200.1509,48.2221,23.9521,1377.1339,27.6562,231.3973,220.4739,84.3422,112.5953,20.4809,2189.7221,1.1107,4442.5843,11.244,81.2897,48.5897,0.0724,0.00108,0.00203,0.00163,0.0048,0.0111,0.3388,0.0786,0.0191,0.5271,9.6143,0.0108,0.2514,5.992,0.4171,56.5267,25.4064,16.8635,4.9764,434.4986,18.9109,10.2161,87.3674,2.5805,5.8193,14.7038,39.3326,0.46978,0.13405,0.00091,145.6666
"9","C2",11418.9105,669.5255,2108.816,3208.0228,4457.6212,3.2948,2.5907,28.7769,214.0613,8661.8371,12.0223,59.5491,3818.7237,2386.3193,82.7552,17.596,338.5438,54.5412,9.5087,226.9429,565.2595,1.6453,0.328,1283.5935,5.5788,53.5464,265.959,2267.9047,79.0575,135.1116,2838.5601,10.0792,45.8071,0.4543,9.5952,8.4451,0.3698,0.1448,37.8463,1345.6105,260.2794,6.7044,1448.5903,7.6426,5.0912,320.6388,132.6058,133.3434,0.2531,0.00282,19.0959,45.3137,1.2842,8.3509,0.599,47.9343,7.5127,1080.8922,1291.5266,91.3736,138.9556,131.2349,3935.5527,0.24992,4489.2799,9.9671,43.3932,132.9325,248.1104,72.0167,976.4657,378.5667,233.3111,0.35,216.1485,53.2403,12.3958,1259.414,75450.8168,3621.4771,636.3735,110.9836,222.5501,2230.0496,54.3551,4.5105,23.364,2.0414,112.8481,4205.2693,5946.9138,5976.233,95.9841,104.4256,841.357,156.5849,0.9599,200.9037,1413.8881,28250.4248,705.1433,5.2103,6.0015,1.0859,68.9306,565.5848,510.786,2376.0441,0.3152,6.9181,0.221,0.5837,1511.771,1615.5103,27.745,230.6439,11.8952,0.194,53.7221,521.1288,78.9221,5.5167,10.2422,9.6882,73.8391,67.879,26.8598,0.5038,279.0791,6.7793,3.4283,4.4569,9725.9998,0.00379,0.61,3.5278,254.4237,0.4366,44.1908,1.3214,8.8206,9.3539,1.7272,0.2786,9.3254,6.7109,323.1389,5.3106,0.7016,0.4492,1.9567,0.1944,20.2643,11.89,1.5175,4.3588,8.9654,1616.6417,46.7164,253.3813,2.1474,47.8128,20.0433,185.2783,93.8406,80.129,29.7,42.5721,10.4107,583.7158,8.5383,34.2557,51.5026,35.4775,64.0332,2.3415,332.4355,10.7223,3416.3709,1.0388,17.8836,42.216,0.1052,0.00108,0.00203,0.0428,0.0142,0.1079,0.7544,0.7934,0.2739,0.9577,9.8611,0.0226,0.189,1.6199,0.0131,0.9759,20.1036,7.5877,0.02253,548.051,9.801,14.3227,82.4784,6.6794,5.6069,4.26,145.8102,0.46978,0.13405,0.00091,4.9397
"10","A20",7864.0651,566.5283,1131.7708,1308.2062,4802.4968,6.3309,4.3209,13.7473,642.206,11509.0785,16.8521,446.8555,4097.222,2586.4889,122.8015,197.8775,187.3304,123.9619,12.1676,469.2819,982.763,9.193,0.5481,2294.1955,18.5541,47.9159,107.9157,2182.5507,66.0728,107.5772,2892.918,12.2929,78.2945,0.369,16.4909,9.5218,1.4232,0.7242,1134.2272,2387.0929,482.6788,223.7845,4464.5188,6.3246,17.8967,276.7695,733.4377,62.0437,30.6669,3.9122,756.8626,2312.3326,1.8144,56.6848,1.3156,54.425,23.28,804.3197,772.9455,70.0229,439.1059,179.9912,3952.8206,3.3221,4114.5659,35.7923,54.3837,203.9707,294.4197,33.3277,2251.4642,339.543,430.4759,0.01156,196.7247,27.9976,41.3466,846.7882,154683.693,4901.9525,1362.9292,141.2984,308.9835,2258.3362,20.9216,44.563,24.0773,1.4479,197.2864,4002.9208,6084.6774,17932.305,225.1829,242.5467,647.8681,949.316,1.294,149.0537,1348.4111,59955.9584,1818.6861,11.5361,5.0207,0.8791,32.7299,489.247,28420.6339,11235.0261,1.4196,9.6287,0.2572,0.4319,5439.3738,8512.3976,21.3904,129.0658,9.9034,0.8717,286.01,115.4131,96.746,9.8543,25.4497,25.0842,276.4155,242.4857,35.3534,0.7665,191.0554,4.4727,4.3182,12.7195,7316.2247,0.0758,1.109,8.076,265.5009,1.7983,46.8342,3.3271,15.0571,42.8714,2.6405,0.7181,14.4427,41.2057,361.647,5.2828,0.927,1.2709,5.1376,0.8816,136.558,44.792,13.1594,8.4336,8.7125,1911.131,119.942,663.2428,1.2923,221.3665,7.4729,639.8782,157.2713,27.5906,34.2938,170.7087,21.3372,1628.8329,4.5671,78.6416,13.6727,16.6626,7.1822,2.3855,667.0051,17.0276,7959.2117,3.6077,104.0255,64.6784,0.1408,0.0108,0.0203,0.00163,0.0102,0.0458,0.1289,0.043,0.0148,0.6516,85.7222,0.1677,3.2696,3.8118,0.7917,0.09759,56.7595,0.75877,0.02253,970.8705,64.7555,25.6939,99.7379,7.563,6.497,14.5281,93.0233,4.6978,0.13405,0.00091,31.5497
