Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR149255,WGS,283,5852024409,PRJDB7378,SAMD00136647,MIMS.me.human-gut,3646640594,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140006,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:53:00Z,1,SAMD00136647,10501,DRP005644
DRR149266,WGS,276,1655183424,PRJDB7378,SAMD00136658,MIMS.me.human-gut,1021829461,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140017,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.87 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136658,10321,DRP005644
DRR149267,WGS,275,7552439676,PRJDB7378,SAMD00136659,MIMS.me.human-gut,4635642210,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140018,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.88 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:56:00Z,1,SAMD00136659,10342,DRP005644
DRR174581,WGS,293,6407900441,PRJDB7378,SAMD00166356,MIMS.me.human-gut,3013713489,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165192,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:50:00Z,1,SAMD00166356,10156,DRP005644
DRR174584,WGS,291,6826611839,PRJDB7378,SAMD00166359,MIMS.me.human-gut,3349640614,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165195,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166359,10176,DRP005644
DRR174598,WGS,291,6638164571,PRJDB7378,SAMD00166373,MIMS.me.human-gut,3114188204,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165209,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:46:00Z,1,SAMD00166373,10540,DRP005644
DRR174600,WGS,292,6148649877,PRJDB7378,SAMD00166375,MIMS.me.human-gut,2954726511,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165211,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:45:00Z,1,SAMD00166375,10558,DRP005644
DRR174604,WGS,292,7012534744,PRJDB7378,SAMD00166379,MIMS.me.human-gut,3371536596,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165215,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:49:00Z,1,SAMD00166379,10623,DRP005644
DRR174610,WGS,291,7751330348,PRJDB7378,SAMD00166385,MIMS.me.human-gut,3900856121,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165221,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166385,10703,DRP005644
DRR149257,WGS,278,7511261064,PRJDB7378,SAMD00136649,MIMS.me.human-gut,4437787101,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140008,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.78 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136649,10056,DRP005644
DRR149258,WGS,272,6922600651,PRJDB7378,SAMD00136650,MIMS.me.human-gut,4211736058,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX140009,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.79 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T17:54:00Z,1,SAMD00136650,10104,DRP005644
