project_accession	sample_accession	sample_name	experiment_accession	run_accession	experiment_title	library_name	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	file_type	file_name	file_md5	file2_name	file2_md5	file3_name	file3_md5
CNP0000334	CNS0046808	A0002	CNX0036710	CNR0054789	DNA-seq of human gut	wHAXPI054625-85	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0002_RmHost.1.fq.gz	1357aacc6928f8ab07d8fac68d2ef921	A0002_RmHost.2.fq.gz	0ac3b90d5053785d35f0b6f99dbd17f1		
CNP0000334	CNS0046958	A0005	CNX0036711	CNR0054790	DNA-seq of human gut	wHAXPI054915-133	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0005_RmHost.1.fq.gz	4065512bd27042f6ee2b661c245c6015	A0005_RmHost.2.fq.gz	37894996fc8c3d55fe52ab05ad0a74c4		
CNP0000334	CNS0046694	A0006	CNX0036712	CNR0054791	DNA-seq of human gut	A0006	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0006_RmHost.1.fq.gz	7e1947eec601d72a8771f601ba6ff63e	A0006_RmHost.2.fq.gz	35275b33f1ea66a321feba63ef35d5b5		
CNP0000334	CNS0046986	A0010	CNX0036713	CNR0054792	DNA-seq of human gut	wHAXPI054953-88	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0010_RmHost.1.fq.gz	6b2992e2911f141da0672a3d499811a0	A0010_RmHost.2.fq.gz	2de47105d137fa289eb8d265633200b0		
CNP0000334	CNS0046742	A0011	CNX0036714	CNR0054793	DNA-seq of human gut	wHAXPI054604-41	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0011_RmHost.1.fq.gz	8e987cab100e8322379b1ad764d963ff	A0011_RmHost.2.fq.gz	f2dd6a6029414d8329a48a06939a5968		
CNP0000334	CNS0046761	A0019	CNX0036715	CNR0054794	DNA-seq of human gut	wHAXPI054956-93	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0019_RmHost.1.fq.gz	d52ed68fbc4f7344781ee699ba8c0497	A0019_RmHost.2.fq.gz	bcee125191edfc7688ee6032257bfa27		
CNP0000334	CNS0046869	A0020	CNX0036716	CNR0054795	DNA-seq of human gut	wHAXPI054812-59	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0020_RmHost.1.fq.gz	d85a18a2ca9fcf2d1c3490602fecaf24	A0020_RmHost.2.fq.gz	8ac9c0a6d78810618abca70ece51ed62		
CNP0000334	CNS0046702	A0021	CNX0036717	CNR0054796	DNA-seq of human gut	wHAXPI054801-107	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0021_RmHost.1.fq.gz	e712222445c7757802163b0c7880ec1a	A0021_RmHost.2.fq.gz	f989851590a129672558287b8a29495f		
CNP0000334	CNS0046897	A0022	CNX0036718	CNR0054797	DNA-seq of human gut	wHAXPI054916-142	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0022_RmHost.1.fq.gz	10019bda16098e0b1486223cc8d8c89a	A0022_RmHost.2.fq.gz	1f9b23d750665160940a403766f401f2		
CNP0000334	CNS0046970	A0027	CNX0036719	CNR0054798	DNA-seq of human gut	wHAXPI054823-95	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	A0027_RmHost.1.fq.gz	cbabde574dd79da4572dd83ce53e5fc9	A0027_RmHost.2.fq.gz	d9890ad8defecc737ab101eec730e61f		
