"","alpha-ketoisovaleric acid","Vanillylmandelic acid","Uric acid","Tyramine-O-sulfate","Tetrahydrocorticosterone","Tetrahydroaldosterone-3-glucuronide","Tetradecanoyl-CoA","Taurine","Succinic aldehyde","Stearic acid","Sphingosine-1-phosphate","S-Adenosylmethioninamine","prasterone sulfate","PGF2-alpha Ethanolamide","p-Cresol sulfate","Palmitic acid","Oxalosuccinic acid","Oxaloacetate","Oleic Acid","L-Valine","L-Tyrosine","L-Threonine","L-Leucine/isoleucine","Linoleic acid","L-Histidine","L-Glutamine","Lauroyl-CoA","Lactic acid","Indoxylsulfuric acid","Hippuric acid","Hexacosanedioic acid","Heptadecanoic acid","Glycocholic Acid","glycochenodeoxycholate-3-sulfate","glycochenodeoxycholate","Glycerophospho-N-Arachidonoyl Ethanolamine","Glycerophosphocholine","Glycerol triundecanoate","Ethylenethiourea","Dodecanedioic acid","D-myo-Inositol-1,3,4,5-tetraphosphate","D-Glucose 6-phosphate","Creatine","Bilirubin","Arachidonic Acid (peroxide free)","Androsterone sulfate","5-Methyldeoxycytidine","5-Methoxyindoleacetate","5-cis-8-cis-Tetradecadienoyl-CoA","5,6-DHET","4-Hydroxybenzenesulfonic acid","3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione","2-Methyl-3-ketovaleric acid","2-methyl-3-hydroxybutyric acid","2-Hydroxyisocaproic acid","2-Hydroxyethinylestradiol","2E-tetradecenoyl-CoA","1-Deoxy-D-xylulose-5-phosphate","16,16-dimethyl-6-keto Prostaglandin E1","Thiamine","Sebacic acid","4,7,10,13-hexadecatetraenoic acid","(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid","10-oxo-nonadecanoic acid?","13,14-dihydro Prostaglandin F1alpha","13Z-Docosenamide","15(S)-HpEDE","17-phenyl trinor-13,14-dihydro Prostaglandin A2","1-Arachidonoyl Glycerol","1-Linoleoylglycerophosphocholine","1-Naphthylamine","1-Phenylethylamine","2,3-Dinor-TXB2","27-Norcholestanehexol?","2-Linoleoyl Glycerol","2-Methylindoline","3-hydroxy-pentadecanoic acid","5b-Cholestane-3a,7a,12a,25-tetrol","5-Methylthioribulose 1-phosphate","8(S)-HETrE","Actinidine","Anandamide (22:6, n-3)","Carboxynorspermidine","Chenodeoxycholic Acid","cis-5-Tetradecenoylcarnitine","Decanoyl-L-carnitine","Dihydrouracil","Dimethylallyltryptophan","Galabiosylceramide (d18:1/12:0)","Glucosylceramide (d18:1/16:0)","Guanine","Hydrouracil","L-Arginine","L-Asparagine","Lithocholic acid","N,N-Dimethyltryptamine","Palmitic amide","PC(14:0)","PC(15:0)","PC(16:0)","PC(9:0)","Phosphocholine","Phosphonoacetaldehyde","Phosphorylcholine","Pregnenolone sulfate","Pyridoxamine-5'-Phosphate","Stearamide","Taurochenodeoxycholate-3-sulfate","Testosterone enanthate?","Tetrahydrodeoxycorticosterone","Ubiquinone 8","Urobilin","alpha-Tocopherol","alpha-Tocotrienol"
"HK0001",7988.4985,22172.5363,150843.2753,77947.9662,5856.0967,4290.9601,635.4231,21246.6029,8951.2428,67533.595,10007.5216,9319.3136,90168.9118,21753.6582,223562.3787,9804.377,16198.0405,183268.1462,16171.6676,13172.141,6499.4687,8036.9451,10659.1907,14209.5734,25670.6862,65310.5658,0,90455.2388,32138.3697,5846.6058,100486.0775,9377.1974,35213.2711,5534.0474,16094.0944,15097.1396,18869.2222,2198.9041,10883.5925,21970.4338,24856.4274,11944.5846,11620.0113,24809.1157,1601.3715,83070.1318,43637.0958,6453.4549,2933.6491,2951.4132,204008.0016,8108.5508,173524.045,34681.6761,6532.3049,139171.7895,868.1854,13123.0509,4525.6449,13710.7157,29750.1748,7945.0123,9868.3967,19996.91,166546.942,52537.7069,17570.9091,11791.8276,14435.719,48096.5131,10257.7542,834495.4782,542.7348,265861.3312,69791.2841,15227.2038,229.8619,3485.7618,2442.9169,7687.2498,18720.3141,659.047,13620.2213,5025.3993,10945.1924,16471.8035,27482.5413,42957.1515,37873.0072,6297.8243,0,2277.2745,20804.3556,5988.9126,14859.5282,13940.3144,1682.8228,1643.6542,687.9782,135428.2955,1080827.185,16758.387,2499.6639,10109.8547,8659.2848,10723.7626,3775.1396,5894.3177,3376.6279,28234.0755,775.7727,934.5263,0,0
"HK0002",13768.8101,46715.287,276989.153,91732.8397,5201.2974,2119.202,962.0872,23570.2281,8278.4928,78612.6182,17908.0446,6304.9132,327558.6153,32047.8395,60442.5041,12649.5728,10485.9874,11364.8452,15139.7933,17266.9156,8151.248,11317.1577,18218.368,14930.7625,29160.2976,55280.654,0,91879.97,53453.4153,3177.5332,139065.6613,12797.1867,35069.4885,9100.0047,30845.4898,15928.7882,17840.2664,4399.042,14168.647,22887.1403,29369.4041,22331.2197,29544.2962,42345.454,2536.9419,109678.9246,80203.9564,16961.7363,3329.4733,3777.1382,475792.9011,6888.3616,416123.0823,63305.6598,18151.1337,171686.0857,0,2523.3093,6352.2935,9004.8786,8871.5067,1603.6194,3996.4732,7726.2602,47073.6558,7900.8394,7708.9269,4494.3436,3969.7,31653.9519,13817.8477,845391.561,351.7362,65066.7014,26560.8409,13025.5617,0,110.5801,1610.0361,1720.6897,18076.1795,0,13754.3123,2396.8085,4752.572,2295.3415,17392.9359,10473.3409,39321.3472,2395.4473,0,108.5528,21833.3731,1223.69,5867.3845,14663.2247,694.1854,1531.585,105.5791,74619.8681,255036.2397,14348.0548,5825.3599,8620.1899,5796.6665,15273.9491,1208.3953,1485.3886,842.2961,8727.0488,2766.6324,348.9624,220.2144,0
"HK0004",7654.1431,23294.7404,136129.7358,150739.0288,5681.6246,4441.7365,0,27733.4359,7448.4531,43002.8092,6575.5275,5383.7165,307271.4011,16713.9816,443805.897,8918.4538,23535.0043,11071.2088,17575.3428,13118.525,6178.9308,19450.0224,11695.1261,14248.745,24621.5081,69103.5385,280.035,119002.9245,130793.274,32264.4918,98177.4598,6727.8006,33645.6591,22109.8181,37718.7948,16866.9959,19948.3433,10348.272,13951.8746,24462.3747,28304.6826,13112.6784,13654.8018,24225.4014,6640.893,166151.3774,38438.9851,14869.6172,8231.8853,1928.3356,50243.6171,8070.1878,170310.4406,21725.3646,7837.6476,166478.8589,174.8891,21160.2666,4106.4479,23596.7806,19064.3988,26415.1462,25029.2284,35448.189,148097.4229,105442.9385,94502.4419,32769.2475,76810.761,1592064.328,10180.6311,878163.4446,4027.542,1141907.6,350334.1883,14446.0955,446.6077,29958.2756,13337.0498,6280.4696,18741.1742,359.6103,14069.3128,8772.2953,57759.6673,47776.7302,106796.4685,33264.2465,11119.5841,15006.1579,138.1157,1988.4026,21896.0845,13620.8465,15048.5271,15289.3341,5569.2298,25758.7215,11267.0836,2174043.9,998573.9606,6654.8718,2109.5102,11904.1516,31796.0917,12200.1736,20114.9781,31067.5217,17738.5904,75534.2979,134.0195,37790.8462,35838.577,2453.2652
"HK0007",10867.5086,25998.3942,135441.2299,73218.6285,11855.6716,4942.2629,566.6741,24141.3802,7327.279,106520.8575,12872.1295,15375.5675,402680.3541,49091.1538,1351337.455,17983.4873,66100.3391,181212.817,23787.9569,10157.1415,6197.0971,4511.285,9374.4154,45938.0603,21242.9889,37621.2037,0,71472.7154,107693.4146,31113.8114,211006.1122,41813.8562,34863.983,15709.7475,140473.7309,14795.8319,11607.7201,6383.8576,9971.5591,15562.9294,25317.9212,10226.089,14796.9152,10751.6969,8793.1512,87462.5584,32919.8262,12119.9957,6278.5767,12790.0095,67327.0589,17167.7959,193377.6178,25751.8924,7113.1423,255520.2846,717.1723,12200.4731,5573.0828,36258.9638,8075.4434,22361.1363,37738.8743,55191.1811,149783.22,396599.8779,109289.8495,32310.4348,54418.5638,591986.5509,14236.3586,912506.3411,2213.5907,1165686.054,394255.8428,11432.2592,356.5931,22518.5946,16329.1226,5502.6381,19721.782,0,13593.776,8037.4082,67162.373,20237.8403,135811.2347,44543.8164,63282.8809,16465.4608,0,1474.6638,22689.4447,15108.0519,19281.3928,13549.8874,4978.1415,17179.155,5793.675,765974.4491,903081.8612,19878.606,7584.1247,12767.3522,52523.3001,16445.5943,18891.1809,48079.4103,19407.857,52837.2562,2614.0734,12364.8799,15195.8469,1257.6282
"HK0008",5994.6094,36426.0498,244272.6369,86774.5602,8761.8633,5106.7143,2431.5066,20883.529,7861.6844,66947.2516,15431.4509,14221.2355,209617.3562,29272.003,501575.1496,12186.0815,27339.0137,181415.16,21191.5871,10974.6703,8145.2072,3818.8556,10974.9189,17485.8917,30457.4176,64244.1062,1090.1142,72793.255,49347.6677,1940.3747,123542.5666,16894.4959,34696.2769,14725.8163,47903.2165,15362.9166,47778.0845,6733.5988,12985.0679,17949.2508,25761.1127,6670.8098,21379.1477,32618.7994,4449.9732,123222.6005,109559.9641,16274.3003,6133.9805,6587.3301,81051.1004,9302.4792,315070.0415,36545.2471,12001.5801,151855.674,2846.1083,9294.2523,5407.7237,20657.9101,25017.1437,8856.7223,17221.298,23330.1564,189389.8758,48491.2003,38179.5121,17104.2133,20402.8405,351479.034,13048.3534,872617.3727,1154.1508,476942.6975,136553.7119,12288.3818,324.4022,8449.1799,6065.4887,7412.4379,19056.72,879.7889,12627.5575,6915.4278,22567.3004,23725.303,64659.071,41971.1997,73128.4588,8857.6814,0,2064.1865,20395.8428,4830.7202,22199.5047,14692.6656,3025.417,4685.4531,2493.425,589380.899,1117961.546,26761.2743,5321.1782,14548.4878,23088.1931,17109.8289,12255.7082,11753.9507,7402.2192,38970.4684,1892.5472,9454.9335,6376.3121,241.7609
"HK0012",14151.5056,37922.9036,228180.252,79584.5381,9855.3347,3434.861,5638.636,34044.6088,7514.1301,69940.3702,14859.5907,8100.5246,399415.8424,14323.181,31641.8892,9159.8766,3989.3539,13323.727,14995.7593,22856.5532,6721.3487,10660.7301,15944.3327,26914.8064,24226.2609,51850.953,8248.4241,111244.7767,48175.4683,20793.4772,70772.782,20560.6317,30665.9834,21107.2352,40328.7223,6906.1607,62670.8055,8741.7062,12028.8868,10270.526,25924.2724,15525.7194,20959.7379,13416.6697,7536.4645,69070.5803,171514.9929,17563.2643,6202.9173,7664.0316,264145.1272,12813.4102,321162.2557,34321.455,11725.0753,104037.234,7062.0219,5540.0084,10726.2712,9762.8634,14122.3299,12509.9522,8181.362,18284.2024,2389493.505,477115.8126,52287.1856,22539.4264,23027.8465,499234.5435,15286.7398,830414.0983,2423.6819,250397.5934,180684.9471,22387.094,10582.8623,26829.7661,10724.7411,75536.0949,18220.6202,11818.4807,12142.5545,19095.8417,31342.0796,11661.4746,32641.499,35003.3633,800501.8913,7423.3318,10565.8145,35104.3559,16738.0703,8966.8829,195652.702,13215.8681,6762.5999,11831.8568,8260.3409,920942.829,196090.0546,138912.4159,11975.7419,15187.8432,8780.5906,15404.2497,13127.1089,12798.6976,9207.3195,37046.9198,38068.2283,18473.76,19613.6452,124.1877
"HK0014",9393.595,24766.98,165899.8,77693.22,10938,3503.043,1654.924,28259.97,8805.043,73678.94,14128.46,15090.49,140225.3,31126.69,314454.8,13254.18,15688.1,170606.9,25068.75,11369.48,6364.574,8304.387,10302.63,25925.14,26170.86,65604.98,2259.738,85996.08,91991.33,44369.81,139247.6,20507.4,32953.81,9043.514,40912.25,13388.78,20172.03,4168.787,10928.35,25354.25,28698.63,15713.23,14927.07,35710.95,3790.463,14923.89,38639.41,8160.109,3152.194,6521.609,374460,12664.89,195787.4,33774.31,7744.456,233293.7,2842.762,39835.37,7493.473,20630.8,11190.06,11919.29,12217.09,26760.01,168959.1,73715.53,32462.47,18354.17,22868.39,138339,9350.667,874707.2,602.1001,595689.8,114779.6,14086.74,145.2692,10421.08,7535.765,7285.054,19705.51,603.8642,15529.01,5841.543,20701.52,10779.96,56728.65,24501.04,62971.32,8399.911,99.39343,2060.928,19549.2,8144.626,15431.86,16346.37,2668.736,2783.349,1576.766,285554.9,1148176,17799.4,2754.335,8829.107,16124.97,9880.139,8647.817,8734.101,5970.981,35907.37,2553.21,3008.135,3339.536,0
"HK0016",7200.6907,24654.0549,112364.4038,72796.2632,3698.6341,3253.3777,4093.2681,19863.4981,7234.6515,73838.8357,11834.0733,5772.3107,229151.8762,30863.6963,114374.4286,8581.8781,11163.1933,177165.7967,9117.0308,8357.2302,4604.5163,4919.7017,6124.3319,11110.7594,21530.335,48313.4777,2313.4945,62767.6655,68444.972,2411.6298,125711.9405,12245.2786,33312.3934,7842.1006,19944.7479,13985.4408,24949.4552,3626.0146,11920.6094,24036.2467,33308.4728,4572.155,11928.9217,14476.6989,2138.8906,134017.8872,36097.2061,23486.5208,3181.7055,3410.4204,124174.29,5517.162,194985.506,35464.9425,11553.6991,153699.1384,5883.8955,4990.1426,4234.4393,27721.7739,11234.7818,8338.8713,8497.6445,25395.6371,149668.6766,59594.0192,19911.3254,13081.068,14741.0925,90076.223,7716.9682,872617.9649,143.1883,340446.3149,73491.0528,14441.519,117.461,8074.8581,3340.6057,6482.3391,20475.9253,602.228,13494.9432,3830.3307,12966.4934,6788.5514,34962.4417,22160.8661,168516.3424,6938.0484,256.0823,2201.4825,21655.4768,3734.4429,13323.8135,13884.8262,2045.9147,2656.6959,1712.5427,221809.8441,1048900.192,40001.2383,3955.7945,8858.9585,10159.4968,7680.9553,4036.9487,5924.6654,3159.5898,30057.7759,7059.5257,1286.6654,616.1839,113.0284
"HK0019",10731.4256,31846.7552,156277.0734,79820.5583,14867.51,4294.4288,1312.3646,17338.4229,6628.9131,72730.2287,11424.7626,17501.1885,212533.322,31739.8857,1814007.864,16314.4349,80256.8659,170205.4256,36553.3916,10806.3239,4965.3393,1301.3861,8870.1586,51394.2303,24394.1347,51988.8326,3373.2396,77841.0524,98034.5765,7529.6504,148757.7749,19373.4213,33548.1107,11729.4541,59136.1158,15489.4613,17969.3357,4251.0406,10645.809,22009.8543,30362.3079,5540.2104,19597.9463,28915.5102,9090.0617,49626.318,25991.4066,11496.3932,4392.815,6628.6127,63663.1879,22913.9009,255618.6935,28557.0725,9580.5448,230017.1604,3199.7407,7739.4019,8109.2316,46015.8295,9348.5006,16486.2244,15097.3705,27653.6342,159711.2887,86329.2363,53052.2637,23108.0775,35968.8126,493722.018,9932.0587,882322.6659,2176.971,828618.5836,196834.7858,13784.992,498.225,15032.2551,11472.0689,7394.7374,19846.1143,550.8467,15185.7938,7516.808,34020.1397,20408.9289,70582.6308,33554.9844,101709.6949,11035.4893,245.2782,2409.1191,20227.2132,8324.4273,14829.3514,13443.7088,4112.8585,4103.7152,2809.3154,531593.9105,1029035.88,21661.3353,5248.0288,12201.1136,22239.3796,10074.1798,15762.3272,19866.5637,10562.9958,41955.0019,588.0033,8538.2944,14730.2868,1092.3702
"HK0020",8631.1244,24265.1349,217830.5603,98159.3862,14737.1094,3642.758,5477.5975,43780.5273,8950.3645,86090.0318,16316.9246,11424.5112,348545.6481,28913.7085,552284.7838,16144.8547,37475.3792,16318.5556,30931.7723,9618.5903,5703.6214,2768.4265,7634.8609,60830.4547,25116.8004,51217.15,8106.2538,98494.5608,79579.4192,14716.1553,127028.5581,28547.8437,33603.8192,36701.9341,69504.8119,12478.3116,23071.641,15180.7599,12842.5628,10358.2031,29598.5779,40769.2311,14393.9231,19679.7602,21126.5533,218812.569,48536.0721,14704.1391,13457.0057,8638.4167,77036.7591,25657.2621,178887.7218,30562.5158,7804.2787,135773.3205,5216.3037,12699.1504,11369.1148,21602.2696,25889.9698,13696.0195,13747.7705,27424.9119,142311.7498,96070.4557,69335.6558,22509.5589,57832.1167,1430005.095,12317.6002,829606.5172,4928.3981,522914.7111,244423.6648,14714.2435,109.5382,22716.6693,13057.6584,2388.3339,19953.0892,910.0345,13426.6036,13561.6228,42154.1978,13206.89,61729.909,24911.506,416272.2057,10992.2499,228.0459,740.8566,18708.7882,7760.2072,7530.8447,13479.6913,5422.01,22033.9018,13345.2385,1789080.841,1202392.05,71304.5043,5761.6655,11532.3452,19823.1048,14363.5294,24094.7569,14611.6509,13015.0448,43954.8487,13720.3253,27126.5643,27123.1538,8623.1604
