"","Abiotrophia_defectiva","Acetanaerobacterium_elongatum","Acetivibrio_ethanolgignens","Acidaminococcus_fermentans","Actinobacillus_porcinus","Actinobacillus_rossii","Actinomyces_gerencseriae","Actinomyces_graevenitzii","Actinomyces_lingnae","Actinomyces_odontolyticus","Actinomyces_turicensis","Adlercreutzia_equolifaciens","Aggregatibacter_segnis","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Allobaculum_stercoricanis","Alloprevotella_rava","Anaerostipes_hadrus","Anaerotruncus_colihominis","Atopobium_parvulum","Bacillus_pumilus","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Bifidobacterium_adolescentis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_pullorum","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_luti","Blautia_producta","Blautia_schinkii","Blautia_stercoris","Bulleidia_extructa","Butyricimonas_virosa","Butyrivibrio_fibrisolvens","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Christensenella_minuta","Citrobacter_freundii","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_bartlettii","Clostridium_clostridioforme","Clostridium_disporicum","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_oroticum","Clostridium_perfringens","Clostridium_polysaccharolyticum","Clostridium_populeti","Clostridium_propionicum","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_scindens","Clostridium_spiroforme","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_viride","Collinsella_aerofaciens","Collinsella_tanakaei","Comamonas_kerstersii","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Corynebacterium_argentoratense","Corynebacterium_durum","Dehalobacterium_formicoaceticum","Desulfovibrio_desulfuricans","Desulfovibrio_fairfieldensis","Desulfovibrio_piger","Dialister_invisus","Dialister_pneumosintes","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Enterobacter_aerogenes","Enterobacter_cloacae","Enterococcus_asini","Enterococcus_cecorum","Enterococcus_faecalis","Enterococcus_faecium","Enterococcus_gallinarum","Enterococcus_mundtii","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_contortum","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_limosum","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_sulci","Eubacterium_tarantellae","Eubacterium_ventriosum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_varium","Gemella_haemolysans","Gemella_morbillorum","Gemella_sanguinis","Gemmiger_formicilis","Gordonibacter_pamelaeae","Haemophilus_parainfluenzae","Haemophilus_sputorum","Holdemania_filiformis","Howardella_ureilytica","Intestinimonas_butyriciproducens","Klebsiella_pneumoniae","Kluyvera_cryocrescens","Kluyvera_georgiana","Lactobacillus_acidophilus","Lactobacillus_amylovorus","Lactobacillus_camelliae","Lactobacillus_crispatus","Lactobacillus_fermentum","Lactobacillus_helveticus","Lactobacillus_iners","Lactobacillus_mucosae","Lactobacillus_paracasei","Lactobacillus_ruminis","Lactobacillus_salivarius","Lactococcus_garvieae","Lactococcus_lactis","Lactonifactor_longoviformis","Leuconostoc_lactis","Megamonas_funiformis","Megamonas_rupellensis","Megasphaera_elsdenii","Mobiluncus_curtisii","Odoribacter_splanchnicus","Olsenella_uli","Oribacterium_sinus","Oscillibacter_valericigenes","Oscillospira_guilliermondii","Oxalobacter_formigenes","Papillibacter_cinnamivorans","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraeggerthella_hongkongensis","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parasutterella_secunda","Parvimonas_micra","Peptoclostridium_difficile","Peptococcus_niger","Peptoniphilus_asaccharolyticus","Peptoniphilus_duerdenii","Peptoniphilus_lacrimalis","Peptostreptococcus_anaerobius","Peptostreptococcus_stomatis","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Photobacterium_indicum","Photorhabdus_luminescens","Phycisphaera_mikurensis","Pisum_sativum","Porphyromonas_asaccharolytica","Prevotella_bivia","Prevotella_buccalis","Prevotella_copri","Prevotella_stercorea","Prevotella_timonensis","Propionibacterium_acidifaciens","Propionibacterium_propionicum","Proteus_mirabilis","Pseudoflavonifractor_capillosus","Pseudoramibacter_alactolyticus","Pyramidobacter_piscolens","Raoultella_planticola","Raoultella_terrigena","Rhodococcus_erythropolis","Robinsoniella_peoriensis","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_dentocariosa","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Salmonella_enterica","Scardovia_wiggsiae","Serratia_marcescens","Shuttleworthia_satelles","Slackia_faecicanis","Slackia_isoflavoniconvertens","Slackia_piriformis","Solobacterium_moorei","Staphylococcus_aureus","Streptococcus_anginosus","Streptococcus_cristatus","Streptococcus_gordonii","Streptococcus_lactarius","Streptococcus_mutans","Streptococcus_oligofermentans","Streptococcus_parasanguinis","Streptococcus_peroris","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_sanguinis","Streptococcus_sinensis","Streptococcus_thermophilus","Subdoligranulum_variabile","Sulfurovum_lithotrophicum","Sutterella_stercoricanis","Sutterella_wadsworthensis","Turicibacter_sanguinis","Vagococcus_lutrae","Vallitalea_guaymasensis","Veillonella_atypica","Veillonella_dispar","Veillonella_parvula","Veillonella_rogosae"
"H1",0,0,0,0,0,0,0,0,0,36,0,22,0,115,16,0,0,977,3,27,0,0,0,0,0,0,0,0,0,0,36,303,500,247,0,0,72,0,0,78,0,96,3284,0,0,0,74,36,22,0,0,0,0,0,0,0,0,7,298,0,294,0,0,117,0,45,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,21,0,0,0,0,0,0,0,220,497,0,0,56,0,0,0,0,252,0,0,0,0,80,65,1349,0,0,0,0,0,0,0,0,0,0,88,283,0,0,0,0,0,0,0,0,0,221,842,0,342,0,144,0,0,0,220,0,0,452,0,0,0,0,0,20023,0,24,0,0,0,0,4,248,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,73,0,16,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,7,34,0,1,0,0,0,3,0,15042,0,0,0,0,0,0,0,0,0,0,0,0,2010,0,0,118,0,0,43,24,22,0,171,0,0,143,927,0,0,0,0,0,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,248,6,0,0,0,22,0,0,0,0,0,0
"H2",0,0,0,0,0,0,0,0,0,0,0,8,0,265,70,47,0,1069,0,22,0,0,0,65,0,0,0,4,4,61,0,0,0,0,141,0,0,0,4,0,0,62,0,0,0,0,112,385,83,142,0,0,0,0,0,35,0,21,155,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,67,0,0,0,0,0,0,8,0,0,0,0,0,0,2,96,561,0,0,0,0,0,0,0,8,0,0,0,27,137,165,2220,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,4368,0,73,0,80,34,312,0,296,0,32,1173,346,0,0,0,47,7504,87,107,0,0,0,0,0,3845,0,0,0,0,18,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1389,0,0,116,0,0,0,54,0,0,0,56,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,14545,0,0,0,0,0,0,0,0,0,0,0,0,216,0,214,630,0,0,0,80,0,44,262,0,518,108,120,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3",0,61,0,0,0,0,0,0,0,0,18,96,0,0,0,362,13,883,85,178,0,0,0,702,0,0,0,2,61,0,0,0,0,21,33,0,0,0,0,0,6,35,280,55,2877,0,6985,650,58,144,0,0,0,0,210,114,0,0,533,0,335,0,1,0,0,70,0,0,0,0,0,19,0,0,74,0,1086,0,0,0,0,18,201,46,0,0,0,0,0,0,0,105,1458,0,0,0,0,0,0,20,0,0,0,0,0,141,51,0,0,0,0,0,0,0,3084,0,0,0,39,373,0,0,0,0,0,0,0,0,0,449,55,0,838,0,16,0,66,42,606,0,0,128,0,0,0,0,31,3168,59,0,0,0,0,0,0,2316,0,0,0,17,0,144,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,2661,16,0,33,0,0,0,258,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3883,44,0,0,0,0,177,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"H4",0,24,0,0,0,0,0,0,0,0,0,0,0,611,0,10,0,1459,0,189,0,0,0,910,0,0,0,0,182,0,0,0,0,14,2064,0,55,0,0,935,0,5,0,0,315,111,2056,5578,74,0,0,0,0,0,41,0,0,11,267,0,435,0,0,0,0,48,0,0,0,0,0,0,0,0,131,0,0,168,20,0,0,0,30,0,0,0,0,0,0,1,0,12,123,0,0,0,0,0,0,0,1203,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,52,277,0,0,0,0,0,0,0,0,0,0,0,0,219,0,163,0,0,0,161,0,45,6531,0,0,0,0,33,10951,0,315,0,9,0,0,0,0,0,8,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,136,0,0,49,0,0,0,16,0,235,0,489,0,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,56,0,201,0,41,170,2983,661,0,0,0,62,108,1520,0,0,0,0,421,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"H5",0,80,14,0,0,0,0,0,0,0,0,0,0,0,13,94,0,151,0,66,0,0,0,228,0,0,0,0,79,60,0,0,198,1003,0,0,0,0,1,0,0,35,1176,0,0,57,304,9,105,0,0,0,0,0,636,283,0,0,59,0,103,0,0,0,0,27,3,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,40,6,0,0,0,0,0,0,0,223,94,0,0,0,0,0,0,0,1215,0,0,0,0,67,66,1179,0,0,0,0,0,0,0,0,12,4448,42,143,19,0,0,0,0,0,0,0,0,81,0,0,535,0,28,0,263,0,204,0,0,8077,0,0,0,0,0,8065,50,87,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,16,0,0,4,264,0,0,674,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,529,0,2599,3,0,0,0,0,0,0,0,0,0,0,3,54,0,0,77,0,0,359,196,11,7,0,0,129,52,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"H6",0,10,0,0,0,0,0,0,0,0,0,48,0,10472,0,119,0,268,0,91,0,0,0,81,0,0,0,0,352,0,0,0,0,850,62,0,22,248,0,20,0,114,3331,0,243,43,1289,174,62,0,142,380,81,0,316,4,0,37,105,0,674,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,197,0,0,73,0,0,30,650,2,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,1984,0,0,12,0,151,15,0,0,0,0,0,110,0,0,0,0,22,62,344,19,0,0,0,0,0,0,0,0,516,0,0,53,0,39,0,0,0,2470,0,0,329,197,0,0,0,0,7294,53,166,0,0,0,0,0,136,0,0,0,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,607,1,0,0,0,0,17,0,0,0,0,0,0,61,46,0,0,150,0,0,0,399,0,348,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,110,1044,32,0,0,0,0,50,72,0,0,0,0,0,0,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
"H7",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,9,0,0,0,0,101,0,0,0,0,0,0,1,151,60,0,0,0,0,0,22,0,125,0,0,0,277,8714,0,1911,107,843,4275,874,0,0,0,0,0,411,77,0,59,311,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,324,0,0,0,8,53,305,25,0,0,0,0,0,0,0,47,545,0,126,0,106,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,41,0,0,0,0,0,0,0,0,1099,0,0,0,0,1260,29,0,14,800,0,0,0,0,0,0,0,0,11815,250,0,852,0,0,0,0,0,8,9,0,0,0,0,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,817,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1136,0,40,0,7919,0,0,0,1770,153,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,9,131,0,0,0,0,0,0
"H8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,219,0,0,9,154,2,0,0,368,0,0,0,0,140,0,0,0,0,39,0,13,0,51,0,0,77,17,0,0,127,94,354,53,107,0,0,0,0,0,0,388,3,33,372,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,583,0,566,0,0,1,0,0,0,0,0,0,0,0,0,0,0,133,1009,6,0,0,0,0,0,0,0,0,0,0,0,47,34,1579,0,0,0,0,0,290,0,0,0,3357,55,119,13,0,0,0,0,0,0,0,0,293,0,0,127,0,152,0,20,0,681,0,0,233,63,32,0,0,31,8598,0,2,0,0,0,0,0,718,0,39,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,29,59,0,0,144,0,24,0,82,0,0,0,13,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,8201,0,0,0,0,0,0,0,0,0,0,0,0,273,190,72,116,0,24,123,397,0,0,254,0,0,203,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,559,0,0,0,0,194,0,0,0,46,0,0
"H9",0,16,0,0,0,23,0,0,0,0,0,0,0,0,0,18,0,3081,10,54,0,0,0,291,0,0,0,0,353,0,0,468,112,26,0,0,0,0,0,0,0,120,615,0,34,0,34,1856,288,119,0,145,0,0,66,36,0,0,185,0,306,0,0,0,0,28,0,0,0,0,0,0,0,0,67,0,304,110,0,0,0,0,22,69,39,0,0,0,0,0,0,207,503,0,0,0,0,0,0,0,362,0,0,0,0,60,35,408,0,0,0,0,0,394,0,0,0,0,31,270,0,0,10,0,0,0,0,0,0,137,0,0,349,0,0,0,56,0,219,0,55,40,589,0,0,0,58,15511,0,64,0,0,0,0,0,274,0,105,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,0,0,11,0,0,56,279,0,0,39,0,0,0,59,0,70,0,21,0,0,0,0,0,0,0,0,0,0,81,0,2,0,0,0,0,0,9725,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,265,1257,0,10,460,1506,368,9,0,0,0,222,443,16,0,0,0,0,0,37,0,0,0,17,0,11,0,0,0,0,0,0,0,0,100,1,0,0,0,138,0,0,0,0,0,0
"H10",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,38,36,0,543,0,0,0,21,0,0,0,0,0,4,0,0,3,3831,0,0,0,702,0,0,0,367,180,3650,1,4,0,0,0,0,8190,1302,2,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,185,0,31,0,0,237,0,0,0,114,135,0,0,0,0,224,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1112,329,1823,95,0,0,0,0,0,0,0,0,635,0,0,0,0,338,0,134,0,0,0,0,0,0,0,0,0,0,6476,177,558,141,102,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,29,0,0,0,0,108,0,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,8,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,0,0,0
