Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,sample_name,scientific_name,Sequencing_method,SRA Study,Submitter_Id
ERR4291115,RNA-Seq,499,39975224,PRJEB39044,SAMEA7014674,21458210,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243527,SAMEA7014674,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014674,H1,Homo sapiens,paired end,ERP122511,H1
ERR4291116,RNA-Seq,499,40005564,PRJEB39044,SAMEA7014675,21553645,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243528,SAMEA7014675,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014675,H2,Homo sapiens,paired end,ERP122511,H2
ERR4291117,RNA-Seq,499,39943802,PRJEB39044,SAMEA7014676,21503079,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243529,SAMEA7014676,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014676,H3,Homo sapiens,paired end,ERP122511,H3
ERR4291118,RNA-Seq,499,40034572,PRJEB39044,SAMEA7014677,21374831,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243530,SAMEA7014677,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-06-26T14:42:00Z,1,SAMEA7014677,H4,Homo sapiens,paired end,ERP122511,H4
ERR4291119,RNA-Seq,499,39960788,PRJEB39044,SAMEA7014678,21547097,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243531,SAMEA7014678,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014678,H5,Homo sapiens,paired end,ERP122511,H5
ERR4291120,RNA-Seq,499,40021004,PRJEB39044,SAMEA7014679,21804256,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243532,SAMEA7014679,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014679,H6,Homo sapiens,paired end,ERP122511,H6
ERR4291121,RNA-Seq,499,40093048,PRJEB39044,SAMEA7014680,21648740,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243533,SAMEA7014680,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014680,H7,Homo sapiens,paired end,ERP122511,H7
ERR4291122,RNA-Seq,499,39168716,PRJEB39044,SAMEA7014681,21212397,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243534,SAMEA7014681,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-06-26T14:43:00Z,1,SAMEA7014681,H8,Homo sapiens,paired end,ERP122511,H8
ERR4291123,RNA-Seq,499,40015920,PRJEB39044,SAMEA7014682,21419207,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243535,SAMEA7014682,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014682,H9,Homo sapiens,paired end,ERP122511,H9
ERR4291124,RNA-Seq,499,40023304,PRJEB39044,SAMEA7014683,21868591,DAIYONG,2019-08,human,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-06-24,2020-06-24T17:10:54Z,2020-06-24,2020-06-24T09:28:06Z,human,gut,feces,ERX4243536,SAMEA7014683,China,Asia,China,North 30,East 120,human-gut,Daiyong,2020-06-24T17:10:54Z,2020-06-24T09:28:06Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,16S sequencing,2020-06-25T00:00:00Z,2020-08-11T00:33:00Z,1,SAMEA7014683,H10,Homo sapiens,paired end,ERP122511,H10
