"","sample_id","Abiotrophia_defectiva","Acetanaerobacterium_elongatum","Acetivibrio_ethanolgignens","Acidaminococcus_fermentans","Actinobacillus_porcinus","Actinobacillus_rossii","Actinomyces_gerencseriae","Actinomyces_graevenitzii","Actinomyces_lingnae","Actinomyces_odontolyticus","Actinomyces_turicensis","Adlercreutzia_equolifaciens","Aggregatibacter_segnis","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Allobaculum_stercoricanis","Alloprevotella_rava","Anaerostipes_hadrus","Anaerotruncus_colihominis","Atopobium_parvulum","Bacillus_pumilus","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Bifidobacterium_adolescentis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_pullorum","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_luti","Blautia_producta","Blautia_schinkii","Blautia_stercoris","Bulleidia_extructa","Butyricimonas_virosa","Butyrivibrio_fibrisolvens","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Christensenella_minuta","Citrobacter_freundii","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_bartlettii","Clostridium_clostridioforme","Clostridium_disporicum","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_oroticum","Clostridium_perfringens","Clostridium_polysaccharolyticum","Clostridium_populeti","Clostridium_propionicum","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_scindens","Clostridium_spiroforme","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_viride","Collinsella_aerofaciens","Collinsella_tanakaei","Comamonas_kerstersii","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Corynebacterium_argentoratense","Corynebacterium_durum","Dehalobacterium_formicoaceticum","Desulfovibrio_desulfuricans","Desulfovibrio_fairfieldensis","Desulfovibrio_piger","Dialister_invisus","Dialister_pneumosintes","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Enterobacter_aerogenes","Enterobacter_cloacae","Enterococcus_asini","Enterococcus_cecorum","Enterococcus_faecalis","Enterococcus_faecium","Enterococcus_gallinarum","Enterococcus_mundtii","Escherichia_coli","Eubacterium_biforme","Eubacterium_contortum","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_limosum","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_sulci","Eubacterium_tarantellae","Eubacterium_ventriosum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_varium","Gemella_haemolysans","Gemella_morbillorum","Gemella_sanguinis","Gemmiger_formicilis","Gordonibacter_pamelaeae","Haemophilus_parainfluenzae","Haemophilus_sputorum","Holdemania_filiformis","Howardella_ureilytica","Intestinimonas_butyriciproducens","Klebsiella_pneumoniae","Kluyvera_cryocrescens","Kluyvera_georgiana","Lactobacillus_acidophilus","Lactobacillus_amylovorus","Lactobacillus_camelliae","Lactobacillus_crispatus","Lactobacillus_fermentum","Lactobacillus_helveticus","Lactobacillus_iners","Lactobacillus_mucosae","Lactobacillus_paracasei","Lactobacillus_ruminis","Lactobacillus_salivarius","Lactococcus_garvieae","Lactococcus_lactis","Lactonifactor_longoviformis","Leuconostoc_lactis","Megamonas_funiformis","Megamonas_rupellensis","Megasphaera_elsdenii","Mobiluncus_curtisii","Odoribacter_splanchnicus","Olsenella_uli","Oribacterium_sinus","Oscillibacter_valericigenes","Oscillospira_guilliermondii","Oxalobacter_formigenes","Papillibacter_cinnamivorans","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraeggerthella_hongkongensis","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parasutterella_secunda","Parvimonas_micra","Peptoclostridium_difficile","Peptococcus_niger","Peptoniphilus_asaccharolyticus","Peptoniphilus_duerdenii","Peptoniphilus_lacrimalis","Peptostreptococcus_anaerobius","Peptostreptococcus_stomatis","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Photobacterium_indicum","Photorhabdus_luminescens","Phycisphaera_mikurensis","Pisum_sativum","Porphyromonas_asaccharolytica","Prevotella_bivia","Prevotella_buccalis","Prevotella_copri","Prevotella_stercorea","Prevotella_timonensis","Propionibacterium_acidifaciens","Propionibacterium_propionicum","Proteus_mirabilis","Pseudoflavonifractor_capillosus","Pseudoramibacter_alactolyticus","Pyramidobacter_piscolens","Raoultella_planticola","Raoultella_terrigena","Rhodococcus_erythropolis","Robinsoniella_peoriensis","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_dentocariosa","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Salmonella_enterica","Scardovia_wiggsiae","Serratia_marcescens","Shuttleworthia_satelles","Slackia_faecicanis","Slackia_isoflavoniconvertens","Slackia_piriformis","Solobacterium_moorei","Staphylococcus_aureus","Streptococcus_anginosus","Streptococcus_cristatus","Streptococcus_gordonii","Streptococcus_lactarius","Streptococcus_mutans","Streptococcus_oligofermentans","Streptococcus_parasanguinis","Streptococcus_peroris","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_sanguinis","Streptococcus_sinensis","Streptococcus_thermophilus","Subdoligranulum_variabile","Sulfurovum_lithotrophicum","Sutterella_stercoricanis","Sutterella_wadsworthensis","Turicibacter_sanguinis","Vagococcus_lutrae","Vallitalea_guaymasensis","Veillonella_atypica","Veillonella_dispar","Veillonella_parvula","Veillonella_rogosae"
"1","H1",0,0,0,0,0,0,0,0,0,0.000701713350096486,0,0.000428824825058963,0,0.00224158431280822,0.000311872600042882,0,0,0.0190437206401185,5.84761125080405e-05,0.000526285012572364,0,0,0,0,0,0,0,0,0,0,0.000701713350096486,0.00590608736331209,0.00974601875134008,0.004814533263162,0,0,0.00140342670019297,0,0,0.00152037892520905,0,0.0018712356002573,0.0640118511588016,0,0,0,0.00144241077519833,0.000701713350096486,0.000428824825058963,0,0,0,0,0,0,0,0,0.000136444262518761,0.00580862717579869,0,0.00573065902578797,0,0,0.00228056838781358,0,0.000877141687620607,0,0,0,0,1.94920375026802e-05,0,0,0,0,0,0.000643237237588445,0,0,0,0,0,0,0.000409332787556283,0,0,0,0,0,0,0,0.00428824825058963,0.00968754263883204,0,0,0.00109155410015009,0,0,0,0,0.0049119934506754,0,0,0,0,0.00155936300021441,0.00126698243767421,0.0262947585911155,0,0,0,0,0,0,0,0,0,0,0.00171529930023585,0.00551624661325848,0,0,0,0,0,0,0,0,0,0.00430774028809231,0.0164122955772567,0,0.00666627682591661,0,0.00280685340038594,0,0,0,0.00428824825058963,0,0,0.00881040095121143,0,0,0,0,0,0.390289066916165,0,0.000467808900064324,0,0,0,0,7.79681500107206e-05,0.00483402530066468,0,0,0,0,0,0,0,3.89840750053603e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89840750053603e-05,0,0,0,0.00142291873769565,0,0.000311872600042882,0,0,0,0,0,0,0,0.00358653490049315,0,0,0,0,0,0,0,0,0,0,0.000136444262518761,0.000662729275091125,0,1.94920375026802e-05,0,0,0,5.84761125080405e-05,0,0.293199228115315,0,0,0,0,0,0,0,0,0,0,0,0,0.0391789953803871,0,0,0.00230006042531626,0,0,0.000838157612615247,0.000467808900064324,0.000428824825058963,0,0.00333313841295831,0,0,0.00278736136288326,0.0180691187649845,0,0,0,0,0,0,0.000565269087577724,0.000116952225016081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483402530066468,0.000116952225016081,0,0,0,0.000428824825058963,0,0,0,0,0,0
"2","H2",0,0,0,0,0,0,0,0,0,0,0,0.000183414723616938,0,0.00607561271981108,0.00160487883164821,0.00107756150124951,0,0.0245087924433134,0,0.00050439048994658,0,0,0,0.00149024462938762,0,0,0,9.17073618084692e-05,9.17073618084692e-05,0.00139853726757915,0,0,0,0,0.00323268450374854,0,0,0,9.17073618084692e-05,0,0,0.00142146410803127,0,0,0,0,0.00256780613063714,0.00882683357406516,0.00190292775752574,0.00325561134420066,0,0,0,0,0,0.000802439415824105,0,0.000481463649494463,0.00355366027007818,0,0.00142146410803127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204048880023844,0,0.00153609831029186,0,0,0,0,0,0,0.000183414723616938,0,0,0,0,0,0,4.58536809042346e-05,0.00220097668340326,0.0128619574936378,0,0,0,0,0,0,0,0.000183414723616938,0,0,0,0.000619024692207167,0.00314097714194007,0.00378292867459935,0.0508975858037004,0,0,0,0,0,0,0,0,0,0,0,0.00265951349244561,0,0,0,0,0,0,0,0,0,0,0.100144439094848,0,0.00167365935300456,0,0.00183414723616938,0.000779512575371988,0.0071531742210606,0,0.00678634477382672,0,0.000733658894467753,0.0268931838503336,0.00793268679643258,0,0,0,0.00107756150124951,0.172043010752688,0.0019946351193342,0.00245317192837655,0,0,0,0,0,0.088153701538391,0,0,0,0,0.000412683128138111,0.00151317146983974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229268404521173,0,0,0,0.0318453813879909,0,0,0.00265951349244561,0,0,0,0.00123804938441433,0,0,0,0.00128390306531857,0,0,0,0,0,0,0,0,0,0,0.00763463787055506,0,0,0,0,0,0,0,0.333470894376046,0,0,0,0,0,0,0,0,0,0,0,0,0.00495219753765734,0,0.0049063438567531,0.0144439094848339,0,0,0,0.00183414723616938,0,0.00100878097989316,0.00600683219845473,0,0.0118761033541968,0.00247609876882867,0.00275122085425408,0,0,0,0,0,0.00506683173991792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","H3",0,0.0016164506982537,0,0,0,0,0,0,0,0,0.000476985451943716,0.00254392241036648,0,0,0,0.00959270742242362,0.000344489493070461,0.0233987863370167,0.00225243130084532,0.00471685613588786,0,0,0,0.0186024326258049,0,0,0,5.29983835493017e-05,0.0016164506982537,0,0,0,0,0.000556483027267668,0.000874473328563479,0,0,0,0,0,0.000158995150647905,0.00092747171211278,0.00741977369690224,0.0014574555476058,0.0762381747356706,0,0.185096854545936,0.0172244746535231,0.00153695312292975,0.00381588361554973,0,0,0,0,0.00556483027267668,0.0030209078623102,0,0,0.0141240692158889,0,0.00887722924450804,0,2.64991917746509e-05,0,0,0.00185494342422556,0,0,0,0,0,0.000503484643718367,0,0,0.00196094019132416,0,0.0287781222672708,0,0,0,0,0.000476985451943716,0.00532633754670483,0.00121896282163394,0,0,0,0,0,0,0,0.00278241513633834,0.038635821607441,0,0,0,0,0,0,0.000529983835493017,0,0,0,0,0,0.00373638604022577,0.00135145878050719,0,0,0,0,0,0,0,0.0817235074330233,0,0,0,0.00103346847921138,0.00988419853194477,0,0,0,0,0,0,0,0,0,0.0118981371068182,0.0014574555476058,0,0.0222063227071574,0,0.000423987068394414,0,0.00174894665712696,0.00111296605453534,0.0160585102154384,0,0,0.00339189654715531,0,0,0,0,0.000821474945014177,0.083949439542094,0.0015634523147044,0,0,0,0,0,0,0.0613721281500914,0,0,0,0.000450486260169065,0,0.00381588361554973,0,0.000423987068394414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741977369690224,0,0,0.000741977369690224,0.070514349312346,0.000423987068394414,0,0.000874473328563479,0,0,0,0.00683679147785993,0,0.000556483027267668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529983835493017,0,0,0,0,0,0,0,0.00119246362985929,0,0,0,0,0,0,0,0,0,0,0,0.102896361660969,0.00116596443808464,0,0,0,0,0.0046903569441132,0.0261547022815804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29983835493017e-05,0,0,0,0
"4","H4",0,0.000533962222172781,0,0,0,0,0,0,0,0,0,0,0,0.0135937882394821,0,0.000222484259238659,0,0.0324604534229203,0,0.00420495249961065,0,0,0,0.020246067590718,0,0,0,0,0.00404921351814359,0,0,0,0,0.000311477962934122,0.0459207511068592,0,0.00122366342581262,0,0,0.0208022782388146,0,0.000111242129619329,0,0,0.00700825416601775,0.00246957527754911,0.0457427636994683,0.124101719803324,0.00164638351836608,0,0,0,0,0,0.000912185462878501,0,0,0.000244732685162525,0.00594032972167219,0,0.00967806527688166,0,0,0,0,0.00106792444434556,0,0,0,0,0,0,0,0,0.00291454379602643,0,0,0.00373773555520947,0.000444968518477318,0,0,0,0.000667452777715977,0,0,0,0,0,0,2.22484259238659e-05,0,0.000266981111086391,0.0027365563886355,0,0,0,0,0,0,0,0.0267648563864107,0,0,0,0,0.00122366342581262,0,0,0,0,0,0,0,0,0,0,0,0,0.00115691814804103,0.00616281398091085,0,0,0,0,0,0,0,0,0,0,0,0,0.00487240527732663,0,0.00362649342559014,0,0,0,0.00358199657374241,0,0.00100117916657396,0.145304469708768,0,0,0,0,0.000734198055487574,0.243642512292255,0,0.00700825416601775,0,0.000200235833314793,0,0,0,0,0,0.000177987407390927,0,4.44968518477318e-05,0,0.000111242129619329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222484259238659,0,0,0,0.00302578592564576,0,0,0.00109017287026943,0,0,0,0.000355974814781854,0,0.00522838009210848,0,0.0108794802767704,0,0,0,0,0,0,0,0,0,0.0245845106458718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163748414799653,0.00124591185173649,0,0.00447193361069704,0,0.000912185462878501,0.0037822324070572,0.0663670545308919,0.0147062095356754,0,0,0,0.00137940240727968,0.00240282999977752,0.0338176074042761,0,0,0,0,0.00936658731394754,0,0,0,0,0,0,0,0.000444968518477318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444968518477318,0,0,0,0,0,0
"5","H5",0,0.00211148648648649,0.000369510135135135,0,0,0,0,0,0,0,0,0,0,0,0.000343116554054054,0.00248099662162162,0,0.00398543074324324,0,0.00174197635135135,0,0,0,0.00601773648648649,0,0,0,0,0.00208509290540541,0.00158361486486486,0,0,0.00522592905405405,0.0264727618243243,0,0,0,0,2.63935810810811e-05,0,0,0.000923775337837838,0.0310388513513514,0,0,0.00150443412162162,0.00802364864864865,0.00023754222972973,0.00277132601351351,0,0,0,0,0,0.0167863175675676,0.00746938344594595,0,0,0.00155722128378378,0,0.00271853885135135,0,0,0,0,0.000712626689189189,7.91807432432432e-05,0,0,0,0,0,0,0,0.000369510135135135,0,0.000395903716216216,0,0,0,0,0,0.00105574324324324,0.000158361486486486,0,0,0,0,0,0,0,0.00588576858108108,0.00248099662162162,0,0,0,0,0,0,0,0.0320682010135135,0,0,0,0,0.00176836993243243,0.00174197635135135,0.0311180320945946,0,0,0,0,0,0,0,0,0.000316722972972973,0.117398648648649,0.00110853040540541,0.00377428209459459,0.00050147804054054,0,0,0,0,0,0,0,0,0.00213788006756757,0,0,0.0141205658783784,0,0.00073902027027027,0,0.00694151182432432,0,0.00538429054054054,0,0,0.213180954391892,0,0,0,0,0,0.212864231418919,0.00131967905405405,0.00229624155405405,0,0,0,0,0,0.0422033361486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047508445945946,0,0,0,0.000422297297297297,0,0,0.000105574324324324,0.0069679054054054,0,0,0.0177892736486486,0,0,0,0.00778610641891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086570945945946,0,0,0,0,0,0,0.0139622043918919,0,0.0685969172297297,7.91807432432432e-05,0,0,0,0,0,0,0,0,0,0,7.91807432432432e-05,0.00142525337837838,0,0,0.00203230574324324,0,0,0.00947529560810811,0.00517314189189189,0.000290329391891892,0.000184755067567568,0,0,0.00340477195945946,0.00137246621621622,0.024097339527027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63935810810811e-05,0,0,0,0,0,0,0,0,0,0
"6","H6",0,0.000256910903298736,0,0,0,0,0,0,0,0,0,0.00123317233583393,0,0.269037097934436,0,0.00305723974925496,0,0.00688521220840612,0,0.0023378892200185,0,0,0,0.00208097831671976,0,0,0,0,0.00904326379611551,0,0,0,0,0.0218374267803926,0.00159284760045216,0,0.000565203987257219,0.00637139040180865,0,0.000513821806597472,0,0.00292878429760559,0.085577021888809,0,0.00624293495015928,0.00110471688418456,0.0331158154352071,0.00447024971739801,0.00159284760045216,0,0.00364813482684205,0.00976261432535197,0.00208097831671976,0,0.00811838454424006,0.000102764361319494,0,0.000950570342205323,0.00269756448463673,0,0.0173157948823348,0,0,0,0,0.000873497071215702,0,0,0,0,0,0,0,0,0,0,0.0050611447949851,0,0,0.00187544959408077,0,0,0.000770732709896208,0.0166992087144178,5.13821806597472e-05,0,0,0,0,0,0,0,0.0211951495221457,0,0,0,0,0,0,0,0.0509711232144692,0,0,0.000308293083958483,0,0.00387935463981091,0.000385366354948104,0,0,0,0,0,0.0028260199362861,0,0,0,0,0.000565203987257219,0.00159284760045216,0.00883773507347652,0.000488130716267598,0,0,0,0,0,0,0,0,0.0132566026102148,0,0,0.0013616277874833,0,0.00100195252286507,0,0,0,0.0634569931147878,0,0,0.00845236871852841,0.0050611447949851,0,0,0,0,0.187390812866098,0.0013616277874833,0.00426472099475902,0,0,0,0,0,0.00349398828486281,0,0,0,0.000179837632309115,0,0.000847805980885829,0,0,0,0,0,0,0,0,0,0,0,0,0.0155944918302333,2.56910903298736e-05,0,0,0,0,0.000436748535607851,0,0,0,0,0,0,0.00156715651012229,0.00118179015517419,0,0,0.00385366354948104,0,0,0,0.0102507450416196,0,0.00894049943479601,0,0.00246634467166787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154146541979242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00580618641455143,0,0,0,0,0,0.0028260199362861,0.026821498304388,0.000822114890555955,0,0,0,0,0.00128455451649368,0.0018497585037509,0,0,0,0,0,0,0,0.00092487925187545,0,5.13821806597472e-05,0,0,0,0,0,0,0,0,0,0,0,0.00411057445277978,0,0,0,0,0,0,0,0,0,0,0
"7","H7",0,0,0,0,0,0,0,0,0,0.000594494976517448,0,0,0,0,0,0.000178348492955235,0,0,0,0,0.00200146642094208,0,0,0,0,0,0,1.98164992172483e-05,0.00299229138180449,0.0011889899530349,0,0,0,0,0,0.000435962982779462,0,0.00247706240215603,0,0,0,0.00548917028317777,0.172680974179102,0,0.0378693300041615,0.00212036541624557,0.0167053088401403,0.0847155341537364,0.017319620315875,0,0,0,0,0,0.00814458117828904,0.00152587043972812,0,0.00116917345381765,0.00616293125656422,0,0,0,0,0,0,0,0,0,0,0,0.00210054891702832,0,0,0,0,0,0.00642054574638844,0,0,0,0.000158531993737986,0.00105027445851416,0.00604403226126073,0.000495412480431207,0,0,0,0,0,0,0,0.000931375463210669,0.0107999920734003,0,0.00249687890137328,0,0.00210054891702832,0,0,0,0.0113746705507005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00978935061332065,0,0.00081247646790718,0,0,0,0,0,0,0,0,0.0217783326397559,0,0,0,0,0.0249687890137328,0.0005746784773002,0,0.000277430989041476,0.0158531993737986,0,0,0,0,0,0,0,0,0.234131938251788,0.00495412480431207,0,0.0168836573330955,0,0,0,0,0,0.000158531993737986,0.000178348492955235,0,0,0,0,0.00011889899530349,0,0.000713393971820938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614311475734697,0,0,0,0,0,0,0.0161900798604918,0,0.000257614489824228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204704436914175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108990745694866,0,0.022511543110794,0,0.000792659968689931,0,0.156926857301389,0,0,0,0.0350752036145295,0.00303192438023899,0,0,0.000336880486693221,0,0,0,0,0,0,0.000297247488258724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000673760973386442,0,0,0,0.000178348492955235,0.00259596139745952,0,0,0,0,0,0
"8","H8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123658146017437,0.00649427673328984,0,0,0.000266888084929719,0.00456675167546409,5.93084633177154e-05,0,0,0.0109127572504596,0,0,0,0,0.00415159243224008,0,0,0,0,0.00115651503469545,0,0.00038550501156515,0,0.00151236581460174,0,0,0.00228337583773204,0.000504121938200581,0,0,0.00376608742067493,0.00278749777593263,0.0104975980072356,0.00157167427791946,0.00317300278749778,0,0,0,0,0,0,0.0115058418836368,8.89626949765732e-05,0.000978589644742305,0.0110313741770951,0,0,0,0,0,0,0.0030840400925212,0,0,0,0,0,0,0,0,0.017288417057114,0,0.0167842951189135,0,0,2.96542316588577e-05,0,0,0,0,0,0,0,0,0,0,0,0.00394401281062808,0.0299211197437874,0.000177925389953146,0,0,0,0,0,0,0,0,0,0,0,0.00139374888796631,0.00100824387640116,0.0468240317893363,0,0,0,0,0,0.00859972718106874,0,0,0,0.0995492556787854,0.00163098274123717,0.00352885356740407,0.00038550501156515,0,0,0,0,0,0,0,0,0.00868868987604531,0,0,0.00376608742067493,0,0.00450744321214637,0,0.000593084633177154,0,0.0201945317596821,0,0,0.00690943597651385,0.00186821659450804,0.000948935413083447,0,0,0.000919281181424589,0.254967083802859,0,5.93084633177154e-05,0,0,0,0,0,0.0212917383310598,0,0.00115651503469545,0.00038550501156515,0,0,0,0,0,5.93084633177154e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000948935413083447,0,0,0.000859972718106874,0.00174959966787261,0,0,0.00427020935887551,0,0.000711701559812585,0,0.00243164699602633,0,0,0,0.00038550501156515,0,0,0,0,0,0,0,0,0,0.00183856236284918,0,0,0,0,0,0,0,0,0.243194353834292,0,0,0,0,0,0,0,0,0,0,0,0,0.00809560524286816,0.00563430401518297,0.00213510467943776,0.0034398908724275,0,0.000711701559812585,0.0036474704940395,0.0117727299685665,0,0,0.00753217484134986,0,0,0.00601980902674812,0.0196607555898227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93084633177154e-05,0.000682047328153728,0,0.0165767154973015,0,0,0,0,0.0057529209418184,0,0,0,0.00136409465630746,0,0
"9","H9",0,0.000355208240831187,0,0,0,0.000510611846194832,0,0,0,0,0,0,0,0,0,0.000399609270935086,0,0.0683997868750555,0.000222005150519492,0.00119882781280526,0,0,0,0.00646034988011722,0,0,0,0,0.00783678181333807,0,0,0.0103898410443122,0.00248645768581831,0.000577213391350679,0,0,0,0,0,0,0,0.0026640618062339,0.0136533167569488,0,0.000754817511766273,0,0.000754817511766273,0.0412041559364177,0.00639374833496137,0.00264186129118196,0,0.00321907468253263,0,0,0.00146523399342865,0.000799218541870171,0,0,0.0041070952846106,0,0.00679335760589646,0,0,0,0,0.000621614421454578,0,0,0,0,0,0,0,0,0.0014874345084806,0,0.00674895657579256,0.00244205665571441,0,0,0,0,0.000488411331142883,0.0015318355385845,0.000865820087026019,0,0,0,0,0,0,0.00459550661575349,0.0111668590711304,0,0,0,0,0,0,0,0.00803658644880561,0,0,0,0,0.00133203090311695,0.000777018026818222,0.00905781014119528,0,0,0,0,0,0.00874700293046799,0,0,0,0,0.000688215966610425,0.00599413906402629,0,0,0.000222005150519492,0,0,0,0,0,0,0.00304147056211704,0,0,0.00774797975313027,0,0,0,0.00124322884290916,0,0.00486191279637688,0,0.00122102832785721,0.000888020602077968,0.0130761033655981,0,0,0,0.00128762987301305,0.344352188970784,0,0.00142083296332475,0,0,0,0,0,0.00608294112423408,0,0.00233105408045467,0,0,0,0,0.00028860669567534,6.66015451558476e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466210816090933,0,0,0.000177604120415594,0,0,0,0.000244205665571441,0,0,0.00124322884290916,0.00619394369949383,0,0,0.000865820087026019,0,0,0,0.001309830388065,0,0.00155403605363644,0,0.000466210816090933,0,0,0,0,0,0,0,0,0,0,0.00179824171920789,0,4.44010301038984e-05,0,0,0,0,0,0.215900008880206,0,0,0,0,0,0,0,0,0,0,0,0,0.0258413995204689,0,0.00588313648876654,0.0279060474203002,0,0.000222005150519492,0.0102122369238966,0.0334339756682355,0.00816978953911731,0.000199804635467543,0,0,0,0.00492851434153272,0.0098348281680135,0.000355208240831187,0,0,0,0,0,0.00082141905692212,0,0,0,0.000377408755883136,0,0.000244205665571441,0,0,0,0,0,0,0,0,0.00222005150519492,2.22005150519492e-05,0,0,0,0.00306367107716899,0,0,0,0,0,0
"10","H10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908478152565718,0,0,0,0,0,0,0.00111361838056443,0.00105500688685051,0,0.0159130205433285,0,0,0,0.000615420683996132,0,0,0,0,0,0.000117222987427835,0,0,8.79172405708759e-05,0.112270316209009,0,0,0,0.020572634293585,0,0,0,0.0107552090965038,0.00527503443425256,0.106965976027899,2.93057468569587e-05,0.000117222987427835,0,0,0,0,0.240014066758491,0.0381560824077602,5.86114937139173e-05,0.015619963074759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167042757084664,0,0.00542156316853735,0,0.000908478152565718,0,0,0.0069454620050992,0,0,0,0.00334085514169329,0.00395627582568942,0,0,0,0,0.00656448729595874,0.00123084136799226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000322363215426545,0.032587990504938,0.0096415907159394,0.0534243765202356,0.00278404595141107,0,0,0,0,0,0,0,0,0.0186091492541687,0,0,0,0,0.00990534243765202,0,0.00392697007883246,0,0,0,0,0,0,0,0,0,0,0.189784016645664,0.00518711719368168,0.0163526067461829,0.00413211030683117,0.00298918617940978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146528734284793,0.00087917240570876,0.000849866658851801,0,0,0,0,0.00316502066055153,0,0,0.000117222987427835,0,0,0,0,0.000732643671423966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137443952759136,0,0.000234445974855669,0,0,0,0,0,0,0,0.000761949418280925,0,0,0,0,0,0,0,0.00137737010227706,0,0,0,0,0,0,0,0.000674032177710049,0,0,0,0,0,0,0,0,0,0,0,0,0.000586114937139173,0,0,0,0.0256425284998388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93057468569587e-05,0,0,0,0,0,0,0,0.00172903906456056,0,0,0
