Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,strain
SRR28387315,AMPLICON,502,45564532,PRJNA1089552,SAMN40544371,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14539273,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992214,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3010,2024-03-20T00:33:00Z,1,3010,SRP496422,microbial
SRR28387316,AMPLICON,502,40544030,PRJNA1089552,SAMN40544370,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13169905,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992213,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3009,2024-03-20T00:33:00Z,1,3009,SRP496422,microbial
SRR28387317,AMPLICON,502,41957160,PRJNA1089552,SAMN40544369,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13258576,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992212,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3008,2024-03-20T00:33:00Z,1,3008,SRP496422,microbial
SRR28387318,AMPLICON,502,40960690,PRJNA1089552,SAMN40544368,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12832493,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992211,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3007,2024-03-20T00:33:00Z,1,3007,SRP496422,microbial
SRR28387319,AMPLICON,502,38207220,PRJNA1089552,SAMN40544421,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12201310,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992210,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM60,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3060,2024-03-20T00:33:00Z,1,3060,SRP496422,microbial
SRR28387320,AMPLICON,502,43363764,PRJNA1089552,SAMN40544420,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13647692,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992209,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM59,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3059,2024-03-20T00:33:00Z,1,3059,SRP496422,microbial
SRR28387321,AMPLICON,502,39581696,PRJNA1089552,SAMN40544419,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12569883,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992208,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM58,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3058,2024-03-20T00:33:00Z,1,3058,SRP496422,microbial
SRR28387322,AMPLICON,502,39828178,PRJNA1089552,SAMN40544418,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12764081,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992207,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM57,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3057,2024-03-20T00:33:00Z,1,3057,SRP496422,microbial
SRR28387323,AMPLICON,502,37933128,PRJNA1089552,SAMN40544417,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12081638,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992206,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM56,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3056,2024-03-20T00:33:00Z,1,3056,SRP496422,microbial
SRR28387324,AMPLICON,502,38406514,PRJNA1089552,SAMN40544416,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12158559,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992205,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM55,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3055,2024-03-20T00:33:00Z,1,3055,SRP496422,microbial
SRR28387325,AMPLICON,502,49153832,PRJNA1089552,SAMN40544415,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15643722,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992204,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM54,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3054,2024-03-20T00:33:00Z,1,3054,SRP496422,microbial
SRR28387326,AMPLICON,502,42493296,PRJNA1089552,SAMN40544414,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13572304,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992203,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM53,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3053,2024-03-20T00:33:00Z,1,3053,SRP496422,microbial
SRR28387327,AMPLICON,502,41565098,PRJNA1089552,SAMN40544413,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13108692,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992202,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM52,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3052,2024-03-20T00:33:00Z,1,3052,SRP496422,microbial
SRR28387328,AMPLICON,502,47690502,PRJNA1089552,SAMN40544412,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15285282,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992201,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM51,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3051,2024-03-20T00:33:00Z,1,3051,SRP496422,microbial
SRR28387329,AMPLICON,502,36800616,PRJNA1089552,SAMN40544367,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11813113,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992200,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3006,2024-03-20T00:33:00Z,1,3006,SRP496422,microbial
SRR28387330,AMPLICON,502,43592676,PRJNA1089552,SAMN40544411,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13965077,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992199,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM50,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3050,2024-03-20T00:33:00Z,1,3050,SRP496422,microbial
SRR28387331,AMPLICON,502,46030890,PRJNA1089552,SAMN40544410,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",14679833,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992198,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM49,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3049,2024-03-20T00:33:00Z,1,3049,SRP496422,microbial
SRR28387332,AMPLICON,502,46752264,PRJNA1089552,SAMN40544409,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15263395,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992197,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM48,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3048,2024-03-20T00:33:00Z,1,3048,SRP496422,microbial
SRR28387333,AMPLICON,502,42884354,PRJNA1089552,SAMN40544408,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13738699,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992196,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM47,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3047,2024-03-20T00:33:00Z,1,3047,SRP496422,microbial
SRR28387334,AMPLICON,502,35715292,PRJNA1089552,SAMN40544407,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11428914,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992195,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM46,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3046,2024-03-20T00:33:00Z,1,3046,SRP496422,microbial
