"","10Z-Heptadecenoic acid","12-hydroxystearic acid","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","2-Hydroxybutyric acid","2-Hydroxycaproic acid","2-Phenylpropionate","2-Methylbutyroylcarnitine","3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid","3-Hydroxybutyric acid","3-Hydroxyisovaleric acid","Indole-3-propionic acid","3-Methy2-oxovaleric acid","3-Methyladipic acid","3-Hydroxylisovalerylcarnitine","4-Hydroxyphenylpyruvic acid","5-Aminolevulinic acid","5Z-Dodecenoic acid","5-Hydroxy-tryptophan","Dihomo-gamma-linolenic acid","Acetic acid","Acetoacetic acid","Acetylglycine","Adenosine monophosphate","Adipic acid","Adipoylcarnitine","Adrenic acid","alpha-Hydroxyisobutyric acid","Alpha-ketoisovaleric acid","Alpha-Linolenic acid","Phenylacetylglutamine","Aminoadipic acid","Arachidonic acid","Azelaic acid","Benzamide","Benzenebutanoic acid","Benzoic acid","Beta-Alanine","Butyric acid","Caproic acid","Carnitine","Chenodeoxycholic acid","Cholic acid","Cinnamic acid","cis-Aconitic acid","Citramalic acid","Citric acid","Citrulline","Creatine","D-2-Hydroxyglutaric acid","Fructose","Gluconolactone","Glucose","D-Maltose and Alpha-Lactose","Xylose","Xylulose","Capric acid","Decanoylcarnitine","Deoxycholic acid","Dimethylglycine","Docosahexaenoic acid DHA","Docosapentaenoic acid (22n-6)","Docosapentaenoic acid (22n-3)","Dodecanoic acid","Eicosapentaenoic acid EPA","Erythronic acid","Fructose 1,6-bisphosphate","Fumaric acid","Galactonic acid","Gamma-Aminobutyric acid","Gamma-Linolenic acid","Sulfolithocholylglycine","Glucaric acid","Glutaconic acid","Glutaric acid","Glutarylcarnitine","Glyceric acid","Glycine","Chenodeoxycholic acid glycine conjugate","Glycocholic acid","Deoxycholic acid glycine conjugate","Glycohyocholic acid","Glycolic acid","Glycoursodeoxycholic acid","Glycylproline","Guanidoacetic acid","Heptadecanoic acid","Hexanoylcarnitine","Hippuric acid","Homovanillic acid","Hydrocinnamic acid","Hydroxyphenyllactic acid","Hydroxypropionic acid","Hyodeoxycholic acid","Indoleacetic acid","Isocaproic acid","Isocitric acid","Isovaleric acid","Isovalerylcarnitine","Ketoleucine","Alanine","3-Aminoisobutanoic acid","Arginine","Asparagine","Aspartic acid","Cystine","Glutamic acid","Glutamine","Histidine","Homocitrulline","Homoserine","Lactic acid","Leucine","Lysine","Malic acid","Methionine","Phenylalanine","Pipecolic acid","Proline","Serine","threonine","Tryptophan","Tyrosine","Valine","Acetylcarnitine","Dodecanoylcarnitine","Linoelaidic acid","Linoleic acid","Linoleyl carnitine","Maleic acid","Malonic acid","Malonylcarnitine","Mandelic acid","Methionine sulfoxide","Methylcysteine","Methylglutaric acid","Methylmalonic acid","Methylmalonylcarnitine","Methylsuccinic acid","9E-tetradecenoic acid","Myristic acid","Myristoleic acid","Tetradecanoylcarnitine","N-Acetyaspartic acid","N-Acetylglutamine","N-Acetylneuraminic acid","N-Acetylserine","N-Methylnicotinamide","10Z-Nonadecenoic acid","Pelargonic acid","Norvaline","Caprylic acid","Octanoylcarnitine","Oleic acid","Oleylcarnitine","Ornithine","Ortho-Hydroxyphenylacetic acid","Oxalic acid","Oxoadipic acid","Oxoglutaric acid","p-Hydroxyphenylacetic acid","Palmitelaidic acid","Palmitic acid","Palmitoleic acid","Palmitoylcarnitine","Pentadecanoic acid","Phenylacetic acid","Phenyllactic acid","Phenylpyruvic acid","Phosphoribosyl pyrophosphate","Phthalic acid","Picolinic acid","Pimelic acid","Propionic acid","Propionylcarnitine","Protocatechuic acid","Pyroglutamic acid","Pyruvic acid","Rhamnose","Ricinoleic acid","Sarcosine","Sebacic acid","Selenomethionine","Shikimic acid","Stearic acid","Stearylcarnitine","Suberic acid","Succinic acid","Tartaric acid","Taurochenodeoxycholic acid","Taurocholic acid","Taurohyodeoxycholic acid","Tauroursodeoxycholic acid","Threonic acid","trans-Aconitic acid","Trehalose","Tridecanoic acid","Undecanoic acid","Undecylenic acid"
"MB0570",0.954239827,1.952166879,1.020273408,19.56221487,45.21163737,0.301604479,0.508101253,0.13610259,0.054605926,96.47092956,1.218988195,1.291151137,25.67297414,0.614315397,0.046300034,0.608521327,1.276018589,0.604826901,0.27575357,0.323726319,32.02469755,24.78676674,13.99330405,47.5130663,0.214586558,0.075107275,4.796996243,11.8448313,16.99148943,5.828797373,1.637447179,0.147867418,7.907035702,0.159432352,0.614824448,0.097255831,0.150714528,6.229473674,0.95216696,0.325960932,30.12224127,0.117456575,0.025093412,0.066088804,93.20190478,0.061684785,33.35053819,45.21434164,16.48578641,0.605223992,4.247915968,7.394286667,7127.466087,0.344721576,3.556065218,2.458292902,31.29431721,0.678724113,0.29262152,4.420685164,8.26593749,1.368931992,1.948233168,0,0,2.571514448,1.122113158,2.402297856,0.478649845,0.309814898,1.228484374,0.760796462,0,27.15146712,1.039633718,0.182980993,8.182574912,334.8570885,1.211680773,1.015606156,0.374888801,0,43.52416523,0.059187175,0.189547916,4.823667465,0.389995924,0.144192549,8.899524955,1.065812399,0.507290846,0.144952818,51.54755789,0.076225062,0.916423109,0.488076777,1.070332902,0.621909362,0,57.77038015,310.4680612,4.262699266,106.5011742,60.48408761,33.55465182,227.0043786,16.19703908,993.4084235,68.84602985,1.469188064,0.986533067,1670.202626,120.9500399,189.3676124,6.267699214,22.76382764,58.44329598,4.816647655,96.6124099,127.2459185,72.17060619,74.7352379,77.06809923,118.1798072,16.0968063,0.145216764,0.619647444,139.052656,0.338521178,0.446612262,0.047185598,0,0.303874464,0.09359737,17.15877748,0.853530781,11.24415116,0.219406705,0.410652774,0.48337866,15.87993642,0.110988869,0.023308123,0.621805417,0.427658522,1.109567266,3.859048004,7.481437998,0.480266515,0.539738176,0.607217962,66.87986022,0.44117261,103.8090818,0.404275023,51.1756345,0.093413292,19.526075,0.414988402,23.86900249,0.347992019,0.143881301,69.12325202,25.39053636,0.211585552,1.130040717,6.499928755,0.281336382,0.526461087,5.355670088,0.264387423,0.033235475,0.176374307,1.729061857,1.403573032,0.157484482,11.25034581,377.8154624,0,0.120504546,3.073569411,0.106989686,0.754918102,0.388526505,42.87663351,0.464670931,10.6644203,10.02176035,0.180199966,0.024931748,0.288308513,0.221621846,0.005457774,2.25169209,88.20110115,0.495957948,0.646605034,0.001165473,18.4233432
"MB0466",2.810519642,0.83578608,1.089527586,14.78759408,80.13772051,0.304210906,0.01941655,0.081336484,0.143583421,86.57797594,0.900757459,0.375777172,45.14890985,0.549918661,0.067812347,0.669771883,0.950890357,5.161960969,0.179165754,1.463252031,9.516912221,13.01763806,10.57590622,37.21537863,0.070336232,0.178638699,10.33771079,12.09267189,17.2034522,27.63305353,0.354854169,3.379850813,15.91803902,0.109461769,0.426138552,0.136471172,1.241035713,7.338222235,0.541187297,0.163336693,39.94506624,0.726242998,0.041607821,0.113784735,49.3385192,0.695657667,22.48806015,63.88134511,55.04962126,0.816787514,3.711654121,4.815889095,7659.063198,1.065679178,1.473841453,2.46601685,43.11909729,0.463058354,0,6.310784448,50.73154385,3.260610177,9.030160236,4.785113982,2.267159955,3.110479475,1.262636191,1.947602383,0.429744507,0.240618824,0.967516365,0.152271935,0.27864291,22.49499544,0.711709609,0.075569048,9.912598064,477.6899753,8.053362947,4.183973519,0.085012251,0.075937301,7.001457175,0.629090498,0.211656815,3.898189836,1.833281269,0.124210299,2.753113071,1.043761979,0,0.855951945,499.4526567,0.004438981,2.664686674,0.191829005,0.645771807,0.7395489,0.13250957,76.54561977,512.1555746,7.434638554,151.3021474,63.93582494,42.84026942,17.69501979,15.57611564,1698.233204,114.0971327,0.922149412,1.055951072,1265.239375,202.8697846,359.8529919,3.543616071,51.32185219,55.32601564,5.132062333,183.5877098,273.1988345,135.6247253,116.155259,89.90363443,225.9547967,16.49471175,0.102932957,0.874800135,378.3597303,0.338476682,0.18059561,0.027566271,0.121232459,0.223195497,0,6.719116461,0.382809749,6.452442722,0.120570576,0.264972116,0.777625912,51.94074729,0.988783903,0.017995613,0.821434868,0.431523435,1.373533876,2.200149685,4.550328192,1.504695551,0.659437039,0.553554731,84.16156983,0.329106899,267.634392,0.429173084,89.54693893,0.160281891,18.7345582,0.188135022,16.59310003,0.347663308,1.089156975,146.2741859,66.40776718,0.244790126,3.209018457,3.462594088,0.326337969,0.43549909,5.227140513,0.377571056,0.022682672,0.087901761,0.864009396,1.029621774,0.074534812,17.89640746,108.9134501,4.733831474,0.161478342,2.784788119,0.051874015,0.6040391,0.467300732,103.9840983,0.571716063,6.087364804,5.92994477,0.429818686,0.605331352,0.225944043,0.080137205,0.057029627,3.156611801,62.97751078,0.5392911,0.773536123,0.000928604,25.46822029
"MB0432",4.26306509,0.599680505,1.053501882,14.48350434,60.94959607,0.2074244,0.159563004,0.13405462,0.274655391,120.3769712,1.497942079,0.829103596,38.18328778,0.639756191,0.139731086,0.856064368,1.414788864,4.854638134,0,1.29597958,11.89851829,30.60118042,10.70734913,24.67849894,0.083753052,0.253689615,8.82188392,11.367243,15.38576889,31.08019655,2.428257771,1.962818898,11.99276313,0.14961368,0.537003565,0.170072226,1.228614487,7.499261111,0.448146391,0.147195229,48.53694546,0.342965195,0.01442972,0.135901159,51.37836998,0.191788881,21.63969549,69.36488647,49.59408258,0.291676647,3.302883056,7.942607722,7215.541038,1.269036457,2.911847184,2.815875911,44.57978242,0.668121799,0,6.469854721,24.21783788,3.161447368,5.452257751,0,0.863374372,2.684163431,1.263503708,0.561272123,0.592600353,0.310408546,0.515668388,0.239575322,0.388925805,14.69455239,0.784302897,0.23050691,8.105755298,284.8962173,1.524681211,0.739557493,0.13079527,0.108136655,6.034343841,0.214933693,0.20370567,3.363461504,4.078183781,0.248127787,6.404961369,0.965222756,0.057713809,0.681183117,12.36125904,0,5.287851193,0.411423016,0.827593991,0.996458887,0.182418379,64.78881758,356.0007665,5.721868042,139.3255847,39.05366144,43.95504734,14.06801549,14.91789399,1225.36511,70.77803726,0.7103052,0.982692148,727.4972028,172.2878777,298.0270004,2.529864124,23.69598721,58.16966839,5.693587159,183.2172913,152.6692705,73.87426316,73.92115474,78.62093325,204.5596133,24.22492672,0.13509477,3.488624207,444.5586458,0.249671683,0.120780215,0.064926728,0.332539673,0.837060219,0.017708649,6.817339558,0.273187483,4.624584066,0.199325255,0.268306332,0.820847587,71.44439326,1.176905283,0.021081446,0.760354632,0.453719547,1.527936717,5.526006571,10.79879063,2.610767676,0.536650794,0.553780507,70.53374615,0.490276406,359.9007582,0.353056354,71.33810414,0.288888477,18.52088178,0.265470345,13.02747611,2.485152869,3.720774926,211.0099769,81.84913171,0.225596945,5.855029639,16.78559956,0.337568124,0.478568244,5.823672043,0.532377332,0.055417773,0.137139662,0.944487183,1.810046291,0.034926313,17.46775145,145.6225852,2.902710222,0.167382349,3.385802891,0.081540768,0.547957521,0.566317497,170.3527668,0.481130562,16.27768681,4.27794444,0.007697065,0.146923477,0.059163678,0.077328404,0.059538518,2.16259561,61.70820639,0.528110271,1.022867986,0.001165404,7.962918203
"MB0562",2.565914169,0.716161472,0.525138868,25.28558356,97.07478986,0.338520754,0.310881857,0.06822746,0.000371313,73.95437478,0.527023331,0.487199448,43.6546496,0.380574946,0.035040129,0.685235605,0.593225858,8.016395477,0.064700392,1.346315942,13.9217281,8.644186071,10.43743607,42.62789987,0.197623566,0.057594181,7.929326277,9.810625828,16.67379403,21.79176883,0.563131965,3.201192426,16.25665143,0.131086598,0.51037101,0.192655963,0.991465209,5.363208077,0.261306058,0.039496035,40.8456746,0,0.010977418,0.114197478,69.44274649,0.0422066,28.02785058,52.87987634,40.88001351,0.720284723,4.09337891,2.834221158,5521.320563,2.536200275,6.463677982,3.57581377,43.84309641,0.327522094,0.061646895,7.203032494,21.55619212,3.237407694,5.027134517,8.38839176,0.402627795,1.187547243,1.198609791,0.926881227,1.401762668,0.206953134,6.877438527,0.332046647,0.320888044,22.3380743,0.269164761,0.100385975,13.78968656,355.5094981,1.743406171,1.107148309,0.218807602,0.002863061,4.770964838,0.096300229,0.211880567,4.190377025,1.75202749,0.174670574,0,1.362403114,0.357262785,1.684906306,21.78297721,0.013782663,1.642249187,0.233902143,0.794466924,1.87120237,0.20049226,64.67776332,400.6057943,6.026446442,141.5154743,46.7696207,53.34905276,12.41559627,22.48532255,1305.935335,103.7563132,0.280114895,1.350043233,1412.902481,210.8436997,326.3955074,3.510087695,38.62079818,52.2526685,3.707848485,206.2639376,207.9270941,150.4585319,101.5985509,109.1211736,217.2434158,11.60255944,0.063240878,2.98744109,359.356293,0.239809907,0.153210205,0.035639054,0.063819344,0.222952519,0.029589033,4.351894517,0.39233403,5.39776984,0.138404941,0.111759483,0.665093112,51.51093998,2.221102675,0.025769057,0.631750198,0.399820391,1.17027578,2.991004389,8.516690596,2.116712171,0.584872395,0.54748252,75.71786951,0.2525406,320.0829561,0.46445295,95.09208091,0.08030368,13.45001991,0.213192192,17.89858733,0,2.458777391,124.8574224,107.3607853,0.328740818,3.345673477,4.460062456,0.349305515,0.330756668,5.383241905,0.388741648,0.021164941,0.008091067,0.063319538,0.849493423,0.10376378,23.12926124,173.4957727,7.351175522,0.199798663,4.193358283,0.086582425,0.678827071,0.374438353,80.65988147,0.413338602,10.90854358,5.146809771,0.04716197,0.173031593,0.068793379,0.073653728,0.059560446,0.92186712,67.2411502,0.523420927,0.377428044,0.001438359,8.131389903
"MB0540",6.105203512,0.802758539,0.285745693,19.05063694,79.6711432,0.273198745,0.695174491,0.079838982,0.268499739,274.0938924,0.739984201,0.167454593,23.34090334,0.680590406,0.043930245,0.522509556,1.076391375,10.9730369,0.087771069,1.294974022,13.427153,18.74117289,12.24000964,44.70176239,0.281094227,0.186185008,14.2883915,12.40062874,14.75005978,28.4792076,2.349984015,2.544911182,24.26276415,0.10347924,0.43390039,0.182371079,0.735940377,7.896232727,0.818296489,0.188219291,37.08185834,0.16223842,0.013354477,0.117391421,53.38943227,0.018202666,24.08242428,67.46341695,75.92218424,0.364475566,5.418403647,5.443055517,7500.769546,0.698629005,2.059771726,2.045806575,55.63364469,0.975097203,0.424453233,5.760062147,28.91012179,3.082617853,9.735196396,7.365567069,1.625063791,1.873616626,1.23545951,1.11599351,0.482798512,0.187892603,5.295314069,0.163623801,0.320746035,10.02623435,0.855814102,0.231856667,16.50721324,402.942709,0.341890526,0.460355697,0.093937913,0,10.18024294,0,0.224773305,3.373618065,2.228262254,0.2690797,3.478455392,0.929842454,0.716151006,0.578331605,28.01356822,0.056635031,10.5586249,1.009789976,0.860984306,0.657822855,0.137981463,46.88925002,349.0023526,7.818653285,164.369982,48.969034,48.94951245,12.34486421,17.35607427,1274.980765,106.0419941,0.53816757,0.64601569,1021.107263,181.1750043,328.9898138,3.062456225,31.46865925,54.01528723,5.671786919,315.5777466,208.3423409,147.0183273,97.74739049,79.91653966,201.982114,24.73588352,0.1810181,4.097698496,455.1560727,0.474971589,0.15541645,0.044404314,0.041010345,0.326125726,0.029855902,6.37100745,0.567723862,5.225127398,0.138913171,0.31824176,2.014208365,40.93186377,1.076179503,0.030182938,0.729915433,0.429070079,1.123000417,3.162337485,24.42159697,3.079214751,0.495692642,0.568416376,67.69470232,0.684872197,427.9603628,0.836829757,85.3126061,0.139361191,19.48895388,0.151578265,11.9704197,0.447716507,1.751935572,136.776191,113.4904275,0.35544514,1.341682503,27.68983148,0.257209237,0.333801077,4.990526846,0.32123416,0.048343478,0.102879807,0.887611041,1.111289213,0.211729171,19.67367598,84.80179837,0.810073125,0.187628262,3.2681032,0.122566712,0.663170907,0.439687709,96.22450339,0.575584066,4.96433202,4.79451359,0.023846577,0.050874322,0.069687072,0.073275367,0.054817086,1.277036622,57.95881885,0.508335152,0.471334898,0.001026989,24.71165965
"MB0116",4.615831734,0.998583839,0.704972799,11.2891349,81.09552055,0.145257768,0.333828969,0.068919521,0.251214012,429.9030111,1.310312784,1.559320547,36.75062383,0.387417207,0.092168787,0.541401636,0.728066911,12.47388403,0,2.112295909,62.98766092,70.55693128,9.283583579,28.64170971,0.077730349,0.120241944,12.26043369,14.07348793,20.65750728,44.62122253,1.964070707,2.130221874,19.61267259,0.115535338,0.477623238,0.3047469,1.252935404,4.142489392,0.568313253,0.230239719,49.29876935,1.090482225,0.089586225,0.177595819,43.87067115,0.046678073,18.00297754,58.16799571,73.06651309,0.171160373,2.01353068,3.947571326,7258.338271,0.916345315,2.454801872,1.60880269,67.36355574,1.290536825,1.122236512,4.344712726,38.84801852,5.121371251,9.013748203,57.56019518,1.581266381,2.620148659,1.222623918,0.300527477,0.445827742,0.220662764,1.205060206,0.234477265,0.271115354,8.309319729,0.45950689,0.107771234,8.467827666,344.2542144,0.687772827,0.923390975,0.20531571,0.005438565,4.760212097,0.118051397,0.176011909,3.818126663,2.708104705,0.268390504,3.630170854,0.700332132,0.274738026,0.903489071,39.11057565,0.112638409,2.108512498,0.287081433,0.498084518,1.276557707,0.120138419,69.5457064,313.474938,8.362184669,145.8602431,39.45453412,54.72979666,20.44921715,16.20402186,1253.977407,92.03040593,0.624308077,0.875370885,639.3220635,207.8317297,411.2512211,2.171208511,31.27179509,53.48452363,6.377421643,158.7790393,182.2530062,92.05649171,100.206239,94.49257077,252.1101205,25.88235007,0.218593564,3.644755708,457.8419153,0.283973579,0.136130984,0.029704851,0.085340206,0.619000422,0.044240429,7.25428772,0.307370816,3.799348383,0.117326689,0.183004004,1.914443683,66.48749077,1.382850391,0.022511554,0.542326784,0.439320361,0.858147749,2.201019415,13.52495116,3.514436356,0.560959332,0.515325797,99.49033856,0.917273042,392.0654,0.464299974,52.47709356,0.16409388,20.01344076,0.116152398,15.2774541,0.581417372,2.017614054,161.4477861,93.61633483,0.240867897,3.578825553,18.27415256,0.2226935,0.292675197,5.764723501,0.427954434,0.040108726,0.099054026,1.037265138,1.745317091,0.08926124,20.2776939,69.75800436,3.552417415,0.28848148,2.444578725,0.074337202,0.698006527,0.418189762,106.5278703,0.459454421,8.966405575,3.722808854,0.236587582,0.155249554,0.135746417,0.077326525,0.048507088,2.414865193,51.11658036,0.533693164,0.642457085,0.001440763,16.98052618
"MB0159",4.236966745,1.75654578,0.42715314,3.864130744,38.05734456,0.195006917,0.842876595,0.056145884,0.248985614,435.2115262,0.406012568,0.826750817,24.82781588,0.476681654,0.020294999,0.424730899,0.965786616,6.595300596,0,1.41399638,65.34853677,157.6018084,5.518792963,34.44709603,0.140227826,0.133658605,8.324398697,4.16367846,11.71783438,36.8062918,3.876552156,1.520421918,12.3461279,0.117319199,0.530222909,0.261195477,1.219766937,4.448745942,0.702859419,0.145245104,42.4654642,0.089718787,0.020478321,0.07816769,34.68416261,0.031527249,17.15692127,43.61660461,22.50146554,0.226153287,4.789044474,4.1237965,6622.896561,1.069458409,2.089337803,2.219654334,34.08275235,0.51737139,0.122772473,4.131583546,28.04749721,1.762903224,9.603633867,18.6091725,2.37750943,2.757882001,1.226728451,0.862020553,0.43483477,0.254784055,5.427049643,0.363086145,0.24757414,12.87584099,0.266598659,0.073008928,8.013711218,306.0443462,0.224882017,0.733162849,0,0.040034186,3.256315068,0.052516158,0.156541385,3.41553836,1.058579316,0.195347859,8.752168341,0.684009453,0.742054474,0.622348402,20.38726017,0.007209526,1.317563565,0.183060489,0.493472402,0.993755071,0.142895184,46.38080473,236.9497123,4.274926329,157.2733465,34.34239607,41.97458781,18.94638426,17.66626981,1200.143789,76.26215027,0.397502071,0.859994631,699.0067488,134.8817534,264.5792246,2.287785323,27.73748363,30.16805666,4.356948755,137.847257,153.9302574,79.32995436,85.10489081,79.94503943,152.1282331,20.82471726,0.120748846,3.193494768,527.1208491,0.344202243,0.082187118,0.008368006,0.107010099,0.310990725,0.034283777,4.815225305,0.360361054,4.794566473,0.094258467,0.117350046,0.517710199,52.98847132,0.914858317,0.019968236,0.540456612,0.461526048,1.134880911,2.936045071,23.10274332,1.703442263,0.514408622,0.526964316,50.42165297,0.375362292,386.7624298,0.530493832,75.02172856,0.08556827,20.09815555,0.136983949,17.48990573,0.452708899,1.171895511,130.9398773,103.3583602,0.261392259,2.559357135,26.57466806,0.136147208,0.204429818,4.943493403,0.908520059,0.021795619,0.081483298,1.356930727,1.220481695,0.082159362,19.36452226,79.57728527,1.504218041,0.239448504,2.665633703,0.067494805,0.671129735,0.521948089,60.63978137,0.386742138,2.602010464,4.368094146,0.055813575,0.046327144,0.014695834,0.077470295,0.046355494,2.849966075,40.30402809,0.531916465,0.573329888,0.00127605,10.60213976
"MB0741",2.790079078,1.039399776,0.923715729,13.55577622,67.06185974,0.325207266,1.01557112,0.067513252,0.028263022,201.6670582,0.719579212,0.148555119,32.8326076,0.225856464,0.03663651,0.62295514,1.154651622,5.619562962,0.083124506,0.680571343,23.82208456,24.43847951,10.62420128,54.13464679,0.176028259,0.109283617,6.039510468,11.34613398,17.33505304,24.07308993,2.184661926,3.804354157,10.1450765,0.088547971,0.423875189,0.194919749,0.607232232,4.542160077,2.36568497,0.201850741,36.4973957,0.416343556,0.129135786,0.117724428,46.34540409,0.056971401,20.89520509,71.50024863,52.7281489,0.211254366,2.850721768,2.950507872,7012.262595,0.440806518,1.79335013,1.362250472,40.34104528,1.323506316,0.595352436,4.255732758,13.02890845,1.508751094,4.502677894,9.539002173,0.571372667,2.136792237,1.180174266,1.044719331,0.683087239,0.203297247,0.214040642,0.376478483,0.327270207,13.37558108,0.34992247,0.108566734,12.9680288,290.8167419,0.850009004,1.526013571,0.267203603,0,4.706014474,0.110042334,0.205954152,3.952658949,1.529370299,0.309319743,1.460675194,0.709535213,0.955574285,1.113304846,30.19636069,0.065674084,1.286109963,0.204830184,0.6520366,1.425646165,0.177459456,68.73911526,296.34705,9.270733927,139.0155375,39.02882261,28.25664892,14.48826452,14.61567641,1443.713494,84.70622357,0.502349775,0.788519788,785.6269247,190.6012288,326.2862025,2.237437994,34.08405515,31.12394736,3.965024914,177.1901726,192.4092611,122.7082917,88.97307892,85.12577406,230.772744,16.94617645,0.184502073,2.24180401,327.8853791,0.191288159,0.056577067,0.031786926,0.070019932,0.222763588,0.034826157,5.89847833,0.329916136,4.54295097,0.136069589,0.117102242,0.060638199,23.33852253,0.281322462,0.022487131,0.467605282,0.448933128,0.829420926,2.68203046,17.1415796,1.508089842,0.460039797,0.50760951,98.1621534,0.874021956,332.3835554,0.475992832,96.5021008,0.122660006,14.91470453,0.082101152,17.84222745,0.009663041,0.969390788,128.8319047,53.97446651,0.24640747,1.80417403,16.86698128,0.219389177,0.335613527,4.71354057,0.410110251,0.013687337,0.013238993,1.640260455,1.011922046,0.135278386,17.96181671,144.4636216,2.952755818,0.198503417,2.233209309,0.095474169,0.67819835,0.538017035,75.0521828,0.594146376,4.844523859,4.417431143,0.277118329,0.09551741,0.151766561,0.07464033,0.060104951,1.455338523,52.03652211,0.515380458,0.263550978,0.001504394,15.70732406
"MB1064",4.183922598,0.586456221,0.9172639,9.749353912,81.04053135,0.286197679,0.210836438,0.061462602,0.999869223,441.9178318,0.879548848,0.2239811,23.12703447,0.26769481,0.045270424,0.49178343,1.032849179,9.350329988,0.111278483,1.172905391,42.61134136,34.13240745,13.71779155,39.29684741,0.245694325,0.126962876,10.61215174,13.82458733,10.10418798,36.01069073,1.086051295,0.75546909,15.81589122,0.126603916,0.389449238,0.177881979,0.493805744,5.757864226,0.619035293,0.038850775,27.31473127,0.107523333,0.044380329,0.129800821,42.77663144,0.052363094,19.32822739,64.1254582,57.58509543,0.403664643,3.376779048,4.961549939,6986.685822,0.991331379,2.455691764,2.982097307,61.83418293,0.37989631,0.000431102,7.092959938,24.21993131,4.651253787,7.051482775,35.03663932,0.954074183,3.527187178,1.209226751,1.458585984,0.45050105,0.227760376,2.893809175,0.005893833,0.334976559,19.86586888,0.784954915,0.110796597,16.21554082,464.780954,2.979556457,1.818242596,0.024580401,0,7.878810072,0.152202236,0.220221256,3.159724368,1.076738294,0.198991799,8.241010341,1.121972616,0.227823594,0.286798553,28.500164,0.013782663,4.32716412,0.270699996,0.830187332,0.57077844,0.111751973,40.80058595,299.3624715,7.823661867,123.6740639,54.87326171,45.63562776,16.04793247,24.33521963,1318.672964,92.74160185,0.552733418,0.02558334,1159.641958,164.4600875,286.0918833,3.725056358,29.76590605,72.70723247,4.570164606,169.7999276,216.8682938,108.4733343,83.14443805,76.26697556,176.4536178,20.82805988,0.066161815,2.829370257,460.2641645,0.235103145,0.173750675,0.046631829,0.026813557,0.096685955,0.029580988,13.99944849,0.553954579,6.340022348,0.141030461,0.288568098,0.752028686,54.87715081,1.659831113,0.023705041,0.648810452,0.423295316,0.946034847,3.455629034,5.139606158,2.262006995,0.435015954,0.600845402,38.07802131,0.337566633,344.6949566,0.483880504,75.45429832,0.083206334,22.13853797,0.100636752,13.0183232,0.624988387,2.120460201,89.75137036,93.49222485,0.221314863,2.961695299,3.515037647,0.304449145,0.34798496,4.545760032,0.360172397,0.036520687,0.15014637,0.04604735,0.972149344,0.151164356,22.92532389,65.17090605,9.090059501,0.266746862,2.554099529,0.117728004,0.670992856,0.398878316,41.6024108,0.443788401,8.492480628,7.232305193,0.038209408,0.090713698,0.093413847,0.073275367,0.057340561,2.800675924,44.87976373,0.479247782,0.841073537,0.001878063,30.40751051
"MB0847",3.147271117,1.264852307,0.739192953,16.45675091,51.74010204,0.286004972,7.113131137,0.043155455,0.023955062,138.2854094,0.520156145,37.78890874,20.83711471,1.463384185,0.032178645,0.402008652,1.518751187,4.563741025,0.097618887,0.784502155,29.59331435,18.51291301,6.039840999,28.92502474,0.195057262,0.085278988,8.846719296,9.349942304,10.63283637,29.91922802,0.265485726,2.40013802,16.31173218,0.139515701,0.3910503,0.198731559,0.91793376,4.208861762,3.328153795,0.126856018,39.36668569,0.059755614,0.010653312,0.150331725,52.26527833,0.112287928,22.59380741,40.8340349,42.54056586,0.200233696,4.126872129,4.15008655,5724.505934,0.813094674,1.920521895,0.960295249,35.66836281,0.070636341,0.286596245,3.305931421,31.22720895,1.491616869,7.702065191,7.543351861,4.115871153,1.920906913,1.168884099,0.918672684,0.50607016,0.231150495,0,0.547240876,0.352873016,9.694095257,0.334260131,0.084965255,15.67751499,346.6816583,0.164815741,0.267180739,0.158086878,0,5.482009197,0,0.211812971,3.333020985,1.668963495,0.163138837,8.967666905,0.81802771,7.163531774,0.97938937,27.04746101,0.141631571,1.897095348,0.710256786,0.567687994,0.810994902,0.159601277,38.00048534,253.7592885,5.221893289,122.7835766,33.07728516,36.14639357,10.74574616,16.37387381,1058.239333,73.53923078,0.411835059,0.705369036,982.9650311,139.7572027,262.9748627,1.859941026,22.42930492,35.05662903,2.081905453,186.9993825,161.8016672,71.38069572,57.81670326,49.38841872,173.8447336,14.46510147,0,2.736915233,397.6489488,0.244770045,0.058451881,0.047045888,0.072066134,0.232808588,0.029871992,6.039525503,0.430238652,3.33623042,0.131186303,0.171007873,0.298681344,52.72898117,0.891042307,0.016815762,0.511710827,0.410419446,0.825545371,2.451067721,1.115330136,2.460371202,0.449562925,0.557226834,31.92322667,0.13778959,283.7117379,0.442039195,89.63143911,0.094686584,15.55599772,0.06984121,10.32510743,0,1.397483314,112.0765339,79.06260631,0.112247412,2.960484253,2.60435817,0.222026477,0.324684301,4.678697556,0.439998873,0.017258222,0.052945245,1.003683638,0.839773984,0.133521945,20.72787232,93.6285569,5.2284044,0.114587727,1.805552169,0.102055978,0.673736572,0.490035298,80.16166614,0.501943607,11.71197386,3.161795226,0.117062182,0.029024572,0.052691838,0.073275367,0.055541892,1.514161621,60.16531217,0.509768574,0.451822704,0.001511596,16.03279801
