sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
2009000001576810LL,EGAN00001374106,SAMEA3885881,EGAR00001420101,EGAX00001382997,EGAS00001001704,ENA-CHECKLIST=ERC000026
2009000001589950LL,EGAN00001373623,SAMEA3885398,EGAR00001420102,EGAX00001382998,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001160621LL,EGAN00001374348,SAMEA3886123,EGAR00001420103,EGAX00001382999,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001161852LL,EGAN00001373728,SAMEA3885503,EGAR00001420104,EGAX00001383000,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001162644LL,EGAN00001374357,SAMEA3886132,EGAR00001420105,EGAX00001383001,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001166269LL,EGAN00001374660,SAMEA3886435,EGAR00001420106,EGAX00001383002,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001166652LL,EGAN00001373634,SAMEA3885409,EGAR00001420107,EGAX00001383003,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001167186LL,EGAN00001374662,SAMEA3886437,EGAR00001420108,EGAX00001383004,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001169770LL,EGAN00001374355,SAMEA3886130,EGAR00001420109,EGAX00001383005,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001171133LL,EGAN00001374223,SAMEA3885998,EGAR00001420110,EGAX00001383006,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001171492LL,EGAN00001374323,SAMEA3886098,EGAR00001420111,EGAX00001383007,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001172112LL,EGAN00001374424,SAMEA3886199,EGAR00001420112,EGAX00001383008,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001172687LL,EGAN00001373578,SAMEA3885353,EGAR00001420113,EGAX00001383009,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001174215LL,EGAN00001373813,SAMEA3885588,EGAR00001420114,EGAX00001383010,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001175080LL,EGAN00001373633,SAMEA3885408,EGAR00001420115,EGAX00001383011,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001175938LL,EGAN00001374408,SAMEA3886183,EGAR00001420116,EGAX00001383012,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001177010LL,EGAN00001373808,SAMEA3885583,EGAR00001420117,EGAX00001383013,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001177763LL,EGAN00001374425,SAMEA3886200,EGAR00001420118,EGAX00001383014,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001178386LL,EGAN00001374231,SAMEA3886006,EGAR00001420119,EGAX00001383015,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001178410LL,EGAN00001374404,SAMEA3886179,EGAR00001420120,EGAX00001383016,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001178680LL,EGAN00001373823,SAMEA3885598,EGAR00001420121,EGAX00001383017,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001179481LL,EGAN00001374395,SAMEA3886170,EGAR00001420122,EGAX00001383018,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001179490LL,EGAN00001373779,SAMEA3885554,EGAR00001420123,EGAX00001383019,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001179937LL,EGAN00001373590,SAMEA3885365,EGAR00001420124,EGAX00001383020,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001180016LL,EGAN00001374228,SAMEA3886003,EGAR00001420125,EGAX00001383021,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001180295LL,EGAN00001373599,SAMEA3885374,EGAR00001420126,EGAX00001383022,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001183161LL,EGAN00001373803,SAMEA3885578,EGAR00001420127,EGAX00001383023,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001184329LL,EGAN00001373814,SAMEA3885589,EGAR00001420128,EGAX00001383024,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001184570LL,EGAN00001374417,SAMEA3886192,EGAR00001420129,EGAX00001383025,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001184801LL,EGAN00001374234,SAMEA3886009,EGAR00001420130,EGAX00001383026,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001185890LL,EGAN00001374414,SAMEA3886189,EGAR00001420131,EGAX00001383027,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001186403LL,EGAN00001373817,SAMEA3885592,EGAR00001420132,EGAX00001383028,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001186593LL,EGAN00001374466,SAMEA3886241,EGAR00001420133,EGAX00001383029,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001186744LL,EGAN00001373827,SAMEA3885602,EGAR00001420134,EGAX00001383030,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001187358LL,EGAN00001373734,SAMEA3885509,EGAR00001420135,EGAX00001383031,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001187760LL,EGAN00001374226,SAMEA3886001,EGAR00001420136,EGAX00001383032,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001189871LL,EGAN00001373843,SAMEA3885618,EGAR00001420137,EGAX00001383033,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001190077LL,EGAN00001374438,SAMEA3886213,EGAR00001420138,EGAX00001383034,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001190424LL,EGAN00001373820,SAMEA3885595,EGAR00001420139,EGAX00001383035,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001191584LL,EGAN00001374252,SAMEA3886027,EGAR00001420140,EGAX00001383036,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001191860LL,EGAN00001373647,SAMEA3885422,EGAR00001420141,EGAX00001383037,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001191969LL,EGAN00001373606,SAMEA3885381,EGAR00001420142,EGAX00001383038,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001193373LL,EGAN00001374413,SAMEA3886188,EGAR00001420143,EGAX00001383039,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001193560LL,EGAN00001373844,SAMEA3885619,EGAR00001420144,EGAX00001383040,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001193909LL,EGAN00001374439,SAMEA3886214,EGAR00001420145,EGAX00001383041,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001194325LL,EGAN00001373783,SAMEA3885558,EGAR00001420146,EGAX00001383042,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001195037LL,EGAN00001373851,SAMEA3885626,EGAR00001420147,EGAX00001383043,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001195162LL,EGAN00001374259,SAMEA3886034,EGAR00001420148,EGAX00001383044,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001196320LL,EGAN00001373559,SAMEA3885334,EGAR00001420149,EGAX00001383045,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001196698LL,EGAN00001374441,SAMEA3886216,EGAR00001420150,EGAX00001383046,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001196778LL,EGAN00001373759,SAMEA3885534,EGAR00001420151,EGAX00001383047,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001198001LL,EGAN00001373733,SAMEA3885508,EGAR00001420152,EGAX00001383048,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001198988LL,EGAN00001373587,SAMEA3885362,EGAR00001420153,EGAX00001383049,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001200638LL,EGAN00001373799,SAMEA3885574,EGAR00001420154,EGAX00001383050,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001201715LL,EGAN00001374336,SAMEA3886111,EGAR00001420155,EGAX00001383051,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001202507LL,EGAN00001373848,SAMEA3885623,EGAR00001420156,EGAX00001383052,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001202660LL,EGAN00001374267,SAMEA3886042,EGAR00001420157,EGAX00001383053,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001202875LL,EGAN00001373864,SAMEA3885639,EGAR00001420158,EGAX00001383054,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001203460LL,EGAN00001373798,SAMEA3885573,EGAR00001420159,EGAX00001383055,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001203943LL,EGAN00001374379,SAMEA3886154,EGAR00001420160,EGAX00001383056,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001204691LL,EGAN00001374406,SAMEA3886181,EGAR00001420161,EGAX00001383057,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001205607LL,EGAN00001373723,SAMEA3885498,EGAR00001420162,EGAX00001383058,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001206023LL,EGAN00001374380,SAMEA3886155,EGAR00001420163,EGAX00001383059,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001206364LL,EGAN00001373547,SAMEA3885322,EGAR00001420164,EGAX00001383060,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001206696LL,EGAN00001374265,SAMEA3886040,EGAR00001420165,EGAX00001383061,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001206711LL,EGAN00001374458,SAMEA3886233,EGAR00001420166,EGAX00001383062,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001207165LL,EGAN00001374448,SAMEA3886223,EGAR00001420167,EGAX00001383063,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001207989LL,EGAN00001373754,SAMEA3885529,EGAR00001420168,EGAX00001383064,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001208028LL,EGAN00001373549,SAMEA3885324,EGAR00001420169,EGAX00001383065,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001208331LL,EGAN00001373809,SAMEA3885584,EGAR00001420170,EGAX00001383066,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001208583LL,EGAN00001373806,SAMEA3885581,EGAR00001420171,EGAX00001383067,EGAS00001001704,ENA-CHECKLIST=ERC000026
