accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00001420100,bam,,EGAN00001374171,EGAX00001382996,EGA00001252987,2016-03-24 17:33:00+01,2024-01-17 16:27:27.988168+01
EGAR00001420101,bam,,EGAN00001374106,EGAX00001382997,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420102,bam,,EGAN00001373623,EGAX00001382998,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420103,bam,,EGAN00001374348,EGAX00001382999,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420104,bam,,EGAN00001373728,EGAX00001383000,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420105,bam,,EGAN00001374357,EGAX00001383001,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420106,bam,,EGAN00001374660,EGAX00001383002,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420107,bam,,EGAN00001373634,EGAX00001383003,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420108,bam,,EGAN00001374662,EGAX00001383004,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420109,bam,,EGAN00001374355,EGAX00001383005,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420110,bam,,EGAN00001374223,EGAX00001383006,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420111,bam,,EGAN00001374323,EGAX00001383007,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420112,bam,,EGAN00001374424,EGAX00001383008,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420113,bam,,EGAN00001373578,EGAX00001383009,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420114,bam,,EGAN00001373813,EGAX00001383010,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420115,bam,,EGAN00001373633,EGAX00001383011,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420116,bam,,EGAN00001374408,EGAX00001383012,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420117,bam,,EGAN00001373808,EGAX00001383013,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420118,bam,,EGAN00001374425,EGAX00001383014,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420119,bam,,EGAN00001374231,EGAX00001383015,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420120,bam,,EGAN00001374404,EGAX00001383016,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420121,bam,,EGAN00001373823,EGAX00001383017,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420122,bam,,EGAN00001374395,EGAX00001383018,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420123,bam,,EGAN00001373779,EGAX00001383019,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420124,bam,,EGAN00001373590,EGAX00001383020,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420125,bam,,EGAN00001374228,EGAX00001383021,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420126,bam,,EGAN00001373599,EGAX00001383022,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420127,bam,,EGAN00001373803,EGAX00001383023,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420128,bam,,EGAN00001373814,EGAX00001383024,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420129,bam,,EGAN00001374417,EGAX00001383025,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420130,bam,,EGAN00001374234,EGAX00001383026,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420131,bam,,EGAN00001374414,EGAX00001383027,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420132,bam,,EGAN00001373817,EGAX00001383028,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420133,bam,,EGAN00001374466,EGAX00001383029,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420134,bam,,EGAN00001373827,EGAX00001383030,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420135,bam,,EGAN00001373734,EGAX00001383031,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420136,bam,,EGAN00001374226,EGAX00001383032,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420137,bam,,EGAN00001373843,EGAX00001383033,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420138,bam,,EGAN00001374438,EGAX00001383034,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420139,bam,,EGAN00001373820,EGAX00001383035,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420140,bam,,EGAN00001374252,EGAX00001383036,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420141,bam,,EGAN00001373647,EGAX00001383037,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420142,bam,,EGAN00001373606,EGAX00001383038,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420143,bam,,EGAN00001374413,EGAX00001383039,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420144,bam,,EGAN00001373844,EGAX00001383040,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420145,bam,,EGAN00001374439,EGAX00001383041,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420146,bam,,EGAN00001373783,EGAX00001383042,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420147,bam,,EGAN00001373851,EGAX00001383043,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420148,bam,,EGAN00001374259,EGAX00001383044,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420149,bam,,EGAN00001373559,EGAX00001383045,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420150,bam,,EGAN00001374441,EGAX00001383046,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420151,bam,,EGAN00001373759,EGAX00001383047,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420152,bam,,EGAN00001373733,EGAX00001383048,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420153,bam,,EGAN00001373587,EGAX00001383049,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420154,bam,,EGAN00001373799,EGAX00001383050,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420155,bam,,EGAN00001374336,EGAX00001383051,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420156,bam,,EGAN00001373848,EGAX00001383052,EGA00001252987,2016-03-24 17:33:01+01,2024-01-17 16:27:27.988168+01
EGAR00001420157,bam,,EGAN00001374267,EGAX00001383053,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420158,bam,,EGAN00001373864,EGAX00001383054,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420159,bam,,EGAN00001373798,EGAX00001383055,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420160,bam,,EGAN00001374379,EGAX00001383056,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420161,bam,,EGAN00001374406,EGAX00001383057,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420162,bam,,EGAN00001373723,EGAX00001383058,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420163,bam,,EGAN00001374380,EGAX00001383059,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420164,bam,,EGAN00001373547,EGAX00001383060,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420165,bam,,EGAN00001374265,EGAX00001383061,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420166,bam,,EGAN00001374458,EGAX00001383062,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420167,bam,,EGAN00001374448,EGAX00001383063,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420168,bam,,EGAN00001373754,EGAX00001383064,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420169,bam,,EGAN00001373549,EGAX00001383065,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420170,bam,,EGAN00001373809,EGAX00001383066,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420171,bam,,EGAN00001373806,EGAX00001383067,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420172,bam,,EGAN00001374260,EGAX00001383068,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420173,bam,,EGAN00001374420,EGAX00001383069,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420174,bam,,EGAN00001373617,EGAX00001383070,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420175,bam,,EGAN00001373569,EGAX00001383071,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420176,bam,,EGAN00001374429,EGAX00001383072,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420177,bam,,EGAN00001373748,EGAX00001383073,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420178,bam,,EGAN00001373732,EGAX00001383074,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420179,bam,,EGAN00001374331,EGAX00001383075,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420180,bam,,EGAN00001374263,EGAX00001383076,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420181,bam,,EGAN00001373592,EGAX00001383077,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
EGAR00001420182,bam,,EGAN00001374452,EGAX00001383078,EGA00001252987,2016-03-24 17:33:02+01,2024-01-17 16:27:27.988168+01
