sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001373542,9002000001380900LL,9002000001380900.bam,EGAF00001150904
EGAN00001373543,9002000001534285LL,9002000001534285.bam,EGAF00001151025
EGAN00001373544,9002000001390870LL,9002000001390870.bam,EGAF00001150550
EGAN00001373545,9002000001588517LL,9002000001588517.bam,EGAF00001151408
EGAN00001373546,9002000001426386LL,9002000001426386LL.bam,EGAF00001150612
EGAN00001373547,9002000001206364LL,9002000001206364.bam,EGAF00001150728
EGAN00001373548,9002000001440830LL,9002000001440830.bam,EGAF00001151305
EGAN00001373549,9002000001208028LL,9002000001208028.bam,EGAF00001151108
EGAN00001373550,9002000001218033LL,9002000001218033.bam,EGAF00001151113
EGAN00001373551,9002000001463423LL,9002000001463423.bam,EGAF00001150651
EGAN00001373552,9002000001491867LL,9002000001491867.bam,EGAF00001150861
EGAN00001373553,9002000001394840LL,9002000001394840.bam,EGAF00001150673
EGAN00001373554,9002000001484871LL,9002000001484871.bam,EGAF00001150858
EGAN00001373555,9002000001275760LL,9002000001275760.bam,EGAF00001151198
EGAN00001373556,9002000001327252LL,9002000001327252.bam,EGAF00001150480
EGAN00001373557,9002000001374280LL,9002000001374280.bam,EGAF00001150742
EGAN00001373558,9002000001285134LL,9002000001285134.bam,EGAF00001150464
EGAN00001373559,9002000001196320LL,9002000001196320.bam,EGAF00001150375
EGAN00001373560,9002000001401140LL,9002000001401140.bam,EGAF00001150575
EGAN00001373561,9002000001307474LL,9002000001307474.bam,EGAF00001150472
EGAN00001373562,9002000001366232LL,9002000001366232.bam,EGAF00001151146
EGAN00001373563,9002000001360604LL,9002000001360604.bam,EGAF00001150524
EGAN00001373564,9002000001387830LL,9002000001387830.bam,EGAF00001151434
EGAN00001373565,9002000001213378LL,9002000001213378.bam,EGAF00001150395
EGAN00001373566,9002000001237520LL,9002000001237520.bam,EGAF00001150421
EGAN00001373567,9002000001304937LL,9002000001304937LL.bam,EGAF00001150853
EGAN00001373568,9002000001296521LL,9002000001296521.bam,EGAF00001151128
EGAN00001373569,9002000001209698LL,9002000001209698.bam,EGAF00001150389
EGAN00001373570,9002000001392662LL,9002000001392662.bam,EGAF00001150560
EGAN00001373571,9002000001433620LL,9002000001433620.bam,EGAF00001150623
EGAN00001373572,9002000001236793LL,9002000001236793.bam,EGAF00001150420
EGAN00001373573,9002000001380210LL,9002000001380210.bam,EGAF00001150901
EGAN00001373574,9002000001427580LL,9002000001427580.bam,EGAF00001150994
EGAN00001373575,9002000001530437LL,9002000001530437.bam,EGAF00001151022
EGAN00001373576,9002000001384850LL,9002000001384850.bam,EGAF00001150544
EGAN00001373577,9002000001429200LL,9002000001429200.bam,EGAF00001151296
EGAN00001373578,9002000001172687LL,9002000001172687.bam,EGAF00001150363
EGAN00001373579,9002000001212423LL,9002000001212423.bam,EGAF00001151111
EGAN00001373580,9002000001226607LL,9002000001226607.bam,EGAF00001150409
EGAN00001373581,9002000001392457LL,9002000001392457.bam,EGAF00001150557
EGAN00001373582,9002000001384160LL,9002000001384160.bam,EGAF00001150541
EGAN00001373583,9002000001248800LL,9002000001248800.bam,EGAF00001150433
EGAN00001373584,9002000001390130LL,9002000001390130.bam,EGAF00001151287
EGAN00001373585,9002000001438940LL,9002000001438940.bam,EGAF00001150969
EGAN00001373586,9002000001275441LL,9002000001275441.bam,EGAF00001151197
EGAN00001373587,9002000001198988LL,9002000001198988.bam,EGAF00001150378
EGAN00001373588,9002000001235221LL,9002000001235221.bam,EGAF00001150949
EGAN00001373589,9002000001261320LL,9002000001261320.bam,EGAF00001150444
EGAN00001373590,9002000001179937LL,9002000001179937.bam,EGAF00001151053
EGAN00001373591,9002000001349975LL,9002000001349975.bam,EGAF00001150505
EGAN00001373592,9002000001211829LL,9002000001211829.bam,EGAF00001150392
EGAN00001373593,9002000001401450LL,9002000001401450.bam,EGAF00001151442
EGAN00001373594,9002000001240419LL,9002000001240419.bam,EGAF00001150850
EGAN00001373595,9002000001410321LL,9002000001410321.bam,EGAF00001150867
EGAN00001373596,9002000001278828LL,9002000001278828.bam,EGAF00001150661
EGAN00001373597,9002000001529991LL,9002000001529991.bam,EGAF00001151021
EGAN00001373598,9002000001491437LL,9002000001491437.bam,EGAF00001151084
EGAN00001373599,9002000001180295LL,9002000001180295.bam,EGAF00001150366
EGAN00001373600,9002000001273035LL,9002000001273035.bam,EGAF00001151189
