study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001382996,EGAR00001420100,EGAN00001374171,9002000001328080LL,SAMEA3885946,Gut metagenome Female Age:35
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001382997,EGAR00001420101,EGAN00001374106,2009000001576810LL,SAMEA3885881,Gut metagenome Female Age:74
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001382998,EGAR00001420102,EGAN00001373623,2009000001589950LL,SAMEA3885398,Gut metagenome Female Age:45
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001382999,EGAR00001420103,EGAN00001374348,9002000001160621LL,SAMEA3886123,Gut metagenome Male Age:30
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001383000,EGAR00001420104,EGAN00001373728,9002000001161852LL,SAMEA3885503,Gut metagenome Female Age:44
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001383001,EGAR00001420105,EGAN00001374357,9002000001162644LL,SAMEA3886132,Gut metagenome Male Age:58
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001383002,EGAR00001420106,EGAN00001374660,9002000001166269LL,SAMEA3886435,Gut metagenome Male Age:51
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001383003,EGAR00001420107,EGAN00001373634,9002000001166652LL,SAMEA3885409,Gut metagenome Female Age:48
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001383004,EGAR00001420108,EGAN00001374662,9002000001167186LL,SAMEA3886437,Gut metagenome Male Age:28
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,,OTHER,METAGENOMIC,unspecified,EGAX00001383005,EGAR00001420109,EGAN00001374355,9002000001169770LL,SAMEA3886130,Gut metagenome Male Age:55
