accession_id,design_description,library_name,library_construction_protocol,paired_nominal_length,paired_nominal_sdev,platform,model,library_layout,library_strategy,library_source,library_selection,extra_attributes,study_accession_id,submission_accession_id,created_at,edited_at
EGAX00001525970,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525971,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525972,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525973,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525974,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525975,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525976,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525977,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525978,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525979,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525980,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525981,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525982,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525983,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525984,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525985,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525986,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525987,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525988,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525989,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525990,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525991,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525992,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525993,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525994,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525995,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525996,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525997,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525998,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001525999,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001526000,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:19+02,2017-07-19 13:22:19+02
EGAX00001526001,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:20+02,2017-07-19 13:22:20+02
EGAX00001526002,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:20+02,2017-07-19 13:22:20+02
EGAX00001526003,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:20+02,2017-07-19 13:22:20+02
EGAX00001526004,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:20+02,2017-07-19 13:22:20+02
EGAX00001526005,,,,,,ILLUMINA,Illumina MiSeq,SINGLE,AMPLICON,METAGENOMIC,PCR,,EGAS00001001704,EGA00001356047,2017-07-19 13:22:20+02,2017-07-19 13:22:20+02
