accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00001570285,fastq,,EGAN00001564828,EGAX00001525970,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570286,fastq,,EGAN00001564829,EGAX00001525971,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570287,fastq,,EGAN00001564830,EGAX00001525972,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570288,fastq,,EGAN00001564831,EGAX00001525973,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570289,fastq,,EGAN00001564832,EGAX00001525974,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570290,fastq,,EGAN00001564833,EGAX00001525975,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570291,fastq,,EGAN00001564834,EGAX00001525976,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570292,fastq,,EGAN00001564835,EGAX00001525977,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570293,fastq,,EGAN00001564836,EGAX00001525978,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570294,fastq,,EGAN00001564837,EGAX00001525979,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570295,fastq,,EGAN00001564838,EGAX00001525980,EGA00001356047,2017-07-19 13:22:34+02,2021-10-07 16:16:25+02
EGAR00001570296,fastq,,EGAN00001564839,EGAX00001525981,EGA00001356047,2017-07-19 13:22:35+02,2021-10-07 16:16:25+02
EGAR00001570297,fastq,,EGAN00001564840,EGAX00001525982,EGA00001356047,2017-07-19 13:22:35+02,2021-10-07 16:16:25+02
EGAR00001570298,fastq,,EGAN00001564841,EGAX00001525983,EGA00001356047,2017-07-19 13:22:35+02,2021-10-07 16:16:25+02
EGAR00001570299,fastq,,EGAN00001564842,EGAX00001525984,EGA00001356047,2017-07-19 13:22:35+02,2021-10-07 16:16:25+02
EGAR00001570300,fastq,,EGAN00001564843,EGAX00001525985,EGA00001356047,2017-07-19 13:22:35+02,2021-10-07 16:16:25+02
EGAR00001570301,fastq,,EGAN00001564844,EGAX00001525986,EGA00001356047,2017-07-19 13:22:35+02,2021-10-07 16:16:25+02
