sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001564828,G37960,G37960.fastq.gz,EGAF00001702330
EGAN00001564829,G37961,G37961.fastq.gz,EGAF00001702331
EGAN00001564830,G37962,G37962.fastq.gz,EGAF00001702332
EGAN00001564831,G37963,G37963.fastq.gz,EGAF00001702333
EGAN00001564832,G37964,G37964.fastq.gz,EGAF00001702334
EGAN00001564833,G37965,G37965.fastq.gz,EGAF00001702335
EGAN00001564834,G37966,G37966.fastq.gz,EGAF00001702336
EGAN00001564835,G37967,G37967.fastq.gz,EGAF00001702337
EGAN00001564836,G37968,G37968.fastq.gz,EGAF00001702338
EGAN00001564837,G37969,G37969.fastq.gz,EGAF00001702339
EGAN00001564838,G37970,G37970.fastq.gz,EGAF00001702340
EGAN00001564839,G37971,G37971.fastq.gz,EGAF00001702341
EGAN00001564840,G37972,G37972.fastq.gz,EGAF00001702342
EGAN00001564841,G37973,G37973.fastq.gz,EGAF00001702343
EGAN00001564842,G37975,G37975.fastq.gz,EGAF00001702344
EGAN00001564843,G37976,G37976.fastq.gz,EGAF00001702345
EGAN00001564844,G37978,G37978.fastq.gz,EGAF00001702346
EGAN00001564845,G37979,G37979.fastq.gz,EGAF00001702347
EGAN00001564846,G37980,G37980.fastq.gz,EGAF00001702348
EGAN00001564847,G37981,G37981.fastq.gz,EGAF00001702349
EGAN00001564848,G37982,G37982.fastq.gz,EGAF00001702350
EGAN00001564849,G37983,G37983.fastq.gz,EGAF00001702414
EGAN00001564850,G37984,G37984.fastq.gz,EGAF00001702415
EGAN00001564851,G37985,G37985.fastq.gz,EGAF00001702416
EGAN00001564852,G37986,G37986.fastq.gz,EGAF00001702417
EGAN00001564853,G37988,G37988.fastq.gz,EGAF00001702418
EGAN00001564854,G37989,G37989.fastq.gz,EGAF00001702419
EGAN00001564855,G37990,G37990.fastq.gz,EGAF00001702420
EGAN00001564856,G37991,G37991.fastq.gz,EGAF00001702421
EGAN00001564857,G37992,G37992.fastq.gz,EGAF00001702422
EGAN00001564858,G37993,G37993.fastq.gz,EGAF00001702423
EGAN00001564859,G37994,G37994.fastq.gz,EGAF00001702424
EGAN00001564860,G37995,G37995.fastq.gz,EGAF00001702425
EGAN00001564861,G37996,G37996.fastq.gz,EGAF00001702426
EGAN00001564862,G37997,G37997.fastq.gz,EGAF00001702427
EGAN00001564863,G37998,G37998.fastq.gz,EGAF00001702428
EGAN00001564864,G37999,G37999.fastq.gz,EGAF00001702429
EGAN00001564865,G38000,G38000.fastq.gz,EGAF00001702430
EGAN00001564866,G38001,G38001.fastq.gz,EGAF00001702431
EGAN00001564867,G38002,G38002.fastq.gz,EGAF00001702432
EGAN00001564868,G38003,G38003.fastq.gz,EGAF00001702433
EGAN00001564869,G38004,G38004.fastq.gz,EGAF00001702434
EGAN00001564870,G38005,G38005.fastq.gz,EGAF00001702970
EGAN00001564871,G38006,G38006.fastq.gz,EGAF00001702971
EGAN00001564872,G38007,G38007.fastq.gz,EGAF00001702972
EGAN00001564873,G38008,G38008.fastq.gz,EGAF00001702973
EGAN00001564874,G38009,G38009.fastq.gz,EGAF00001702974
