study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525970,EGAR00001570285,EGAN00001564828,G37960,SAMEA104165418,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525971,EGAR00001570286,EGAN00001564829,G37961,SAMEA104165419,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525972,EGAR00001570287,EGAN00001564830,G37962,SAMEA104165420,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525973,EGAR00001570288,EGAN00001564831,G37963,SAMEA104165421,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525974,EGAR00001570289,EGAN00001564832,G37964,SAMEA104165422,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525975,EGAR00001570290,EGAN00001564833,G37965,SAMEA104165423,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525976,EGAR00001570291,EGAN00001564834,G37966,SAMEA104165424,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525977,EGAR00001570292,EGAN00001564835,G37967,SAMEA104165425,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525978,EGAR00001570293,EGAN00001564836,G37968,SAMEA104165426,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525979,EGAR00001570294,EGAN00001564837,G37969,SAMEA104165427,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525980,EGAR00001570295,EGAN00001564838,G37970,SAMEA104165428,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525981,EGAR00001570296,EGAN00001564839,G37971,SAMEA104165429,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525982,EGAR00001570297,EGAN00001564840,G37972,SAMEA104165430,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525983,EGAR00001570298,EGAN00001564841,G37973,SAMEA104165431,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525984,EGAR00001570299,EGAN00001564842,G37975,SAMEA104165432,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525985,EGAR00001570300,EGAN00001564843,G37976,SAMEA104165433,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525986,EGAR00001570301,EGAN00001564844,G37978,SAMEA104165434,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525987,EGAR00001570302,EGAN00001564845,G37979,SAMEA104165435,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525988,EGAR00001570303,EGAN00001564846,G37980,SAMEA104165436,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525989,EGAR00001570304,EGAN00001564847,G37981,SAMEA104165437,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525990,EGAR00001570305,EGAN00001564848,G37982,SAMEA104165438,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525991,EGAR00001570306,EGAN00001564849,G37983,SAMEA104165439,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525992,EGAR00001570307,EGAN00001564850,G37984,SAMEA104165440,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525993,EGAR00001570308,EGAN00001564851,G37985,SAMEA104165441,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525994,EGAR00001570309,EGAN00001564852,G37986,SAMEA104165442,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525995,EGAR00001570310,EGAN00001564853,G37988,SAMEA104165443,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525996,EGAR00001570311,EGAN00001564854,G37989,SAMEA104165444,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525997,EGAR00001570312,EGAN00001564855,G37990,SAMEA104165445,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525998,EGAR00001570313,EGAN00001564856,G37991,SAMEA104165446,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001525999,EGAR00001570314,EGAN00001564857,G37992,SAMEA104165447,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526000,EGAR00001570315,EGAN00001564858,G37993,SAMEA104165448,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526001,EGAR00001570316,EGAN00001564859,G37994,SAMEA104165449,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526002,EGAR00001570317,EGAN00001564860,G37995,SAMEA104165450,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526003,EGAR00001570318,EGAN00001564861,G37996,SAMEA104165451,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526004,EGAR00001570319,EGAN00001564862,G37997,SAMEA104165452,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526005,EGAR00001570320,EGAN00001564863,G37998,SAMEA104165453,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526006,EGAR00001570321,EGAN00001564864,G37999,SAMEA104165454,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526007,EGAR00001570322,EGAN00001564865,G38000,SAMEA104165455,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526008,EGAR00001570323,EGAN00001564866,G38001,SAMEA104165456,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526009,EGAR00001570324,EGAN00001564867,G38002,SAMEA104165457,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526010,EGAR00001570325,EGAN00001564868,G38003,SAMEA104165458,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526011,EGAR00001570326,EGAN00001564869,G38004,SAMEA104165459,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526012,EGAR00001570327,EGAN00001564870,G38005,SAMEA104165460,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526013,EGAR00001570328,EGAN00001564871,G38006,SAMEA104165461,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526014,EGAR00001570329,EGAN00001564872,G38007,SAMEA104165462,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526015,EGAR00001570330,EGAN00001564873,G38008,SAMEA104165463,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526016,EGAR00001570331,EGAN00001564874,G38009,SAMEA104165464,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526017,EGAR00001570332,EGAN00001564875,G38010,SAMEA104165465,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526018,EGAR00001570333,EGAN00001564876,G38011,SAMEA104165466,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526019,EGAR00001570334,EGAN00001564877,G38012,SAMEA104165467,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526020,EGAR00001570335,EGAN00001564878,G38013,SAMEA104165468,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526021,EGAR00001570336,EGAN00001564879,G38014,SAMEA104165469,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526022,EGAR00001570337,EGAN00001564880,G38015,SAMEA104165470,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526023,EGAR00001570338,EGAN00001564881,G38017,SAMEA104165471,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526024,EGAR00001570339,EGAN00001564882,G38018,SAMEA104165472,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526025,EGAR00001570340,EGAN00001564883,G38019,SAMEA104165473,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526026,EGAR00001570341,EGAN00001564884,G38020,SAMEA104165474,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526027,EGAR00001570342,EGAN00001564885,G38021,SAMEA104165475,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526028,EGAR00001570343,EGAN00001564886,G38022,SAMEA104165476,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526029,EGAR00001570344,EGAN00001564887,G38023,SAMEA104165477,16S V4 domain gut metagenome
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina MiSeq,SINGLE,,AMPLICON,METAGENOMIC,PCR,EGAX00001526030,EGAR00001570345,EGAN00001564888,G38025,SAMEA104165478,16S V4 domain gut metagenome
