accession_id,design_description,library_name,library_construction_protocol,paired_nominal_length,paired_nominal_sdev,platform,model,library_layout,library_strategy,library_source,library_selection,extra_attributes,study_accession_id,submission_accession_id,created_at,edited_at
EGAX00002367879,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367880,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367881,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367882,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367883,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367884,MGSseq,MGS,other,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367885,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367886,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367887,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
EGAX00002367888,MGSseq,MGS,,,,ILLUMINA,Illumina HiSeq 2000,PAIRED,OTHER,METAGENOMIC,RANDOM,,EGAS00001001704,EGA00001822940,2021-02-04 15:58:33+01,2021-02-24 14:50:47+01
