sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
2009000001576810_4yearsFollowUpMGS,EGAN00002854491,SAMEA7985202,EGAR00002589088,EGAX00002368171,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
2009000001589950_4yearsFollowUpMGS,EGAN00002854365,SAMEA7985040,EGAR00002588828,EGAX00002367911,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001160621_4yearsFollowUpMGS,EGAN00002854520,SAMEA7985231,EGAR00002588886,EGAX00002367969,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001169770_4yearsFollowUpMGS,EGAN00002854525,SAMEA7985236,EGAR00002588891,EGAX00002367974,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001172112_4yearsFollowUpMGS,EGAN00002854439,SAMEA7985150,EGAR00002588930,EGAX00002368013,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001172687_4yearsFollowUpMGS,EGAN00002854410,SAMEA7985121,EGAR00002588808,EGAX00002367891,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001178386_4yearsFollowUpMGS,EGAN00002854401,SAMEA7985112,EGAR00002588816,EGAX00002367899,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001178680_4yearsFollowUpMGS,EGAN00002854542,SAMEA7985303,EGAR00002588927,EGAX00002368010,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001184329_4yearsFollowUpMGS,EGAN00002854436,SAMEA7985147,EGAR00002588922,EGAX00002368005,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001186403_4yearsFollowUpMGS,EGAN00002854442,SAMEA7985153,EGAR00002588924,EGAX00002368007,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001187760_4yearsFollowUpMGS,EGAN00002854404,SAMEA7985115,EGAR00002588814,EGAX00002367897,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001191969_4yearsFollowUpMGS,EGAN00002854400,SAMEA7985111,EGAR00002588817,EGAX00002367900,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001196698_4yearsFollowUpMGS,EGAN00002854555,SAMEA7985316,EGAR00002588942,EGAX00002368025,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001200638_4yearsFollowUpMGS,EGAN00002854430,SAMEA7985141,EGAR00002588916,EGAX00002367999,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001202507_4yearsFollowUpMGS,EGAN00002854558,SAMEA7985319,EGAR00002588945,EGAX00002368028,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001202875_4yearsFollowUpMGS,EGAN00002854563,SAMEA7985324,EGAR00002588950,EGAX00002368033,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
