accession_id,run_file_type,extra_attributes,sample_accession_id,experiment_accession_id,submission_accession_id,created_at,edited_at
EGAR00002588796,bam,,EGAN00002854316,EGAX00002367879,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588797,bam,,EGAN00002854317,EGAX00002367880,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588798,bam,,EGAN00002854403,EGAX00002367881,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588799,bam,,EGAN00002854419,EGAX00002367882,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588800,bam,,EGAN00002854418,EGAX00002367883,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588801,bam,,EGAN00002854417,EGAX00002367884,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588802,bam,,EGAN00002854416,EGAX00002367885,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588803,bam,,EGAN00002854415,EGAX00002367886,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588804,bam,,EGAN00002854413,EGAX00002367887,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588805,bam,,EGAN00002854414,EGAX00002367888,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588806,bam,,EGAN00002854412,EGAX00002367889,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588807,bam,,EGAN00002854411,EGAX00002367890,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588808,bam,,EGAN00002854410,EGAX00002367891,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588809,bam,,EGAN00002854409,EGAX00002367892,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588810,bam,,EGAN00002854408,EGAX00002367893,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588811,bam,,EGAN00002854407,EGAX00002367894,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588812,bam,,EGAN00002854406,EGAX00002367895,EGA00001822940,2021-02-04 15:58:39+01,2021-10-07 16:22:20+02
EGAR00002588813,bam,,EGAN00002854402,EGAX00002367896,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588814,bam,,EGAN00002854404,EGAX00002367897,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588815,bam,,EGAN00002854405,EGAX00002367898,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588816,bam,,EGAN00002854401,EGAX00002367899,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588817,bam,,EGAN00002854400,EGAX00002367900,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588818,bam,,EGAN00002854399,EGAX00002367901,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588819,bam,,EGAN00002854398,EGAX00002367902,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588820,bam,,EGAN00002854397,EGAX00002367903,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588821,bam,,EGAN00002854396,EGAX00002367904,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588822,bam,,EGAN00002854395,EGAX00002367905,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588823,bam,,EGAN00002854394,EGAX00002367906,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588824,bam,,EGAN00002854393,EGAX00002367907,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588825,bam,,EGAN00002854392,EGAX00002367908,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588826,bam,,EGAN00002854367,EGAX00002367909,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588827,bam,,EGAN00002854366,EGAX00002367910,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588828,bam,,EGAN00002854365,EGAX00002367911,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588829,bam,,EGAN00002854364,EGAX00002367912,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588830,bam,,EGAN00002854363,EGAX00002367913,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588831,bam,,EGAN00002854362,EGAX00002367914,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588832,bam,,EGAN00002854361,EGAX00002367915,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588833,bam,,EGAN00002854360,EGAX00002367916,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588834,bam,,EGAN00002854359,EGAX00002367917,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588835,bam,,EGAN00002854358,EGAX00002367918,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588836,bam,,EGAN00002854351,EGAX00002367919,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588837,bam,,EGAN00002854352,EGAX00002367920,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588838,bam,,EGAN00002854357,EGAX00002367921,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588839,bam,,EGAN00002854356,EGAX00002367922,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588840,bam,,EGAN00002854355,EGAX00002367923,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588841,bam,,EGAN00002854354,EGAX00002367924,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588842,bam,,EGAN00002854353,EGAX00002367925,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588843,bam,,EGAN00002854350,EGAX00002367926,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588844,bam,,EGAN00002854349,EGAX00002367927,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588845,bam,,EGAN00002854348,EGAX00002367928,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588846,bam,,EGAN00002854344,EGAX00002367929,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588847,bam,,EGAN00002854345,EGAX00002367930,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588848,bam,,EGAN00002854347,EGAX00002367931,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588849,bam,,EGAN00002854346,EGAX00002367932,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588850,bam,,EGAN00002854343,EGAX00002367933,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588851,bam,,EGAN00002854342,EGAX00002367934,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588852,bam,,EGAN00002854341,EGAX00002367935,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588853,bam,,EGAN00002854340,EGAX00002367936,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588854,bam,,EGAN00002854339,EGAX00002367937,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588855,bam,,EGAN00002854338,EGAX00002367938,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588856,bam,,EGAN00002854337,EGAX00002367939,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588857,bam,,EGAN00002854336,EGAX00002367940,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588858,bam,,EGAN00002854335,EGAX00002367941,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588859,bam,,EGAN00002854334,EGAX00002367942,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588860,bam,,EGAN00002854333,EGAX00002367943,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588861,bam,,EGAN00002854332,EGAX00002367944,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588862,bam,,EGAN00002854329,EGAX00002367945,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588863,bam,,EGAN00002854328,EGAX00002367946,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588864,bam,,EGAN00002854330,EGAX00002367947,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588865,bam,,EGAN00002854331,EGAX00002367948,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:20+02
EGAR00002588866,bam,,EGAN00002854318,EGAX00002367949,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588867,bam,,EGAN00002854319,EGAX00002367950,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588868,bam,,EGAN00002854320,EGAX00002367951,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588869,bam,,EGAN00002854321,EGAX00002367952,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588870,bam,,EGAN00002854322,EGAX00002367953,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588871,bam,,EGAN00002854327,EGAX00002367954,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588872,bam,,EGAN00002854326,EGAX00002367955,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588873,bam,,EGAN00002854325,EGAX00002367956,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588874,bam,,EGAN00002854324,EGAX00002367957,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588875,bam,,EGAN00002854323,EGAX00002367958,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588876,bam,,EGAN00002854420,EGAX00002367959,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588877,bam,,EGAN00002854421,EGAX00002367960,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588878,bam,,EGAN00002854422,EGAX00002367961,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588879,bam,,EGAN00002854423,EGAX00002367962,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588880,bam,,EGAN00002854424,EGAX00002367963,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588881,bam,,EGAN00002854425,EGAX00002367964,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588882,bam,,EGAN00002854426,EGAX00002367965,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588883,bam,,EGAN00002854427,EGAX00002367966,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588884,bam,,EGAN00002854518,EGAX00002367967,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588885,bam,,EGAN00002854519,EGAX00002367968,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588886,bam,,EGAN00002854520,EGAX00002367969,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588887,bam,,EGAN00002854521,EGAX00002367970,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588888,bam,,EGAN00002854522,EGAX00002367971,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588889,bam,,EGAN00002854523,EGAX00002367972,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588890,bam,,EGAN00002854524,EGAX00002367973,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588891,bam,,EGAN00002854525,EGAX00002367974,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
EGAR00002588892,bam,,EGAN00002854526,EGAX00002367975,EGA00001822940,2021-02-04 15:58:40+01,2021-10-07 16:22:19+02
