sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00002854316,9002000001380900_4yearsFollowUpMGS,APK.7020000858237.bam,EGAF00004983018
EGAN00002854317,9002000001588517_4yearsFollowUpMGS,APK.7020000902827.bam,EGAF00004983019
EGAN00002854318,9002000001375980_4yearsFollowUpMGS,APK.7020000895830.bam,EGAF00004983088
EGAN00002854319,9002000001480184LL_4yearsFollowUpMGS,APK.7020001122310.bam,EGAF00004983089
EGAN00002854320,9002000001353332_4yearsFollowUpMGS,APK.7020000878937.bam,EGAF00004983090
EGAN00002854321,9002000001460056_4yearsFollowUpMGS,APK.7020001027438.bam,EGAF00004983091
EGAN00002854322,9002000001482920_4yearsFollowUpMGS,APK.7020001016514.bam,EGAF00004983092
EGAN00002854323,9002000001551301_4yearsFollowUpMGS,APK.7020001064119.bam,EGAF00004983097
EGAN00002854324,9002000001450040_4yearsFollowUpMGS,APK.7020001082135.bam,EGAF00004983096
EGAN00002854325,9002000001379150_4yearsFollowUpMGS,APK.7020001185114.bam,EGAF00004983095
EGAN00002854326,9002000001361675_4yearsFollowUpMGS,APK.7020000827114.bam,EGAF00004983094
EGAN00002854327,9002000001393703_4yearsFollowUpMGS,APK.7020001094637.bam,EGAF00004983093
EGAN00002854328,9002000001530894_4yearsFollowUpMGS,APK.7020001046237.bam,EGAF00004983085
EGAN00002854329,9002000001582170_4yearsFollowUpMGS,APK.7020000447115.bam,EGAF00004983084
EGAN00002854330,9002000001280218_4yearsFollowUpMGS,APK.7020001068010.bam,EGAF00004983086
EGAN00002854331,9002000001485725_4yearsFollowUpMGS,APK.7020001193724.bam,EGAF00004983087
EGAN00002854332,9002000001340924_4yearsFollowUpMGS,APK.7020001184037.bam,EGAF00004983083
EGAN00002854333,9002000001249076_4yearsFollowUpMGS,APK.7020001116618.bam,EGAF00004983082
EGAN00002854334,9002000001374735_4yearsFollowUpMGS,APK.7020001260219.bam,EGAF00004983081
EGAN00002854335,9002000001228076LL_4yearsFollowUpMGS,APK.7020000912921.bam,EGAF00004983080
EGAN00002854336,9002000001359499_4yearsFollowUpMGS,APK.7020001118022.bam,EGAF00004983079
EGAN00002854337,9002000001367051_4yearsFollowUpMGS,APK.7020000962137.bam,EGAF00004983078
EGAN00002854338,9002000001250148_4yearsFollowUpMGS,APK.7020000824829.bam,EGAF00004983077
EGAN00002854339,9002000001395539_4yearsFollowUpMGS,APK.7020000814420.bam,EGAF00004983076
EGAN00002854340,9002000001250513_4yearsFollowUpMGS,APK.7020001351233.bam,EGAF00004983075
EGAN00002854341,9002000001276538_4yearsFollowUpMGS,APK.7020001189839.bam,EGAF00004983074
EGAN00002854342,9002000001265472_4yearsFollowUpMGS,APK.7020000815024.bam,EGAF00004983073
EGAN00002854343,9002000001567974_4yearsFollowUpMGS,APK.7020001144318.bam,EGAF00004983072
EGAN00002854344,9002000001282722LL_4yearsFollowUpMGS,APK.7020000851414.bam,EGAF00004983068
EGAN00002854345,9002000001367982_4yearsFollowUpMGS,APK.7020001080711.bam,EGAF00004983069
EGAN00002854346,9002000001416675_4yearsFollowUpMGS,APK.7020001103315.bam,EGAF00004983071
EGAN00002854347,9002000001352086_4yearsFollowUpMGS,APK.7020001324218.bam,EGAF00004983070
EGAN00002854348,9002000001346540_4yearsFollowUpMGS,APK.7020000869132.bam,EGAF00004983067
EGAN00002854349,9002000001316393_4yearsFollowUpMGS,APK.7020001109936.bam,EGAF00004983066
EGAN00002854350,9002000001253168_4yearsFollowUpMGS,APK.7020000475826.bam,EGAF00004983065
EGAN00002854351,9002000001304042_4yearsFollowUpMGS,APK.7020001240127.bam,EGAF00004983058
EGAN00002854352,9002000001441266_4yearsFollowUpMGS,APK.7020001039027.bam,EGAF00004983059
EGAN00002854353,9002000001390280_4yearsFollowUpMGS,APK.7020000878220.bam,EGAF00004983064
EGAN00002854354,9002000001233610_4yearsFollowUpMGS,APK.7020001090431.bam,EGAF00004983063
