study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367879,EGAR00002588796,EGAN00002854316,9002000001380900_4yearsFollowUpMGS,SAMEA7984991,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367880,EGAR00002588797,EGAN00002854317,9002000001588517_4yearsFollowUpMGS,SAMEA7984992,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367881,EGAR00002588798,EGAN00002854403,9002000001408172_4yearsFollowUpMGS,SAMEA7985114,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367882,EGAR00002588799,EGAN00002854419,9002000001206364_4yearsFollowUpMGS,SAMEA7985130,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367883,EGAR00002588800,EGAN00002854418,9002000001484933_4yearsFollowUpMGS,SAMEA7985129,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367884,EGAR00002588801,EGAN00002854417,9002000001275760_4yearsFollowUpMGS,SAMEA7985128,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367885,EGAR00002588802,EGAN00002854416,9002000001247124_4yearsFollowUpMGS,SAMEA7985127,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367886,EGAR00002588803,EGAN00002854415,9002000001304937LL_4yearsFollowUpMGS,SAMEA7985126,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367887,EGAR00002588804,EGAN00002854413,9002000001296684_4yearsFollowUpMGS,SAMEA7985124,LifeLines-DEEP four years follow-up MGS
EGAS00001001704,LifeLines-DEEP population multi-omix cohort from the noth of the Netherlands.,Other,ILLUMINA,Illumina HiSeq 2000,PAIRED,MGS,OTHER,METAGENOMIC,RANDOM,EGAX00002367888,EGAR00002588805,EGAN00002854414,9002000001296521_4yearsFollowUpMGS,SAMEA7985125,LifeLines-DEEP four years follow-up MGS
