Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Label,env_biome,env_feature,env_material,env_broad_scale,env_local_scale,env_medium,Sample_Label
SRR4255962,AMPLICON,502,76879794,PRJNA296814,SAMN05788891,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",47685802,MARINE BIOLOGICAL LABORATORY,2012,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX2175725,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800071748315,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800071748315,SRP064159,nhbcs_0915800071748315,human,gastrointestinal tract,stool,,,,
SRR4255963,AMPLICON,502,106117780,PRJNA296814,SAMN05788892,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",66377833,MARINE BIOLOGICAL LABORATORY,2012,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX2175726,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800075456806,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800075456806,SRP064159,nhbcs_0915800075456806,human,gastrointestinal tract,stool,,,,
SRR4255964,AMPLICON,502,73164492,PRJNA296814,SAMN05788901,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",44577543,MARINE BIOLOGICAL LABORATORY,2012,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX2175727,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800089261889,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800089261889,SRP064159,nhbcs_0915800089261889,human,gastrointestinal tract,stool,,,,
SRR4255965,AMPLICON,502,57284224,PRJNA296814,SAMN05788902,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",35928518,MARINE BIOLOGICAL LABORATORY,2013,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX2175728,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800089282755,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800089282755,SRP064159,nhbcs_0915800089282755,human,gastrointestinal tract,stool,,,,
SRR4255966,AMPLICON,502,84030784,PRJNA296814,SAMN05788903,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",52176940,MARINE BIOLOGICAL LABORATORY,2013,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX2175729,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800091264894,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800091264894,SRP064159,nhbcs_0915800091264894,human,gastrointestinal tract,stool,,,,
SRR4255967,AMPLICON,502,55777220,PRJNA296814,SAMN05788904,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",33908048,MARINE BIOLOGICAL LABORATORY,2013,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX2175730,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800091664236,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800091664236,SRP064159,nhbcs_0915800091664236,human,gastrointestinal tract,stool,,,,
SRR4255968,AMPLICON,502,66530060,PRJNA296814,SAMN05788905,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",41452466,MARINE BIOLOGICAL LABORATORY,2013,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX2175731,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800093344637,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800093344637,SRP064159,nhbcs_0915800093344637,human,gastrointestinal tract,stool,,,,
SRR4255969,AMPLICON,502,65923644,PRJNA296814,SAMN05788906,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",41068831,MARINE BIOLOGICAL LABORATORY,2013,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX2175732,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800096247869,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800096247869,SRP064159,nhbcs_0915800096247869,human,gastrointestinal tract,stool,,,,
SRR4255970,AMPLICON,502,104004862,PRJNA296814,SAMN05788907,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",64006019,MARINE BIOLOGICAL LABORATORY,2013,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX2175733,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800098134080,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800098134080,SRP064159,nhbcs_0915800098134080,human,gastrointestinal tract,stool,,,,
SRR4255971,AMPLICON,502,74580132,PRJNA296814,SAMN05788908,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",47300954,MARINE BIOLOGICAL LABORATORY,2013,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX2175734,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_0915800104297888,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2016-09-23T00:00:00Z,2016-09-19T14:36:00Z,1,nhbcs_0915800104297888,SRP064159,nhbcs_0915800104297888,human,gastrointestinal tract,stool,,,,
