"","sample_id","Acidaminococcus_fermentans","Acidaminococcus_intestini","Actinomyces_odontolyticus","Adlercreutzia_equolifaciens","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerostipes_butyraticus","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_barnesiae","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coagulans","Bacteroides_coprocola","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_faecis","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_salanitronis","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Bifidobacterium_adolescentis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_stercoris","Bilophila_wadsworthia","Blautia_coccoides","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_stercoris","Brachyspira_aalborgi","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Butyrivibrio_crossotus","Carnobacterium_divergens","Carnobacterium_maltaromaticum","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Christensenella_minuta","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_algidixylanolyticum","Clostridium_aminophilum","Clostridium_bartlettii","Clostridium_bolteae","Clostridium_cellulosi","Clostridium_chauvoei","Clostridium_citroniae","Clostridium_clostridioforme","Clostridium_disporicum","Clostridium_fusiformis","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_neonatale","Clostridium_nexile","Clostridium_paraputrificum","Clostridium_propionicum","Clostridium_ramosum","Clostridium_scindens","Clostridium_spiroforme","Clostridium_stercorarium","Clostridium_symbiosum","Clostridium_xylanolyticum","Clostridium_xylanovorans","Collinsella_aerofaciens","Collinsella_tanakaei","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Coriobacterium_glomerans","Dialister_invisus","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Eggerthella_sinensis","Enterococcus_avium","Enterococcus_faecium","Enterorhabdus_caecimuris","Escherichia_coli","Eubacterium_biforme","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_limosum","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_siraeum","Eubacterium_tenue","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_varium","Gordonibacter_pamelaeae","Haemophilus_parainfluenzae","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Lachnospira_pectinoschiza","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_mucosae","Lactobacillus_reuteri","Lactobacillus_rogosae","Lactobacillus_sakei","Lactobacillus_salivarius","Lactococcus_lactis","Lactonifactor_longoviformis","Megamonas_hypermegale","Megasphaera_elsdenii","Megasphaera_micronuciformis","Mitsuokella_jalaludinii","Odoribacter_laneus","Odoribacter_splanchnicus","Olsenella_uli","Olsenella_umbonata","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_merdae","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parvimonas_micra","Pediococcus_acidilactici","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Prevotella_copri","Prevotella_oryzae","Prevotella_stercorea","Pseudobutyrivibrio_ruminis","Pseudoflavonifractor_capillosus","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Selenomonas_bovis","Slackia_isoflavoniconvertens","Sneathia_sanguinegens","Solobacterium_moorei","Streptococcus_anginosus","Streptococcus_australis","Streptococcus_gordonii","Streptococcus_mitis","Streptococcus_mutans","Streptococcus_oralis","Streptococcus_parasanguinis","Streptococcus_pasteurianus","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_thermophilus","Subdoligranulum_variabile","Sutterella_stercoricanis","Sutterella_wadsworthensis","Terrahaemophilus_aromaticivorans","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_parvula","Veillonella_ratti","Victivallis_vadensis"
"1","SC017-T1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773438047822733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319051959890611,0,0.0194236028329009,0,0,0,0.0218778486782133,0,0.107706331954281,0.271720075731015,0,0,0,0,0,0.029731435383213,0,0,0,0,0,0,0.0151462029310708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302222845522754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273473108477666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018512025804642,0,0,0,0.0140943832830797,0,0,0,0,0,0,0,0,0,0,0,0.0207559077203562,0,0,0.00350606549330342,0.139190800084146,0,0,0.00371642942290162,0,0.0577799593296403,0,0.0351307762429002,0.00413715728209803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244723371432578,0,0,0,0,0.000911577028258888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175303274665171,0,0,0,0,0.0280485239464273,0,0,0,0,0,0,0.00252436715517846,0,0.00364630811303555,0.00252436715517846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157772947198654,0,0.0157071734099993,0,0,0,0,0,0
"2","SC017-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555418567377635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308223400320552,0,0,0,0,0,0.0279866847491062,0,0.103439773147577,0.183146344470472,0.0450006164468006,0,0,0,0,0.0285414868696831,0,0,0.00271236592282086,0,0,0,0.0315004315127604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00653433608679571,0,0,0,0,0.0424731845641721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406854888423129,0,0.00228085316237209,0,0,0,0,0,0,0,0,0.00653433608679571,0,0,0,0.0191714954999384,0,0,0,0.0179386018986561,0.00320552336333374,0,0,0,0,0,0,0,0,0,0,0.0170139316976945,0,0,0.0076439403279497,0.162741955369252,0,0,0.00684255948711626,0,0.0478362717297497,0,0.0335963506349402,0,0,0.000369868080384663,0,0,0,0,0,0,0,0,0,0.00733571692762915,0,0,0,0,0,0,0,0.0287264209098755,0,0.00671927012698804,0,0,0.00141782764147454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273085932684009,0,0,0,0,0,0,0.00733571692762915,0,0.0139933423745531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011157687091604,0,0.00906176796942424,0,0,0,0,0,0
"3","SC017-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703100532414657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672564985906671,0,0,0,0,0,0.0325712496085186,0,0.104603820858127,0.228155339805825,0.0313968055120576,0,0,0,0,0.0138584403382399,0,0,0,0,0,0,0.0248982148449734,0,0.00571562793611024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342937676166614,0,0,0,0,0,0,0,0,0.000156592546194801,0,0,0,0,0.00274036955840902,0,0.000704666457876605,0,0,0,0,0,0,0,0,0.00587222048230504,0,0,0,0.0170685875352333,0,0,0,0.0237237707485124,0.00187911055433761,0,0,0,0,0,0,0,0,0.00219229564672722,0,0.0248982148449734,0,0,0.00955214531788287,0.0936423426244911,0,0,0,0,0.0685875352333229,0.00352333228938303,0.0438459129345443,0,0,0,0,0,0,0,0,0,0,0,0,0.00352333228938303,0,0,0,0,0,0,0,0.00422799874725963,0,0,0,0,0.00164422173504541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422016911994989,0,0,0,0,0,0,0.00399310992796743,0,0.00289696210460382,0.00336673974318822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250548073911682,0,0.0128405887879737,0,0.0111180707798309,0,0.000234888819292202,0,0,0,0
"4","SC017-T4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573862049706786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540351857023178,0,0.0212929349343759,0,0,0,0.0219212510471935,0,0.0834264172018989,0.198896956157498,0,0,0,0,0,0.0134040770734432,0,0,0.00195476123987713,0,0,0,0.0395839151075119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036581960346272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146607092990785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185702317788327,0,0,0,0.0161965931304105,0.0020943870427255,0,0,0,0,0,0,0,0,0.00265289025411896,0,0.0240854509913432,0,0,0.00628316112817649,0.171739737503491,0,0,0.00628316112817649,0,0.0688355208042446,0,0.0264590896397654,0,0,0,0,0,0,0,0,0,0,0,0,0.00509634180396537,0,0,0,0,0,0,0,0.0264590896397654,0,0.00342083216978498,0,0,0.000558503211393465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000907567718514381,0,0,0,0,0.0474029600670204,0,0,0,0,0,0,0,0,0.0130550125663223,0.00453783859257191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425858698687517,0,0.00851717397375035,0,0.0126361351577772,0,0,0,0,0,0
"5","SC017-T5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764868785441118,0,0,0,0,0,0,0,0,0.0106817882104708,0,0,0,0,0,0,0.0314519319530529,0,0,0,0,0,0.0262429117763418,0,0.123302123170249,0.231768429381511,0,0,0,0,0,0.0156929974943954,0,0,0,0,0,0,0.0305288144533826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00395621785572992,0,0,0,0,0.0252538573124093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204404589212713,0,0.00178029803507846,0,0,0,0,0,0,0,0,0.00916523803244099,0.00507714624818673,0,0,0.0164183041012792,0,0,0,0.0116049057101411,0.00309903732032177,0,0,0,0,0,0,0,0,0.00402215481999209,0,0.0145720691019385,0,0,0.00395621785572992,0.111367532638797,0,0,0.00956085981801398,0,0.0843333772913095,0.00178029803507846,0.0202426480284848,0.00243966767770012,0,0,0,0,0,0,0,0,0,0,0,0.0164183041012792,0,0,0,0,0,0,0,0.00692338124752736,0,0.00448371356982725,0,0,0.00178029803507846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052222075695635,0,0,0,0,0,0,0.0034287221416326,0,0.0181986021363576,0.00224185678491362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204404589212713,0,0,0,0.0144401951734142,0,0.000989054463932481,0,0,0,0
"6","SC017-T6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325670498084291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930183056619838,0,0.0158223357457074,0,0,0,0.0336313324819072,0,0.0940825883354619,0.274584929757344,0.0766283524904215,0,0,0,0,0.0112813963388676,0,0,0,0,0,0,0.0360437065417908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00893997445721584,0,0,0,0,0,0,0.00872711792252022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002767134951043,0,0,0,0,0,0,0,0,0,0,0,0.00503760465446289,0,0,0.0158223357457074,0,0,0,0.016602809706258,0,0,0,0,0,0,0,0,0,0.00290903930750674,0,0.0139066269334469,0,0,0.00404427415921669,0.10955016319001,0,0,0.0114233006953313,0,0.0414360720874131,0.00219951752518802,0.00525046118915851,0.00723712217965092,0,0.000496665247623102,0,0,0,0,0,0,0,0,0,0.00645664821910033,0,0,0,0,0,0,0,0,0,0,0,0,0.00141904356463743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349084716900809,0,0,0,0,0,0,0.00617283950617284,0,0.00844330920959274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00319284802043423,0,0.0153966226763162,0,0,0,0,0,0
"7","SC018-T1",0,0,0,0,0,0,0,0,0,0,0,0,0.0126895697926339,0,0,0.0263076446920458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136180748994119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479727638502012,0,0,0,0,0,0,0,0,0.0408542246982358,0,0,0,0,0,0,0,0,0.0309501702259362,0,0,0,0,0,0,0,0,0,0,0.00340451872485299,0,0,0,0,0,0,0,0,0.00185701021355617,0,0,0.0151655834107088,0,0,0,0,0.0188796038378211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526152893840916,0,0,0,0.021355617455896,0,0.01454658000619,0,0.0105230578768183,0.0758279170535438,0,0,0.00619003404518725,0.132466728567007,0.01454658000619,0,0,0,0,0,0,0.0170225936242649,0.00619003404518725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229031259671928,0,0,0,0,0.210461157536366,0,0.0160940885174868,0.0160940885174868,0,0,0,0,0,0,0,0.0442587434230888,0,0,0.0108325595790777,0,0,0,0,0,0,0,0,0.0126895697926339,0.0829464562055091,0,0.00185701021355617,0,0,0,0.024760136180749,0,0,0.0148560817084494,0,0.0185701021355617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804704425874342,0,0,0,0
"8","SC018-T2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128703254006799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509956289460903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405536668285576,0,0,0,0,0,0,0,0,0.0456532297231666,0,0,0,0,0,0,0,0.0123846527440505,0.00874210781932977,0,0,0.0138416707139388,0.0322972316658572,0,0,0,0,0,0,0.00849927149101506,0,0,0,0,0,0,0,0,0,0,0,0.00777076250607091,0,0,0,0,0.047838756677999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242836328314716,0,0,0,0.0337542496357455,0,0,0,0,0.0463817387081107,0,0,0,0.134045653229723,0.00995628946090335,0.00801359883438562,0,0,0,0,0,0.0092277804759592,0.00437105390966489,0,0,0,0,0.00364254492472074,0,0,0.00218552695483244,0,0,0,0,0,0,0,0,0,0,0.169742593491986,0,0.00874210781932977,0.00655658086449733,0,0,0,0,0,0,0,0.0558523555123847,0,0,0.0490529383195726,0,0,0,0,0.00655658086449733,0,0,0,0.00582807187955318,0.0653229723166586,0.00267119961146187,0,0,0,0,0.0772219524040797,0,0,0.0133559980573094,0,0.0106847984458475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388538125303545,0,0,0,0
"9","SC018-T3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282822268532301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136945519499851,0,0,0,0,0.00506103006847276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166716284608514,0,0,0,0,0,0,0,0,0.0169693361119381,0,0,0,0,0,0,0,0,0.0166716284608514,0,0,0.0250074426912772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351295028282227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297707651086633,0,0,0,0,0,0,0,0,0.0229234891336707,0,0,0.0163739208097648,0.112533492110747,0.0133968442988985,0.0714498362607919,0,0,0,0,0,0.00982435248585889,0,0.0125037213456386,0,0,0,0,0,0,0.00506103006847276,0,0,0,0,0,0,0,0,0,0,0.173563560583507,0,0.0387019946412623,0.00387019946412623,0,0,0,0,0,0,0,0.0488240547782078,0,0,0.00803810657933909,0,0,0,0,0.0300684727597499,0.0119083060434653,0,0,0.00416790711521286,0.11848764513248,0,0,0.0211372432271509,0,0,0.0663888061923191,0.00148853825543316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247097350401905,0,0,0,0,0,0.0241143197380173,0,0,0,0
"10","SC018-T4",0,0,0.00216116085211485,0,0,0,0,0,0,0,0,0,0,0,0,0.0237727693732634,0,0,0,0,0.00802716887928373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037665946279716,0.00370484717505403,0,0,0,0,0,0,0,0.0166718122877431,0,0,0.0197591849336215,0.0108058042605743,0,0,0,0,0,0,0.0564989194195739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293300401358444,0,0,0,0,0,0,0,0.0429144797777092,0,0,0,0,0,0,0.0222290830503242,0,0,0,0,0,0,0.0166718122877431,0,0,0.0228465575794998,0,0,0,0.130904600185242,0.0120407533189256,0.0666872491509725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555727076258104,0,0,0,0,0.228774313059586,0,0.0456931151589997,0,0,0,0,0,0,0,0,0.046928064217351,0,0,0.0117320160543378,0,0,0,0,0.00710095708552022,0,0,0,0.00370484717505403,0.0531028095091077,0,0,0.0265514047545539,0,0,0,0,0,0.00802716887928373,0,0.00926211793763507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308737264587836,0,0,0,0
