"","Acidaminococcus_fermentans","Acidaminococcus_intestini","Actinomyces_odontolyticus","Adlercreutzia_equolifaciens","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_onderdonkii","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerostipes_butyraticus","Anaerostipes_caccae","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_barnesiae","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coagulans","Bacteroides_coprocola","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_faecichinchillae","Bacteroides_faecis","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_salanitronis","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Bifidobacterium_adolescentis","Bifidobacterium_bifidum","Bifidobacterium_breve","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bifidobacterium_stercoris","Bilophila_wadsworthia","Blautia_coccoides","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_stercoris","Brachyspira_aalborgi","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Butyrivibrio_crossotus","Carnobacterium_divergens","Carnobacterium_maltaromaticum","Catabacter_hongkongensis","Catenibacterium_mitsuokai","Christensenella_minuta","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_algidixylanolyticum","Clostridium_aminophilum","Clostridium_bartlettii","Clostridium_bolteae","Clostridium_cellulosi","Clostridium_chauvoei","Clostridium_citroniae","Clostridium_clostridioforme","Clostridium_disporicum","Clostridium_fusiformis","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_neonatale","Clostridium_nexile","Clostridium_paraputrificum","Clostridium_propionicum","Clostridium_ramosum","Clostridium_scindens","Clostridium_spiroforme","Clostridium_stercorarium","Clostridium_symbiosum","Clostridium_xylanolyticum","Clostridium_xylanovorans","Collinsella_aerofaciens","Collinsella_tanakaei","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Coriobacterium_glomerans","Dialister_invisus","Dialister_propionicifaciens","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Eggerthella_sinensis","Enterococcus_avium","Enterococcus_faecium","Enterorhabdus_caecimuris","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_limosum","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_siraeum","Eubacterium_tenue","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_mortiferum","Fusobacterium_varium","Gordonibacter_pamelaeae","Haemophilus_parainfluenzae","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Lachnospira_pectinoschiza","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_mucosae","Lactobacillus_reuteri","Lactobacillus_rogosae","Lactobacillus_sakei","Lactobacillus_salivarius","Lactococcus_lactis","Lactonifactor_longoviformis","Megamonas_hypermegale","Megasphaera_elsdenii","Megasphaera_micronuciformis","Mitsuokella_jalaludinii","Odoribacter_laneus","Odoribacter_splanchnicus","Olsenella_uli","Olsenella_umbonata","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_merdae","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parvimonas_micra","Pediococcus_acidilactici","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Prevotella_copri","Prevotella_stercorea","Pseudobutyrivibrio_ruminis","Pseudoflavonifractor_capillosus","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Selenomonas_bovis","Slackia_isoflavoniconvertens","Sneathia_sanguinegens","Solobacterium_moorei","Streptococcus_anginosus","Streptococcus_australis","Streptococcus_gordonii","Streptococcus_mitis","Streptococcus_mutans","Streptococcus_oralis","Streptococcus_parasanguinis","Streptococcus_pasteurianus","Streptococcus_pleomorphus","Streptococcus_salivarius","Streptococcus_thermophilus","Subdoligranulum_variabile","Sutterella_stercoricanis","Sutterella_wadsworthensis","Terrahaemophilus_aromaticivorans","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_parvula","Veillonella_ratti","Victivallis_vadensis","Xylanibacter_oryzae"
"SC002-T1",0,0,14,0,0,33,37,190,599,0,52,0,0,0,0,280,0,0,0,0,0,0,0,0,777,0,0,0,0,65,0,0,0,0,0,0,0,0,0,2222,0,0,510,62,0,0,306,123,0,0,0,0,0,255,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,38,0,0,0,0,0,0,36,0,0,0,0,0,0,0,68,0,173,21,0,0,0,0,0,0,0,0,0,0,283,0,0,0,22,0,0,422,0,1739,33,359,0,0,8,0,0,0,0,78,0,0,0,0,65,0,0,0,0,0,0,0,0,0,113,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,257,0,0,0,0,0,0,0,0,277,536,0,0,0,0,0,0,0,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"SC002-T2",0,0,0,34,0,0,0,200,311,0,0,0,0,0,0,644,0,0,0,0,0,0,0,0,674,0,0,0,0,9,188,0,0,0,0,0,0,0,0,1321,0,760,2280,177,0,0,626,236,55,0,0,10,0,282,0,0,0,37,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,117,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,243,6,0,0,0,0,0,0,0,0,0,0,482,0,0,0,410,0,0,438,0,647,98,182,0,0,13,0,0,90,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,667,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC002-T3",0,0,0,0,0,27,0,161,287,0,42,0,0,0,0,215,0,23,0,0,0,0,0,0,400,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1826,0,848,2051,144,0,0,774,304,40,0,0,0,0,615,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,224,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,116,0,0,0,0,0,0,52,0,286,12,0,0,0,0,0,0,0,0,0,0,656,0,0,0,1027,0,0,164,0,2132,36,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,57,0,0,0,0,0,0,0,0,0,0,0,280,590,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,9,0,0,0,0,0
"SC002-T4",0,0,0,39,0,0,0,154,391,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,1286,0,0,0,0,97,91,0,0,0,0,0,0,0,0,1456,0,732,514,40,0,0,299,200,34,0,0,16,0,407,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,38,0,212,0,0,0,0,0,0,0,0,0,0,0,253,0,0,21,65,0,0,154,0,149,87,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,98,0,0,0,0,0,0,0,121,0,24,874,0,0,0,0,0,0,0,0,0,0,44,0,0,36,0,0,0,0,0,15,0,0,0,0,0
"SC002-T5",0,0,0,71,0,20,0,281,466,0,33,0,0,0,0,433,0,0,0,0,0,0,0,0,744,0,0,0,0,53,0,0,0,0,0,0,0,0,0,2533,0,0,1254,107,0,0,585,0,40,0,0,0,0,834,0,0,0,56,39,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,136,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,357,15,0,0,0,0,0,0,0,0,0,0,491,0,0,91,491,0,0,433,0,1641,60,304,0,0,18,0,0,0,0,95,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,697,0,0,0,0,0,0,0,0,0,0,31,0,0,66,0,0,0,0,0,0,0,0,0,0,0
"SC002-T6",0,0,0,27,0,0,0,780,417,0,36,0,0,0,0,599,0,0,0,0,0,0,0,0,918,0,0,0,0,26,490,0,0,0,0,0,0,0,0,1937,0,165,1002,78,0,0,262,162,0,0,0,0,0,508,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,67,0,191,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,374,0,0,201,0,1843,59,603,0,0,10,0,0,89,17,93,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,48,0,163,0,0,0,0,0,0,0,0,144,403,0,0,0,0,0,0,0,0,0,0,58,0,0,52,0,0,0,0,0,0,0,0,0,0,0
"SC003-T1",0,0,0,81,0,18,0,0,216,0,0,0,0,0,0,872,0,0,0,0,0,0,0,994,0,148,0,0,0,91,0,0,0,86,0,0,0,0,0,159,698,0,136,0,0,0,154,0,0,39,0,0,0,724,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,82,0,165,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,27,0,0,0,0,0,0,0,0,0,0,288,0,0,0,868,0,0,24,35,2188,37,161,0,0,22,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,88,0,0,0,266,0,0,0,67,0,0,0,75,0,0,0,43,543,0,0,0,0,0,442,144,0,0,0,0,0,0,0,0,0,0,40,0,0,117,0,0,0,0,0,0,0,0,0,0,0
"SC003-T2",0,0,0,0,0,28,0,0,379,0,0,0,0,0,0,271,0,2,0,223,0,0,0,801,239,463,0,0,0,47,0,0,0,116,0,0,0,0,13,363,792,0,0,0,0,0,189,0,0,0,0,0,0,920,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,62,0,0,0,0,93,0,0,0,0,31,27,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,41,0,66,0,0,33,333,0,0,20,109,2006,0,477,0,0,30,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,82,0,0,0,263,0,0,0,0,0,0,0,118,53,62,0,325,623,0,0,267,0,0,387,130,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
"SC003-T3",0,0,0,62,0,20,0,0,176,0,0,0,0,0,0,462,0,0,0,241,0,0,0,1931,106,273,0,0,0,99,0,0,0,108,0,0,0,0,34,170,582,0,305,0,0,0,68,0,0,28,0,0,0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,12,0,0,33,0,0,0,0,21,24,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,92,13,0,0,0,0,0,0,0,0,0,0,156,12,0,28,97,0,0,18,106,2265,0,274,0,0,26,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,135,0,0,0,0,0,111,0,0,0,185,0,0,0,42,0,0,0,84,0,8,0,684,382,0,0,282,0,79,541,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC003-T4",0,0,0,76,0,29,0,0,239,40,0,0,0,0,0,57,0,0,0,0,0,0,0,1920,485,249,0,0,0,72,0,0,0,117,0,0,0,0,0,112,552,0,92,0,0,0,207,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,304,33,0,0,0,0,0,0,10,0,0,45,0,0,0,0,53,10,0,0,0,0,0,79,0,97,0,0,0,0,0,0,0,145,29,0,0,0,0,0,0,0,0,22,75,213,0,0,39,1117,0,0,0,0,2620,49,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,23,0,0,0,168,0,0,0,29,0,0,0,56,0,82,0,350,685,0,0,72,0,0,235,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
