Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR239752,AMPLICON,601,14119018,PRJDB9239,SAMD00200879,MIMARKS.survey.human-gut,8111323,METAGEN,2017-01-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229627,Japan,Asia,Japan,Homo sapiens,SC002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200879,SC002-T1,DRP006895
DRR239753,AMPLICON,601,13389281,PRJDB9239,SAMD00200880,MIMARKS.survey.human-gut,7680433,METAGEN,2017-02-08,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229628,Japan,Asia,Japan,Homo sapiens,SC002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:33:00Z,1,SAMD00200880,SC002-T2,DRP006895
DRR239754,AMPLICON,601,14327898,PRJDB9239,SAMD00200881,MIMARKS.survey.human-gut,8291277,METAGEN,2017-02-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229629,Japan,Asia,Japan,Homo sapiens,SC002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200881,SC002-T3,DRP006895
DRR239755,AMPLICON,601,12546836,PRJDB9239,SAMD00200882,MIMARKS.survey.human-gut,7303256,METAGEN,2017-03-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229630,Japan,Asia,Japan,Homo sapiens,SC002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200882,SC002-T4,DRP006895
DRR239756,AMPLICON,601,15455151,PRJDB9239,SAMD00200883,MIMARKS.survey.human-gut,8808232,METAGEN,2017-04-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229631,Japan,Asia,Japan,Homo sapiens,SC002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:33:00Z,1,SAMD00200883,SC002-T5,DRP006895
DRR239757,AMPLICON,601,14713816,PRJDB9239,SAMD00200884,MIMARKS.survey.human-gut,8486963,METAGEN,2017-04-19,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229632,Japan,Asia,Japan,Homo sapiens,SC002,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200884,SC002-T6,DRP006895
DRR239758,AMPLICON,601,12399446,PRJDB9239,SAMD00200885,MIMARKS.survey.human-gut,7087437,METAGEN,2017-01-24,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229633,Japan,Asia,Japan,Homo sapiens,SC003,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200885,SC003-T1,DRP006895
DRR239759,AMPLICON,601,15224133,PRJDB9239,SAMD00200886,MIMARKS.survey.human-gut,8700514,METAGEN,2017-02-11,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229634,Japan,Asia,Japan,Homo sapiens,SC003,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200886,SC003-T2,DRP006895
DRR239760,AMPLICON,601,13375755,PRJDB9239,SAMD00200887,MIMARKS.survey.human-gut,7628421,METAGEN,2017-02-20,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229635,Japan,Asia,Japan,Homo sapiens,SC003,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:32:00Z,1,SAMD00200887,SC003-T3,DRP006895
DRR239761,AMPLICON,601,13429918,PRJDB9239,SAMD00200888,MIMARKS.survey.human-gut,7645090,METAGEN,2017-03-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX229636,Japan,Asia,Japan,Homo sapiens,SC003,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Stratification of population who improve the blood parameters by Chlorella consumption,2021-01-20T00:00:00Z,2021-01-20T02:33:00Z,1,SAMD00200888,SC003-T4,DRP006895
