"","sample_id","3.oxolithocholic_acid","Acetate","alloisolithocholic_acid","Butyrate","cholic_acid","deoxycholic_acid","glycocholic_acid","isodeoxycholic_acid","lithocholic_acid","propionate","succinate","taurocholic_acid","5aminovalerate","allocholic_acid","alpha.muricholic_acid","beta.muricholic_acid","chenodeoxycholic_acid","Glycine","glycochenodeoxycholic_acid","proline","taurochenodeoxycholic_acid","Tyramine","ursocholic_acid","ursodeoxycholic_acid","5hiaa","anthranilic_acid","kynurenic_acid","kynurenine","niacin","Phenylalanine","serotonin","tryptamine","Tryptophan","Tyrosine"
"1","LiverD-196.03",0,6.22,0,0.41,14.470281,0,29.042288,0,0,0.31,0,14.141415,,,,,,,,,,,,,,,,,,,,,,
"2","LiverD-196.01",0,6.96,0,0.41,27.077616,0,17.313554,0,0,0.31,0,9.413632,,,,,,,,,,,,,,,,,,,,,,
"3","LiverD-187.01",11.47247359,15.57,1.449997571,0.59,0.336648136,101.7092102,0,6.799735711,86.15885262,3.6,0,0.047268382,,,,,,,,,,,,,,,,,,,,,,
"4","LiverD-185.01",0,40.35,0,1.7,1.332519676,0.525319778,0,0,0.581077958,2.44,0,0,,,,,,,,,,,,,,,,,,,,,,
"5","LiverD-183.09",0,2.11,0,0.54,0,0,1.99,0,0,0.52,0,4.825,,,,,,,,,,,,,,,,,,,,,,
"6","LiverD-037.01",0.027173985,10.84,0,0.22,62.77654177,0.014175649,0.27384492,0,0,0.08,0.85,0.307952781,,,,,,,,,,,,,,,,,,,,,,
"7","LiverD-183.07",0,0.32,0,0.41,0,0,2.84502,0,0,0.31,0,3.312038,,,,,,,,,,,,,,,,,,,,,,
"8","LiverD-184.01",0,9.29,0,0.39,23.119345,0,1.643762,0,0,4.09,0,5.7863,,,,,,,,,,,,,,,,,,,,,,
"9","LiverD-183.04",0,0,0,0.39,1.259718,0,140.129931,0,0,0.31,0,363.038588,,,,,,,,,,,,,,,,,,,,,,
"10","LiverD-181.01",0.549225,54.11,0,1.67,13.145489,2.221658,0.002108,0,1.166673,0.49,0,0,,,,,,,,,,,,,,,,,,,,,,
"11","LiverD-178.09",0.601,139.68,0.029,19.72,123.735,154.652,0,12.87,23.364,25.9,0,0,,,,,,,,,,,,,,,,,,,,,,
"12","LiverD-178.08",1.531,21.3,0.147,1.1,8.077,0,0,0,0.064,9.82,0,0,,,,,,,,,,,,,,,,,,,,,,
"13","LiverD-178.05",0,166.16,0,11.38,81.360214,1.137873,0,0,1.118558,12.18,16.32,0,,,,,,,,,,,,,,,,,,,,,,
"14","LiverD-171.03",0,5.54,0,0.39,221.498543,0,3.349499,0,0,0.89,1.5,1.352026,,,,,,,,,,,,,,,,,,,,,,
"15","LiverD-170.03",0,53.97,0,0.39,18.678551,0,0,0,0,0.39,9.09,0,,,,,,,,,,,,,,,,,,,,,,
"16","LiverD-178.07",0,53.5,0,11.63,36.806397,0,0,0,0,9.42,0,0,,,,,,,,,,,,,,,,,,,,,,
"17","LiverD-169.07",0,21.3,0,0.39,226.889572,0.313188,23.023233,0,0,8.24,6.13,160.922237,,,,,,,,,,,,,,,,,,,,,,
"18","LiverD-034.01",0,10.13,0,0.23,18.47,0,34.885,0,0,1.7,17.73,87.626,,,,,,,,,,,,,,,,,,,,,,
"19","LiverD-169.06",0,2.81,0,0,9.94401385,0.080996846,0.106910857,0,0,0,0,9.495871094,,,,,,,,,,,,,,,,,,,,,,
"20","LiverD-168.05",0,98.37,0,0,1.177159452,0,0,0,0,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,
"21","LiverD-161.15",0,11.09,0,0.54,279.723,0,33.54,0,0,0.82,2.92,181.838,,,,,,,,,,,,,,,,,,,,,,
"22","LiverD-161.14",0,4.42,0,0.54,81.781,0,34.12,0,0,0.52,0,100.721,,,,,,,,,,,,,,,,,,,,,,
"23","LiverD-129.06",0,14.2,0,18.88,0.464256,0,0,0,0,0.86,8.28,0,,,,,,,,,,,,,,,,,,,,,,
"24","LiverD-129.04",0,10.29,0,4.65,0.248745,0,0,0,0,1.25,7.18,0,,,,,,,,,,,,,,,,,,,,,,
