Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,3-oxolithocholic_acid,Acetate,alloisolithocholic_acid,Butyrate,cholic_acid,deoxycholic_acid,glycocholic_acid,isodeoxycholic_acid,lithocholic_acid,propionate,succinate,taurocholic_acid,adapter,DNAconc,ForwardBarcode,Group,libraryname,mouse.number,nseqs,reads.in,reads.out,ReverseBarcode,sampleid,treatment
SRR22802048,WGA,313,2339371918,PRJNA912122,SAMN32225818,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",955026099,UNIVERSITY OF CHICAGO,2021-09-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762016,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-196.03,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:34:00Z,1,LiverD-196.03,SRP413645,0,6.22,0,0.41,14.470281,0,29.042288,0,0,0.31,0,14.141415,,,,,,,,,,,,
SRR22802049,WGA,313,3004677243,PRJNA912122,SAMN32225817,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1240136560,UNIVERSITY OF CHICAGO,2021-09-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762015,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-196.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:44:00Z,1,LiverD-196.01,SRP413645,0,6.96,0,0.41,27.077616,0,17.313554,0,0,0.31,0,9.413632,,,,,,,,,,,,
SRR22802050,WGA,313,2955900600,PRJNA912122,SAMN32225786,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1200191738,UNIVERSITY OF CHICAGO,2021-09-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762013,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-187.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:04:00Z,1,LiverD-187.01,SRP413645,11.47247359,15.57,1.449997571,0.59,0.336648136,101.7092102,0,6.799735711,86.15885262,3.6,0,0.047268382,,,,,,,,,,,,
SRR22802051,WGA,313,2731766125,PRJNA912122,SAMN32225785,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1108221027,UNIVERSITY OF CHICAGO,2021-09-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762012,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-185.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:56:00Z,1,LiverD-185.01,SRP413645,0,40.35,0,1.7,1.332519676,0.525319778,0,0,0.581077958,2.44,0,0,,,,,,,,,,,,
SRR22802052,WGA,313,181181994,PRJNA912122,SAMN32225783,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",72561603,UNIVERSITY OF CHICAGO,2021-09-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762010,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-183.09,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:00:00Z,1,LiverD-183.09,SRP413645,0,2.11,0,0.54,0,0,1.99,0,0,0.52,0,4.825,,,,,,,,,,,,
SRR22802053,WGA,290,2484678449,PRJNA912122,SAMN32225371,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1366047328,UNIVERSITY OF CHICAGO,2021-05-04,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762009,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-037.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:00:00Z,1,LiverD-037.01,SRP413645,0.027173985,10.84,0,0.22,62.77654177,0.014175649,0.27384492,0,0,0.08,0.85,0.307952781,,,,,,,,,,,,
SRR22802054,WGA,313,598648884,PRJNA912122,SAMN32225782,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",238842914,UNIVERSITY OF CHICAGO,2021-09-20,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762008,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-183.07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:04:00Z,1,LiverD-183.07,SRP413645,0,0.32,0,0.41,0,0,2.84502,0,0,0.31,0,3.312038,,,,,,,,,,,,
SRR22802055,WGA,313,4026378265,PRJNA912122,SAMN32225784,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1652842509,UNIVERSITY OF CHICAGO,2021-09-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762011,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-184.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:33:00Z,1,LiverD-184.01,SRP413645,0,9.29,0,0.39,23.119345,0,1.643762,0,0,4.09,0,5.7863,,,,,,,,,,,,
SRR22802056,WGA,313,323976880,PRJNA912122,SAMN32225781,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",129926951,UNIVERSITY OF CHICAGO,2021-09-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762007,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-183.04,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:47:00Z,1,LiverD-183.04,SRP413645,0,0,0,0.39,1.259718,0,140.129931,0,0,0.31,0,363.038588,,,,,,,,,,,,
SRR22802057,WGA,313,4265853457,PRJNA912122,SAMN32225779,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1727247482,UNIVERSITY OF CHICAGO,2021-09-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762006,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-181.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:41:00Z,1,LiverD-181.01,SRP413645,0.549225,54.11,0,1.67,13.145489,2.221658,0.002108,0,1.166673,0.49,0,0,,,,,,,,,,,,
SRR22802058,WGA,289,2049035732,PRJNA912122,SAMN32225773,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1105288316,UNIVERSITY OF CHICAGO,2021-10-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762005,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-178.09,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:32:00Z,1,LiverD-178.09,SRP413645,0.601,139.68,0.029,19.72,123.735,154.652,0,12.87,23.364,25.9,0,0,,,,,,,,,,,,
SRR22802059,WGA,313,4123587496,PRJNA912122,SAMN32225772,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1667392253,UNIVERSITY OF CHICAGO,2021-09-29,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762004,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-178.08,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:36:00Z,1,LiverD-178.08,SRP413645,1.531,21.3,0.147,1.1,8.077,0,0,0,0.064,9.82,0,0,,,,,,,,,,,,
SRR22802060,WGA,313,1555124950,PRJNA912122,SAMN32225770,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",626901396,UNIVERSITY OF CHICAGO,2021-09-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762002,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-178.05,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:15:00Z,1,LiverD-178.05,SRP413645,0,166.16,0,11.38,81.360214,1.137873,0,0,1.118558,12.18,16.32,0,,,,,,,,,,,,
SRR22802061,WGA,313,3437913510,PRJNA912122,SAMN32225764,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1391400255,UNIVERSITY OF CHICAGO,2021-09-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762001,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-171.03,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:37:00Z,1,LiverD-171.03,SRP413645,0,5.54,0,0.39,221.498543,0,3.349499,0,0,0.89,1.5,1.352026,,,,,,,,,,,,
SRR22802062,WGA,313,3807418743,PRJNA912122,SAMN32225762,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1540581383,UNIVERSITY OF CHICAGO,2021-09-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762000,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-170.03,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:58:00Z,1,LiverD-170.03,SRP413645,0,53.97,0,0.39,18.678551,0,0,0,0,0.39,9.09,0,,,,,,,,,,,,
SRR22802063,WGA,313,3087932817,PRJNA912122,SAMN32225771,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1244529676,UNIVERSITY OF CHICAGO,2021-09-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18762003,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-178.07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:48:00Z,1,LiverD-178.07,SRP413645,0,53.5,0,11.63,36.806397,0,0,0,0,9.42,0,0,,,,,,,,,,,,
SRR22802064,WGA,313,2175327441,PRJNA912122,SAMN32225760,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",886168376,UNIVERSITY OF CHICAGO,2021-09-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761999,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-169.07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:34:00Z,1,LiverD-169.07,SRP413645,0,21.3,0,0.39,226.889572,0.313188,23.023233,0,0,8.24,6.13,160.922237,,,,,,,,,,,,
SRR22802065,WGA,289,2345793107,PRJNA912122,SAMN32225365,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1297990291,UNIVERSITY OF CHICAGO,2021-04-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761998,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-034.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:40:00Z,1,LiverD-034.01,SRP413645,0,10.13,0,0.23,18.47,0,34.885,0,0,1.7,17.73,87.626,,,,,,,,,,,,
SRR22802066,WGA,313,3575768952,PRJNA912122,SAMN32225759,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1464648592,UNIVERSITY OF CHICAGO,2021-09-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761997,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-169.06,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:10:00Z,1,LiverD-169.06,SRP413645,0,2.81,0,0,9.94401385,0.080996846,0.106910857,0,0,0,0,9.495871094,,,,,,,,,,,,
SRR22802067,WGA,313,3432042314,PRJNA912122,SAMN32225757,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1383777134,UNIVERSITY OF CHICAGO,2021-09-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761996,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-168.05,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:53:00Z,1,LiverD-168.05,SRP413645,0,98.37,0,0,1.177159452,0,0,0,0,0.08,0,0,,,,,,,,,,,,
SRR22802068,WGA,314,2852468569,PRJNA912122,SAMN32225749,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1143841188,UNIVERSITY OF CHICAGO,2021-10-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761994,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-161.15,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:07:00Z,1,LiverD-161.15,SRP413645,0,11.09,0,0.54,279.723,0,33.54,0,0,0.82,2.92,181.838,,,,,,,,,,,,
SRR22802069,WGA,313,3117534358,PRJNA912122,SAMN32225748,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1271229769,UNIVERSITY OF CHICAGO,2021-09-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761993,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-161.14,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:14:00Z,1,LiverD-161.14,SRP413645,0,4.42,0,0.54,81.781,0,34.12,0,0,0.52,0,100.721,,,,,,,,,,,,
SRR22802070,WGA,313,4407860998,PRJNA912122,SAMN32225639,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1789506718,UNIVERSITY OF CHICAGO,2021-09-26,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761991,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-129.06,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:42:00Z,1,LiverD-129.06,SRP413645,0,14.2,0,18.88,0.464256,0,0,0,0,0.86,8.28,0,,,,,,,,,,,,
