"","3-oxo-Δ4,6-LCA","3-oxo-Δ4-LCA","3-oxoalloLCA","3-oxoLCA","7-oxoCA","3-oxo-Δ4-CDCA","7-oxoCDCA","βMCA","12-oxoDCA","3-oxoDCA","CDCA","MDCA","DCA","alloCDCA","3-oxoCA","UCA","CA","isoCA","TLCA","Δ5-3b-ol","isoalloLCA","isoLCA","LCA","alloLCA","3-oxoCDCA","isoDCA","isoCDCA","GDCA","GCDCA","UDCA","HDCA","ωMCA","αMCA","HCA","LCA-3S","GCA","UDCA-3S","CDCA-3S","DCA-3S","CA-3S","TUDCA","TCDCA","TDCA","T-βMCA","TCA","TLCA-3S","TCA-3S"
"CE001",4.483393994,"31.99532577",271.2995994,3289.000378,3.109282459,NA,25.17356802,NA,1839.089469,472.378346,25.00093705,NA,"1627.730503",NA,0.592099279,"1.083562541",6.641977248,NA,NA,13.05794348,"534.6857239",1484.39641,7468.420867,183.8916783,18.4338289,133.5055281,18.98198442,5.454521614,3.723442874,10.46880986,10.83727285,NA,NA,NA,0.777982102,0.742431548,0.6071009,"0.181616213",0.418504996,0.362895516,NA,0.578429567,0.775806758,NA,0.300135445,NA,NA
"CE003-2",1.635783028,"4.959194672",16.04208272,474.8536552,1.633914926,NA,5.129031587,3.112010159,1735.889513,428.5304702,15.09428979,NA,"10000.00633",17.14182786,0.228725995,"0.844243819",9.031791739,2.16191879,NA,5.887860011,"162.9537345",1063.817613,7096.647253,71.1620063,12.49892619,431.1227831,47.18315817,19.31809247,7.751311064,2.614953669,22.75049603,NA,NA,NA,11.92075059,5.783086633,0.27552206,"0.677666868",3.32070308,0.238413749,NA,0.632349984,0.62530778,NA,0.306695972,NA,NA
"CE004",4.702318666,"2.929012549",16.90249597,232.00196,166.3241026,NA,309.8969321,NA,1526.224037,434.154056,371.2612575,39.20678795,"16853.77313",30.7057078,6.943599486,"39.37505392",235.6195991,32.02993727,NA,18.54549293,"311.9328722",898.4782508,6004.145551,101.8841944,25.97247003,992.6320401,139.3050552,15.08540413,5.190187026,433.6760957,7.037227037,15.57654962,NA,8.734915633,236.0543057,1.624309773,12.71539505,"131.9548669",101.1427537,2.147325181,NA,0.293389512,0.514213485,NA,0.397002617,NA,NA
"CE005",3.621906515,"0.785222742",8.719375,176.7472597,3.216931754,NA,4.854493828,NA,297.1179769,269.5984123,42.09958839,5.444008326,"16225.53699",6.41086308,0.16243822,"8.784446396",14.83795377,2.729044801,NA,3.574329188,"71.65862979",445.8487258,4256.426747,62.56135546,8.173326217,499.9840581,51.139229,35.13127067,9.31689342,19.0798315,20.55646662,1.668209269,NA,0.986247555,8.972719877,6.179036802,NA,"1.231615296",8.640571759,0.18516364,0.142423804,1.140558214,1.649327491,NA,0.501997977,0.124215756,NA
"CE006",2.67378783,"4.244306942",121.0304626,1391.093375,6.167873572,NA,32.45544729,NA,1902.975064,511.2061083,37.69410194,13.0247177,"5813.84519",2.203647805,0.47756246,"3.706845956",8.605398487,NA,NA,7.915661554,"562.2963178",1432.080232,8529.882315,174.4806623,20.81779414,310.0164503,37.68176676,33.35730746,8.183578677,16.95774193,6.623244139,3.16924713,NA,NA,6.49165163,2.513476942,12.27680467,NA,4.08460691,0.313590414,NA,NA,0.21451219,NA,NA,NA,NA
"CE007",2.84467917,"4.041229618",16.32532997,293.9330436,8.688261513,NA,NA,NA,709.5202187,131.741423,24.02669237,NA,"2267.888284",NA,0.169142702,"0.027595795",7.788579332,1.761586105,NA,2.68824581,"111.9319166",493.4768569,2679.029796,46.06466889,5.818750531,117.0674103,15.65276275,10.20409362,7.618380749,NA,4.564517278,NA,NA,NA,0.804569032,1.974439765,3.021656287,NA,0.801977203,NA,NA,0.288767412,0.452992879,NA,0.279443118,NA,NA
"CE008",1.480128616,"1.097493229",3.568693011,184.7942452,14.87396351,NA,34.80821397,NA,874.3030847,226.8087445,122.4703025,NA,"16718.33434",18.4362344,2.546202962,"6.741509325",216.1400801,12.13406447,NA,1.235223043,"49.99883373",1229.127813,9672.375051,73.32099786,7.698954825,712.3163097,84.5757067,14.33377615,7.614457137,70.077013,23.42469341,NA,NA,1.03798531,0.720891734,1.278507343,2.345573677,NA,NA,14.69894663,NA,0.674932791,0.616503528,NA,NA,NA,NA
"CE011",7.205863539,"6.476210247",11.44655627,827.1298889,NA,NA,24.07336095,NA,673.0863239,258.5550346,91.03747784,12.60348087,"9224.48059",NA,0.356960632,"3.982459351",10.54040613,NA,NA,7.580652335,"196.0805405",2254.85483,9402.87105,112.8346382,9.585644157,392.7790383,89.04881097,16.19907479,44.77121844,14.85650987,46.5906191,2.644723001,NA,0.910179872,68.31328109,8.942892859,115.6428985,"5.971117085",22.96909639,0.351684482,0.205038674,4.910479874,1.590047939,NA,0.830334665,0.414131046,NA
"CE018",3.833517688,"3.907312327",23.81156336,386.6057877,NA,NA,8.268745576,NA,1309.903246,144.5111308,44.63209669,3.127126848,"6652.574006",NA,NA,"3.478283908",8.968465717,NA,NA,5.347480011,"192.1905001",908.1068593,7070.458738,121.3518787,4.331633696,200.2795661,33.74305824,4.269242068,10.9592182,7.049712861,38.9582922,NA,NA,NA,5.236192066,1.801333812,0.703757508,"0.86385372",1.308473275,0.214487335,NA,1.103502805,0.150259433,NA,0.361701125,NA,NA
"CE019",3.763802287,"3.228393272",6.278755843,670.3251791,5.26796934,NA,78.0919392,NA,5816.280136,571.8815401,49.24891168,NA,"17382.62541",3.722815425,0.247288976,"1.658843558",10.28652223,0.930819232,NA,3.134027067,"68.54823066",1786.295525,6751.046099,81.85795391,15.05792038,726.7563744,86.98960702,6.614886708,2.781048019,26.56051047,8.136960383,1.971155886,NA,1.265123067,0.240098371,2.343849484,NA,"0.059319728",0.222890848,NA,NA,0.479085373,0.7292388,NA,0.718379778,NA,NA
