Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Collection_Date,host_subject_id,subject_information
SRR27217289,WGS,230,617453275,PRJNA436359,SAMN38849553,Metagenome or environmental,244516898,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896253,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL10504,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL10504,SRP165757,2023-12-15T05:17:00Z,1,,,STL10504_Subject2960
SRR27217290,WGS,169,1347857120,PRJNA436359,SAMN38849552,Metagenome or environmental,531750346,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896252,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL20368,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL20368,SRP165757,2023-12-15T05:20:00Z,1,,,STL20368_Subject9975
SRR27217291,WGS,235,2873707672,PRJNA436359,SAMN38849551,Metagenome or environmental,1211495025,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896251,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL20552,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL20552,SRP165757,2023-12-15T05:41:00Z,1,,,STL20552_Subject2548
SRR27217292,WGS,171,572508721,PRJNA436359,SAMN38849550,Metagenome or environmental,311119701,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896250,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL20653,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL20653,SRP165757,2023-12-15T05:18:00Z,1,,,STL20653_Subject6184
SRR27217293,WGS,171,1503847222,PRJNA436359,SAMN38849478,Metagenome or environmental,755374663,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896249,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL20481,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL20481,SRP165757,2023-12-15T05:21:00Z,1,,,STL20481_Subject8821
SRR27217294,WGS,171,681298351,PRJNA436359,SAMN38849549,Metagenome or environmental,375129093,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896248,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL10331,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL10331,SRP165757,2023-12-15T05:18:00Z,1,,,STL10331_Subject2766
SRR27217295,WGS,171,676070609,PRJNA436359,SAMN38849548,Metagenome or environmental,344914667,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896247,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL40181,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL40181,SRP165757,2023-12-15T05:19:00Z,1,,,STL40181_Subject11724
SRR27217296,WGS,169,1013059924,PRJNA436359,SAMN38849547,Metagenome or environmental,379145932,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896246,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL10180,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL10180,SRP165757,2023-12-15T05:20:00Z,1,,,STL10180_Subject10473
SRR27217297,WGS,171,524908304,PRJNA436359,SAMN38849546,Metagenome or environmental,271277120,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896245,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL40487,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL40487,SRP165757,2023-12-15T05:19:00Z,1,,,STL40487_Subject9287
SRR27217298,WGS,168,1529864260,PRJNA436359,SAMN38849545,Metagenome or environmental,569827339,TECHNICAL UNIVERSITY OF MUNICH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22896244,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,STL40701,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2024-02-28T00:00:00Z,STL40701,SRP165757,2023-12-15T05:19:00Z,1,,,STL40701_Subject2682
