"","Acidaminococcus_intestini","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_putredinis","Alistipes_shahii","Allisonella_histaminiformans","Alloprevotella_rava","Anaerosporobacter_mobilis","Anaerostipes_hadrus","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_coprocola","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_galacturonicus","Bacteroides_massiliensis","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Bifidobacterium_dentium","Bifidobacterium_longum","Bifidobacterium_pseudocatenulatum","Bilophila_wadsworthia","Blautia_faecis","Blautia_hydrogenotrophica","Blautia_luti","Blautia_stercoris","Blautia_wexlerae","Bulleidia_extructa","Butyricicoccus_pullicaecorum","Butyricimonas_virosa","Catenibacterium_mitsuokai","Clostridium_bartlettii","Clostridium_clostridioforme","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_lactatifermentans","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_symbiosum","Clostridium_thermocellum","Collinsella_aerofaciens","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Desulfovibrio_piger","Dialister_invisus","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_eligens","Eubacterium_hallii","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_ventriosum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Gemmiger_formicilis","Haemophilus_parainfluenzae","Holdemania_filiformis","Howardella_ureilytica","Intestinimonas_butyriciproducens","Lactobacillus_ruminis","Megamonas_funiformis","Megasphaera_elsdenii","Megasphaera_micronuciformis","Methanobrevibacter_smithii","Methanosphaera_stadtmanae","Mitsuokella_jalaludinii","Mitsuokella_multacida","Odoribacter_splanchnicus","Oscillibacter_valericigenes","Oscillospira_guilliermondii","Oxalobacter_formigenes","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraprevotella_clara","Parasutterella_excrementihominis","Peptococcus_niger","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Prevotella_copri","Prevotella_oris","Prevotella_stercorea","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_champanellensis","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Slackia_isoflavoniconvertens","Streptococcus_anginosus","Streptococcus_thermophilus","Subdoligranulum_variabile","Succinivibrio_dextrinosolvens","Sutterella_wadsworthensis","Turicibacter_sanguinis","Varibaculum_cambriense","Veillonella_dispar","Abiotrophia_defectiva","Actinomyces_graevenitzii","Actinomyces_lingnae","Actinomyces_odontolyticus","Aggregatibacter_aphrophilus","Aggregatibacter_segnis","Alistipes_senegalensis","Alkaliphilus_crotonatoxidans","Alloprevotella_tannerae","Anaeroglobus_geminatus","Anaerorhabdus_furcosa","Atopobium_parvulum","Bacteroides_clarus","Bacteroides_intestinalis","Bacteroides_nordii","Bacteroides_salyersiae","Bifidobacterium_animalis","Blautia_glucerasea","Blautia_hansenii","Blautia_schinkii","Butyrivibrio_hungatei","Campylobacter_concisus","Campylobacter_gracilis","Campylobacter_showae","Capnocytophaga_gingivalis","Capnocytophaga_granulosa","Capnocytophaga_leadbetteri","Capnocytophaga_sputigena","Cardiobacterium_hominis","Cardiobacterium_valvarum","Catonella_morbi","Citrobacter_freundii","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_colinum","Clostridium_disporicum","Clostridium_glycyrrhizinilyticum","Clostridium_intestinale","Clostridium_leptum","Clostridium_paraputrificum","Clostridium_perfringens","Clostridium_saccharogumia","Clostridium_scindens","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Corynebacterium_durum","Corynebacterium_matruchotii","Denitrobacterium_detoxificans","Dialister_pneumosintes","Eikenella_corrodens","Enterococcus_durans","Enterococcus_faecalis","Escherichia/Shigella_flexneri","Eubacterium_brachy","Eubacterium_saphenum","Eubacterium_sulci","Eubacterium_yurii","Fretibacterium_fastidiosum","Fusobacterium_nucleatum","Fusobacterium_periodonticum","Gemella_haemolysans","Gordonibacter_pamelaeae","Granulicatella_elegans","Haemophilus_influenzae","Haemophilus_parahaemolyticus","Johnsonella_ignava","Kingella_oralis","Klebsiella_oxytoca","Lachnoanaerobaculum_umeaense","Lactobacillus_casei","Lactobacillus_delbrueckii","Lactobacillus_fermentum","Lactobacillus_plantarum","Lactococcus_garvieae","Lactococcus_lactis","Lautropia_mirabilis","Leptotrichia_buccalis","Leptotrichia_goodfellowii","Leptotrichia_hofstadii","Leptotrichia_hongkongensis","Leptotrichia_shahii","Leptotrichia_trevisanii","Leptotrichia_wadei","Listeria_monocytogenes","Mobiluncus_mulieris","Moryella_indoligenes","Mycoplasma_salivarium","Neisseria_bacilliformis","Neisseria_elongata","Neisseria_flavescens","Neisseria_oralis","Oribacterium_sinus","Paraprevotella_xylaniphila","Parvimonas_micra","Pediococcus_pentosaceus","Peptoniphilus_asaccharolyticus","Peptostreptococcus_stomatis","Planobacterium_taklimakanense","Porphyromonas_catoniae","Porphyromonas_endodontalis","Porphyromonas_gingivalis","Prevotella_aurantiaca","Prevotella_denticola","Prevotella_histicola","Prevotella_intermedia","Prevotella_loescheii","Prevotella_melaninogenica","Prevotella_micans","Prevotella_multiformis","Prevotella_nanceiensis","Prevotella_nigrescens","Prevotella_pallens","Prevotella_pleuritidis","Prevotella_saccharolytica","Prevotella_salivae","Prevotella_shahii","Prevotella_veroralis","Pseudomonas_aeruginosa","Rothia_aeria","Rothia_dentocariosa","Rothia_mucilaginosa","Scardovia_wiggsiae","Selenomonas_bovis","Selenomonas_infelix","Selenomonas_sputigena","Simonsiella_muelleri","Solobacterium_moorei","Sporobacter_termitidis","Stomatobaculum_longum","Streptobacillus_moniliformis","Streptococcus_sanguinis","Sutterella_stercoricanis","Tannerella_forsythia","Treponema_amylovorum","Treponema_denticola","Treponema_lecithinolyticum","Treponema_maltophilum","Treponema_medium","Treponema_refringens","Treponema_socranskii","Treponema_succinifaciens","Treponema_vincentii","Veillonella_parvula","Victivallis_vadensis","Weissella_viridescens"
"2126",0,7,0,0,147,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,241,0,0,108,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,185,162,0,0,1392,155,281,0,34,459,252,0,111,0,419,0,0,4367,721,0,0,1488,0,0,92,0,0,0,34,0,402,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0,4418,0,0,168,446,0,0,4327,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2127",0,8,0,0,130,0,0,0,0,70,0,0,63,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,45,0,0,0,0,142,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,1086,136,219,0,0,331,159,0,59,0,336,0,0,3189,723,0,0,1531,0,0,117,0,0,0,31,0,104,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,5899,0,0,0,0,0,0,3527,0,0,0,0,0,83,0,0,0,0,0,387,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2128",0,0,0,0,348,0,0,358,0,0,0,0,74,0,0,0,0,0,0,0,195,128,0,0,0,0,0,0,114,0,0,0,0,209,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,191,235,70,0,1217,0,268,0,0,484,131,0,89,0,394,0,0,3139,508,23,0,1150,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,99,0,0,0,0,0,0,0,4402,0,0,0,0,0,0,4768,0,0,0,0,0,0,0,0,0,0,0,1127,0,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2129",0,0,0,0,202,0,0,158,0,0,0,0,65,0,0,0,0,0,0,0,111,237,0,0,0,0,0,0,89,0,0,0,0,423,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,127,194,292,61,0,1313,127,381,0,0,762,105,0,102,0,678,0,0,4206,524,0,0,1872,64,0,226,0,0,0,82,0,39,50,0,0,0,0,52,0,0,0,0,49,66,0,0,0,0,0,0,0,1919,0,0,126,0,0,0,5060,0,0,0,0,0,284,0,0,0,0,0,827,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2130",0,0,0,0,75,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,71,0,0,0,0,0,0,215,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,207,0,0,985,0,252,0,51,236,206,0,53,0,295,0,0,3319,450,0,0,1200,0,0,88,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2982,0,0,0,0,0,0,2939,0,178,0,0,0,0,0,0,0,0,0,196,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2131",0,0,0,0,90,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,127,174,0,0,0,0,65,0,0,0,0,0,0,205,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,135,0,0,650,91,245,0,0,227,109,0,78,0,236,0,0,3041,293,0,0,1174,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,44,30,0,0,0,0,0,0,0,2730,0,0,69,0,0,0,4237,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2133",0,0,0,0,0,0,129,160,NA,0,0,0,0,0,0,0,0,0,0,0,108,0,0,65,0,0,17,0,0,0,0,0,0,0,0,482,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,59,340,0,0,11925,0,98,126,0,0,658,0,0,302,0,0,NA,56,555,0,0,0,5268,0,0,447,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2134",0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,852,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,356,0,0,11343,0,147,119,0,0,864,0,0,0,0,0,0,0,342,0,0,0,5039,0,0,687,0,24,0,0,0,0,0,0,0,30,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2135",0,0,0,0,0,0,121,236,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,180,0,0,42,0,0,0,0,0,0,0,0,167,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,114,0,0,6365,0,0,0,0,0,359,0,0,124,0,0,0,0,140,0,0,0,3209,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,9206,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2136",0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,873,78,0,0,0,0,0,0,0,0,0,0,58,0,0,0,70,305,0,0,6044,0,94,141,0,0,460,0,0,0,0,0,0,68,364,0,0,0,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10851,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
