"","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","acetyltyrosine","agmatine","alanine","arginine","asparagine","aspartate","butyrate","cadaverine","citrulline","D-alany-D-alanine","diaminopimelate","formylmethionine","gentisate","glutamine","glycine","histamine","histidine","homovanillate","hydrocinnamate","hydrocinnamate (phenylpropionate)","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indoleacetate","indolelactate","isoleucine","leucine","leucylglycine","lysine","methionine","methylimidazole acetic acid","N-acetylglutamine","N-acetylhistamine","N6-acetyl-L-lysine","N6-acetyllysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","pyridoxamine","quinolinate","serine","taurine","threonine","tryptamine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9016-B",547876,920857691,NA,1055.109209,NA,575316.000000001,188052.0288,1170073.349,38216.41321,324102836,2138237,226820.999999998,49283.78571,26717.0000000003,NA,6859.99999999997,NA,205020.8596,8790.762503,5838.478298,31142160.22,14166575,NA,211,NA,4176187.562,87821.31912,NA,501,12334373,418852080.1,492355878.3,28659,1267611.469,804505.61,39454979.24,949,1375,20707.9761,1485954,1279158.578,327632881.7,382251490,222323.251,2272512.409,NA,1029829,23602.72303,10244.74498,53047.81201,31,52904742.46,53815415.23,2443744.892,333891310.5,3077973
"9016-C",179704,2511377,3165.302739,11516.88894,NA,20990,84555.8199,241148.6751,8436.305321,4821483173,NA,4925,249224.0033,1555.00000000001,NA,307.000000000003,NA,126953.4417,5151.904691,91378.77852,5236963.914,2679060,NA,36,NA,11353559.07,116471.5993,NA,NA,NA,139120364.4,168653515.6,3944,473119.4456,349846.9883,59497384,1375,6757,78848.94359,997280,2262864.86,133266528.7,NA,133069.1798,569405.794,NA,1474732,18925.51451,284392.2602,36257.32734,162,17202785.61,21622741.66,505721.5727,353396191.4,3424820
"9016-D",5026050,10940282,588.7601612,8526.306147,2062898,360206.999999997,48675.46267,913248.9574,200.4558151,631664984,428903027,27645.9999999998,149666.1109,18596,NA,8355.99999999998,NA,511550.6328,4826.068302,57071.91379,1322330.108,682480,6183958,5662,NA,1946394.446,105507.8381,5770793,7181,NA,74835884.52,99355894.48,240877,150746.5551,142564.4278,1265607.416,6757,2023,102008.056,9478018,1252684.949,95424727.76,NA,79516.66143,909331.8743,579,1919463,13104.01095,1370213.833,31286.23589,34565,26713644.6,11860241.88,1607698.502,1374189419,122776
"9016-E",887598,23118648,104.697082,14497.23266,NA,38520.0000000003,123448.4619,495559.12,8313.478423,207761096,741248788,76133.0000000003,62147.65776,30388.9999999999,NA,9240.99999999998,30932289,158877.1593,63018.36641,270913.6393,8379180.48,7571484,9456009,14149,NA,2791555.526,115650.5172,6639445,4416,272085,69382426.25,97325536.72,70174,280781.6706,180446.0835,2900087.967,2023,7675,83715.25666,2771526,3124078.76,88668977.89,6514592,88849.38951,622451.9834,127,1529595,15798.65715,1141283.012,48541.01294,12314,48508425.64,17005036.56,3055233.139,1233677895,2044212
"9015-A",1462543,55592996,43.59737155,5031.980497,NA,846776.000000003,291636.882,6402330.266,756467.8383,435388835,176063524,638964.000000001,66358.01223,29880.9999999997,1257732,13562,42878499,1997759.544,81894.14654,38391.00156,354642837.1,3818848,NA,193,NA,379758.4208,68333.95762,NA,17161,4550148,640343294.2,710570677.3,7743,2473637.511,674555.409,6733241.348,2217,1628,21458.345,7786669,605062.6051,915449158.3,8350195,19679.29097,10886976.7,270,1165488,228717.4366,37880.49041,406961.7743,329,337615875.2,170785685.3,248772.2275,566845721.6,7643820
"9015-B",668842,163999570,1968.354307,7828.732682,NA,953258.999999992,139526.3817,845500.8954,57629.66061,334416489,306360080,701172.999999993,416718.0338,26153.0000000003,5550263,9442.99999999997,25632393,159370.7892,7443.328461,12653.54667,22971672.24,5596756,2499249,1790,NA,4163501.683,92052.4016,1222084,44371,7935441,217242006.6,331299081.2,12017,837028.7052,684980.5962,532054629.1,1628,2159,130186.1942,4167509,5596449.096,250470196.7,11224643,181869.4587,1798599.946,570,1240879,24391.06013,4516021.428,43648.98289,2006,30895097.06,48904472.13,666094.6723,188488184.1,6048998
"9015-C",1178942,3093163,836.4170794,9414.641357,NA,79319.9999999992,274098.5787,222284.0254,116451.2815,2178596623,NA,3615.00000000001,664478.9283,14825.9999999999,NA,1957,NA,302257.1288,21379.36496,42100.48453,17604486,3574297,NA,54,NA,1611486.183,90693.09986,NA,10,NA,492608514.5,520450550.1,7886,1755765.655,878928.3487,24420729.65,2159,2224,107828.5143,1995248,8567632.961,423126378.9,NA,219528.5508,2836927.528,13,980673,59702.3623,2476700.261,122658.8325,18,54667047.35,82271191.54,542459.7816,1067783578,1243014
"9015-D",2705678,27029690,NA,8953.909395,NA,50084.9999999998,566487.2088,632760.1356,NA,583173101,386898765,12066.0000000001,29120.54539,38909.0000000002,NA,8960.00000000011,82979920,19226.19119,82885.11888,101835.7379,119415521.6,16402869,13782382,16627,NA,154733.3525,59608.45378,6711481,1994,1477516,998307184.6,1002277106,207550,6660066.53,1081214.96,715264.7024,2224,3350,7258.484246,5373142,53217431.45,860179003.7,7037364,14539.71413,14111172.24,3545,3784987,15032.24476,90386.80653,31773.91199,4709,18645155.51,11484125.85,1650310.044,1088891589,386794
"9002-B",1523030,1626504842,518.3559064,614.0970159,NA,250114.000000001,72802.41009,36381.62164,181.8114,274620192,200738072,329453.000000002,202519.0415,38295.9999999998,1531017,9819.00000000009,43780346,41108.71804,4904.555931,59224.58001,3010846.105,109616689,549506691,593615,18221.75744,2657465.67,66095.21347,8451287,11626,102148967,163617176.8,162909073.2,16209,288841.2568,328264.8346,70633056.29,1064,1806,119039.08,934049,1828222.907,107419671.5,774981869,16090.79244,939223.6697,535,2209051,9853.597631,6512.813156,26172.6214,9282,9485605.555,19521588.55,1043929.145,148434029.4,3516818
"9009-A",4791605,113395982,NA,9570.955213,10916164,587090.000000006,361176.4479,7993817.435,925262.3676,1008278303,59878850,3125019.00000003,29717.32489,308652.000000004,10320648,30657.0000000001,NA,2103719.327,79323.68894,6228.144644,645757810.6,81544344,NA,NA,NA,1617134.649,63795.59418,NA,709,4534148,952086453.3,979697440.8,25814,4023715.846,885430.8342,1374112.694,12883,3404,11111.20895,31304906,2301734.546,1070329070,123568945,8501.852539,10820128.34,484,2378021,343926.6006,43390.65083,517439.4782,23421,468041406.5,208972290.8,180302.9227,880146758.1,10801693
"9009-B",1664189,1541116494,30.44833747,12078.33563,5872330,434907.999999997,294654.5029,780822.3647,85630.37933,257463688,58324719,688218.000000007,79987.0399,153447.000000002,NA,19349.0000000002,NA,319475.0964,17278.31755,9527.35906,24776115.2,37129239,NA,NA,NA,3231537.754,72629.68187,NA,2098,15938661,683814096.6,698313865.3,33624,1816163.125,1317277.512,2269870.088,3404,769,15183.32341,12616304,1464453.636,506264407.7,420718634,104466.7606,4041866.043,0,1548093,41504.05455,11675.82346,125360.2612,91,82270350.33,91026170.06,2691677.591,523645366.6,5105751
"9009-C",245180,2871452,1782.917717,14537.35321,NA,20835.0000000002,86247.2622,155119.9851,14235.08046,4255860626,NA,7244.99999999995,274901.0911,558.000000000002,NA,571.000000000003,NA,125508.3145,4917.461545,21708.34411,7018249.776,1809816,NA,17,NA,2186444.464,97573.88902,NA,NA,NA,148301444.2,170118833.8,3276,316373.8953,350619.1859,23088439.15,769,5271,34978.85502,265125,5751291.981,138592954.7,NA,100165.3249,967681.9698,0,1095625,21801.72918,114581.0318,42828.11648,28,19186373.21,27687452.67,787666.2605,251174226.1,1254532
"9009-D",1270535,249545187,1673.539766,42810.65652,1775542,62405.9999999997,96227.42679,434401.2054,NA,633964908,433473918,3171.00000000001,189834.6763,44141.0000000004,NA,14523.9999999998,NA,128511.8733,6650.877864,409639.9195,7675130.812,5500681,3199387,3044,NA,17564738.72,93034.60589,3950316,9903,308149,129605664.7,157494824.3,182891,215582.5517,275191.863,16580871.57,5271,4719,49795.57647,7537464,1528391.265,111709537.4,9604999,503155.0577,666858.9864,3369,1626016,17353.54199,1732783.962,34814.7321,141205,38513403.69,22905361.46,1116632.787,2803097509,NA
