Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR33980675,AMPLICON,446,91327346,PRJNA1276713,SAMN49082387,Metagenome or environmental,28308716,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179139,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 230,20.044923 N 99.894760 E,BH230,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:36:00Z,1,stool collection container,BH230,SRP592103
SRR33980676,AMPLICON,446,91511137,PRJNA1276713,SAMN49082386,Metagenome or environmental,28514569,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179138,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 221,20.044923 N 99.894760 E,BH221,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH221,SRP592103
SRR33980677,AMPLICON,446,84025279,PRJNA1276713,SAMN49082385,Metagenome or environmental,26742952,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179137,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 220,20.044923 N 99.894760 E,BH220,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH220,SRP592103
SRR33980678,AMPLICON,446,91572541,PRJNA1276713,SAMN49082444,Metagenome or environmental,29318608,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179136,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 348,20.044923 N 99.894760 E,BH348,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH348,SRP592103
SRR33980679,AMPLICON,446,90515916,PRJNA1276713,SAMN49082443,Metagenome or environmental,28465575,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179135,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 346,20.044923 N 99.894760 E,BH346,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH346,SRP592103
SRR33980680,AMPLICON,446,90622706,PRJNA1276713,SAMN49082442,Metagenome or environmental,28320638,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179134,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 345,20.044923 N 99.894760 E,BH345,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH345,SRP592103
SRR33980681,AMPLICON,446,91816858,PRJNA1276713,SAMN49082441,Metagenome or environmental,29354076,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179133,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 344,20.044923 N 99.894760 E,BH344,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH344,SRP592103
SRR33980682,AMPLICON,446,91339860,PRJNA1276713,SAMN49082440,Metagenome or environmental,29041989,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179132,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 343,20.044923 N 99.894760 E,BH343,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH343,SRP592103
SRR33980683,AMPLICON,446,91688916,PRJNA1276713,SAMN49082439,Metagenome or environmental,28184210,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179131,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 337,20.044923 N 99.894760 E,BH337,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH337,SRP592103
SRR33980684,AMPLICON,446,94847460,PRJNA1276713,SAMN49082438,Metagenome or environmental,29184053,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179130,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 336,20.044923 N 99.894760 E,BH336,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH336,SRP592103
