"","stearic acid","elaidic acid","myristic acid","cholesterol","oleic acid","lauric acid","palmitic acid","putrescine","fucose","tyramine","hexuronic acid1","sulfuric acid","urea","leucine","valine","alanine","arachidonic acid","1-monoolein","linoleic acid","aspartic acid","gluconic acid","1-monopalmitin","glucose","isoleucine","succinic acid","lysine","proline","2-monopalmitin","phenylalanine","tyrosine","cellobiose","glycine","glycerol-3-galactoside","histidine","arachidic acid","tocopherol alpha-","mannose","hydroxylamine","pentadecanoic acid","heptadecanoic acid","citric acid","ornithine","serine","tryptophan","mannitol","threonine","4-aminobutyric acid","monomyristin","lyxitol","uric acid","phenylethylamine","ethanolamine","behenic acid","docosahexaenoic acid","5-aminovaleric acid","isohexonic acid","lactobionic acid","ribonic acid","N-acetyl-D-galactosamine","trehalose","trans-4-hydroxyproline","saccharic acid","2-monoolein","lactic acid","hexadecylglycerol NIST","beta-gentiobiose","syringic acid","isoheptadecanoic acid NIST","zymosterol","N-acetyl-D-mannosamine","creatinine","gluconic acid lactone","1-monostearin","N-methylalanine","ribose","butyrolactam NIST","caffeine","methionine","cystine","xylose","levoglucosan","butane-2,3-diol NIST","alloxanoic acid NIST","2-hydroxybutanoic acid","maltose","raffinose","nonadecanoic acid","pseudo uridine","methionine sulfoxide","xylonic acid","capric acid","tocopherol gamma-","uracil","UDP-glucuronic acid","thymine","erythritol","alanine-alanine","isothreitol","glyceric acid","malic acid","tagatose","tyrosol","xanthine","N-acetylaspartic acid","lignoceric acid","squalene","2-hydroxyhexanoic acid","dihydroxyacetone","galactinol","dihydrocholesterol","xylulose NIST","fumaric acid","methyl O-D-galactopyranoside","2-hydroxyglutaric acid","N-acetylputrescine","4-hydroxyphenylacetic acid","isothreonic acid","cysteine","pyruvic acid","6-hydroxynicotinic acid","asparagine","galacturonic acid","acetophenone NIST","hexitol","taurine","threonic acid","indole-3-lactate","thymidine","nicotinic acid","lyxose","glutamine","lactitol","xylitol","benzoic acid","2-hydroxyvaleric acid","n-acetylglutamate","1,2-anhydro-myo-inositol NIST","3-hydroxybutyric acid","3-phenyllactic acid","palatinitol","phytol","delta-tocopherol NIST","glycolic acid","sebacic acid, di(2-octyl) ester NIST","beta-mannosylglycerate","3-hydroxypropionic acid","xylonolactone NIST","propane-1,3-diol NIST","glycerol-alpha-phosphate","hydroxycarbamate NIST","inosine","homocystine","epsilon-caprolactam","maltotriose","2-ketoisocaproic acid","methyltetrahydrophenanthrenone1 NIST","indole-3-acetate","2-deoxytetronic acid","stigmasterol","2-deoxytetronic acid NIST","parabanic acid NIST","1-monoheptadecanoyl glyceride NIST","alpha-ketoglutarate","maleimide","5-hydroxymethyl-2-furoic acid NIST","isocitric acid","pipecolinic acid","cholic acid","phenylacetic acid","nicotinamide","adenine","fructose","2-deoxypentitol NIST","N-acetylornithine","n-acetyl-d-hexosamine","urocanic acid","orotic acid","pyrophosphate","aconitic acid","digalacturonic acid","4-hydroxybenzoate","shikimic acid","phenol","oxalic acid","7-methylguanine NIST","chenodeoxycholic acid","inositol-4-monophosphate","adipic acid","cerotinic aci","aminomalonate","adenosine","O-acetylserine","4-hydroxymandelic acid","uridine","conduritol-beta-epoxide","allantoic acid","2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST","xanthosine","dodecanol","tocopherol beta NIST","beta-alanine","guanosine","hexaric acid","2-picolinic acid","3-hydroxy-3-methylglutaric acid","phosphoethanolamine","5,6-dihydrouracil","3,4-dihydroxyphenylacetic acid","2,3-dihydroxybutanoic acid NIST","homoserine","pyrrole-2-carboxylic acid","adenosine-5-monophosphate","4-pyridoxic acid","erythrose","azelaic acid","citramalic acid","cytosin","3-aminoisobutyric acid","glutaric acid","maleic acid","tartaric acid","erythronic acid lactone","malonic acid","glucose-6-phosphate"
"WANDRO_1",6515444,3574142,4634004,377076,1196783,4797950,1391786,1680982,7445,2601652,11346,130,9092,466303,353754,247907,232435,3953814,576874,33965,311,853253,98489,214799,1011648,45751,202071,803985,92753,52497,20125,35412,18613,50328,162763,76312,1619,82828,189464,139335,1099,15383,10377,67818,12871,10678,3417,1026959,64197,17527,62425,66258,53257,84018,21231,343,21628,26313,1670,6025,22006,343,205828,19811,13245,27095,30916,61980,11853,350,13395,436,170473,17806,30151,1167,18191,23689,11934,64263,1756,9377,6358,16541,753,12520,16616,5826,12616,12401,105469,9184,8752,2832,4842,5662,14685,5808,20552,16952,19158,2247,6175,21172,7039,10022,27048,1320,3478,1327,18021,8536,9897,3397,389,3169,1551,6667,5522,95,840,164,15149,4670,777,8540,25561,212,7074,6124,10636,724,8907,2894,799,528,2008,927,19291,1445,2522,3398,1224,2766,12611,1476,503,1640,1074,9691,2376,1476,1571,188,1579,3831,2448,945,967,533,3086,12602,2543,3037,115,81,1176,890,535,2681,1747,1210,867,1554,383,1318,755,2739,1010,546,349,1091,914,910,100,268,250,634,336,788,264,774,66,340,580,134,784,365,1101,356,450,3804,242,572,174,280,272,644,101,1386,653,251,79,215,832,139,283,49,247,519,153,198,114,167
"WANDRO_2",5168580,6841974,1285292,2744150,6768992,238236,2038316,27225,881901,91019,1695197,760280,662792,21945,70300,232341,378553,589473,756095,355559,1919629,760001,413980,78508,4842,98723,27153,115655,62476,182860,38136,193618,112584,35239,59369,16486,138871,187827,79120,94326,7864,20790,235477,105031,369526,163844,24544,65402,23915,343815,394,122046,101186,47991,767,25790,52516,6684,52179,66566,100514,31130,59803,22636,48245,72945,18298,23145,32508,16856,44309,190052,65086,4802,87236,771,43430,2987,28291,42084,18239,95100,2535,54456,1236,37241,14004,31816,15923,5622,2845,1986,10331,9306,5544,16459,3581,9145,4323,6951,7232,413,32436,4257,6704,9867,785,10945,10777,3941,4578,13495,7805,399,6820,1147,5221,9196,1793,118,3317,16458,1991,10844,2162,8449,138,21714,729,16068,10819,761,4973,3022,3427,5484,6418,3081,331,7452,1053,867,3713,5935,61692,935,4283,316,12161,1233,5240,986,9700,4835,1634,3019,600,1331,3096,1442,2068,3160,775,1552,1871,423,454,3865,335,2454,1965,6044,1411,992,7602,1049,1872,528,523,2750,369,6650,1221,426,1522,1331,315,1252,1131,493,338,236,406,624,1071,553,1384,1737,1236,547,324,1571,1366,1130,158,173,159,369,308,279,312,452,614,378,588,225,355,192,261,323,284,196,240,441
"WANDRO_3",6508561,5228786,3550004,1925583,3486187,5403092,1593104,3696380,4977,152354,11318,10093,7677,38865,43512,64237,277444,2010574,741015,13766,179,1398501,12442,23908,76739,8648,5958,211577,15098,103459,49171,21308,470,4608,246835,27994,14292,128102,217451,237537,1596,6556,4876,43571,745,1931,3891,477730,1754,52546,7393,4308,90730,82947,318905,150,2510,6107,738,18524,2819,150,112291,9300,46449,6655,84088,89285,40917,125,24659,1463,154679,3451,7906,1420,23747,1452,2391,9646,727,19681,40393,3815,12699,19118,23097,1433,2338,2893,7232,7186,4882,2565,6581,72,1432,5818,3526,4255,15278,10833,1963,18487,24483,19905,3141,1959,2489,4217,911,2872,8269,10189,409,1721,7571,1938,1643,904,492,1059,10191,12252,5830,1475,8901,146,3481,4221,2988,1071,489,2847,3739,685,1601,3258,7386,1732,278,758,4454,5170,4001,2781,932,611,818,3414,1145,1208,1965,220,608,3646,7017,1983,3781,1063,1324,7546,336,110,2826,120,1020,3839,714,928,1661,298,4159,1017,421,230,686,502,2348,624,329,468,672,1310,1034,1812,4621,1052,2104,218,355,131,705,330,114,157,805,140,909,340,523,1992,333,1134,1061,136,130,455,276,211,1273,633,331,249,411,595,213,83,895,135,94,66,131,74
"WANDRO_4",9666387,4440112,5332775,2344534,2191159,373191,3406709,259636,35042,84072,4273,1299,304,148733,155063,193600,528147,1395285,535594,7376,535,2006168,90266,85627,280623,14180,97312,1852299,36537,111122,87154,30678,3888,26542,624977,204828,29272,121654,288243,579403,4151,30137,5001,48468,4220,11472,1198,146395,5323,4025,2429,22007,199805,235740,993,188,14262,5328,14080,15445,4164,188,138727,145242,90978,5919,50233,192559,53342,3396,5312,523,57757,4032,11803,730,14456,7063,7504,3878,964,52700,4014,4840,12309,3553,74060,993,2658,4594,4739,20558,7583,432,3209,1755,13534,5011,6404,3827,3008,2267,2668,1649,57928,31787,2327,1533,3737,6311,1388,4638,3008,1296,307,1932,1856,3881,7340,163,338,790,13388,1979,317,2585,13236,375,7160,426,4449,1325,5307,2831,1348,481,1971,4168,6423,1628,4443,5958,1379,4758,1139,9196,13991,7964,558,9029,3552,932,5196,921,1043,3064,1638,771,3436,625,1200,9290,3037,60,133,212,132,1801,1493,1509,1473,528,946,255,971,336,1698,668,193,516,164,461,2394,191,377,465,553,507,5737,422,1686,115,130,1071,262,194,686,221,655,1053,306,1329,310,178,134,258,115,109,92,553,425,797,61,348,246,597,98,87,167,153,68,117,174,118
"WANDRO_5",10522253,10969005,1424475,5079845,1894660,361233,2085424,61300,7648,460464,41644,73325,691,380866,707028,510094,92870,264069,567397,25755,619,233667,22587,315658,197276,24875,38623,85822,139046,97777,110788,468251,1793,7842,143177,30338,28941,440439,65924,133095,11378,109292,23964,66843,910,20533,763,34110,8836,47825,1038,16242,55037,9122,1418,1321,2509,3109,1227,7945,14779,1321,35056,25599,27387,6038,60558,38149,50529,666,93014,1613,47892,17419,16253,2618,65841,5999,3181,17538,5893,14351,3797,130113,13965,20689,15975,880,6024,4364,4505,5177,14426,2162,9963,303,1732,4625,22940,8583,1277,11173,5285,2712,22501,6590,32861,4114,10906,14157,1513,28006,2729,5754,236,3289,3861,913,5618,419,952,1113,2859,19834,5035,2754,9854,672,12283,7739,1907,1893,663,10954,3867,8175,2462,1016,19720,7284,863,1951,6276,11739,6135,2024,2082,935,2310,6565,3498,988,5044,969,4655,5363,2026,1588,18154,2465,2496,2124,1874,2434,1480,422,439,9754,2446,908,2712,511,2820,572,755,2198,2432,2665,341,774,439,1271,2326,1216,1704,1607,500,1732,2826,783,1202,350,588,1832,219,372,2210,555,1802,1491,738,422,197,683,325,405,269,766,605,502,539,2171,527,1058,608,261,303,208,669,416,275,192,439,328
"WANDRO_6",4634692,7115020,572462,61663,5228899,380783,641726,69650,70234,66292,7445,240,230560,362724,214603,320995,35774,276682,515160,6166,266,437212,2257937,94143,82736,72713,46257,742666,83323,157601,8933169,25333,18613,54218,32682,931,2957685,37409,21231,47697,303,28282,8190,151518,2299,45703,35421,72829,7209,6983,131,158040,10145,16471,1490,3694,149667,582,556,763104,1728,3097,95446,229587,1181,181370,3052,7868,3495,329,5581,29889,27961,2691,1519,5589,12510,185,5952,7603,4940,3646,1826,2929,100702,2597,4137,441,13823,477,3518,931,424,998,1464,2813,5453,1331,6457,338,10308,148,165,1384,3124,1738,1098,3718,57188,501,1640,2786,39026,373,547,371,1241,1715,422,143,512,1033,5143,1607,1921,13161,166,228,191,2254,589,341659,1407,5902,1713,564,28811,314,329,3744,539,908,2422,5807,2485,1324,527,1387,4696,4963,539,294,840,1083,2547,2640,313,482,301,1086,2094,13244,143,3551,429,70,499,386,253,486,9787,156,454,264,364,378,554,4992,251,5717,245,1806,3641,351,427,1163,163,674,645,675,343,216,133,256,141,294,1151,9435,817,311,276,366,186,238,173,158,381,143,286,178,193,526,131,175,278,258,138,91,188,145,215,413,170,166
"WANDRO_7",10893407,3576975,359831,2606613,498752,57756,1717090,54004,15072,109899,78011,40419,4407110,386145,229924,639878,347233,66130,161347,30136,2801859,30180,2758331,116041,5431,121190,305215,17508,62319,239074,594512,527876,2499,81068,81278,9548,46208,263348,52563,127194,11056,57490,356163,71307,2032086,51800,3560,3523,55099,156375,3255,158518,86379,33728,626,112817,15717,3375,2429,11682,42467,133363,8195,71288,54294,24376,130316,13140,20760,1437,19804,308255,8480,8252,85066,2039,65513,6360,11501,28711,2968,2178,1803,9778,17617,3468,21917,78436,13385,3971,1721,2874,22223,10155,13121,49287,1435,19589,5526,29708,1713,35900,12523,3626,8444,10387,1930,94520,3742,3032,10890,11307,3864,1003,2431,42109,22810,4393,34284,874,1119,22319,1053,3413,13705,13218,4500,9436,2206,8712,7159,4098,16583,11366,21357,2271,34415,11973,3586,550,666,849,4011,8530,537,4313,457,1237,3811,12091,466,737,9436,308,7142,1214,1085,2663,914,3535,3371,997,1582,704,14644,394,2909,782,396,1477,1494,34775,4176,2606,4763,5735,1447,9297,615,1011,1045,1530,2743,7498,3674,1513,554,1317,956,2079,548,268,2922,129,419,817,1829,263,1034,428,426,358,4037,923,1028,497,259,994,1056,327,605,272,2452,1279,839,352,301,377,287,461,299,240,232,390
"WANDRO_8",3764153,882876,163975,1399345,125139,35586,726606,127243,30197,600893,144770,4005,60556,1650425,820108,1829457,145434,21396,59210,123497,4508803,7812,5699421,518683,105113,694573,2450310,6204,330519,658128,3704,777188,3194,571011,44163,5665,151140,196034,33236,71410,29731,246090,457243,155890,3250844,180974,23966,494,116032,288008,628,469561,59215,12730,8724,412114,6497,5010,3428,2872,169816,346561,5135,144267,27933,15434,240513,6924,12752,3352,188260,972645,5893,29463,99574,4111,79003,49151,44537,96387,4797,1946,2134,19996,2154,655,13155,139991,29132,5092,1771,1639,38760,21334,18455,121929,6466,49461,25639,119380,3263,107368,14859,4459,3858,4835,2928,90715,2420,2120,22058,46494,17887,3297,2972,90588,57801,22745,56529,2444,1894,51047,3196,8346,8123,30794,10107,9431,12540,16574,35662,320,43937,17415,41891,2655,66358,18021,8883,2055,980,1047,7709,7803,1460,6987,673,1818,2686,13032,682,1715,12419,490,4444,5267,2116,7653,604,14103,7353,365,9022,2990,34520,866,106252,729,1154,12804,4216,2979,10089,5542,8528,7926,2860,2529,423,3191,2554,1993,2860,10406,7177,1740,1223,2312,830,9722,801,309,4549,781,709,1941,1492,275,1333,483,2458,394,6931,2970,2641,5356,1293,1371,3055,977,836,1275,2324,1782,593,566,300,1592,1004,2641,365,722,418,1494
"WANDRO_9",8264483,5590906,745243,2186449,1518243,174051,1981768,776935,2197,611848,5506,1901,1967690,3902358,2675996,2011715,245393,16714,466522,58953,7457,8045,13479,625558,10761,603769,565378,2596,457148,46977,3567,363477,888,762143,106685,30031,2194,61672,56113,118578,627,86170,108039,65869,20052,16545,8791,662,36165,45950,9873,186133,81940,18590,21658,1090,2235,2205,1578,695,37962,1471,1421,46339,30495,3004,31516,22692,20382,634062,124576,1786,4603,74972,18887,1754,20502,81901,1571,10117,634,977,2709,15421,1007,1384,17497,2146,54455,1705,4948,2612,19276,5039,5461,29086,25602,6148,18628,2060,18764,131414,1115,1095,9911,7475,17687,25921,7345,2117,4325,2034,6404,5249,962,43818,14577,5666,21065,2994,988,2828,3398,15904,2176,6170,1220,53732,9303,5490,813,508,17058,11937,11898,1487,1977,5653,10166,6056,647,838,4084,4469,328,2867,346,508,1628,4402,213,590,464,180,7331,2866,1112,2531,802,1807,1231,244,27029,1264,5638,307,26287,491,1235,626,952,1833,3749,667,668,10335,505,496,559,369,2972,913,953,2059,2406,915,246,883,1075,3903,387,266,1215,276,227,1120,876,245,838,417,1610,164,350,1412,1560,626,2120,360,561,644,203,298,874,354,729,167,198,99,634,531,176,113,196,159
"WANDRO_10",2175344,1012661,4317094,854827,1240411,3248333,1593343,4757294,2311,2631066,10056,118,410462,2538158,1147629,416316,269530,920591,287605,11992,64,443437,5650,243880,6961,1518090,165648,1007951,368077,12463,6541,37847,712,1427965,213077,907,1829,22250,212234,191281,179,6770,12976,20256,66082,5457,37568,990229,8867,888,2659902,22073,74949,129537,792,67,2176,875,876,10043,7022,67,553408,2493,32340,2210,9088,68156,25563,209010,7932,464,440121,21113,8092,854,10947,36323,2963,7421,236,1921,462,3993,18612,3536,23631,882,14731,1208,14880,818,5307,11288,1505,5356,19523,2783,4368,1128,14672,127681,414,11246,24060,9385,6281,5085,3510,1126,1662,1479,6799,4072,3703,5857,2913,1068,3648,3008,348,164,6689,7811,2842,510,325,29478,3423,486,4153,1584,5236,2180,27429,642,554,1213,2193,1057,518,526,796,2442,14965,751,305,260,773,3177,1376,544,2164,73,1291,6808,146,1770,312,345,2314,21696,4291,395,545,85,747,467,355,1592,1185,234,1820,2290,252,479,466,1281,5542,229,692,1344,237,149,205,266,320,491,2245,1142,3873,240,606,323,245,1747,297,510,593,310,649,2913,149,206,291,383,782,84,83,191,228,344,123,401,1006,94,127,103,283,172,58,51,38,82
