"","sample_id","Acetanaerobacterium_elongatum","Acidaminococcus_fermentans","Actinomyces_odontolyticus","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Allobaculum_stercoricanis","Alloprevotella_rava","Anaerofilum_agile","Anaeroglobus_geminatus","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_helcogenes","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Barnesiella_viscericola","Bifidobacterium_pseudocatenulatum","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_schinkii","Blautia_stercoris","Blautia_wexlerae","Butyricicoccus_pullicaecorum","Butyricimonas_synergistica","Butyricimonas_virosa","Caulobacter_vibrioides","Cellulosilyticum_lentocellum","Cellulosilyticum_ruminicola","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_aminobutyricum","Clostridium_bartlettii","Clostridium_butyricum","Clostridium_citroniae","Clostridium_cocleatum","Clostridium_colinum","Clostridium_disporicum","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_irregulare","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_propionicum","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_scindens","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_ventriculi","Clostridium_viride","Collinsella_aerofaciens","Collinsella_intestinalis","Collinsella_tanakaei","Comamonas_kerstersii","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Desulfovibrio_desulfuricans","Desulfovibrio_fairfieldensis","Desulfovibrio_piger","Dialister_invisus","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Enterorhabdus_caecimuris","Epulopiscium_fishelsoni","Escherichia_coli","Eubacterium_biforme","Eubacterium_brachy","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_equinum","Fusobacterium_mortiferum","Fusobacterium_necrogenes","Fusobacterium_periodonticum","Gemmiger_formicilis","Geobacter_sulfurreducens","Geothrix_fermentans","Haemophilus_parainfluenzae","Hespellia_porcina","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Ipomoea_purpurea","Koukoulia_aurantiaca","Lachnospira_pectinoschiza","Lactobacillus_rogosae","Megamonas_funiformis","Megamonas_hypermegale","Megamonas_rupellensis","Megasphaera_elsdenii","Metabacterium_polyspora","Methanobrevibacter_smithii","Methanosaeta_concilii","Mitsuokella_multacida","Odoribacter_laneus","Odoribacter_splanchnicus","Oribacterium_sinus","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_chinchillae","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraeggerthella_hongkongensis","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parasutterella_secunda","Parvimonas_micra","Peptoclostridium_difficile","Peptococcus_niger","Petrimonas_sulfuriphila","Petrobacter_succinatimandens","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Phocaeicola_abscessus","Prevotella_bivia","Prevotella_copri","Prevotella_corporis","Prevotella_stercorea","Pseudoflavonifractor_capillosus","Pyramidobacter_piscolens","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Sedimentibacter_hongkongensis","Slackia_equolifaciens","Slackia_piriformis","Sporobacter_termitidis","Streptococcus_anginosus","Streptococcus_mutans","Streptococcus_pleomorphus","Streptococcus_sanguinis","Streptococcus_sobrinus","Subdoligranulum_variabile","Sutterella_parvirubra","Sutterella_stercoricanis","Treponema_caldaria","Turicibacter_sanguinis","Veillonella_dispar","Veillonella_magna","Victivallis_vadensis"
"1","Y40.25",0,0,0,0.00010876827695511,0,0,0,0.00142952592569573,0,0.000139844927513713,0.00278136022499495,0,0,0,0,0.00682132479761331,0,0,0,0.000932299516758084,0.00066814798700996,0.000372919806703234,0.000528303059496247,0.000403996457261836,0,0.0010721444442718,0.011032210948304,0,0,0,0.0784996193110307,0,0.00045061143309974,0.262877387075221,0.000279689855027425,0.0434140808303681,0,0.0210233541028948,0.112404245070466,0,0.00088568454092018,0,0,0.00045061143309974,0.00141398760041643,0,0,0.00509657069161086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000652609661730659,0,0,0,0,0.000823531239802974,0.000528303059496247,0,0,0,0,0,0,0.00357381481423932,0,0,0,0,0,0,0,0.000388458131982535,0,0,0.000419534782541138,0,0,0,0,0,0.0055782587752692,0,0,0,0,0,0.000978914492595988,0.0127103500784685,0,0,0,0,0,0,0.0103329863107354,0.00814208244635393,0,0.00156937085320944,0,0,0.0468480507170937,0,0,0,0.0195627515266405,0.000326304830865329,0,0,0.00144506425097503,0,0,0.00497226408937645,0,0.000543841384775549,0.000761377938685768,0,0.223006044408534,0,0,0,0,0,0,0.0126948117531892,0,0,0.00261043864692263,0,0,0,0,0.000201998228630918,0,0,0,0,0,0,0,0,0,0,0,0,0.000279689855027425,0,0.00119645104650621,0,0,0.00181798405767826,0,0,0,0.00102552946843389,0,0,0,0.0148391006417328,0,0,0,0,0,0,0.00088568454092018,0,0,0,0.00316981835697748,0,0.000901222866199481,0.00021753655391022,0,0,0.00814208244635393,0,0.0110788259241419,0.00495672576409715,0.000170921578072315,0,0.0033562782603291,0,0,0.00077691626396507,0.00340289323616701,0.020417359417002,0.0102552946843389,0,0,0,0,0,0,0,0.000233074879189521,0,0,0,0,0,0,0.0011187594201097,0,0
"2","Y40.27",0,0,0,0.000179350750283972,0,0.00844941312448935,0,0.00107610450170383,0.0010960323628465,0.00920667184791056,0,0,0,0,0,0.0109403957673223,0.000159422889141308,0,0,0.0284171299894382,0.000916681612562524,0,0,0,0.000856898029134533,0,0,0.0019130746696957,0,0.00233155975369164,0.00111596022398916,0,0,0.00121559952970248,0,0.00161415675255575,0,0.0204858412546581,0.0051413881748072,0,0,0,0,0.00161415675255575,0.00364679858910743,0,0,0.00791136087363743,0,0,0.00271018911540224,0.000219206472569299,0.000298917917139953,0,0.00324824136625416,0,0,0,0,0,0.00217213686455033,0,0,0,0,0,0,0,0,0,0.00245112692054762,0,0.00027899005599729,0,0.00117574380741715,0,0.0016938681971264,0,0,0,0.000498196528566589,0,0,0,0,0.002132281142265,0,0,0,0,0,0,0.00149458958569977,0,0,0.000936609473705187,0,0.00089675375141986,0.00968494051533449,0,0,0.000159422889141308,0,0,0,0.0234351647037723,0.0234351647037723,0,0,0,0,0,0,0.00577907973137243,0,0.00342759211653813,0.00310874633825552,0.00193300253083837,0,0.0049221817022379,0,0.00510153245252187,0.00141487814112911,0.00227177617026365,0.0274605926545904,0.00286961200454355,0,0.184033797652498,0.00346744783882346,0,9.96393057133178e-05,0,0,0,0.0168390426655507,0,0,0,0,0.000856898029134533,0,0.00167394033598374,0,0,0,0.0012554552519878,0.000478268667423925,0,0,0,0,0,0,0,0,0.00436420159024332,0,0.0862079273031626,0.000318845778282617,0,0.00484247025766724,0.00179350750283972,0,0,0,0,0,0,0.000179350750283972,0,0,0,0.000418485083995935,0,0,0,0.014925967995855,0,0,0.344732069906937,0,0.0324027022179709,0.00193300253083837,0,0,0.00946573404276519,0.00420477870110201,0,0,0,0,0.000936609473705187,0.00384607720053407,0,0.00159422889141308,0,0.0228971124529204,0.0117574380741715,0,0,0,0.000597835834279907,0,0,0.000378629361710608,0,0,0,0,0,0,0,0,0,0
"3","Y40.32",0,0,0,0,0,0,0,0.000887379324061749,0,0,0,0,0,0,0,0.00656354706935328,0,0,0,0,0.00374841266198498,0,0.000504888236104099,0,0,0,0,0.086244090512691,0,0,0.00137696791664754,0,0,0.4591729012714,0.00921038539802023,0,0,0.00119337219442787,0.0835972521840241,0,0,0,0,0,0.00384021052309481,0,0.00195835437034317,0.00451339483790028,0,0,0.00200425330089809,0.00108627468979973,0,0,0,0,0,0,0,0,0,0,0,0.000275393583329508,0,0,0,0.00108627468979973,0,0,0,0,0,0,0.00206545187497131,0,0,0,0.00022949465277459,0,0.00022949465277459,3.0599287036612e-05,0,0.000275393583329508,0,0.000948577898134973,0,0,0,0,0,0.0259940943376019,0,0,0,0,0,0,0.022199782745062,0.000168296078701366,0,0,4.58989305549181e-05,0,0.000780281819433607,0.00283043405088661,0.0165848135738437,0,0,0,0,0,0,0.000826180749988525,0.000168296078701366,0.00335062193050902,0.0025397408240388,0,0,0.00257034011107541,0,0.00272333654625847,0.00197365401386148,0,0,0.000688483958323771,0,0.0367803430180077,0.00243264331941066,0,0,0,0,0,0.00148406542127568,0,0,0,0,0,0,0.000657884671287159,0,0,0,0,0.000397790731475957,0,0,0,0,0,0,0,0,0,0,0.00149936506479399,0,0,0.0428390018512569,0,0,0,0,0,0,0,0.0827557717905173,0,0,0,0,0,0,0.00680834136564618,0,0,0,0.00607395847676749,0,0,0,0,0,0.0147029574210921,0,0.0104649561665213,0.00925628432857514,0,0,0,0,0,0.00631875277306039,0,0.0102048622267101,0.0127140037637123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122397148146448,0,0,0
"4","Y40.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599150295943934,0.00702639892516068,0,0,0.00840626021278914,0.0299756708667708,0,0,0.000744398852536403,0.000290497113184938,0,0,0,0.00935037583064018,0,0,0.00252369367079415,0,0,0.00346780928864519,0,0.0643995787791859,0,0.142289117251897,0.444732924216566,0.00673590181197574,0,0,0,0,0.00531972838519917,0.00125276880061004,0,0,0.00165220233123933,0,0,0.00103489596572134,0,0,0,0,0,0,0,0,0,0,0.00145248556592469,0,0,0,0.000762554922110461,0.00065361850466611,0,0,0.000853335269980755,0,0.000472057808925524,0,0.00025418497403682,0.000453901739351465,0,0,0.00187007516612804,0,0.00254184974036821,0,0,0,0.000925959548276989,0.0010530520352954,0.000617306365517993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054831330113657,0,0,0,0.000344965321907114,0.000798867061258579,0,0,0,0.000181560695740586,0,0,0.000399433530629289,0.00152510984422092,0,0.000308653182758996,0,0.00817023130832637,0,0,0.00078071099168452,0,0,0.00798867061258579,0,0.00386724281927448,0.00355858963651549,0.00219688441846109,0,0,0.000344965321907114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214967863756854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501652202331239,0,0,0,0,0,0,0,0,0.00154326591379498,0,0,0,0,0,0,0,0,0,0.00383093068012637,0,0.000925959548276989,0,0,0,0.0197719597661498,0,0.00203347979229456,0.00132539307890628,0,0,0.0171030175387632,0,0,0.0634191510221867,0,0.0305021968844185,0.00993137005701006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000290497113184938,0
"5","Y40.37",0,0,0,9.57823824271256e-05,0,0,0,0.00130902589317072,0,0,0.00185179272692443,0,0,0,0,0.00154848184923853,0,0,0,0.0010695699371029,0,0,0.0134254972702021,0.00035120206889946,0,0,0,0,0,0,0,0,0.0028255802816002,0.404951949171482,0,0,0,0.00627374604897672,0.0928450560326937,0,0,0,0,0.000542766833753712,0.00221895852622841,0,0,0.000734331598607963,0,0,0.00126113470195715,0,0,0,0.000287347147281377,0,0,0,0,0,0,0,0.000734331598607963,0,0,0,0.00264997924715047,0.00209124868299224,0,0,0,0,0,0,0,0,0,0,0,0,0.000239455956067814,0,0,0,0,0,0,0,0,0,0,0.000941860093866735,0,0,0,0,0,0.00330449219373583,0,0,0,0,0,0,0,0.00367165799303981,0.00997733150282558,0,0,0,0,0,0,0,0,0.007630663133361,0,0,0,0.00146866319721593,0,0,0.0119887615337952,0,0,0.000654512946585358,0,0.0822930302353054,0.000622585485776316,0.00119727978033907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794993774145142,0,0,0,0,0,0,0,0,0,0,0.0010695699371029,0,0,0.0057948341368411,0,0,0,0.000574694294562753,0,0.00772644551578813,0,0.0101529325372753,0.00284154401200473,0,0,0,0,0,9.57823824271256e-05,0,0,0,0.0023626320998691,0,0,0,0,0,0.0974905015804093,0,0.0663292998307845,0.0249353468918617,0,0,0.0195715334759427,0.00225088598703745,0,0.00134095335397976,0,0.00498068388621053,0.0119249066121771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Y40.44",0,0,0,0,0,0.000267649096290698,0,0.010044713143145,0,0.000314881289753763,0,0,0,0,0,0.00025190503180301,0,0,0,0.00847030669437622,0,0.00108634044965048,0.107406007935008,0,0.00286541973675924,0,0,0.00136973361042887,0,0,0.070171295421626,0,0.0244662762138674,0.12360665029284,0.000472321934630644,0.0707538258076705,0,0.0236003526670445,0.231973046161597,0,0,0,0,0.00330625354241451,0,0,0,0.000708482901945966,0,0,0.00108634044965048,0,0,0,0.00228288935071478,0,0,0,0,0,0,0,0.00201524025442408,0,0,0,6.29762579507526e-05,0,0,0,0.00176333522262107,0,0,0,0.00198375212544871,0,0.000535298192581397,0,0,0,0,0,0,0,0.00025190503180301,0,0,0,0,0,0,0.000141696580389193,0,0,0,0.0009288998047736,0,0.000881667611310536,0.0394703696706342,0.00025190503180301,0,0,0,0,0,0.00629762579507526,0.00499086844259714,0.000535298192581397,0,0,4.72321934630644e-05,0.000110208451413817,0,0,0,0.00415643302474967,0.0338654827130172,0,0,0,0,0.0096983437244159,0.001464197997355,0,0,0.00217268089930096,0,0.0895522388059701,0.00802947288872095,0,0,0,0,0,0.00406196863782354,0,0,0,0,0.00067699477297059,0,0.000834435417847471,0,0,0,0,0,0,0,0,0,0,0.000141696580389193,0,0,0.000314881289753763,0,0.00313306883304994,0,0,0.0253007116317148,0.00341646199382833,0,0,0.00392027205743435,0,0,0,0.0216480886705712,0,0,0,0,0,0,0,0,0,0,0.00308583663958688,0,0.000440833805655268,0,0,0,0.00100762012721204,0.00656527489136596,0,0.0207034448013099,0,0,0.000488065999118332,0,0,0.00656527489136596,0,0.00226714528622709,0.000645506643995214,0,0,0,0.00107059638516279,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Y60.57",0,0,0,0.00209439874000972,0,0,0,0.000653452406883032,0,0.00139068076336645,0,0,0,0,0,0.0101704002814872,0,0,0,0,0,0.00769063217331568,0.00118961848432552,0,0,0,0,0.0178442772648828,0,0,0.00167551899200777,0.00274785114689275,0,0.00201062279040933,0,0.00258029924769197,0,0.0192684684080894,0.253472513110936,0.00184307089120855,0,0,0,0,0.00423906304977967,0,0,0.00253003367793174,0,0,0.00450714608850091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167551899200777,0,0,0,0,0,0.000100531139520466,0,0.00216141949969003,0,0,0,0,0,0.000268083038721244,0,0.00142419114320661,0.000201062279040933,0,0,0,0,0,0,0.000234572658881088,0,0,0,0.000184307089120855,0.00036861417824171,0,0.000552921267362566,0.00628319622002915,0.000167551899200777,0,0,0.00204413317024948,6.7020759680311e-05,0,0.00276460633681283,0.00509357773570363,0,0,0,0.000418879748001944,0,0,0,0,0.0244960876631537,0.000452390127842099,0.00102206658512474,0,0.00269758557713252,0,0.000569676457282643,0.029522644639177,0,0.00599835799138783,0.000184307089120855,0.0016587638020877,0.271668649364141,0.00118961848432552,0,0,0,0,0,0,0,0,0.000452390127842099,0.000435634937922021,0.00108908734480505,0,0.000217817468961011,0,0,0,0.0119464504130154,0.000452390127842099,0,0,0,0,0,0,0,0.000167551899200777,0.000686962786723188,0,0.00356885545297656,0,0,0.00740579394467436,0.00103882177504482,0.000703717976643265,0,0,0,0,0,0.000201062279040933,0,0,0,0,0,0,0.038369384916978,0,0,0,0.00269758557713252,0,0.162927466782836,0,0,0,0.0130355377578205,0.00812626711123771,0.0112762428162123,0.00722148685555351,0,0,0.00242950253841127,0,0,0,0.00112259772464521,0.0147613223195885,0.0117956537037347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Y60.61",0,0,0,0,0,0,0,0.0003000394788788,0,0.0022739834188709,0,0,0,6.31662060797473e-05,0,0.00337939202526648,0,0,0,0.000473746545598105,0.000568495854717726,0.000394788787998421,0.0027003553099092,0.0370627714172918,0,0,0.000979076194236084,0.0010738255033557,0,0,0.000789577575996842,0,0.00453217528622187,0.00860639557836558,0,0.00382155546782471,0,0.0398262929332807,0.0141334386103435,0,0.00434267666798263,0,0,0,0.0025740228977497,0,0,0.0009001184366364,0,0,0,0,0,0.000489538097118042,0.00225819186735097,0,0,0,0,0,0,0.000221081721279116,0.00148440584287406,0,0,0,0,0.00203711014607185,0,0,0,0,0,0,0.000552704303197789,0,0.000142123963679431,0.000426371891038295,0,0,0,0,0,0,0,0.00104224240031583,0,0,0,0,0.000836952230556652,0,0,0,0,0,0,0.00129490722463482,0.0079747335175681,0,0,0,0,0,0,0,0.00274772996446901,0,0,0,0,0,0,0.00560600078957758,0,0.00178444532175286,0.000457954994078168,0.0470430319778918,0,0.000742202921437031,0.00126332412159495,0.00238452427951046,0.00105803395183577,0,0,0.000915909988156336,0,0.103624161073826,0.000757994472956968,0,0,0,0,0,0.0069009080142124,0,0,0.00143703118831425,0,0,0,0,0,0,0,0.00521121200157915,0.00889064350572444,0,0,0,0,0,0,0,0,0.0027003553099092,0,0.00348993288590604,0,0,0.00508487958941966,0,0,0,0.00426371891038294,0,0,0,0,0,0,0,0,0,0,0,0.00814844058428741,0,0,0.52748519542045,0,0.000378997236478484,0,0,0,0,0.0134544018949862,0,0.0249506514015002,0,0,0.00901697591788393,0.00115278326095539,0.000473746545598105,0,0.00203711014607185,0.00559020923805764,0.00944334780892223,0,0,0,0.00260560600078958,0,0,0,0,0,0,0,0.039257797078563,0,0.00208448480063166,0,0,0
"9","Y60.67",0,0,0,0,0,0,0,0.00164150190029725,0,0.000221824581121249,0,0,0,0,0,0.000473225773058665,0,0,0,0.0037118646574289,0.000576743910915248,0.000251401191937416,0.182753878233093,0.000872510019076914,0,0,0.000606320521731415,0.00174502003815383,0,0.000783780186628414,0.142958548379941,0,0.0290294435160675,0.00260274175182266,0.0043329734845684,0.0538590082962393,0,0.028585794353825,0.21302553940344,0,0.0038893243223259,0,0,0.00127179426509516,0.00189290309223466,0,0,0.000828145102852664,0,0,0,0,0,0,0.00201120953549933,0,0,0,0,0,0,0,0,0,0,0,0,0.000754203575812248,0,0,0,0,0.00136052409754366,0,0.000709838659587998,0,0,0,0,0,0.000147883054080833,0,0,0,0,0,0,0,0,0,0.000266189497345499,0,0,0.00211472767335591,0,0.000768991881220331,0.000650685437955665,0,0.00365271143579657,0,0,0,0,0,0,0.00239570547610949,0.00792653169873264,0,0,2.95766108161666e-05,0,0,0,0.00113869951642241,4.43649162242499e-05,0.000902086629893081,0.000251401191937416,0.0355215095902161,0,0.000591532216323332,0,0.00629981810384348,0.00140488901376791,0.00013309474867275,0,0.000576743910915248,0,0.0882861832862572,0.00272104819508732,0,0,0.000443649162242499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156460271217521,0,0,0,0,0,0,0.000561955605507165,0,0.000428860856834415,0,0.00189290309223466,0,0,0.0115644548291211,0.000473225773058665,0,0,0.00533857825231807,0,0,0,0.00508717706038065,0.00338652193845107,0,0,0,0,0,0,0.0109877109182059,0,0,0.0175685068248029,0,0,0,0,0,0.00110912290560625,0.00795610830954881,0.0162819242542997,0.0295470342053504,0,0,0.00207036275713166,0,0,0.000739415270404164,0.0126292128185031,0.00214430428417208,0.0150692832108369,0,0,0,0,0,0,0,0,0,0.00155277206784875,0,0.00094645154611733,0,0,0,0,0
"10","Y60.91",0,0,0,0.000152730049637266,0,0,0,0,0,0,0.000626193203512791,0,0,0,0,0.00200076365024819,0,0,0.00329896907216495,0.00126765941198931,0,0.0120504009163803,0.0014356624665903,0,0.0426422298587247,0,0,0.0184956090110729,0,0,0.00186330660557465,0,0.1338526155021,0.00195494463535701,0,0,0,0.159083619702176,0.293180603283696,0,0,0,0,0.000183276059564719,0.00308514700267278,0,0,0.00406261932035128,0,0,0,0,0,0,0.00013745704467354,0,7.63650248186331e-05,0,0,0,0.000931653302787323,0,0.00435280641466208,0,0,0,0.00252004581901489,0.000244368079419626,0,0,0.000610920198549064,0,0,0.000106911034746086,0.00108438335242459,0,0,0,0,0,0.000320733104238259,0,0.000473463153875525,0,0,0.00108438335242459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138831615120275,0.0158533791523482,0.000656739213440244,0,0,0,0,0,0,0,0.00276441389843452,0.00415425735013364,0.00450553646429935,0,0.00262695685376098,0,0.00256586483390607,0.0552577319587629,0,0,0.00184803360061092,0,0.0581901489117984,0.00507063764795724,0,0,0,0,0,0.0182206949217259,0,0,0,0,0,0,0,0,0,0,0,0.000381825124093165,0,0,0,0,0,0,0,0,0,0,0.00737686139747995,0,0,0.0492248949980909,0,0,0,0,0,0,0,0.0125391370752195,0,0,0,0,0,0,0.00300878197785414,0,0,0,0.00192439862542955,0,0.000259641084383352,0,0,0,0,0.00152730049637266,0,0.00531500572737686,0,0,0.00948453608247423,0,0,0.00151202749140893,0.0196869033982436,0.00390988927071401,0.00707140129820542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
