"","Acetanaerobacterium_elongatum","Acidaminococcus_fermentans","Actinomyces_odontolyticus","Akkermansia_muciniphila","Alistipes_finegoldii","Alistipes_indistinctus","Alistipes_massiliensis","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Allisonella_histaminiformans","Allobaculum_stercoricanis","Alloprevotella_rava","Anaerofilum_agile","Anaeroglobus_geminatus","Anaerostipes_hadrus","Anaerotruncus_colihominis","Anaerovorax_odorimutans","Bacteroides_acidifaciens","Bacteroides_caccae","Bacteroides_cellulosilyticus","Bacteroides_clarus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_eggerthii","Bacteroides_finegoldii","Bacteroides_fragilis","Bacteroides_helcogenes","Bacteroides_intestinalis","Bacteroides_massiliensis","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_plebeius","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_xylanisolvens","Barnesiella_intestinihominis","Barnesiella_viscericola","Bifidobacterium_pseudocatenulatum","Bilophila_wadsworthia","Blautia_faecis","Blautia_glucerasea","Blautia_hansenii","Blautia_luti","Blautia_producta","Blautia_schinkii","Blautia_stercoris","Blautia_wexlerae","Butyricicoccus_pullicaecorum","Butyricimonas_synergistica","Butyricimonas_virosa","Caulobacter_vibrioides","Cellulosilyticum_lentocellum","Cellulosilyticum_ruminicola","Cloacibacillus_evryensis","Cloacibacillus_porcorum","Clostridium_aldenense","Clostridium_aminobutyricum","Clostridium_bartlettii","Clostridium_butyricum","Clostridium_citroniae","Clostridium_cocleatum","Clostridium_colinum","Clostridium_disporicum","Clostridium_glycolicum","Clostridium_glycyrrhizinilyticum","Clostridium_hathewayi","Clostridium_hylemonae","Clostridium_innocuum","Clostridium_irregulare","Clostridium_lactatifermentans","Clostridium_lavalense","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_nexile","Clostridium_propionicum","Clostridium_ramosum","Clostridium_ruminantium","Clostridium_saccharogumia","Clostridium_scindens","Clostridium_spiroforme","Clostridium_sporosphaeroides","Clostridium_symbiosum","Clostridium_tertium","Clostridium_thermocellum","Clostridium_viride","Collinsella_aerofaciens","Collinsella_intestinalis","Collinsella_tanakaei","Comamonas_kerstersii","Coprobacillus_cateniformis","Coprobacter_fastidiosus","Coprococcus_catus","Coprococcus_comes","Coprococcus_eutactus","Desulfovibrio_desulfuricans","Desulfovibrio_fairfieldensis","Desulfovibrio_piger","Dialister_invisus","Dialister_succinatiphilus","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Enterorhabdus_caecimuris","Epulopiscium_fishelsoni","Escherichia/Shigella_coli","Eubacterium_biforme","Eubacterium_brachy","Eubacterium_coprostanoligenes","Eubacterium_cylindroides","Eubacterium_desmolans","Eubacterium_dolichum","Eubacterium_eligens","Eubacterium_fissicatena","Eubacterium_hallii","Eubacterium_oxidoreducens","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ruminantium","Eubacterium_siraeum","Eubacterium_ventriosum","Eubacterium_xylanophilum","Faecalibacterium_prausnitzii","Flavonifractor_plautii","Fusicatenibacter_saccharivorans","Fusobacterium_equinum","Fusobacterium_mortiferum","Fusobacterium_necrogenes","Fusobacterium_periodonticum","Gemmiger_formicilis","Geobacter_sulfurreducens","Geothrix_fermentans","Haemophilus_parainfluenzae","Hespellia_porcina","Holdemania_filiformis","Hydrogenoanaerobacterium_saccharovorans","Intestinimonas_butyriciproducens","Ipomoea_purpurea","Koukoulia_aurantiaca","Lachnospira_pectinoschiza","Lactobacillus_rogosae","Megamonas_funiformis","Megamonas_hypermegale","Megamonas_rupellensis","Megasphaera_elsdenii","Metabacterium_polyspora","Methanobrevibacter_smithii","Methanosaeta_concilii","Mitsuokella_multacida","Odoribacter_laneus","Odoribacter_splanchnicus","Oribacterium_sinus","Oscillibacter_valericigenes","Oxalobacter_formigenes","Parabacteroides_chinchillae","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_gordonii","Parabacteroides_johnsonii","Parabacteroides_merdae","Paraeggerthella_hongkongensis","Paraprevotella_clara","Paraprevotella_xylaniphila","Parasutterella_excrementihominis","Parasutterella_secunda","Parvimonas_micra","Peptoclostridium_difficile","Peptococcus_niger","Petrimonas_sulfuriphila","Petrobacter_succinatimandens","Phascolarctobacterium_faecium","Phascolarctobacterium_succinatutens","Phocaeicola_abscessus","Prevotella_bivia","Prevotella_copri","Prevotella_corporis","Prevotella_stercorea","Pseudoflavonifractor_capillosus","Pyramidobacter_piscolens","Rikenella_microfusus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Rothia_mucilaginosa","Ruminococcus_albus","Ruminococcus_bromii","Ruminococcus_callidus","Ruminococcus_flavefaciens","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_obeum","Ruminococcus_torques","Sarcina_ventriculi","Sedimentibacter_hongkongensis","Slackia_equolifaciens","Slackia_piriformis","Sporobacter_termitidis","Streptococcus_anginosus","Streptococcus_mutans","Streptococcus_pleomorphus","Streptococcus_sanguinis","Streptococcus_sobrinus","Subdoligranulum_variabile","Sutterella_parvirubra","Sutterella_stercoricanis","Treponema_caldaria","Turicibacter_sanguinis","Veillonella_dispar","Veillonella_magna","Victivallis_vadensis"
"Y40.25",0,0,0,7,0,0,0,92,0,9,179,0,0,0,0,439,0,0,0,60,43,24,34,26,0,69,710,0,0,0,5052,0,29,16918,18,2794,0,1353,7234,0,57,0,0,29,91,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,53,34,0,0,0,0,0,0,230,0,0,0,0,0,0,0,25,0,0,27,0,0,0,0,359,0,0,0,0,0,63,818,0,0,0,0,0,0,665,524,0,101,0,0,3015,0,0,0,1259,21,0,0,93,0,0,320,0,35,49,0,14352,0,0,0,0,0,0,817,0,0,168,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,18,0,77,0,0,117,0,0,0,66,0,0,0,955,0,0,0,0,0,0,57,0,0,0,204,0,58,14,0,0,524,0,713,319,11,0,216,0,0,50,219,1314,660,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,72,0,0
"Y40.27",0,0,0,9,0,424,0,54,55,462,0,0,0,0,0,549,8,0,0,1426,46,0,0,0,43,0,0,96,0,117,56,0,0,61,0,81,0,1028,258,0,0,0,0,81,183,0,0,397,0,0,136,11,15,0,163,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,123,0,14,0,59,0,85,0,0,0,25,0,0,0,0,107,0,0,0,0,0,75,0,0,47,0,45,486,0,0,8,0,0,0,1176,1176,0,0,0,0,0,0,290,0,172,156,97,0,247,0,256,71,114,1378,144,0,9235,174,0,5,0,0,0,845,0,0,0,0,43,0,84,0,0,0,63,24,0,0,0,0,0,0,0,0,219,0,4326,16,0,243,90,0,0,0,0,0,0,9,0,0,0,21,0,0,0,749,0,0,17299,0,1626,97,0,0,475,211,0,0,0,0,47,193,0,80,0,1149,590,0,0,0,0,30,0,0,19,0,0,0,0,0,0,0,0,0,0
"Y40.32",0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,429,0,0,0,0,245,0,33,0,0,0,0,5637,0,0,90,0,0,30012,602,0,0,78,5464,0,0,0,0,0,251,0,128,295,0,0,131,71,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,71,0,0,0,0,0,0,135,0,0,0,15,0,15,2,0,18,0,62,0,0,0,0,1699,0,0,0,0,0,0,1451,11,0,0,3,0,51,185,1084,0,0,0,0,0,0,54,11,219,166,0,0,168,0,178,129,0,0,45,0,2404,159,0,0,0,0,0,97,0,0,0,0,0,0,43,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,98,0,0,2800,0,0,0,0,0,0,0,5409,0,0,0,0,0,0,445,0,0,0,397,0,0,0,0,0,961,0,684,605,0,0,0,0,0,413,0,667,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Y40.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,387,0,0,463,1651,0,0,41,16,0,0,0,515,0,0,139,0,0,191,0,3547,0,7837,24495,371,0,0,0,0,293,69,0,0,91,0,0,57,0,0,0,0,0,0,0,0,0,0,80,0,0,0,42,36,0,0,47,0,26,0,14,25,0,0,103,0,140,0,0,0,51,58,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,19,44,0,0,0,10,0,0,22,84,0,17,0,450,0,0,43,0,0,440,0,213,196,121,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,211,0,51,0,0,0,1089,0,112,73,0,0,942,0,0,3493,0,1680,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"Y40.37",0,0,0,6,0,0,0,82,0,0,116,0,0,0,0,97,0,0,0,67,0,0,841,22,0,0,0,0,0,0,0,0,177,25367,0,0,0,393,5816,0,0,0,0,34,139,0,0,46,0,0,79,0,0,0,18,0,0,0,0,0,0,0,46,0,0,0,166,131,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,207,0,0,0,0,0,0,0,230,625,0,0,0,0,0,0,0,0,478,0,0,0,92,0,0,751,0,0,41,0,5155,39,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980,0,0,0,0,0,0,0,0,0,0,67,0,0,363,0,0,0,36,0,484,0,636,178,0,0,0,0,0,6,0,0,0,148,0,0,0,0,0,6107,0,4155,1562,0,0,1226,141,0,84,0,312,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y40.44",0,0,0,0,0,17,0,638,0,20,0,0,0,0,0,16,0,0,0,538,0,69,6822,0,182,0,0,87,0,0,4457,0,1554,7851,30,4494,0,1499,14734,0,0,0,0,210,0,0,0,45,0,0,69,0,0,0,145,0,0,0,0,0,0,0,128,0,0,0,4,0,0,0,112,0,0,0,126,0,34,0,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,59,0,56,2507,16,0,0,0,0,0,400,317,34,0,0,3,7,0,0,0,264,2151,0,0,0,0,616,93,0,0,138,0,5688,510,0,0,0,0,0,258,0,0,0,0,43,0,53,0,0,0,0,0,0,0,0,0,0,9,0,0,20,0,199,0,0,1607,217,0,0,249,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,196,0,28,0,0,0,64,417,0,1315,0,0,31,0,0,417,0,144,41,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y60.57",0,0,0,125,0,0,0,39,0,83,0,0,0,0,0,607,0,0,0,0,0,459,71,0,0,0,0,1065,0,0,100,164,0,120,0,154,0,1150,15128,110,0,0,0,0,253,0,0,151,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,129,0,0,0,0,0,16,0,85,12,0,0,0,0,0,14,0,0,0,11,22,0,33,375,10,0,0,122,4,0,165,304,0,0,0,25,0,0,0,0,1462,27,61,0,161,0,34,1762,0,358,11,99,16214,71,0,0,0,0,0,0,0,0,27,26,65,0,13,0,0,0,713,27,0,0,0,0,0,0,0,10,41,0,213,0,0,442,62,42,0,0,0,0,0,12,0,0,0,0,0,0,2290,0,0,0,161,0,9724,0,0,0,778,485,673,431,0,0,145,0,0,0,67,881,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y60.61",0,0,0,0,0,0,0,19,0,144,0,0,0,4,0,214,0,0,0,30,36,25,171,2347,0,0,62,68,0,0,50,0,287,545,0,242,0,2522,895,0,275,0,0,0,163,0,0,57,0,0,0,0,0,31,143,0,0,0,0,0,0,14,94,0,0,0,0,129,0,0,0,0,0,0,35,0,9,27,0,0,0,0,0,0,0,66,0,0,0,53,0,0,0,0,0,0,82,505,0,0,0,0,0,0,0,174,0,0,0,0,0,0,355,0,113,29,2979,0,47,80,151,67,0,0,58,0,6562,48,0,0,0,0,0,437,0,0,91,0,0,0,0,0,0,0,330,563,0,0,0,0,0,0,0,0,171,0,221,0,0,322,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,516,0,0,33403,0,24,0,0,0,0,852,0,1580,0,0,571,73,30,0,129,354,598,0,0,0,0,165,0,0,0,0,0,0,0,2486,0,132,0,0,0
"Y60.67",0,0,0,0,0,0,0,111,0,15,0,0,0,0,0,32,0,0,0,251,39,17,12358,59,0,0,41,118,0,53,9667,0,1963,176,293,3642,0,1933,14405,0,263,0,0,86,128,0,0,56,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,92,0,48,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,143,0,52,44,0,247,0,0,0,0,0,0,162,536,0,0,2,0,0,0,77,3,61,17,2402,0,40,0,426,95,9,0,39,0,5970,184,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,0,0,38,0,29,0,128,0,0,782,32,0,0,361,0,0,0,344,229,0,0,0,0,0,0,743,0,0,1188,0,0,0,0,0,75,538,1101,1998,0,0,140,0,0,50,854,145,1019,0,0,0,0,0,0,0,0,0,0,105,0,64,0,0,0,0,0
"Y60.91",0,0,0,10,0,0,0,0,0,0,41,0,0,0,0,131,0,0,216,83,0,789,94,0,2792,0,0,1211,0,0,122,0,8764,128,0,0,0,10416,19196,0,0,0,0,12,202,0,0,266,0,0,0,0,0,0,9,0,5,0,0,0,61,0,285,0,0,0,165,16,0,0,40,0,0,7,71,0,0,0,0,0,21,0,31,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,1038,43,0,0,0,0,0,0,0,181,272,295,0,172,0,168,3618,0,0,121,0,3810,332,0,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,483,0,0,3223,0,0,0,0,0,0,0,821,0,0,0,0,0,0,197,0,0,0,126,0,17,0,0,0,0,100,0,348,0,0,621,0,0,99,1289,256,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
