"","Acetate","Propionate","Isobutyrate","Butyrate","Isovalerate","Valerate","Hexanoate","TBA","Glycoursodeoxycholic acid","glycolithocholate","LCA-S","GCA","taurocholic acid","dehydrolithocholic acid","lithocholic acid","7-ketolithocholic acid","12-keto Lithocholic Acid","chenodeoxycholic acid","Deoxycholic acid","6-keto Lithocholic Acid","3β-Ursodeoxycholic Acid","ursodeoxycholic acid","α-hyodeoxycholic acid","Norcholic Acid","7_DHCA","3-dehydrocholic acid","3β-Cholic Acid","Tauro-β-muricholic Acid","Hyocholic acid","cholic acid","glycochenodeoxycholate","glycodeoxycholic acid","taurochenodeoxycholate","taurodeoxycholate"
"QCS-001-1f",1.7077,2.1734,0.0982,1.0382,0.1046,0.023,9e-04,5.07288656115924,325.004431333333,13468.4732006667,4.50849355555555,44.2301333333333,8.54802222222222,1087042.64575649,2383195.64124327,1142.6902,720904.3366806,4651.222,818904.214733333,5331.14266666667,12122.5855333333,6025.72828888889,4242.01484444444,512.4108,781.242177777778,230.561333333333,751.833844444444,255.421177777778,2807.20186666667,1462.65286666667,79.5985555555555,7448.69951111111,10.8301088888889,1133.12268888889
"QCS-001-2f",0.9138,0.9279,0.12,1.273,0.1346,0.2416,0.0068,2.26104370094042,97.4735700917431,723.885963119266,3588.04955908257,285.428110091743,29.7860550458716,159097.421357798,1101816.73120007,6482.35211009174,238222.26617778,25991.6353944954,689712.033651376,1552.37148623853,4480.85871559633,8562.32528440367,3734.8475412844,585.943504587156,2091.95234862385,390.780091743119,589.504880733945,326.999082568807,501.053247706422,9080.21412844036,1874.70840366972,1153.1088440367,59.6025436697248,12.3676880733945
"QCS-002-1f",1.0646,0.6363,0.0193,2.0949,0.0165,0.0089,4e-04,2.55381992391396,47.3739681904762,103.429948571429,43869.1636866667,91.9556571428571,16.871980952381,21174.8066285714,764029.912406629,14699.9990857143,103431.091295238,374310.066909429,957611.35807619,2900.16580952381,20488.6345904762,94683.5405333333,881.712247619048,1308.82207619048,4832.84786666667,1727.66396190476,16978.1198285714,615.255942857143,2820.24236190476,126474.85632381,171.206914285714,144.588171428571,135.210442095238,271.0272
"QCS-002-2f",0.4863,0.8185,0.1123,1.0174,0.1586,0.2322,0.0029,1.85002959048338,37.8135679245283,401.397116037736,456.932256603774,56.996679245283,2.53022641509434,33698.021490566,1113188.70024545,244.965867924528,67743.4830188679,3132.35371698113,619762.380735849,4235.99852830189,1732.0731509434,1437.63469811321,1014.15469811321,905.754471698113,34.4909811320755,94.3508113207547,145.421433962264,136.831981132075,352.500490566038,516.698867924528,174.385867924528,429.006547169811,59.3564483018868,35.3565849056604
"QCS-002-3f",1.3031,1.7727,0.0833,1.0963,0.0929,0.4836,0.0076,2.75342957612667,416.327893333333,200.328140808081,7298.1730460606,59.8860606060606,0.427757575757576,89632.7501818182,1472440.97378545,2252.64268686869,154392.466727273,11011.9058585859,991873.002383838,3328.45298989899,3288.38636363636,9452.6582020202,935.434525252525,804.041656565656,380.490363636364,88.759696969697,157.343494949495,194.558404040404,839.474242424242,3106.66068686869,381.417171717172,717.420747474747,56.4625741414141,119.130484848485
"QCS-003-1f",0.751,0.8306,0.0757,0.3719,0.069,0.1075,0.0014,8.02433245469871,761.157081980198,1187.4008829703,368.822428712871,727.672811881188,66.6666534653465,1046815.92240919,3584453.26197513,10543.7435445545,1243408.52547855,20367.5012079208,2015536.98732673,10677.3563762376,31628.5052673267,24817.4653861386,13435.5668712871,4074.63231683168,594.339504950495,216.491920792079,82.3200396039604,2017.1204950495,1256.46376237624,1446.95988118812,5049.75441584158,3893.84968316832,689.222085742574,214.744891089109
"QCS-003-2f",1.0252,1.1157,0.0254,1.1611,0.0285,0.0804,0.0012,1.50825630732514,172.084843061224,91.2988310204082,32638.6248493878,229.889142857143,125.243489795918,11373.8229591837,704379.736521061,14065.4416734694,40202.2959795918,79326.4464489796,536723.593428571,1171.84406122449,10152.7169387755,39812.4495102041,4008.22379591837,1568.10034693878,5156.80526530612,347.426448979592,2010.66575510204,184.300224489796,1120.92563265306,20393.1547346939,1499.825,188.189326530612,930.845770408163,382.356346938775
"QCS-003-3f",1.5406,1.8496,0.075,3.2611,0.0727,0.2654,0.0026,3.18994803796665,658.01734,207.30343326087,22885.8595947826,522.82902173913,166.860326086957,35660.0846956522,1360095.58018948,3655.43026086957,107575.044021739,18774.7403043478,1569321.29013043,4493.95134782609,17410.2447826087,33664.2817608696,1256.93773913043,821.950130434783,371.619043478261,133.488260869565,388.650304347826,100.729934782609,1068.13623913043,5873.48347826087,414.12047826087,555.510630434783,104.226713478261,3767.66780434783
"QCS-004-1f",0.1431,0.096,0.0335,0.0865,0.0578,0.041,9e-04,2.74419490725558,72.9764372093023,887.243945348837,23.3734697674419,11.5718372093023,0.0820697674418605,93643.492255814,1609485.8148686,714.745604651163,48683.0474186047,1695.8896744186,963955.705953488,856.069744186046,2256.50825581395,5299.81937209302,6799.56230232558,2545.06555813953,82.5621860465116,53.509488372093,138.779976744186,1075.03188372093,4694.80104651163,326.637674418605,8.37111627906977,696.608186046512,0.846139302325581,186.790790697674
"QCS-004-2f",0.3099,0.3972,0.1212,0.5333,0.2067,0.4051,0.0135,6.6884245851664,196.206393191489,304.083418085106,13.8479461702128,603.158659574468,89.7267021276596,230302.282007574,3244282.61762462,4235.77610638298,512692.156808255,18409.5916382979,2511600.86310638,20154.3442553191,60272.767106383,68627.486893617,2961.35659574468,2945.21329787234,392.695106382979,254.163085106383,1086.40640425532,2046.66982978723,3633.44338297872,2089.69359574468,246.053893617021,821.956659574468,72.2979472340425,89.7267021276596
"QCS-005-1f",0.3221,0.3597,0.0472,0.3179,0.0896,0.0848,0.0047,4.0495906776255,515.759506534653,1005.42817267327,454331.604652475,508.665168316832,0.0698811881188119,330042.373918297,909852.31053699,4732.49382178218,507984.148465663,15051.9886336634,1785017.04695049,3071.27821782178,6055.55435643564,13510.199980198,5126.90324752475,4.1229900990099,899.929940594059,229.699465346535,178.336792079208,577.498138613861,2444.72348514852,1485.5342970297,1417.33025742574,5037.45532673267,4.42138277227723,505.80003960396
"QCS-005-2f",0.7174,0.9947,0.1115,0.7924,0.1278,0.045,0.0056,2.60383851583152,535.124788380952,4.86195371428571,3.86442304761905,532.710952380952,2876.16860952381,227.93979047619,10325.5851238095,152746.4128,952.628342857143,404271.292033714,17275.1608,8091.22398095238,181191.766057143,670163.027039524,1879.98232380952,839.364247619048,209567.81647619,18159.8979047619,105453.510780952,5133.85476190476,8348.60571428571,803607.075238095,585.477904761905,2.41988571428571,1048.62789790476,14.116
