"study","study_slug","record_type","title","description","local_path","rdataclass"
"ALL","study_index","study_index","HuMMANet Study Index","Study-level availability table for the HuMMANet ExperimentHub resources.","HuMMANet/v1/study_index.rds","data.frame"
"BarkerTejedaTC_2024_Targeted","barkertejedatc__384f3edf","study_bundle","HuMMANet Study Bundle: BarkerTejedaTC_2024_Targeted","Curated metadata, species, and metabolome tables for the HuMMANet study BarkerTejedaTC_2024_Targeted .","HuMMANet/v1/studies/barkertejedatc__384f3edf.rds","list"
"BarkerTejedaTC_2024_Untargeted","barkertejedatc__21059c5e","study_bundle","HuMMANet Study Bundle: BarkerTejedaTC_2024_Untargeted","Curated metadata, species, and metabolome tables for the HuMMANet study BarkerTejedaTC_2024_Untargeted .","HuMMANet/v1/studies/barkertejedatc__21059c5e.rds","list"
"CarterM_2025","carterm_2025","study_bundle","HuMMANet Study Bundle: CarterM_2025","Curated metadata, species, and metabolome tables for the HuMMANet study CarterM_2025 .","HuMMANet/v1/studies/carterm_2025.rds","list"
"ChengT_2024_F","chengt_2024_f","study_bundle","HuMMANet Study Bundle: ChengT_2024_F","Curated metadata, species, and metabolome tables for the HuMMANet study ChengT_2024_F .","HuMMANet/v1/studies/chengt_2024_f.rds","list"
"ChengT_2024_S","chengt_2024_s","study_bundle","HuMMANet Study Bundle: ChengT_2024_S","Curated metadata, species, and metabolome tables for the HuMMANet study ChengT_2024_S .","HuMMANet/v1/studies/chengt_2024_s.rds","list"
"ConleyT_2024","conleyt_2024","study_bundle","HuMMANet Study Bundle: ConleyT_2024","Curated metadata, species, and metabolome tables for the HuMMANet study ConleyT_2024 .","HuMMANet/v1/studies/conleyt_2024.rds","list"
"DawkinsJ_2022","dawkinsj_2022","study_bundle","HuMMANet Study Bundle: DawkinsJ_2022","Curated metadata, species, and metabolome tables for the HuMMANet study DawkinsJ_2022 .","HuMMANet/v1/studies/dawkinsj_2022.rds","list"
"DuL_2025","dul_2025","study_bundle","HuMMANet Study Bundle: DuL_2025","Curated metadata, species, and metabolome tables for the HuMMANet study DuL_2025 .","HuMMANet/v1/studies/dul_2025.rds","list"
"ERAWIJANTARI_2020","erawijantari_2020","study_bundle","HuMMANet Study Bundle: ERAWIJANTARI_2020","Curated metadata, species, and metabolome tables for the HuMMANet study ERAWIJANTARI_2020 .","HuMMANet/v1/studies/erawijantari_2020.rds","list"
"FangX_2020","fangx_2020","study_bundle","HuMMANet Study Bundle: FangX_2020","Curated metadata, species, and metabolome tables for the HuMMANet study FangX_2020 .","HuMMANet/v1/studies/fangx_2020.rds","list"
"FengZ_2021","fengz_2021","study_bundle","HuMMANet Study Bundle: FengZ_2021","Curated metadata, species, and metabolome tables for the HuMMANet study FengZ_2021 .","HuMMANet/v1/studies/fengz_2021.rds","list"
"FranzosaE_2019","franzosae_2019","study_bundle","HuMMANet Study Bundle: FranzosaE_2019","Curated metadata, species, and metabolome tables for the HuMMANet study FranzosaE_2019 .","HuMMANet/v1/studies/franzosae_2019.rds","list"
"FranzosaE_2019_Validation","franzosae_2019__22d0f995","study_bundle","HuMMANet Study Bundle: FranzosaE_2019_Validation","Curated metadata, species, and metabolome tables for the HuMMANet study FranzosaE_2019_Validation .","HuMMANet/v1/studies/franzosae_2019__22d0f995.rds","list"
"GotoY_2022","gotoy_2022","study_bundle","HuMMANet Study Bundle: GotoY_2022","Curated metadata, species, and metabolome tables for the HuMMANet study GotoY_2022 .","HuMMANet/v1/studies/gotoy_2022.rds","list"
"HE_INFANTS_2019","he_infants_2019","study_bundle","HuMMANet Study Bundle: HE_INFANTS_2019","Curated metadata, species, and metabolome tables for the HuMMANet study HE_INFANTS_2019 .","HuMMANet/v1/studies/he_infants_2019.rds","list"
