"study","study_slug","metadata_file","species_file","metabolome_file","n_metadata","n_species","n_metabolome","has_metadata","has_species","has_metabolome","metadata_source","species_source","metabolome_source","n_shared_available","n_shared_all_modalities","after_hummanet_file","n_after_hummanet","has_after_hummanet"
"BarkerTejedaTC_2024_Targeted","barkertejedatc__384f3edf","studies/barkertejedatc__384f3edf/metadata.csv.gz","studies/barkertejedatc__384f3edf/species.csv.gz","studies/barkertejedatc__384f3edf/metabolome.csv.gz",122,122,122,TRUE,TRUE,TRUE,"data/processed_data/BarkerTejedaTC_2024_Targeted/CuratedMetadata.csv","data/processed_data/BarkerTejedaTC_2024_Targeted/CuratedSpeciesProfile.csv","data/processed_data/BarkerTejedaTC_2024_Targeted/CuratedMetabolome.csv",122,122,"studies/barkertejedatc__384f3edf/after_hummanet.csv.gz",122,TRUE
"BarkerTejedaTC_2024_Untargeted","barkertejedatc__21059c5e","studies/barkertejedatc__21059c5e/metadata.csv.gz","studies/barkertejedatc__21059c5e/species.csv.gz","studies/barkertejedatc__21059c5e/metabolome.csv.gz",128,128,128,TRUE,TRUE,TRUE,"data/processed_data/BarkerTejedaTC_2024_Untargeted/CuratedMetadata.csv","data/processed_data/BarkerTejedaTC_2024_Untargeted/CuratedSpeciesProfile.csv","data/processed_data/BarkerTejedaTC_2024_Untargeted/CuratedMetabolome.csv",128,128,"studies/barkertejedatc__21059c5e/after_hummanet.csv.gz",128,TRUE
"CarterM_2025","carterm_2025","studies/carterm_2025/metadata.csv.gz","studies/carterm_2025/species.csv.gz","studies/carterm_2025/metabolome.csv.gz",315,315,315,TRUE,TRUE,TRUE,"data/processed_data/CarterM_2025/CuratedMetadata.csv","data/processed_data/CarterM_2025/CuratedSpeciesProfile.csv","data/processed_data/CarterM_2025/CuratedMetabolome.csv",315,315,"studies/carterm_2025/after_hummanet.csv.gz",315,TRUE
"ChengT_2024_F","chengt_2024_f","studies/chengt_2024_f/metadata.csv.gz","studies/chengt_2024_f/species.csv.gz","studies/chengt_2024_f/metabolome.csv.gz",54,54,54,TRUE,TRUE,TRUE,"data/processed_data/ChengT_2024_F/CuratedMetadata.csv","data/processed_data/ChengT_2024_F/CuratedSpeciesProfile.csv","data/processed_data/ChengT_2024_F/CuratedMetabolome.csv",54,54,"studies/chengt_2024_f/after_hummanet.csv.gz",54,TRUE
"ChengT_2024_S","chengt_2024_s","studies/chengt_2024_s/metadata.csv.gz","studies/chengt_2024_s/species.csv.gz","studies/chengt_2024_s/metabolome.csv.gz",54,54,54,TRUE,TRUE,TRUE,"data/processed_data/ChengT_2024_S/CuratedMetadata.csv","data/processed_data/ChengT_2024_S/CuratedSpeciesProfile.csv","data/processed_data/ChengT_2024_S/CuratedMetabolome.csv",54,54,"studies/chengt_2024_s/after_hummanet.csv.gz",54,TRUE
"ConleyT_2024","conleyt_2024","studies/conleyt_2024/metadata.csv.gz","studies/conleyt_2024/species.csv.gz","studies/conleyt_2024/metabolome.csv.gz",232,232,232,TRUE,TRUE,TRUE,"data/processed_data/ConleyT_2024/CuratedMetadata.csv","data/processed_data/ConleyT_2024/CuratedSpeciesProfile.csv","data/processed_data/ConleyT_2024/CuratedMetabolome.csv",232,232,"studies/conleyt_2024/after_hummanet.csv.gz",232,TRUE
"DawkinsJ_2022","dawkinsj_2022","studies/dawkinsj_2022/metadata.csv.gz","studies/dawkinsj_2022/species.csv.gz","studies/dawkinsj_2022/metabolome.csv.gz",231,231,231,TRUE,TRUE,TRUE,"data/processed_data/DawkinsJ_2022/CuratedMetadata.csv","data/processed_data/DawkinsJ_2022/CuratedSpeciesProfile.csv","data/processed_data/DawkinsJ_2022/CuratedMetabolome.csv",231,231,"studies/dawkinsj_2022/after_hummanet.csv.gz",231,TRUE
"DuL_2025","dul_2025","studies/dul_2025/metadata.csv.gz","studies/dul_2025/species.csv.gz","studies/dul_2025/metabolome.csv.gz",15,15,15,TRUE,TRUE,TRUE,"data/processed_data/DuL_2025/CuratedMetadata.csv","data/processed_data/DuL_2025/CuratedSpeciesProfile.csv","data/processed_data/DuL_2025/CuratedMetabolome.csv",15,15,"studies/dul_2025/after_hummanet.csv.gz",15,TRUE
"ERAWIJANTARI_2020","erawijantari_2020","studies/erawijantari_2020/metadata.csv.gz","studies/erawijantari_2020/species.csv.gz","studies/erawijantari_2020/metabolome.csv.gz",43,43,43,TRUE,TRUE,TRUE,"data/processed_data/ERAWIJANTARI_2020/CuratedMetadata.csv","data/processed_data/ERAWIJANTARI_2020/CuratedSpeciesProfile.csv","data/processed_data/ERAWIJANTARI_2020/CuratedMetabolome.csv",43,43,"studies/erawijantari_2020/after_hummanet.csv.gz",43,TRUE
"FangX_2020","fangx_2020","studies/fangx_2020/metadata.csv.gz","studies/fangx_2020/species.csv.gz","studies/fangx_2020/metabolome.csv.gz",310,310,310,TRUE,TRUE,TRUE,"data/processed_data/FangX_2020/CuratedMetadata.csv","data/processed_data/FangX_2020/CuratedSpeciesProfile.csv","data/processed_data/FangX_2020/CuratedMetabolome.csv",310,310,"studies/fangx_2020/after_hummanet.csv.gz",310,TRUE
