Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR29681710,AMPLICON,1504,64710911,PRJNA1130618,SAMN42212503,Metagenome or environmental,29233279,SHANGHAI JIAO TONG UNIVERSITY,2023-10-10,public,"fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX25184933,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,A11,SRP517552
SRR29681711,AMPLICON,1507,69156209,PRJNA1130618,SAMN42212502,Metagenome or environmental,30902442,SHANGHAI JIAO TONG UNIVERSITY,2023-10-09,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX25184932,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,A10,SRP517552
SRR29681712,AMPLICON,1494,68677945,PRJNA1130618,SAMN42212501,Metagenome or environmental,30830952,SHANGHAI JIAO TONG UNIVERSITY,2023-10-08,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX25184931,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,A9,SRP517552
SRR29681713,AMPLICON,1496,61781876,PRJNA1130618,SAMN42212500,Metagenome or environmental,27542295,SHANGHAI JIAO TONG UNIVERSITY,2023-10-07,public,"fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX25184930,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:25:00Z,1,A8,SRP517552
SRR29681714,AMPLICON,1504,48921298,PRJNA1130618,SAMN42212499,Metagenome or environmental,22064708,SHANGHAI JIAO TONG UNIVERSITY,2023-10-06,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX25184929,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,A6,SRP517552
SRR29681715,AMPLICON,1509,74408104,PRJNA1130618,SAMN42212498,Metagenome or environmental,33299911,SHANGHAI JIAO TONG UNIVERSITY,2023-10-05,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX25184928,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,A5,SRP517552
SRR29681716,AMPLICON,1489,53356152,PRJNA1130618,SAMN42212529,Metagenome or environmental,23937542,SHANGHAI JIAO TONG UNIVERSITY,2023-11-05,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX25184927,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,36,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,C14,SRP517552
SRR29681717,AMPLICON,1486,73209165,PRJNA1130618,SAMN42212528,Metagenome or environmental,33068787,SHANGHAI JIAO TONG UNIVERSITY,2023-11-04,public,"sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX25184926,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,35,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,C13,SRP517552
SRR29681718,AMPLICON,1490,61983754,PRJNA1130618,SAMN42212527,Metagenome or environmental,27562017,SHANGHAI JIAO TONG UNIVERSITY,2023-11-03,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX25184925,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,34,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,C12,SRP517552
SRR29681719,AMPLICON,1489,67885930,PRJNA1130618,SAMN42212526,Metagenome or environmental,30274989,SHANGHAI JIAO TONG UNIVERSITY,2023-11-02,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX25184924,China,Asia,China: Shanghai,Homo sapiens,Illumina MiSeq,human feces,not provided,33,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-02-01T00:00:00Z,2024-07-02T15:24:00Z,1,C11,SRP517552
